Radionuclide	Tc-97m
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified forms, fA=0.18
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	6.6E-1	-	-	2.4E-1	1.4E-2	9.9E-5	1.6E-4	3.4E-4
0.083333	6.5E-1	-	-	2.7E-1	1.2E-2	2.5E-4	3.9E-4	9.9E-4
0.125	6.4E-1	-	-	2.8E-1	1.2E-2	4.0E-4	6.7E-4	1.8E-3
0.25	6.2E-1	-	-	3.2E-1	1.0E-2	6.9E-4	1.5E-3	4.1E-3
0.375	6.0E-1	-	-	3.5E-1	9.7E-3	8.0E-4	2.3E-3	5.4E-3
0.5	5.7E-1	-	-	3.7E-1	9.3E-3	8.3E-4	2.9E-3	5.8E-3
0.625	5.5E-1	-	-	3.9E-1	9.0E-3	8.2E-4	3.5E-3	5.6E-3
0.75	5.3E-1	-	-	3.9E-1	8.7E-3	7.8E-4	3.9E-3	5.2E-3
0.875	5.1E-1	-	-	3.9E-1	8.5E-3	7.4E-4	4.2E-3	4.7E-3
1	4.8E-1	1.5E-2	6.5E-2	3.8E-1	8.3E-3	6.9E-4	4.4E-3	4.2E-3
1.125	4.5E-1	-	-	3.6E-1	8.1E-3	6.5E-4	4.6E-3	3.7E-3
1.25	4.2E-1	-	-	3.4E-1	8.0E-3	6.0E-4	4.6E-3	3.2E-3
1.375	3.9E-1	-	-	3.2E-1	7.8E-3	5.5E-4	4.7E-3	2.9E-3
1.5	3.6E-1	-	-	3.0E-1	7.7E-3	5.1E-4	4.7E-3	2.6E-3
1.625	3.4E-1	-	-	2.8E-1	7.6E-3	4.7E-4	4.6E-3	2.3E-3
1.75	3.1E-1	-	-	2.6E-1	7.5E-3	4.4E-4	4.6E-3	2.1E-3
1.875	2.8E-1	-	-	2.3E-1	7.4E-3	4.0E-4	4.5E-3	1.9E-3
2	2.6E-1	8.8E-3	2.0E-1	2.1E-1	7.3E-3	3.7E-4	4.4E-3	1.7E-3
2.25	2.1E-1	-	-	1.7E-1	7.2E-3	3.2E-4	4.2E-3	1.5E-3
2.5	1.7E-1	-	-	1.4E-1	7.1E-3	2.8E-4	4.0E-3	1.3E-3
2.75	1.4E-1	-	-	1.1E-1	7.0E-3	2.4E-4	3.7E-3	1.2E-3
3	1.2E-1	3.5E-3	1.3E-1	8.4E-2	6.9E-3	2.1E-4	3.5E-3	1.2E-3
3.25	9.5E-2	-	-	6.5E-2	6.8E-3	1.9E-4	3.3E-3	1.1E-3
3.5	7.9E-2	-	-	5.1E-2	6.7E-3	1.7E-4	3.1E-3	1.0E-3
3.75	6.6E-2	-	-	3.9E-2	6.6E-3	1.5E-4	2.9E-3	1.0E-3
4	5.6E-2	2.1E-3	5.6E-2	3.1E-2	6.5E-3	1.4E-4	2.7E-3	9.6E-4
4.25	4.9E-2	-	-	2.4E-2	6.4E-3	1.2E-4	2.5E-3	9.3E-4
4.5	4.3E-2	-	-	2.0E-2	6.4E-3	1.1E-4	2.3E-3	9.0E-4
4.75	3.8E-2	-	-	1.6E-2	6.3E-3	1.0E-4	2.2E-3	8.7E-4
5	3.4E-2	1.5E-3	2.0E-2	1.3E-2	6.2E-3	9.4E-5	2.0E-3	8.5E-4
5.5	2.9E-2	-	-	9.3E-3	6.1E-3	8.0E-5	1.8E-3	8.0E-4
6	2.5E-2	1.1E-3	7.7E-3	7.1E-3	6.0E-3	6.8E-5	1.6E-3	7.6E-4
6.5	2.3E-2	-	-	5.6E-3	5.9E-3	5.8E-5	1.4E-3	7.3E-4
7	2.0E-2	8.5E-4	3.8E-3	4.7E-3	5.8E-3	5.0E-5	1.2E-3	7.0E-4
7.5	1.9E-2	-	-	3.9E-3	5.7E-3	4.4E-5	1.1E-3	6.7E-4
8	1.7E-2	6.5E-4	2.3E-3	3.4E-3	5.6E-3	3.8E-5	9.4E-4	6.4E-4
8.5	1.6E-2	-	-	2.9E-3	5.5E-3	3.3E-5	8.3E-4	6.2E-4
9	1.5E-2	5.0E-4	1.6E-3	2.6E-3	5.4E-3	2.9E-5	7.4E-4	6.0E-4
9.5	1.4E-2	-	-	2.2E-3	5.4E-3	2.5E-5	6.5E-4	5.8E-4
10	1.3E-2	3.8E-4	1.2E-3	2.0E-3	5.3E-3	2.2E-5	5.8E-4	5.6E-4
11	1.2E-2	3.0E-4	9.4E-4	1.5E-3	5.2E-3	1.7E-5	4.7E-4	5.2E-4
12	1.1E-2	2.3E-4	7.2E-4	1.2E-3	5.1E-3	1.4E-5	3.8E-4	4.9E-4
13	1.0E-2	1.9E-4	5.6E-4	9.5E-4	5.0E-3	1.1E-5	3.2E-4	4.7E-4
14	9.4E-3	1.5E-4	4.4E-4	7.6E-4	4.9E-3	8.6E-6	2.7E-4	4.5E-4
15	8.9E-3	1.2E-4	3.5E-4	6.2E-4	4.8E-3	7.0E-6	2.3E-4	4.2E-4
16	8.5E-3	1.0E-4	2.8E-4	5.1E-4	4.7E-3	5.8E-6	2.0E-4	4.0E-4
17	8.1E-3	8.3E-5	2.3E-4	4.3E-4	4.6E-3	4.8E-6	1.8E-4	3.9E-4
18	7.7E-3	7.1E-5	1.9E-4	3.6E-4	4.5E-3	4.1E-6	1.6E-4	3.7E-4
19	7.5E-3	6.1E-5	1.6E-4	3.1E-4	4.4E-3	3.5E-6	1.5E-4	3.5E-4
20	7.2E-3	5.4E-5	1.4E-4	2.7E-4	4.4E-3	3.1E-6	1.4E-4	3.4E-4
21	7.0E-3	4.8E-5	1.2E-4	2.4E-4	4.3E-3	2.8E-6	1.3E-4	3.2E-4
22	6.8E-3	4.3E-5	1.0E-4	2.2E-4	4.2E-3	2.5E-6	1.3E-4	3.1E-4
23	6.6E-3	3.9E-5	9.2E-5	2.0E-4	4.2E-3	2.3E-6	1.2E-4	3.0E-4
24	6.4E-3	3.6E-5	8.3E-5	1.8E-4	4.1E-3	2.1E-6	1.2E-4	2.9E-4
25	6.3E-3	3.4E-5	7.6E-5	1.7E-4	4.0E-3	2.0E-6	1.2E-4	2.8E-4
26	6.1E-3	3.2E-5	7.0E-5	1.6E-4	4.0E-3	1.8E-6	1.1E-4	2.6E-4
27	6.0E-3	3.0E-5	6.5E-5	1.5E-4	3.9E-3	1.7E-6	1.1E-4	2.5E-4
28	5.9E-3	2.8E-5	6.1E-5	1.4E-4	3.9E-3	1.6E-6	1.1E-4	2.4E-4
29	5.7E-3	2.7E-5	5.8E-5	1.3E-4	3.8E-3	1.6E-6	1.1E-4	2.3E-4
30	5.6E-3	2.6E-5	5.5E-5	1.3E-4	3.8E-3	1.5E-6	1.0E-4	2.2E-4
31	5.5E-3	2.5E-5	5.2E-5	1.2E-4	3.7E-3	1.4E-6	1.0E-4	2.2E-4
32	5.4E-3	2.4E-5	5.0E-5	1.2E-4	3.6E-3	1.4E-6	1.0E-4	2.1E-4
33	5.3E-3	2.3E-5	4.8E-5	1.1E-4	3.6E-3	1.3E-6	1.0E-4	2.0E-4
34	5.1E-3	2.2E-5	4.6E-5	1.1E-4	3.5E-3	1.3E-6	9.9E-5	1.9E-4
35	5.0E-3	2.1E-5	4.5E-5	1.1E-4	3.5E-3	1.2E-6	9.8E-5	1.8E-4
36	4.9E-3	2.1E-5	4.3E-5	1.0E-4	3.4E-3	1.2E-6	9.7E-5	1.8E-4
37	4.8E-3	2.0E-5	4.2E-5	9.8E-5	3.4E-3	1.2E-6	9.5E-5	1.7E-4
38	4.7E-3	1.9E-5	4.0E-5	9.5E-5	3.3E-3	1.1E-6	9.4E-5	1.6E-4
39	4.6E-3	1.9E-5	3.9E-5	9.2E-5	3.3E-3	1.1E-6	9.3E-5	1.6E-4
40	4.6E-3	1.8E-5	3.8E-5	8.9E-5	3.2E-3	1.1E-6	9.2E-5	1.5E-4
41	4.5E-3	1.8E-5	3.7E-5	8.6E-5	3.2E-3	1.0E-6	9.1E-5	1.4E-4
42	4.4E-3	1.7E-5	3.6E-5	8.4E-5	3.1E-3	9.9E-7	9.0E-5	1.4E-4
43	4.3E-3	1.7E-5	3.5E-5	8.1E-5	3.1E-3	9.6E-7	8.9E-5	1.3E-4
44	4.2E-3	1.6E-5	3.4E-5	7.9E-5	3.1E-3	9.3E-7	8.9E-5	1.3E-4
45	4.1E-3	1.6E-5	3.3E-5	7.7E-5	3.0E-3	9.0E-7	8.8E-5	1.2E-4
46	4.1E-3	1.5E-5	3.2E-5	7.4E-5	3.0E-3	8.7E-7	8.7E-5	1.2E-4
47	4.0E-3	1.5E-5	3.1E-5	7.2E-5	2.9E-3	8.5E-7	8.6E-5	1.1E-4
48	3.9E-3	1.4E-5	3.0E-5	7.0E-5	2.9E-3	8.2E-7	8.5E-5	1.1E-4
49	3.8E-3	1.4E-5	2.9E-5	6.8E-5	2.8E-3	8.0E-7	8.4E-5	1.1E-4
50	3.8E-3	1.3E-5	2.8E-5	6.6E-5	2.8E-3	7.8E-7	8.3E-5	1.0E-4
51	3.7E-3	1.3E-5	2.8E-5	6.4E-5	2.8E-3	7.5E-7	8.3E-5	9.7E-5
52	3.6E-3	1.3E-5	2.7E-5	6.3E-5	2.7E-3	7.3E-7	8.2E-5	9.4E-5
53	3.6E-3	1.2E-5	2.6E-5	6.1E-5	2.7E-3	7.1E-7	8.1E-5	9.0E-5
54	3.5E-3	1.2E-5	2.5E-5	5.9E-5	2.6E-3	6.9E-7	8.0E-5	8.7E-5
55	3.4E-3	1.2E-5	2.5E-5	5.7E-5	2.6E-3	6.7E-7	7.9E-5	8.3E-5
56	3.4E-3	1.1E-5	2.4E-5	5.6E-5	2.6E-3	6.5E-7	7.9E-5	8.0E-5
57	3.3E-3	1.1E-5	2.3E-5	5.4E-5	2.5E-3	6.4E-7	7.8E-5	7.7E-5
58	3.2E-3	1.1E-5	2.3E-5	5.3E-5	2.5E-3	6.2E-7	7.7E-5	7.4E-5
59	3.2E-3	1.0E-5	2.2E-5	5.2E-5	2.5E-3	6.0E-7	7.6E-5	7.1E-5
60	3.1E-3	1.0E-5	2.2E-5	5.0E-5	2.4E-3	5.9E-7	7.6E-5	6.8E-5
61	3.1E-3	9.8E-6	2.1E-5	4.9E-5	2.4E-3	5.7E-7	7.5E-5	6.6E-5
62	3.0E-3	9.6E-6	2.1E-5	4.8E-5	2.3E-3	5.5E-7	7.4E-5	6.3E-5
63	3.0E-3	9.3E-6	2.0E-5	4.6E-5	2.3E-3	5.4E-7	7.4E-5	6.1E-5
64	2.9E-3	9.1E-6	2.0E-5	4.5E-5	2.3E-3	5.3E-7	7.3E-5	5.9E-5
65	2.9E-3	8.8E-6	1.9E-5	4.4E-5	2.2E-3	5.1E-7	7.2E-5	5.6E-5
66	2.8E-3	8.6E-6	1.9E-5	4.3E-5	2.2E-3	5.0E-7	7.2E-5	5.4E-5
67	2.8E-3	8.4E-6	1.8E-5	4.2E-5	2.2E-3	4.9E-7	7.1E-5	5.2E-5
68	2.7E-3	8.2E-6	1.8E-5	4.1E-5	2.2E-3	4.7E-7	7.0E-5	5.0E-5
69	2.7E-3	8.0E-6	1.7E-5	4.0E-5	2.1E-3	4.6E-7	7.0E-5	4.8E-5
70	2.6E-3	7.8E-6	1.7E-5	3.9E-5	2.1E-3	4.5E-7	6.9E-5	4.6E-5
71	2.6E-3	7.6E-6	1.7E-5	3.8E-5	2.1E-3	4.4E-7	6.8E-5	4.5E-5
72	2.5E-3	7.4E-6	1.6E-5	3.7E-5	2.0E-3	4.3E-7	6.8E-5	4.3E-5
73	2.5E-3	7.2E-6	1.6E-5	3.6E-5	2.0E-3	4.2E-7	6.7E-5	4.1E-5
74	2.5E-3	7.0E-6	1.5E-5	3.5E-5	2.0E-3	4.1E-7	6.7E-5	4.0E-5
75	2.4E-3	6.8E-6	1.5E-5	3.4E-5	1.9E-3	4.0E-7	6.6E-5	3.8E-5
76	2.4E-3	6.7E-6	1.5E-5	3.3E-5	1.9E-3	3.9E-7	6.6E-5	3.7E-5
77	2.3E-3	6.5E-6	1.4E-5	3.3E-5	1.9E-3	3.8E-7	6.5E-5	3.6E-5
78	2.3E-3	6.4E-6	1.4E-5	3.2E-5	1.9E-3	3.7E-7	6.4E-5	3.4E-5
79	2.3E-3	6.2E-6	1.4E-5	3.1E-5	1.8E-3	3.6E-7	6.4E-5	3.3E-5
80	2.2E-3	6.1E-6	1.3E-5	3.0E-5	1.8E-3	3.5E-7	6.3E-5	3.2E-5
81	2.2E-3	5.9E-6	1.3E-5	3.0E-5	1.8E-3	3.4E-7	6.3E-5	3.1E-5
82	2.2E-3	5.8E-6	1.3E-5	2.9E-5	1.8E-3	3.3E-7	6.2E-5	2.9E-5
83	2.1E-3	5.6E-6	1.3E-5	2.8E-5	1.7E-3	3.3E-7	6.2E-5	2.8E-5
84	2.1E-3	5.5E-6	1.2E-5	2.8E-5	1.7E-3	3.2E-7	6.1E-5	2.7E-5
85	2.1E-3	5.4E-6	1.2E-5	2.7E-5	1.7E-3	3.1E-7	6.1E-5	2.6E-5
86	2.0E-3	5.3E-6	1.2E-5	2.6E-5	1.7E-3	3.1E-7	6.0E-5	2.5E-5
87	2.0E-3	5.2E-6	1.2E-5	2.6E-5	1.6E-3	3.0E-7	6.0E-5	2.4E-5
88	2.0E-3	5.0E-6	1.1E-5	2.5E-5	1.6E-3	2.9E-7	5.9E-5	2.3E-5
89	1.9E-3	4.9E-6	1.1E-5	2.5E-5	1.6E-3	2.9E-7	5.9E-5	2.3E-5
90	1.9E-3	4.8E-6	1.1E-5	2.4E-5	1.6E-3	2.8E-7	5.8E-5	2.2E-5
91	1.9E-3	4.7E-6	1.1E-5	2.4E-5	1.5E-3	2.7E-7	5.8E-5	2.1E-5
92	1.8E-3	4.6E-6	1.0E-5	2.3E-5	1.5E-3	2.7E-7	5.7E-5	2.0E-5
93	1.8E-3	4.5E-6	1.0E-5	2.3E-5	1.5E-3	2.6E-7	5.7E-5	1.9E-5
94	1.8E-3	4.4E-6	1.0E-5	2.2E-5	1.5E-3	2.6E-7	5.6E-5	1.9E-5
