Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Type F, LaNiAl tritide, fA=0.99
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
8	5.0E-1	2.0E-2	1.6E-3	1.3E-2	9.6E-3
8.5	4.8E-1	-	-	1.3E-2	9.2E-3
9	4.7E-1	1.8E-2	1.5E-3	1.3E-2	8.9E-3
9.5	4.5E-1	-	-	1.2E-2	8.6E-3
10	4.3E-1	1.7E-2	1.4E-3	1.2E-2	8.3E-3
11	4.1E-1	1.6E-2	1.3E-3	1.1E-2	7.8E-3
12	3.8E-1	1.5E-2	1.2E-3	1.0E-2	7.2E-3
13	3.5E-1	1.4E-2	1.1E-3	9.5E-3	6.8E-3
14	3.3E-1	1.3E-2	1.0E-3	8.9E-3	6.3E-3
15	3.1E-1	1.2E-2	9.6E-4	8.3E-3	5.9E-3
16	2.9E-1	1.1E-2	9.0E-4	7.8E-3	5.5E-3
17	2.7E-1	1.0E-2	8.4E-4	7.2E-3	5.1E-3
18	2.5E-1	9.7E-3	7.8E-4	6.8E-3	4.8E-3
19	2.3E-1	9.1E-3	7.3E-4	6.3E-3	4.5E-3
20	2.2E-1	8.4E-3	6.8E-4	5.9E-3	4.2E-3
21	2.0E-1	7.9E-3	6.3E-4	5.5E-3	3.9E-3
22	1.9E-1	7.3E-3	5.9E-4	5.1E-3	3.6E-3
23	1.8E-1	6.9E-3	5.5E-4	4.8E-3	3.4E-3
24	1.7E-1	6.4E-3	5.1E-4	4.5E-3	3.2E-3
25	1.6E-1	6.0E-3	4.8E-4	4.2E-3	2.9E-3
26	1.5E-1	5.6E-3	4.5E-4	3.9E-3	2.8E-3
27	1.4E-1	5.2E-3	4.2E-4	3.7E-3	2.6E-3
28	1.3E-1	4.8E-3	3.9E-4	3.4E-3	2.4E-3
29	1.2E-1	4.5E-3	3.6E-4	3.2E-3	2.2E-3
30	1.1E-1	4.2E-3	3.4E-4	3.0E-3	2.1E-3
31	1.0E-1	3.9E-3	3.2E-4	2.8E-3	2.0E-3
32	9.8E-2	3.7E-3	2.9E-4	2.6E-3	1.8E-3
33	9.2E-2	3.4E-3	2.7E-4	2.4E-3	1.7E-3
34	8.6E-2	3.2E-3	2.6E-4	2.3E-3	1.6E-3
35	8.0E-2	3.0E-3	2.4E-4	2.1E-3	1.5E-3
36	7.5E-2	2.8E-3	2.2E-4	2.0E-3	1.4E-3
37	7.1E-2	2.6E-3	2.1E-4	1.9E-3	1.3E-3
38	6.6E-2	2.4E-3	1.9E-4	1.7E-3	1.2E-3
39	6.2E-2	2.3E-3	1.8E-4	1.6E-3	1.1E-3
40	5.8E-2	2.1E-3	1.7E-4	1.5E-3	1.1E-3
41	5.5E-2	2.0E-3	1.6E-4	1.4E-3	1.0E-3
42	5.1E-2	1.8E-3	1.5E-4	1.3E-3	9.3E-4
43	4.8E-2	1.7E-3	1.4E-4	1.3E-3	8.7E-4
44	4.5E-2	1.6E-3	1.3E-4	1.2E-3	8.2E-4
45	4.2E-2	1.5E-3	1.2E-4	1.1E-3	7.7E-4
46	4.0E-2	1.4E-3	1.1E-4	1.0E-3	7.2E-4
47	3.8E-2	1.3E-3	1.0E-4	9.8E-4	6.7E-4
48	3.5E-2	1.2E-3	9.8E-5	9.2E-4	6.3E-4
49	3.3E-2	1.1E-3	9.1E-5	8.6E-4	5.9E-4
50	3.1E-2	1.1E-3	8.5E-5	8.1E-4	5.5E-4
51	2.9E-2	1.0E-3	8.0E-5	7.6E-4	5.2E-4
52	2.8E-2	9.3E-4	7.5E-5	7.1E-4	4.9E-4
53	2.6E-2	8.7E-4	7.0E-5	6.7E-4	4.6E-4
54	2.5E-2	8.1E-4	6.5E-5	6.3E-4	4.3E-4
55	2.3E-2	7.6E-4	6.1E-5	5.9E-4	4.0E-4
56	2.2E-2	7.1E-4	5.7E-5	5.6E-4	3.8E-4
57	2.1E-2	6.6E-4	5.3E-5	5.3E-4	3.6E-4
58	2.0E-2	6.2E-4	5.0E-5	5.0E-4	3.3E-4
59	1.9E-2	5.8E-4	4.7E-5	4.7E-4	3.1E-4
60	1.8E-2	5.4E-4	4.4E-5	4.4E-4	3.0E-4
61	1.7E-2	5.1E-4	4.1E-5	4.2E-4	2.8E-4
62	1.6E-2	4.8E-4	3.8E-5	3.9E-4	2.6E-4
63	1.5E-2	4.5E-4	3.6E-5	3.7E-4	2.5E-4
64	1.4E-2	4.2E-4	3.3E-5	3.5E-4	2.3E-4
65	1.3E-2	3.9E-4	3.1E-5	3.3E-4	2.2E-4
66	1.3E-2	3.7E-4	2.9E-5	3.1E-4	2.1E-4
67	1.2E-2	3.4E-4	2.7E-5	3.0E-4	2.0E-4
68	1.2E-2	3.2E-4	2.6E-5	2.8E-4	1.8E-4
69	1.1E-2	3.0E-4	2.4E-5	2.7E-4	1.7E-4
70	1.1E-2	2.8E-4	2.3E-5	2.5E-4	1.6E-4
71	1.0E-2	2.7E-4	2.1E-5	2.4E-4	1.6E-4
72	9.6E-3	2.5E-4	2.0E-5	2.3E-4	1.5E-4
73	9.2E-3	2.3E-4	1.9E-5	2.2E-4	1.4E-4
74	8.8E-3	2.2E-4	1.8E-5	2.1E-4	1.3E-4
75	8.4E-3	2.1E-4	1.6E-5	2.0E-4	1.3E-4
76	8.0E-3	1.9E-4	1.5E-5	1.9E-4	1.2E-4
77	7.7E-3	1.8E-4	1.5E-5	1.8E-4	1.1E-4
78	7.4E-3	1.7E-4	1.4E-5	1.7E-4	1.1E-4
79	7.1E-3	1.6E-4	1.3E-5	1.6E-4	1.0E-4
80	6.8E-3	1.5E-4	1.2E-5	1.6E-4	9.7E-5
81	6.5E-3	1.4E-4	1.1E-5	1.5E-4	9.3E-5
82	6.3E-3	1.4E-4	1.1E-5	1.4E-4	8.9E-5
83	6.1E-3	1.3E-4	1.0E-5	1.4E-4	8.4E-5
84	5.8E-3	1.2E-4	9.5E-6	1.3E-4	8.1E-5
85	5.6E-3	1.1E-4	9.0E-6	1.3E-4	7.7E-5
86	5.4E-3	1.1E-4	8.5E-6	1.2E-4	7.4E-5
87	5.3E-3	1.0E-4	8.0E-6	1.2E-4	7.1E-5
88	5.1E-3	9.5E-5	7.5E-6	1.1E-4	6.8E-5
89	4.9E-3	9.0E-5	7.1E-6	1.1E-4	6.5E-5
90	4.8E-3	8.5E-5	6.7E-6	1.0E-4	6.2E-5
91	4.6E-3	8.1E-5	6.4E-6	1.0E-4	6.0E-5
92	4.5E-3	7.7E-5	6.0E-6	9.7E-5	5.7E-5
93	4.3E-3	7.3E-5	5.7E-6	9.4E-5	5.5E-5
94	4.2E-3	6.9E-5	5.4E-6	9.1E-5	5.3E-5
95	4.1E-3	6.5E-5	5.1E-6	8.8E-5	5.1E-5
96	4.0E-3	6.2E-5	4.9E-6	8.5E-5	4.9E-5
97	3.9E-3	5.9E-5	4.6E-6	8.3E-5	4.7E-5
98	3.8E-3	5.6E-5	4.4E-6	8.0E-5	4.6E-5
99	3.7E-3	5.3E-5	4.2E-6	7.8E-5	4.4E-5
100	3.6E-3	5.1E-5	4.0E-6	7.5E-5	4.3E-5
110	2.9E-3	3.2E-5	2.5E-6	5.8E-5	3.2E-5
120	2.4E-3	2.2E-5	1.7E-6	4.7E-5	2.5E-5
130	2.0E-3	1.6E-5	1.2E-6	4.0E-5	2.1E-5
140	1.8E-3	1.2E-5	9.3E-7	3.4E-5	1.8E-5
150	1.6E-3	9.9E-6	7.4E-7	3.0E-5	1.5E-5
160	1.4E-3	8.1E-6	6.0E-7	2.7E-5	1.3E-5
170	1.3E-3	6.7E-6	5.0E-7	2.4E-5	1.2E-5
180	1.2E-3	5.7E-6	4.2E-7	2.2E-5	1.1E-5
190	1.1E-3	4.8E-6	3.6E-7	2.0E-5	9.8E-6
200	9.9E-4	4.1E-6	3.1E-7	1.8E-5	8.9E-6
210	9.2E-4	3.6E-6	2.6E-7	1.7E-5	8.2E-6
220	8.6E-4	3.1E-6	2.3E-7	1.6E-5	7.6E-6
230	8.0E-4	2.7E-6	2.0E-7	1.5E-5	7.0E-6
240	7.6E-4	2.3E-6	1.7E-7	1.4E-5	6.6E-6
250	7.2E-4	2.0E-6	1.5E-7	1.3E-5	6.2E-6
260	6.8E-4	1.8E-6	1.3E-7	1.2E-5	5.8E-6
270	6.5E-4	1.6E-6	1.2E-7	1.2E-5	5.5E-6
280	6.2E-4	1.4E-6	1.0E-7	1.1E-5	5.2E-6
290	5.9E-4	1.3E-6	9.4E-8	1.1E-5	5.0E-6
300	5.7E-4	1.1E-6	8.4E-8	1.0E-5	4.8E-6
310	5.5E-4	1.0E-6	7.6E-8	1.0E-5	4.6E-6
320	5.3E-4	9.4E-7	6.9E-8	9.6E-6	4.4E-6
330	5.2E-4	8.6E-7	6.4E-8	9.3E-6	4.3E-6
340	5.0E-4	8.0E-7	5.8E-8	9.0E-6	4.1E-6
350	4.8E-4	7.4E-7	5.4E-8	8.7E-6	4.0E-6
360	4.7E-4	6.9E-7	5.0E-8	8.5E-6	3.9E-6
365	4.6E-4	6.6E-7	4.9E-8	8.4E-6	3.8E-6
370	4.6E-4	6.4E-7	4.7E-8	8.3E-6	3.8E-6
380	4.5E-4	6.0E-7	4.4E-8	8.0E-6	3.7E-6
390	4.4E-4	5.7E-7	4.2E-8	7.8E-6	3.6E-6
400	4.2E-4	5.4E-7	4.0E-8	7.6E-6	3.5E-6
410	4.1E-4	5.1E-7	3.8E-8	7.4E-6	3.4E-6
420	4.0E-4	4.9E-7	3.6E-8	7.3E-6	3.3E-6
430	4.0E-4	4.7E-7	3.4E-8	7.1E-6	3.2E-6
440	3.9E-4	4.5E-7	3.3E-8	6.9E-6	3.1E-6
450	3.8E-4	4.4E-7	3.2E-8	6.8E-6	3.1E-6
460	3.7E-4	4.2E-7	3.1E-8	6.6E-6	3.0E-6
470	3.6E-4	4.1E-7	3.0E-8	6.5E-6	2.9E-6
480	3.5E-4	3.9E-7	2.9E-8	6.3E-6	2.9E-6
490	3.5E-4	3.8E-7	2.8E-8	6.2E-6	2.8E-6
500	3.4E-4	3.7E-7	2.7E-8	6.1E-6	2.7E-6
510	3.3E-4	3.6E-7	2.6E-8	5.9E-6	2.7E-6
520	3.2E-4	3.5E-7	2.6E-8	5.8E-6	2.6E-6
530	3.2E-4	3.4E-7	2.5E-8	5.7E-6	2.6E-6
540	3.1E-4	3.3E-7	2.4E-8	5.6E-6	2.5E-6
550	3.0E-4	3.3E-7	2.4E-8	5.5E-6	2.5E-6
560	3.0E-4	3.2E-7	2.3E-8	5.3E-6	2.4E-6
570	2.9E-4	3.1E-7	2.3E-8	5.2E-6	2.4E-6
580	2.9E-4	3.0E-7	2.2E-8	5.1E-6	2.3E-6
590	2.8E-4	3.0E-7	2.2E-8	5.0E-6	2.3E-6
600	2.7E-4	2.9E-7	2.1E-8	4.9E-6	2.2E-6
610	2.7E-4	2.8E-7	2.1E-8	4.8E-6	2.2E-6
620	2.6E-4	2.8E-7	2.0E-8	4.7E-6	2.1E-6
630	2.6E-4	2.7E-7	2.0E-8	4.6E-6	2.1E-6
640	2.5E-4	2.7E-7	1.9E-8	4.5E-6	2.0E-6
650	2.5E-4	2.6E-7	1.9E-8	4.4E-6	2.0E-6
660	2.4E-4	2.5E-7	1.9E-8	4.3E-6	2.0E-6
670	2.4E-4	2.5E-7	1.8E-8	4.3E-6	1.9E-6
680	2.3E-4	2.4E-7	1.8E-8	4.2E-6	1.9E-6
690	2.3E-4	2.4E-7	1.7E-8	4.1E-6	1.8E-6
700	2.2E-4	2.3E-7	1.7E-8	4.0E-6	1.8E-6
710	2.2E-4	2.3E-7	1.7E-8	3.9E-6	1.8E-6
720	2.1E-4	2.2E-7	1.6E-8	3.8E-6	1.7E-6
730	2.1E-4	2.2E-7	1.6E-8	3.8E-6	1.7E-6
740	2.1E-4	2.2E-7	1.6E-8	3.7E-6	1.7E-6
750	2.0E-4	2.1E-7	1.5E-8	3.6E-6	1.6E-6
760	2.0E-4	2.1E-7	1.5E-8	3.5E-6	1.6E-6
770	1.9E-4	2.0E-7	1.5E-8	3.5E-6	1.6E-6
780	1.9E-4	2.0E-7	1.4E-8	3.4E-6	1.5E-6
790	1.9E-4	1.9E-7	1.4E-8	3.3E-6	1.5E-6
800	1.8E-4	1.9E-7	1.4E-8	3.3E-6	1.5E-6
810	1.8E-4	1.9E-7	1.4E-8	3.2E-6	1.4E-6
820	1.7E-4	1.8E-7	1.3E-8	3.1E-6	1.4E-6
830	1.7E-4	1.8E-7	1.3E-8	3.1E-6	1.4E-6
840	1.7E-4	1.8E-7	1.3E-8	3.0E-6	1.4E-6
850	1.6E-4	1.7E-7	1.3E-8	2.9E-6	1.3E-6
860	1.6E-4	1.7E-7	1.2E-8	2.9E-6	1.3E-6
870	1.6E-4	1.6E-7	1.2E-8	2.8E-6	1.3E-6
880	1.5E-4	1.6E-7	1.2E-8	2.8E-6	1.2E-6
890	1.5E-4	1.6E-7	1.2E-8	2.7E-6	1.2E-6
900	1.5E-4	1.5E-7	1.1E-8	2.7E-6	1.2E-6
910	1.5E-4	1.5E-7	1.1E-8	2.6E-6	1.2E-6
920	1.4E-4	1.5E-7	1.1E-8	2.5E-6	1.1E-6
930	1.4E-4	1.5E-7	1.1E-8	2.5E-6	1.1E-6
940	1.4E-4	1.4E-7	1.0E-8	2.4E-6	1.1E-6
950	1.3E-4	1.4E-7	1.0E-8	2.4E-6	1.1E-6
960	1.3E-4	1.4E-7	1.0E-8	2.3E-6	1.1E-6
970	1.3E-4	1.3E-7	9.8E-9	2.3E-6	1.0E-6
980	1.3E-4	1.3E-7	9.6E-9	2.3E-6	1.0E-6
990	1.2E-4	1.3E-7	9.4E-9	2.2E-6	1.0E-6
1000	1.2E-4	1.3E-7	9.2E-9	2.2E-6	9.8E-7
1010	1.2E-4	1.2E-7	9.0E-9	2.1E-6	9.6E-7
1020	1.2E-4	1.2E-7	8.8E-9	2.1E-6	9.4E-7
1030	1.1E-4	1.2E-7	8.6E-9	2.0E-6	9.2E-7
1040	1.1E-4	1.2E-7	8.5E-9	2.0E-6	9.0E-7
1050	1.1E-4	1.1E-7	8.3E-9	1.9E-6	8.8E-7
1060	1.1E-4	1.1E-7	8.1E-9	1.9E-6	8.6E-7
1070	1.0E-4	1.1E-7	8.0E-9	1.9E-6	8.5E-7
1080	1.0E-4	1.1E-7	7.8E-9	1.8E-6	8.3E-7
1090	1.0E-4	1.0E-7	7.6E-9	1.8E-6	8.1E-7
1095	9.9E-5	1.0E-7	7.6E-9	1.8E-6	8.0E-7
1100	9.8E-5	1.0E-7	7.5E-9	1.8E-6	7.9E-7
1200	8.0E-5	8.4E-8	6.1E-9	1.4E-6	6.5E-7
1300	6.5E-5	6.8E-8	5.0E-9	1.2E-6	5.3E-7
1400	5.3E-5	5.5E-8	4.0E-9	9.5E-7	4.3E-7
1500	4.3E-5	4.5E-8	3.3E-9	7.7E-7	3.5E-7
1600	3.5E-5	3.7E-8	2.7E-9	6.3E-7	2.8E-7
1700	2.9E-5	3.0E-8	2.2E-9	5.1E-7	2.3E-7
1800	2.3E-5	2.4E-8	1.8E-9	4.2E-7	1.9E-7
1900	1.9E-5	2.0E-8	1.4E-9	3.4E-7	1.5E-7
2000	1.5E-5	1.6E-8	1.2E-9	2.8E-7	1.3E-7
2100	1.3E-5	1.3E-8	9.6E-10	2.3E-7	1.0E-7
2200	1.0E-5	1.1E-8	7.8E-10	1.8E-7	8.3E-8
2300	8.4E-6	8.7E-9	6.4E-10	1.5E-7	6.8E-8
2400	6.8E-6	7.1E-9	5.2E-10	1.2E-7	5.5E-8
2500	5.6E-6	5.8E-9	4.2E-10	9.9E-8	4.5E-8
2600	4.5E-6	4.7E-9	3.4E-10	8.1E-8	3.7E-8
2700	3.7E-6	3.8E-9	2.8E-10	6.6E-8	3.0E-8
2800	3.0E-6	3.1E-9	2.3E-10	5.4E-8	2.4E-8
2900	2.4E-6	2.6E-9	1.9E-10	4.3E-8	2.0E-8
3000	2.0E-6	2.1E-9	1.5E-10	3.5E-8	1.6E-8
3100	1.6E-6	1.7E-9	1.2E-10	2.9E-8	1.3E-8
3200	1.3E-6	1.4E-9	1.0E-10	2.4E-8	1.1E-8
3300	1.1E-6	1.1E-9	-	1.9E-8	8.7E-9
3400	8.8E-7	9.2E-10	-	1.6E-8	7.1E-9
3500	7.1E-7	7.5E-10	-	1.3E-8	5.8E-9
3600	5.8E-7	6.1E-10	-	1.0E-8	4.7E-9
3650	5.2E-7	5.5E-10	-	9.3E-9	4.2E-9
4000	2.6E-7	2.7E-10	-	4.6E-9	2.1E-9
5000	3.3E-8	-	-	5.8E-10	2.7E-10
6000	4.2E-9	-	-	-	-
7000	5.4E-10	-	-	-	-
