Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Type S, Carbon tritide, hafnium tritide, fA=1E-2
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1
0.083333	5.0E-1	-	-	1.6E-1	1.3E-1
0.125	5.0E-1	-	-	1.8E-1	1.3E-1
0.25	4.8E-1	-	-	2.1E-1	1.2E-1
0.375	4.7E-1	-	-	2.3E-1	1.2E-1
0.5	4.6E-1	-	-	2.5E-1	1.2E-1
0.625	4.5E-1	-	-	2.6E-1	1.2E-1
0.75	4.4E-1	-	-	2.6E-1	1.2E-1
0.875	4.2E-1	-	-	2.6E-1	1.2E-1
1	4.1E-1	9.3E-5	4.4E-2	2.5E-1	1.2E-1
1.125	3.9E-1	-	-	2.4E-1	1.2E-1
1.25	3.7E-1	-	-	2.3E-1	1.2E-1
1.375	3.5E-1	-	-	2.2E-1	1.2E-1
1.5	3.3E-1	-	-	2.0E-1	1.2E-1
1.625	3.1E-1	-	-	1.8E-1	1.2E-1
1.75	3.0E-1	-	-	1.7E-1	1.2E-1
1.875	2.8E-1	-	-	1.5E-1	1.2E-1
2	2.6E-1	1.5E-4	1.4E-1	1.4E-1	1.2E-1
2.25	2.3E-1	-	-	1.1E-1	1.2E-1
2.5	2.1E-1	-	-	8.5E-2	1.2E-1
2.75	1.8E-1	-	-	6.5E-2	1.2E-1
3	1.7E-1	1.5E-4	9.1E-2	4.9E-2	1.1E-1
3.25	1.6E-1	-	-	3.7E-2	1.1E-1
3.5	1.5E-1	-	-	2.8E-2	1.1E-1
3.75	1.4E-1	-	-	2.1E-2	1.1E-1
4	1.3E-1	1.4E-4	3.6E-2	1.6E-2	1.1E-1
4.25	1.3E-1	-	-	1.2E-2	1.1E-1
4.5	1.2E-1	-	-	9.3E-3	1.1E-1
4.75	1.2E-1	-	-	7.3E-3	1.1E-1
5	1.2E-1	1.4E-4	1.1E-2	5.9E-3	1.1E-1
5.5	1.2E-1	-	-	4.1E-3	1.1E-1
6	1.2E-1	1.3E-4	4.0E-3	3.1E-3	1.1E-1
6.5	1.2E-1	-	-	2.6E-3	1.1E-1
7	1.1E-1	1.2E-4	1.9E-3	2.2E-3	1.1E-1
7.5	1.1E-1	-	-	2.0E-3	1.1E-1
8	1.1E-1	1.1E-4	1.3E-3	1.8E-3	1.1E-1
8.5	1.1E-1	-	-	1.7E-3	1.1E-1
9	1.1E-1	1.1E-4	1.0E-3	1.5E-3	1.1E-1
9.5	1.1E-1	-	-	1.4E-3	1.1E-1
10	1.1E-1	9.9E-5	8.8E-4	1.3E-3	1.1E-1
11	1.1E-1	9.3E-5	7.6E-4	1.2E-3	1.1E-1
12	1.1E-1	8.7E-5	6.6E-4	1.0E-3	1.1E-1
13	1.1E-1	8.2E-5	5.7E-4	9.0E-4	1.0E-1
14	1.1E-1	7.7E-5	5.1E-4	8.1E-4	1.0E-1
15	1.1E-1	7.2E-5	4.5E-4	7.3E-4	1.0E-1
16	1.1E-1	6.8E-5	4.1E-4	6.7E-4	1.0E-1
17	1.1E-1	6.4E-5	3.7E-4	6.1E-4	1.0E-1
18	1.1E-1	6.0E-5	3.4E-4	5.7E-4	1.0E-1
19	1.0E-1	5.6E-5	3.1E-4	5.3E-4	1.0E-1
20	1.0E-1	5.3E-5	2.9E-4	5.0E-4	1.0E-1
21	1.0E-1	5.0E-5	2.8E-4	4.8E-4	1.0E-1
22	1.0E-1	4.7E-5	2.6E-4	4.5E-4	1.0E-1
23	1.0E-1	4.4E-5	2.5E-4	4.4E-4	1.0E-1
24	1.0E-1	4.2E-5	2.4E-4	4.2E-4	1.0E-1
25	1.0E-1	3.9E-5	2.3E-4	4.1E-4	1.0E-1
26	1.0E-1	3.7E-5	2.3E-4	4.0E-4	1.0E-1
27	1.0E-1	3.5E-5	2.2E-4	3.9E-4	1.0E-1
28	1.0E-1	3.3E-5	2.2E-4	3.8E-4	1.0E-1
29	1.0E-1	3.2E-5	2.1E-4	3.7E-4	1.0E-1
30	1.0E-1	3.0E-5	2.1E-4	3.7E-4	1.0E-1
31	1.0E-1	2.8E-5	2.1E-4	3.6E-4	1.0E-1
32	1.0E-1	2.7E-5	2.0E-4	3.6E-4	9.9E-2
33	1.0E-1	2.5E-5	2.0E-4	3.6E-4	9.9E-2
34	1.0E-1	2.4E-5	2.0E-4	3.5E-4	9.9E-2
35	1.0E-1	2.3E-5	2.0E-4	3.5E-4	9.9E-2
36	1.0E-1	2.2E-5	2.0E-4	3.5E-4	9.8E-2
37	9.9E-2	2.1E-5	1.9E-4	3.4E-4	9.8E-2
38	9.9E-2	2.0E-5	1.9E-4	3.4E-4	9.8E-2
39	9.9E-2	1.9E-5	1.9E-4	3.4E-4	9.8E-2
40	9.9E-2	1.8E-5	1.9E-4	3.4E-4	9.8E-2
41	9.8E-2	1.7E-5	1.9E-4	3.3E-4	9.7E-2
42	9.8E-2	1.7E-5	1.9E-4	3.3E-4	9.7E-2
43	9.8E-2	1.6E-5	1.9E-4	3.3E-4	9.7E-2
44	9.8E-2	1.5E-5	1.9E-4	3.3E-4	9.7E-2
45	9.8E-2	1.5E-5	1.9E-4	3.3E-4	9.7E-2
46	9.7E-2	1.4E-5	1.9E-4	3.3E-4	9.6E-2
47	9.7E-2	1.4E-5	1.8E-4	3.2E-4	9.6E-2
48	9.7E-2	1.3E-5	1.8E-4	3.2E-4	9.6E-2
49	9.7E-2	1.3E-5	1.8E-4	3.2E-4	9.6E-2
50	9.6E-2	1.2E-5	1.8E-4	3.2E-4	9.6E-2
51	9.6E-2	1.2E-5	1.8E-4	3.2E-4	9.5E-2
52	9.6E-2	1.2E-5	1.8E-4	3.2E-4	9.5E-2
53	9.6E-2	1.1E-5	1.8E-4	3.2E-4	9.5E-2
54	9.6E-2	1.1E-5	1.8E-4	3.1E-4	9.5E-2
55	9.5E-2	1.1E-5	1.8E-4	3.1E-4	9.4E-2
56	9.5E-2	1.0E-5	1.8E-4	3.1E-4	9.4E-2
57	9.5E-2	1.0E-5	1.8E-4	3.1E-4	9.4E-2
58	9.5E-2	9.7E-6	1.8E-4	3.1E-4	9.4E-2
59	9.5E-2	9.5E-6	1.8E-4	3.1E-4	9.4E-2
60	9.4E-2	9.3E-6	1.8E-4	3.1E-4	9.3E-2
61	9.4E-2	9.1E-6	1.8E-4	3.1E-4	9.3E-2
62	9.4E-2	8.9E-6	1.8E-4	3.1E-4	9.3E-2
63	9.4E-2	8.7E-6	1.7E-4	3.0E-4	9.3E-2
64	9.3E-2	8.5E-6	1.7E-4	3.0E-4	9.3E-2
65	9.3E-2	8.4E-6	1.7E-4	3.0E-4	9.2E-2
66	9.3E-2	8.2E-6	1.7E-4	3.0E-4	9.2E-2
67	9.3E-2	8.1E-6	1.7E-4	3.0E-4	9.2E-2
68	9.3E-2	8.0E-6	1.7E-4	3.0E-4	9.2E-2
69	9.2E-2	7.8E-6	1.7E-4	3.0E-4	9.2E-2
70	9.2E-2	7.7E-6	1.7E-4	3.0E-4	9.2E-2
71	9.2E-2	7.6E-6	1.7E-4	3.0E-4	9.1E-2
72	9.2E-2	7.5E-6	1.7E-4	2.9E-4	9.1E-2
73	9.2E-2	7.4E-6	1.7E-4	2.9E-4	9.1E-2
74	9.1E-2	7.3E-6	1.7E-4	2.9E-4	9.1E-2
75	9.1E-2	7.2E-6	1.7E-4	2.9E-4	9.1E-2
76	9.1E-2	7.1E-6	1.7E-4	2.9E-4	9.0E-2
77	9.1E-2	7.1E-6	1.7E-4	2.9E-4	9.0E-2
78	9.1E-2	7.0E-6	1.7E-4	2.9E-4	9.0E-2
79	9.1E-2	6.9E-6	1.7E-4	2.9E-4	9.0E-2
80	9.0E-2	6.9E-6	1.7E-4	2.9E-4	9.0E-2
81	9.0E-2	6.8E-6	1.6E-4	2.9E-4	8.9E-2
82	9.0E-2	6.7E-6	1.6E-4	2.8E-4	8.9E-2
83	9.0E-2	6.7E-6	1.6E-4	2.8E-4	8.9E-2
84	9.0E-2	6.6E-6	1.6E-4	2.8E-4	8.9E-2
85	8.9E-2	6.6E-6	1.6E-4	2.8E-4	8.9E-2
86	8.9E-2	6.5E-6	1.6E-4	2.8E-4	8.8E-2
87	8.9E-2	6.5E-6	1.6E-4	2.8E-4	8.8E-2
88	8.9E-2	6.4E-6	1.6E-4	2.8E-4	8.8E-2
89	8.9E-2	6.4E-6	1.6E-4	2.8E-4	8.8E-2
90	8.8E-2	6.4E-6	1.6E-4	2.8E-4	8.8E-2
91	8.8E-2	6.3E-6	1.6E-4	2.8E-4	8.8E-2
92	8.8E-2	6.3E-6	1.6E-4	2.8E-4	8.7E-2
93	8.8E-2	6.2E-6	1.6E-4	2.7E-4	8.7E-2
94	8.8E-2	6.2E-6	1.6E-4	2.7E-4	8.7E-2
95	8.8E-2	6.2E-6	1.6E-4	2.7E-4	8.7E-2
96	8.7E-2	6.2E-6	1.6E-4	2.7E-4	8.7E-2
97	8.7E-2	6.1E-6	1.6E-4	2.7E-4	8.6E-2
