Radionuclide	Sr-90
Route of Intake	Inhalation
Material	Aerosols Type F, Strontium chloride, sulphate and carbonate, fA=0.25
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	9.7E-1	-	-	2.5E-1	6.1E-2	2.6E-2
0.083333	9.6E-1	-	-	2.7E-1	2.6E-2	4.3E-2
0.125	9.4E-1	-	-	2.8E-1	1.4E-2	5.5E-2
0.25	9.0E-1	-	-	3.1E-1	7.7E-3	7.9E-2
0.375	8.6E-1	-	-	3.3E-1	6.5E-3	9.3E-2
0.5	8.3E-1	-	-	3.4E-1	6.0E-3	1.0E-1
0.625	8.0E-1	-	-	3.5E-1	5.5E-3	1.1E-1
0.75	7.7E-1	-	-	3.5E-1	5.2E-3	1.2E-1
0.875	7.4E-1	-	-	3.4E-1	4.9E-3	1.2E-1
1	7.1E-1	7.8E-2	6.3E-2	3.3E-1	4.6E-3	1.3E-1
1.125	6.8E-1	-	-	3.2E-1	4.3E-3	1.3E-1
1.25	6.5E-1	-	-	3.0E-1	4.1E-3	1.3E-1
1.375	6.2E-1	-	-	2.8E-1	3.9E-3	1.4E-1
1.5	5.9E-1	-	-	2.6E-1	3.7E-3	1.4E-1
1.625	5.6E-1	-	-	2.4E-1	3.5E-3	1.4E-1
1.75	5.3E-1	-	-	2.2E-1	3.4E-3	1.4E-1
1.875	5.0E-1	-	-	2.0E-1	3.2E-3	1.4E-1
2	4.8E-1	3.6E-2	1.8E-1	1.8E-1	3.1E-3	1.3E-1
2.25	4.3E-1	-	-	1.4E-1	2.9E-3	1.3E-1
2.5	3.9E-1	-	-	1.1E-1	2.7E-3	1.3E-1
2.75	3.6E-1	-	-	8.9E-2	2.6E-3	1.3E-1
3	3.4E-1	2.3E-2	1.2E-1	6.9E-2	2.5E-3	1.2E-1
3.25	3.1E-1	-	-	5.4E-2	2.3E-3	1.2E-1
3.5	3.0E-1	-	-	4.2E-2	2.2E-3	1.2E-1
3.75	2.8E-1	-	-	3.3E-2	2.2E-3	1.2E-1
4	2.7E-1	1.6E-2	4.8E-2	2.6E-2	2.1E-3	1.1E-1
4.25	2.6E-1	-	-	2.1E-2	2.0E-3	1.1E-1
4.5	2.5E-1	-	-	1.8E-2	1.9E-3	1.1E-1
4.75	2.5E-1	-	-	1.5E-2	1.9E-3	1.1E-1
5	2.4E-1	1.3E-2	1.7E-2	1.3E-2	1.8E-3	1.1E-1
5.5	2.3E-1	-	-	1.0E-2	1.7E-3	1.0E-1
6	2.2E-1	1.0E-2	7.2E-3	8.5E-3	1.6E-3	9.9E-2
6.5	2.2E-1	-	-	7.5E-3	1.5E-3	9.7E-2
7	2.1E-1	8.6E-3	4.1E-3	6.8E-3	1.5E-3	9.5E-2
7.5	2.1E-1	-	-	6.3E-3	1.4E-3	9.4E-2
8	2.0E-1	7.3E-3	3.0E-3	5.8E-3	1.3E-3	9.3E-2
8.5	2.0E-1	-	-	5.5E-3	1.3E-3	9.2E-2
9	1.9E-1	6.3E-3	2.4E-3	5.1E-3	1.2E-3	9.1E-2
9.5	1.9E-1	-	-	4.9E-3	1.2E-3	9.0E-2
10	1.8E-1	5.6E-3	2.1E-3	4.6E-3	1.1E-3	9.0E-2
