Radionuclide	Te-127
Route of Intake	Inhalation
Material	Aerosols Type F, Tellurium chloride, tellurium dioxide, fA=0.3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	7.5E-1	-	-	1.8E-1	2.8E-2	1.1E-4	1.1E-2	1.6E-2
0.083333	6.8E-1	-	-	1.8E-1	2.1E-2	1.4E-4	1.2E-2	1.7E-2
0.125	6.3E-1	-	-	1.7E-1	2.0E-2	1.6E-4	1.2E-2	1.8E-2
0.25	4.7E-1	-	-	1.4E-1	1.7E-2	2.0E-4	1.2E-2	1.7E-2
0.375	3.6E-1	-	-	1.2E-1	1.4E-2	2.2E-4	1.0E-2	1.6E-2
0.5	2.7E-1	-	-	1.0E-1	1.1E-2	2.1E-4	8.8E-3	1.4E-2
0.625	2.1E-1	-	-	8.2E-2	8.7E-3	2.0E-4	7.3E-3	1.2E-2
0.75	1.6E-1	-	-	6.6E-2	6.6E-3	1.8E-4	6.0E-3	9.9E-3
0.875	1.2E-1	-	-	5.1E-2	4.9E-3	1.6E-4	4.9E-3	8.2E-3
1	8.8E-2	2.3E-2	7.3E-3	4.0E-2	3.7E-3	1.4E-4	4.0E-3	6.7E-3
1.125	6.6E-2	-	-	3.0E-2	2.7E-3	1.2E-4	3.2E-3	5.5E-3
1.25	5.0E-2	-	-	2.3E-2	2.0E-3	1.0E-4	2.6E-3	4.4E-3
1.375	3.7E-2	-	-	1.7E-2	1.5E-3	8.7E-5	2.1E-3	3.6E-3
1.5	2.8E-2	-	-	1.3E-2	1.1E-3	7.2E-5	1.7E-3	2.9E-3
1.625	2.1E-2	-	-	9.2E-3	8.1E-4	6.0E-5	1.3E-3	2.3E-3
1.75	1.5E-2	-	-	6.7E-3	6.0E-4	4.9E-5	1.1E-3	1.9E-3
1.875	1.1E-2	-	-	4.8E-3	4.4E-4	4.0E-5	8.5E-4	1.5E-3
2	8.6E-3	2.4E-3	3.5E-3	3.5E-3	3.3E-4	3.3E-5	6.8E-4	1.2E-3
2.25	4.8E-3	-	-	1.8E-3	1.8E-4	2.1E-5	4.4E-4	7.7E-4
2.5	2.7E-3	-	-	8.8E-4	1.0E-4	1.4E-5	2.8E-4	4.9E-4
2.75	1.6E-3	-	-	4.4E-4	5.8E-5	9.0E-6	1.8E-4	3.1E-4
3	9.0E-4	1.6E-4	3.7E-4	2.2E-4	3.3E-5	5.8E-6	1.1E-4	2.0E-4
3.25	5.3E-4	-	-	1.1E-4	2.0E-5	3.7E-6	7.3E-5	1.2E-4
3.5	3.2E-4	-	-	5.3E-5	1.2E-5	2.4E-6	4.7E-5	7.9E-5
3.75	1.9E-4	-	-	2.6E-5	7.0E-6	1.5E-6	3.0E-5	5.0E-5
4	1.2E-4	1.1E-5	2.4E-5	1.3E-5	4.3E-6	9.6E-7	1.9E-5	3.2E-5
4.25	7.3E-5	-	-	6.9E-6	2.6E-6	6.1E-7	1.2E-5	2.0E-5
4.5	4.5E-5	-	-	3.6E-6	1.6E-6	3.9E-7	7.8E-6	1.3E-5
4.75	2.8E-5	-	-	2.0E-6	1.0E-6	2.4E-7	5.0E-6	8.1E-6
5	1.8E-5	9.2E-7	1.3E-6	1.1E-6	6.2E-7	1.6E-7	3.2E-6	5.1E-6
5.5	7.0E-6	-	-	3.7E-7	2.4E-7	6.2E-8	1.3E-6	2.0E-6
6	2.8E-6	1.0E-7	8.3E-8	1.4E-7	9.6E-8	2.5E-8	5.4E-7	8.2E-7
6.5	1.1E-6	-	-	5.2E-8	3.8E-8	1.0E-8	2.2E-7	3.3E-7
7	4.5E-7	1.4E-8	8.0E-9	2.0E-8	1.5E-8	4.0E-9	9.0E-8	1.3E-7
7.5	1.8E-7	-	-	8.0E-9	6.1E-9	1.6E-9	3.7E-8	5.2E-8
8	7.3E-8	2.1E-9	1.1E-9	3.2E-9	2.4E-9	6.4E-10	1.5E-8	2.1E-8
8.5	2.9E-8	-	-	1.3E-9	9.8E-10	2.6E-10	6.2E-9	8.4E-9
9	1.2E-8	3.4E-10	1.7E-10	5.1E-10	3.9E-10	1.0E-10	2.6E-9	3.4E-9
9.5	4.7E-9	-	-	2.0E-10	1.6E-10	-	1.0E-9	1.3E-9
10	1.9E-9	-	-	-	-	-	4.3E-10	5.4E-10
11	3.1E-10	-	-	-	-	-	-	-
