Radionuclide	Zn-72
Route of Intake	Ingestion
Material	All forms, fA=0.5
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.9E-1	-	-	9.2E-1	1.5E-3	2.2E-2
0.083333	9.7E-1	-	-	8.0E-1	2.5E-3	6.5E-2
0.125	9.6E-1	-	-	6.9E-1	3.0E-3	1.0E-1
0.25	9.1E-1	-	-	5.2E-1	3.8E-3	1.7E-1
0.375	8.7E-1	-	-	4.5E-1	4.2E-3	1.9E-1
0.5	8.2E-1	-	-	4.1E-1	4.4E-3	2.0E-1
0.625	7.7E-1	-	-	3.8E-1	4.7E-3	2.0E-1
0.75	7.1E-1	-	-	3.4E-1	4.8E-3	2.0E-1
0.875	6.6E-1	-	-	3.1E-1	4.9E-3	2.0E-1
1	6.1E-1	1.1E-3	8.9E-2	2.7E-1	5.0E-3	1.9E-1
1.125	5.6E-1	-	-	2.4E-1	5.0E-3	1.9E-1
1.25	5.1E-1	-	-	2.1E-1	5.1E-3	1.8E-1
1.375	4.7E-1	-	-	1.8E-1	5.1E-3	1.8E-1
1.5	4.3E-1	-	-	1.5E-1	5.1E-3	1.7E-1
1.625	4.0E-1	-	-	1.3E-1	5.0E-3	1.6E-1
1.75	3.6E-1	-	-	1.1E-1	5.0E-3	1.5E-1
1.875	3.3E-1	-	-	9.0E-2	4.9E-3	1.5E-1
2	3.1E-1	3.8E-4	1.2E-1	7.6E-2	4.9E-3	1.4E-1
2.25	2.6E-1	-	-	5.2E-2	4.7E-3	1.3E-1
2.5	2.3E-1	-	-	3.6E-2	4.6E-3	1.2E-1
2.75	2.0E-1	-	-	2.5E-2	4.4E-3	1.1E-1
3	1.8E-1	2.2E-4	3.7E-2	1.7E-2	4.2E-3	9.5E-2
3.25	1.6E-1	-	-	1.2E-2	4.1E-3	8.6E-2
3.5	1.4E-1	-	-	8.8E-3	3.9E-3	7.8E-2
3.75	1.3E-1	-	-	6.5E-3	3.7E-3	7.0E-2
4	1.2E-1	1.5E-4	8.1E-3	5.0E-3	3.5E-3	6.3E-2
4.25	1.1E-1	-	-	3.9E-3	3.3E-3	5.7E-2
4.5	9.6E-2	-	-	3.2E-3	3.1E-3	5.2E-2
