Radionuclide	U-237
Route of Intake	Inhalation
Material	Aerosols Type S, fA=2E-4
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.7E-1	-	-	2.5E-1	1.0E-1	1.8E-5	1.1E-5
0.083333	7.5E-1	-	-	2.9E-1	9.8E-2	3.3E-5	1.2E-5
0.125	7.4E-1	-	-	3.1E-1	9.4E-2	4.6E-5	1.3E-5
0.25	7.1E-1	-	-	3.6E-1	8.9E-2	8.0E-5	1.5E-5
0.375	6.8E-1	-	-	4.0E-1	8.6E-2	1.0E-4	1.6E-5
0.5	6.5E-1	-	-	4.2E-1	8.5E-2	1.2E-4	1.7E-5
0.625	6.3E-1	-	-	4.3E-1	8.3E-2	1.3E-4	1.7E-5
0.75	6.0E-1	-	-	4.3E-1	8.2E-2	1.4E-4	1.7E-5
0.875	5.7E-1	-	-	4.2E-1	8.0E-2	1.5E-4	1.7E-5
1	5.3E-1	6.4E-4	7.0E-2	4.1E-1	7.9E-2	1.5E-4	1.6E-5
1.125	5.0E-1	-	-	3.8E-1	7.8E-2	1.5E-4	1.6E-5
1.25	4.6E-1	-	-	3.6E-1	7.7E-2	1.5E-4	1.6E-5
1.375	4.3E-1	-	-	3.3E-1	7.5E-2	1.5E-4	1.6E-5
1.5	3.9E-1	-	-	3.0E-1	7.4E-2	1.5E-4	1.5E-5
1.625	3.6E-1	-	-	2.8E-1	7.3E-2	1.5E-4	1.5E-5
1.75	3.3E-1	-	-	2.5E-1	7.2E-2	1.4E-4	1.5E-5
1.875	3.0E-1	-	-	2.2E-1	7.1E-2	1.4E-4	1.4E-5
2	2.7E-1	8.6E-5	2.0E-1	2.0E-1	7.0E-2	1.4E-4	1.4E-5
2.25	2.2E-1	-	-	1.5E-1	6.8E-2	1.4E-4	1.4E-5
2.5	1.8E-1	-	-	1.1E-1	6.5E-2	1.3E-4	1.3E-5
2.75	1.5E-1	-	-	8.5E-2	6.4E-2	1.3E-4	1.2E-5
3	1.3E-1	2.5E-5	1.2E-1	6.2E-2	6.2E-2	1.2E-4	1.2E-5
3.25	1.1E-1	-	-	4.5E-2	6.0E-2	1.2E-4	1.1E-5
3.5	9.1E-2	-	-	3.3E-2	5.8E-2	1.1E-4	1.1E-5
3.75	8.0E-2	-	-	2.3E-2	5.6E-2	1.1E-4	1.0E-5
4	7.2E-2	1.8E-5	4.1E-2	1.7E-2	5.5E-2	1.1E-4	9.9E-6
4.25	6.6E-2	-	-	1.2E-2	5.3E-2	1.0E-4	9.5E-6
4.5	6.1E-2	-	-	8.6E-3	5.1E-2	1.0E-4	9.1E-6
4.75	5.7E-2	-	-	6.2E-3	5.0E-2	9.6E-5	8.7E-6
5	5.4E-2	1.5E-5	1.1E-2	4.6E-3	4.9E-2	9.3E-5	8.4E-6
5.5	4.9E-2	-	-	2.6E-3	4.6E-2	8.7E-5	7.7E-6
6	4.5E-2	1.2E-5	3.0E-3	1.7E-3	4.3E-2	8.2E-5	7.0E-6
6.5	4.2E-2	-	-	1.2E-3	4.1E-2	7.7E-5	6.5E-6
7	4.0E-2	1.1E-5	1.0E-3	9.2E-4	3.9E-2	7.2E-5	5.9E-6
7.5	3.8E-2	-	-	7.5E-4	3.7E-2	6.8E-5	5.5E-6
8	3.6E-2	8.9E-6	5.1E-4	6.3E-4	3.5E-2	6.4E-5	5.0E-6
8.5	3.4E-2	-	-	5.5E-4	3.3E-2	6.0E-5	4.6E-6
9	3.2E-2	7.6E-6	3.4E-4	4.8E-4	3.1E-2	5.6E-5	4.3E-6
9.5	3.0E-2	-	-	4.2E-4	2.9E-2	5.3E-5	3.9E-6
10	2.8E-2	6.5E-6	2.6E-4	3.7E-4	2.8E-2	5.0E-5	3.6E-6
11	2.5E-2	5.5E-6	2.0E-4	2.8E-4	2.5E-2	4.4E-5	3.1E-6
12	2.3E-2	4.7E-6	1.5E-4	2.2E-4	2.2E-2	3.9E-5	2.6E-6
13	2.0E-2	4.1E-6	1.2E-4	1.8E-4	2.0E-2	3.5E-5	2.2E-6
14	1.8E-2	3.5E-6	9.5E-5	1.4E-4	1.8E-2	3.1E-5	1.9E-6
15	1.6E-2	3.0E-6	7.6E-5	1.1E-4	1.6E-2	2.8E-5	1.6E-6
16	1.5E-2	2.6E-6	6.1E-5	9.4E-5	1.5E-2	2.5E-5	1.4E-6
17	1.3E-2	2.3E-6	5.0E-5	7.7E-5	1.3E-2	2.2E-5	1.2E-6
18	1.2E-2	2.0E-6	4.1E-5	6.4E-5	1.2E-2	2.0E-5	1.0E-6
19	1.1E-2	1.7E-6	3.4E-5	5.4E-5	1.1E-2	1.8E-5	9.0E-7
20	9.7E-3	1.5E-6	2.8E-5	4.6E-5	9.5E-3	1.6E-5	7.8E-7
21	8.7E-3	1.3E-6	2.4E-5	3.9E-5	8.6E-3	1.5E-5	6.8E-7
22	7.8E-3	1.2E-6	2.1E-5	3.3E-5	7.7E-3	1.3E-5	5.9E-7
23	7.0E-3	1.0E-6	1.8E-5	2.9E-5	6.9E-3	1.2E-5	5.1E-7
24	6.3E-3	9.0E-7	1.5E-5	2.5E-5	6.3E-3	1.1E-5	4.5E-7
25	5.7E-3	8.0E-7	1.3E-5	2.2E-5	5.6E-3	9.5E-6	3.9E-7
26	5.1E-3	7.0E-7	1.2E-5	1.9E-5	5.1E-3	8.6E-6	3.4E-7
27	4.6E-3	6.2E-7	1.0E-5	1.7E-5	4.6E-3	7.7E-6	3.0E-7
28	4.2E-3	5.5E-7	8.9E-6	1.5E-5	4.1E-3	6.9E-6	2.7E-7
29	3.7E-3	4.9E-7	7.9E-6	1.3E-5	3.7E-3	6.3E-6	2.3E-7
30	3.4E-3	4.3E-7	7.0E-6	1.2E-5	3.3E-3	5.6E-6	2.1E-7
31	3.0E-3	3.8E-7	6.2E-6	1.1E-5	3.0E-3	5.1E-6	1.8E-7
32	2.7E-3	3.4E-7	5.5E-6	9.4E-6	2.7E-3	4.6E-6	1.6E-7
33	2.5E-3	3.0E-7	4.9E-6	8.4E-6	2.4E-3	4.1E-6	1.4E-7
34	2.2E-3	2.7E-7	4.4E-6	7.5E-6	2.2E-3	3.7E-6	1.3E-7
35	2.0E-3	2.4E-7	4.0E-6	6.8E-6	2.0E-3	3.4E-6	1.1E-7
36	1.8E-3	2.1E-7	3.5E-6	6.1E-6	1.8E-3	3.0E-6	1.0E-7
37	1.6E-3	1.9E-7	3.2E-6	5.4E-6	1.6E-3	2.7E-6	9.0E-8
38	1.5E-3	1.7E-7	2.8E-6	4.9E-6	1.4E-3	2.5E-6	8.0E-8
39	1.3E-3	1.5E-7	2.6E-6	4.4E-6	1.3E-3	2.2E-6	7.2E-8
40	1.2E-3	1.4E-7	2.3E-6	3.9E-6	1.2E-3	2.0E-6	6.4E-8
41	1.1E-3	1.2E-7	2.1E-6	3.5E-6	1.1E-3	1.8E-6	5.7E-8
42	9.6E-4	1.1E-7	1.8E-6	3.2E-6	9.5E-4	1.6E-6	5.1E-8
