Radionuclide	U-237
Route of Intake	Inhalation
Material	Aerosols Intermediate Type M/S: Uranium octoxide, uranium dioxide, fA=6E-4
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.7E-1	-	-	2.5E-1	1.0E-1	1.9E-5	1.2E-5
0.083333	7.5E-1	-	-	2.9E-1	9.8E-2	3.7E-5	1.4E-5
0.125	7.4E-1	-	-	3.1E-1	9.4E-2	5.4E-5	1.6E-5
0.25	7.1E-1	-	-	3.6E-1	8.9E-2	1.0E-4	2.1E-5
0.375	6.8E-1	-	-	4.0E-1	8.6E-2	1.5E-4	2.5E-5
0.5	6.5E-1	-	-	4.2E-1	8.4E-2	1.9E-4	2.8E-5
0.625	6.3E-1	-	-	4.3E-1	8.3E-2	2.2E-4	3.0E-5
0.75	6.0E-1	-	-	4.3E-1	8.1E-2	2.5E-4	3.2E-5
0.875	5.7E-1	-	-	4.2E-1	8.0E-2	2.7E-4	3.3E-5
1	5.3E-1	1.2E-3	7.0E-2	4.1E-1	7.8E-2	2.9E-4	3.4E-5
1.125	5.0E-1	-	-	3.8E-1	7.7E-2	3.0E-4	3.5E-5
1.25	4.6E-1	-	-	3.6E-1	7.6E-2	3.1E-4	3.5E-5
1.375	4.3E-1	-	-	3.3E-1	7.4E-2	3.2E-4	3.6E-5
1.5	3.9E-1	-	-	3.0E-1	7.3E-2	3.3E-4	3.6E-5
1.625	3.6E-1	-	-	2.8E-1	7.2E-2	3.3E-4	3.6E-5
1.75	3.3E-1	-	-	2.5E-1	7.1E-2	3.3E-4	3.6E-5
1.875	3.0E-1	-	-	2.2E-1	7.0E-2	3.4E-4	3.6E-5
2	2.7E-1	4.9E-4	2.0E-1	2.0E-1	6.9E-2	3.4E-4	3.6E-5
2.25	2.2E-1	-	-	1.5E-1	6.6E-2	3.4E-4	3.5E-5
2.5	1.8E-1	-	-	1.1E-1	6.4E-2	3.3E-4	3.4E-5
2.75	1.5E-1	-	-	8.5E-2	6.2E-2	3.3E-4	3.3E-5
3	1.2E-1	1.9E-4	1.2E-1	6.2E-2	6.0E-2	3.2E-4	3.2E-5
3.25	1.1E-1	-	-	4.5E-2	5.9E-2	3.1E-4	3.1E-5
3.5	9.1E-2	-	-	3.3E-2	5.7E-2	3.1E-4	3.0E-5
3.75	8.0E-2	-	-	2.3E-2	5.5E-2	3.0E-4	2.9E-5
4	7.1E-2	9.7E-5	4.1E-2	1.7E-2	5.3E-2	2.9E-4	2.8E-5
4.25	6.5E-2	-	-	1.2E-2	5.2E-2	2.8E-4	2.7E-5
4.5	6.0E-2	-	-	8.5E-3	5.0E-2	2.7E-4	2.6E-5
4.75	5.6E-2	-	-	6.2E-3	4.9E-2	2.7E-4	2.5E-5
5	5.3E-2	6.2E-5	1.1E-2	4.6E-3	4.8E-2	2.6E-4	2.4E-5
5.5	4.8E-2	-	-	2.6E-3	4.5E-2	2.4E-4	2.2E-5
6	4.5E-2	4.6E-5	3.0E-3	1.7E-3	4.2E-2	2.3E-4	2.0E-5
6.5	4.2E-2	-	-	1.2E-3	4.0E-2	2.1E-4	1.9E-5
7	3.9E-2	3.7E-5	1.0E-3	9.0E-4	3.8E-2	2.0E-4	1.7E-5
7.5	3.7E-2	-	-	7.3E-4	3.6E-2	1.9E-4	1.6E-5
8	3.5E-2	3.1E-5	5.1E-4	6.2E-4	3.4E-2	1.8E-4	1.5E-5
8.5	3.3E-2	-	-	5.3E-4	3.2E-2	1.7E-4	1.3E-5
9	3.1E-2	2.6E-5	3.4E-4	4.7E-4	3.0E-2	1.6E-4	1.2E-5
9.5	2.9E-2	-	-	4.1E-4	2.9E-2	1.5E-4	1.2E-5
10	2.8E-2	2.3E-5	2.5E-4	3.6E-4	2.7E-2	1.4E-4	1.1E-5
11	2.5E-2	2.0E-5	1.9E-4	2.8E-4	2.4E-2	1.3E-4	9.1E-6
12	2.2E-2	1.7E-5	1.5E-4	2.2E-4	2.2E-2	1.1E-4	7.8E-6
13	2.0E-2	1.5E-5	1.2E-4	1.7E-4	2.0E-2	1.0E-4	6.7E-6
14	1.8E-2	1.3E-5	9.3E-5	1.4E-4	1.8E-2	9.0E-5	5.8E-6
15	1.6E-2	1.1E-5	7.4E-5	1.1E-4	1.6E-2	8.1E-5	5.0E-6
16	1.4E-2	9.8E-6	6.0E-5	9.2E-5	1.4E-2	7.3E-5	4.3E-6
17	1.3E-2	8.6E-6	4.9E-5	7.6E-5	1.3E-2	6.5E-5	3.8E-6
18	1.2E-2	7.6E-6	4.0E-5	6.3E-5	1.1E-2	5.9E-5	3.3E-6
19	1.1E-2	6.7E-6	3.3E-5	5.3E-5	1.0E-2	5.3E-5	2.9E-6
20	9.5E-3	5.9E-6	2.8E-5	4.5E-5	9.3E-3	4.8E-5	2.5E-6
21	8.5E-3	5.2E-6	2.3E-5	3.8E-5	8.3E-3	4.3E-5	2.2E-6
22	7.6E-3	4.6E-6	2.0E-5	3.3E-5	7.5E-3	3.9E-5	1.9E-6
23	6.9E-3	4.1E-6	1.7E-5	2.8E-5	6.7E-3	3.5E-5	1.7E-6
24	6.2E-3	3.6E-6	1.5E-5	2.5E-5	6.1E-3	3.2E-5	1.5E-6
25	5.6E-3	3.2E-6	1.3E-5	2.2E-5	5.5E-3	2.9E-5	1.3E-6
26	5.0E-3	2.9E-6	1.1E-5	1.9E-5	4.9E-3	2.6E-5	1.1E-6
27	4.5E-3	2.5E-6	9.8E-6	1.7E-5	4.4E-3	2.3E-5	1.0E-6
28	4.1E-3	2.3E-6	8.7E-6	1.5E-5	4.0E-3	2.1E-5	9.0E-7
29	3.7E-3	2.0E-6	7.7E-6	1.3E-5	3.6E-3	1.9E-5	7.9E-7
30	3.3E-3	1.8E-6	6.8E-6	1.2E-5	3.2E-3	1.7E-5	7.1E-7
31	3.0E-3	1.6E-6	6.0E-6	1.0E-5	2.9E-3	1.6E-5	6.3E-7
32	2.7E-3	1.4E-6	5.4E-6	9.2E-6	2.6E-3	1.4E-5	5.6E-7
33	2.4E-3	1.3E-6	4.8E-6	8.2E-6	2.4E-3	1.3E-5	5.0E-7
34	2.2E-3	1.1E-6	4.3E-6	7.4E-6	2.1E-3	1.2E-5	4.4E-7
35	1.9E-3	1.0E-6	3.8E-6	6.6E-6	1.9E-3	1.0E-5	4.0E-7
36	1.7E-3	9.2E-7	3.4E-6	5.9E-6	1.7E-3	9.5E-6	3.5E-7
37	1.6E-3	8.2E-7	3.1E-6	5.3E-6	1.5E-3	8.6E-6	3.2E-7
38	1.4E-3	7.4E-7	2.8E-6	4.8E-6	1.4E-3	7.8E-6	2.8E-7
39	1.3E-3	6.6E-7	2.5E-6	4.3E-6	1.3E-3	7.0E-6	2.5E-7
40	1.1E-3	5.9E-7	2.2E-6	3.8E-6	1.1E-3	6.4E-6	2.3E-7
41	1.0E-3	5.3E-7	2.0E-6	3.4E-6	1.0E-3	5.7E-6	2.1E-7
42	9.3E-4	4.8E-7	1.8E-6	3.1E-6	9.1E-4	5.2E-6	1.8E-7
43	8.4E-4	4.3E-7	1.6E-6	2.8E-6	8.2E-4	4.7E-6	1.7E-7
44	7.5E-4	3.8E-7	1.4E-6	2.5E-6	7.4E-4	4.3E-6	1.5E-7
45	6.8E-4	3.4E-7	1.3E-6	2.2E-6	6.7E-4	3.9E-6	1.3E-7
46	6.1E-4	3.1E-7	1.2E-6	2.0E-6	6.0E-4	3.5E-6	1.2E-7
47	5.5E-4	2.8E-7	1.0E-6	1.8E-6	5.4E-4	3.2E-6	1.1E-7
48	5.0E-4	2.5E-7	9.4E-7	1.6E-6	4.9E-4	2.9E-6	9.8E-8
49	4.5E-4	2.2E-7	8.4E-7	1.5E-6	4.4E-4	2.6E-6	8.8E-8
50	4.0E-4	2.0E-7	7.6E-7	1.3E-6	3.9E-4	2.3E-6	7.9E-8
51	3.6E-4	1.8E-7	6.8E-7	1.2E-6	3.5E-4	2.1E-6	7.2E-8
52	3.3E-4	1.6E-7	6.1E-7	1.1E-6	3.2E-4	1.9E-6	6.4E-8
53	2.9E-4	1.5E-7	5.5E-7	9.5E-7	2.9E-4	1.7E-6	5.8E-8
54	2.6E-4	1.3E-7	5.0E-7	8.6E-7	2.6E-4	1.6E-6	5.2E-8
55	2.4E-4	1.2E-7	4.5E-7	7.7E-7	2.3E-4	1.4E-6	4.7E-8
56	2.1E-4	1.1E-7	4.0E-7	6.9E-7	2.1E-4	1.3E-6	4.3E-8
57	1.9E-4	9.5E-8	3.6E-7	6.2E-7	1.9E-4	1.2E-6	3.9E-8
58	1.7E-4	8.6E-8	3.2E-7	5.6E-7	1.7E-4	1.0E-6	3.5E-8
59	1.6E-4	7.7E-8	2.9E-7	5.0E-7	1.5E-4	9.5E-7	3.1E-8
60	1.4E-4	6.9E-8	2.6E-7	4.5E-7	1.4E-4	8.6E-7	2.8E-8
61	1.3E-4	6.2E-8	2.4E-7	4.1E-7	1.2E-4	7.8E-7	2.6E-8
62	1.1E-4	5.6E-8	2.1E-7	3.7E-7	1.1E-4	7.0E-7	2.3E-8
63	1.0E-4	5.0E-8	1.9E-7	3.3E-7	1.0E-4	6.3E-7	2.1E-8
64	9.2E-5	4.5E-8	1.7E-7	3.0E-7	9.1E-5	5.7E-7	1.9E-8
65	8.3E-5	4.1E-8	1.5E-7	2.7E-7	8.1E-5	5.2E-7	1.7E-8
66	7.5E-5	3.7E-8	1.4E-7	2.4E-7	7.3E-5	4.7E-7	1.5E-8
67	6.7E-5	3.3E-8	1.2E-7	2.2E-7	6.6E-5	4.2E-7	1.4E-8
68	6.1E-5	3.0E-8	1.1E-7	1.9E-7	5.9E-5	3.8E-7	1.3E-8
69	5.5E-5	2.7E-8	1.0E-7	1.7E-7	5.4E-5	3.5E-7	1.1E-8
70	4.9E-5	2.4E-8	9.1E-8	1.6E-7	4.8E-5	3.1E-7	1.0E-8
71	4.4E-5	2.2E-8	8.2E-8	1.4E-7	4.3E-5	2.8E-7	9.3E-9
72	4.0E-5	2.0E-8	7.3E-8	1.3E-7	3.9E-5	2.6E-7	8.4E-9
73	3.6E-5	1.8E-8	6.6E-8	1.1E-7	3.5E-5	2.3E-7	7.6E-9
74	3.2E-5	1.6E-8	5.9E-8	1.0E-7	3.2E-5	2.1E-7	6.9E-9
75	2.9E-5	1.4E-8	5.3E-8	9.2E-8	2.8E-5	1.9E-7	6.2E-9
76	2.6E-5	1.3E-8	4.8E-8	8.3E-8	2.6E-5	1.7E-7	5.6E-9
77	2.4E-5	1.2E-8	4.3E-8	7.5E-8	2.3E-5	1.6E-7	5.1E-9
78	2.1E-5	1.0E-8	3.9E-8	6.7E-8	2.1E-5	1.4E-7	4.6E-9
79	1.9E-5	9.3E-9	3.5E-8	6.0E-8	1.9E-5	1.3E-7	4.1E-9
80	1.7E-5	8.4E-9	3.1E-8	5.4E-8	1.7E-5	1.1E-7	3.7E-9
81	1.5E-5	7.5E-9	2.8E-8	4.9E-8	1.5E-5	1.0E-7	3.4E-9
82	1.4E-5	6.8E-9	2.5E-8	4.4E-8	1.4E-5	9.4E-8	3.1E-9
83	1.3E-5	6.1E-9	2.3E-8	3.9E-8	1.2E-5	8.5E-8	2.8E-9
84	1.1E-5	5.5E-9	2.0E-8	3.5E-8	1.1E-5	7.7E-8	2.5E-9
85	1.0E-5	5.0E-9	1.8E-8	3.2E-8	1.0E-5	6.9E-8	2.3E-9
86	9.2E-6	4.5E-9	1.7E-8	2.9E-8	9.0E-6	6.3E-8	2.0E-9
87	8.2E-6	4.0E-9	1.5E-8	2.6E-8	8.1E-6	5.7E-8	1.8E-9
88	7.4E-6	3.6E-9	1.3E-8	2.3E-8	7.3E-6	5.1E-8	1.7E-9
89	6.7E-6	3.3E-9	1.2E-8	2.1E-8	6.5E-6	4.6E-8	1.5E-9
90	6.0E-6	2.9E-9	1.1E-8	1.9E-8	5.9E-6	4.2E-8	1.4E-9
91	5.4E-6	2.6E-9	9.7E-9	1.7E-8	5.3E-6	3.8E-8	1.2E-9
92	4.9E-6	2.4E-9	8.8E-9	1.5E-8	4.8E-6	3.4E-8	1.1E-9
93	4.4E-6	2.1E-9	7.9E-9	1.4E-8	4.3E-6	3.1E-8	1.0E-9
94	4.0E-6	1.9E-9	7.1E-9	1.2E-8	3.9E-6	2.8E-8	9.1E-10
95	3.6E-6	1.7E-9	6.4E-9	1.1E-8	3.5E-6	2.5E-8	8.2E-10
96	3.2E-6	1.6E-9	5.7E-9	9.9E-9	3.1E-6	2.3E-8	7.4E-10
97	2.9E-6	1.4E-9	5.2E-9	8.9E-9	2.8E-6	2.1E-8	6.7E-10
98	2.6E-6	1.3E-9	4.6E-9	8.0E-9	2.5E-6	1.9E-8	6.1E-10
