Radionuclide	Sr-82
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	8.1E-1	-	-	2.8E-1	7.4E-2	5.1E-4
0.083333	8.0E-1	-	-	3.1E-1	6.9E-2	1.2E-3
0.125	7.9E-1	-	-	3.4E-1	6.5E-2	2.0E-3
0.25	7.6E-1	-	-	3.9E-1	5.9E-2	4.6E-3
0.375	7.3E-1	-	-	4.3E-1	5.6E-2	6.9E-3
0.5	7.1E-1	-	-	4.6E-1	5.4E-2	8.6E-3
0.625	6.8E-1	-	-	4.7E-1	5.2E-2	1.0E-2
0.75	6.6E-1	-	-	4.7E-1	5.1E-2	1.1E-2
0.875	6.3E-1	-	-	4.7E-1	5.0E-2	1.2E-2
1	5.9E-1	7.1E-3	8.0E-2	4.5E-1	5.0E-2	1.3E-2
1.125	5.6E-1	-	-	4.3E-1	4.9E-2	1.3E-2
1.25	5.2E-1	-	-	4.1E-1	4.8E-2	1.3E-2
1.375	4.9E-1	-	-	3.8E-1	4.8E-2	1.4E-2
1.5	4.5E-1	-	-	3.5E-1	4.7E-2	1.4E-2
1.625	4.2E-1	-	-	3.2E-1	4.7E-2	1.4E-2
1.75	3.8E-1	-	-	2.9E-1	4.7E-2	1.4E-2
1.875	3.5E-1	-	-	2.6E-1	4.6E-2	1.4E-2
2	3.2E-1	4.2E-3	2.4E-1	2.3E-1	4.6E-2	1.4E-2
2.25	2.6E-1	-	-	1.8E-1	4.5E-2	1.4E-2
2.5	2.2E-1	-	-	1.4E-1	4.5E-2	1.3E-2
2.75	1.8E-1	-	-	1.1E-1	4.4E-2	1.3E-2
3	1.5E-1	2.5E-3	1.5E-1	8.1E-2	4.3E-2	1.3E-2
3.25	1.3E-1	-	-	6.0E-2	4.3E-2	1.2E-2
3.5	1.1E-1	-	-	4.4E-2	4.2E-2	1.2E-2
3.75	9.9E-2	-	-	3.2E-2	4.2E-2	1.2E-2
4	8.9E-2	1.8E-3	5.7E-2	2.3E-2	4.1E-2	1.1E-2
4.25	8.2E-2	-	-	1.7E-2	4.1E-2	1.1E-2
4.5	7.6E-2	-	-	1.2E-2	4.0E-2	1.1E-2
4.75	7.2E-2	-	-	9.2E-3	4.0E-2	1.1E-2
5	6.9E-2	1.3E-3	1.7E-2	6.9E-3	3.9E-2	1.0E-2
5.5	6.4E-2	-	-	4.2E-3	3.8E-2	9.9E-3
6	6.1E-2	1.1E-3	4.8E-3	2.8E-3	3.7E-2	9.5E-3
6.5	5.9E-2	-	-	2.1E-3	3.6E-2	9.2E-3
7	5.7E-2	8.8E-4	1.7E-3	1.7E-3	3.6E-2	8.9E-3
7.5	5.5E-2	-	-	1.4E-3	3.5E-2	8.7E-3
8	5.4E-2	7.4E-4	9.1E-4	1.3E-3	3.4E-2	8.5E-3
8.5	5.2E-2	-	-	1.1E-3	3.3E-2	8.3E-3
9	5.1E-2	6.3E-4	6.5E-4	1.0E-3	3.3E-2	8.1E-3
9.5	5.0E-2	-	-	9.6E-4	3.2E-2	8.0E-3
10	4.8E-2	5.5E-4	5.2E-4	8.8E-4	3.1E-2	7.8E-3
11	4.6E-2	4.9E-4	4.3E-4	7.6E-4	3.0E-2	7.6E-3
12	4.4E-2	4.3E-4	3.7E-4	6.6E-4	2.9E-2	7.4E-3
13	4.2E-2	3.9E-4	3.1E-4	5.8E-4	2.8E-2	7.2E-3
14	4.0E-2	3.5E-4	2.7E-4	5.1E-4	2.7E-2	7.0E-3
15	3.9E-2	3.2E-4	2.4E-4	4.6E-4	2.6E-2	6.9E-3
16	3.7E-2	3.0E-4	2.1E-4	4.1E-4	2.5E-2	6.7E-3
17	3.6E-2	2.7E-4	1.9E-4	3.7E-4	2.4E-2	6.6E-3
18	3.4E-2	2.5E-4	1.7E-4	3.3E-4	2.3E-2	6.4E-3
19	3.3E-2	2.3E-4	1.5E-4	3.0E-4	2.3E-2	6.3E-3
20	3.2E-2	2.2E-4	1.4E-4	2.8E-4	2.2E-2	6.1E-3
21	3.1E-2	2.0E-4	1.2E-4	2.6E-4	2.1E-2	6.0E-3
22	3.0E-2	1.9E-4	1.1E-4	2.4E-4	2.0E-2	5.9E-3
23	2.8E-2	1.7E-4	1.1E-4	2.2E-4	2.0E-2	5.7E-3
24	2.7E-2	1.6E-4	9.8E-5	2.0E-4	1.9E-2	5.6E-3
25	2.6E-2	1.5E-4	9.1E-5	1.9E-4	1.8E-2	5.5E-3
26	2.6E-2	1.4E-4	8.5E-5	1.8E-4	1.8E-2	5.3E-3
27	2.5E-2	1.3E-4	8.0E-5	1.7E-4	1.7E-2	5.2E-3
28	2.4E-2	1.2E-4	7.5E-5	1.6E-4	1.7E-2	5.1E-3
29	2.3E-2	1.2E-4	7.0E-5	1.5E-4	1.6E-2	5.0E-3
30	2.2E-2	1.1E-4	6.6E-5	1.4E-4	1.5E-2	4.9E-3
31	2.1E-2	1.0E-4	6.3E-5	1.3E-4	1.5E-2	4.7E-3
32	2.1E-2	9.6E-5	5.9E-5	1.2E-4	1.4E-2	4.6E-3
33	2.0E-2	9.1E-5	5.6E-5	1.2E-4	1.4E-2	4.5E-3
34	1.9E-2	8.6E-5	5.3E-5	1.1E-4	1.3E-2	4.4E-3
35	1.9E-2	8.1E-5	5.1E-5	1.0E-4	1.3E-2	4.3E-3
36	1.8E-2	7.6E-5	4.8E-5	9.9E-5	1.3E-2	4.2E-3
37	1.7E-2	7.2E-5	4.6E-5	9.4E-5	1.2E-2	4.1E-3
38	1.7E-2	6.8E-5	4.4E-5	8.9E-5	1.2E-2	4.0E-3
39	1.6E-2	6.5E-5	4.2E-5	8.5E-5	1.1E-2	3.9E-3
40	1.6E-2	6.1E-5	4.0E-5	8.1E-5	1.1E-2	3.8E-3
41	1.5E-2	5.8E-5	3.8E-5	7.7E-5	1.1E-2	3.7E-3
42	1.5E-2	5.5E-5	3.6E-5	7.4E-5	1.0E-2	3.6E-3
43	1.4E-2	5.3E-5	3.5E-5	7.0E-5	9.9E-3	3.5E-3
44	1.4E-2	5.0E-5	3.3E-5	6.7E-5	9.5E-3	3.4E-3
45	1.3E-2	4.8E-5	3.2E-5	6.4E-5	9.2E-3	3.3E-3
46	1.3E-2	4.5E-5	3.1E-5	6.1E-5	8.9E-3	3.2E-3
47	1.2E-2	4.3E-5	2.9E-5	5.9E-5	8.6E-3	3.1E-3
48	1.2E-2	4.1E-5	2.8E-5	5.6E-5	8.3E-3	3.1E-3
49	1.2E-2	3.9E-5	2.7E-5	5.4E-5	8.0E-3	3.0E-3
50	1.1E-2	3.8E-5	2.6E-5	5.2E-5	7.8E-3	2.9E-3
51	1.1E-2	3.6E-5	2.5E-5	5.0E-5	7.5E-3	2.8E-3
52	1.1E-2	3.4E-5	2.4E-5	4.8E-5	7.2E-3	2.8E-3
53	1.0E-2	3.3E-5	2.3E-5	4.6E-5	7.0E-3	2.7E-3
54	9.9E-3	3.2E-5	2.2E-5	4.4E-5	6.8E-3	2.6E-3
