Radionuclide	Lu-170
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.5E-1	-	-	2.4E-1	1.4E-2	3.6E-4	8.8E-5
0.083333	6.3E-1	-	-	2.7E-1	1.2E-2	5.9E-4	8.7E-5
0.125	6.1E-1	-	-	2.8E-1	1.0E-2	7.4E-4	9.3E-5
0.25	5.7E-1	-	-	3.2E-1	8.3E-3	1.1E-3	1.1E-4
0.375	5.3E-1	-	-	3.4E-1	7.3E-3	1.3E-3	1.3E-4
0.5	4.9E-1	-	-	3.5E-1	6.5E-3	1.5E-3	1.5E-4
0.625	4.5E-1	-	-	3.5E-1	5.9E-3	1.6E-3	1.6E-4
0.75	4.2E-1	-	-	3.4E-1	5.4E-3	1.7E-3	1.6E-4
0.875	3.8E-1	-	-	3.2E-1	5.0E-3	1.8E-3	1.7E-4
1	3.5E-1	6.4E-4	5.2E-2	3.0E-1	4.6E-3	1.8E-3	1.7E-4
1.125	3.1E-1	-	-	2.8E-1	4.3E-3	1.9E-3	1.7E-4
1.25	2.8E-1	-	-	2.5E-1	3.9E-3	1.9E-3	1.7E-4
1.375	2.5E-1	-	-	2.2E-1	3.7E-3	1.9E-3	1.7E-4
1.5	2.2E-1	-	-	2.0E-1	3.4E-3	1.9E-3	1.7E-4
1.625	1.9E-1	-	-	1.8E-1	3.2E-3	1.8E-3	1.7E-4
1.75	1.7E-1	-	-	1.5E-1	3.0E-3	1.8E-3	1.7E-4
1.875	1.4E-1	-	-	1.3E-1	2.8E-3	1.8E-3	1.6E-4
2	1.2E-1	1.8E-4	1.2E-1	1.1E-1	2.6E-3	1.8E-3	1.6E-4
2.25	8.9E-2	-	-	8.2E-2	2.3E-3	1.7E-3	1.5E-4
2.5	6.4E-2	-	-	5.8E-2	2.1E-3	1.6E-3	1.4E-4
2.75	4.5E-2	-	-	4.1E-2	1.9E-3	1.5E-3	1.3E-4
3	3.2E-2	5.8E-5	5.4E-2	2.8E-2	1.7E-3	1.4E-3	1.2E-4
3.25	2.3E-2	-	-	1.9E-2	1.5E-3	1.3E-3	1.2E-4
3.5	1.6E-2	-	-	1.3E-2	1.4E-3	1.2E-3	1.1E-4
3.75	1.1E-2	-	-	8.4E-3	1.2E-3	1.1E-3	1.0E-4
4	8.2E-3	1.9E-5	1.4E-2	5.5E-3	1.1E-3	1.0E-3	9.2E-5
4.25	6.1E-3	-	-	3.6E-3	1.0E-3	9.4E-4	8.5E-5
4.5	4.6E-3	-	-	2.3E-3	9.2E-4	8.7E-4	7.8E-5
4.75	3.6E-3	-	-	1.5E-3	8.4E-4	8.0E-4	7.2E-5
5	2.9E-3	7.1E-6	3.0E-3	9.6E-4	7.7E-4	7.4E-4	6.6E-5
5.5	2.0E-3	-	-	3.9E-4	6.3E-4	6.3E-4	5.6E-5
6	1.5E-3	2.9E-6	5.2E-4	1.7E-4	5.3E-4	5.3E-4	4.7E-5
6.5	1.2E-3	-	-	7.3E-5	4.4E-4	4.5E-4	4.0E-5
7	9.7E-4	1.4E-6	8.9E-5	3.5E-5	3.7E-4	3.8E-4	3.4E-5
7.5	8.0E-4	-	-	1.9E-5	3.1E-4	3.2E-4	2.8E-5
8	6.7E-4	7.8E-7	1.7E-5	1.2E-5	2.5E-4	2.7E-4	2.4E-5
8.5	5.6E-4	-	-	8.3E-6	2.1E-4	2.3E-4	2.0E-5
9	4.7E-4	4.8E-7	4.8E-6	6.1E-6	1.8E-4	1.9E-4	1.7E-5
9.5	3.9E-4	-	-	4.6E-6	1.5E-4	1.6E-4	1.4E-5
10	3.3E-4	3.1E-7	2.1E-6	3.6E-6	1.2E-4	1.4E-4	1.2E-5
11	2.3E-4	2.0E-7	1.2E-6	2.2E-6	8.7E-5	9.6E-5	8.5E-6
12	1.6E-4	1.3E-7	6.8E-7	1.4E-6	6.1E-5	6.8E-5	6.0E-6
13	1.2E-4	9.0E-8	4.1E-7	8.9E-7	4.3E-5	4.9E-5	4.3E-6
14	8.1E-5	6.1E-8	2.5E-7	5.7E-7	3.0E-5	3.4E-5	3.0E-6
15	5.7E-5	4.1E-8	1.5E-7	3.7E-7	2.1E-5	2.4E-5	2.1E-6
16	4.1E-5	2.8E-8	9.3E-8	2.4E-7	1.5E-5	1.7E-5	1.5E-6
17	2.9E-5	1.9E-8	5.8E-8	1.6E-7	1.0E-5	1.2E-5	1.1E-6
18	2.0E-5	1.3E-8	3.6E-8	1.1E-7	7.4E-6	8.8E-6	7.7E-7
19	1.4E-5	8.8E-9	2.3E-8	7.2E-8	5.2E-6	6.2E-6	5.4E-7
20	1.0E-5	6.0E-9	1.5E-8	4.9E-8	3.7E-6	4.4E-6	3.8E-7
21	7.2E-6	4.1E-9	9.5E-9	3.3E-8	2.6E-6	3.1E-6	2.7E-7
22	5.1E-6	2.8E-9	6.2E-9	2.3E-8	1.8E-6	2.2E-6	1.9E-7
23	3.6E-6	1.9E-9	4.0E-9	1.6E-8	1.3E-6	1.6E-6	1.4E-7
24	2.5E-6	1.3E-9	2.7E-9	1.1E-8	9.0E-7	1.1E-6	9.7E-8
25	1.8E-6	9.2E-10	1.8E-9	7.5E-9	6.4E-7	8.0E-7	6.9E-8
26	1.3E-6	6.4E-10	1.2E-9	5.2E-9	4.5E-7	5.7E-7	4.9E-8
27	9.0E-7	4.4E-10	8.1E-10	3.6E-9	3.2E-7	4.0E-7	3.5E-8
28	6.4E-7	3.0E-10	5.5E-10	2.5E-9	2.2E-7	2.9E-7	2.4E-8
29	4.5E-7	2.1E-10	3.8E-10	1.8E-9	1.6E-7	2.0E-7	1.7E-8
30	3.2E-7	1.5E-10	2.6E-10	1.2E-9	1.1E-7	1.4E-7	1.2E-8
31	2.3E-7	1.0E-10	1.8E-10	8.7E-10	7.9E-8	1.0E-7	8.7E-9
32	1.6E-7	-	1.2E-10	6.1E-10	5.6E-8	7.3E-8	6.2E-9
33	1.1E-7	-	-	4.3E-10	3.9E-8	5.2E-8	4.4E-9
34	8.0E-8	-	-	3.0E-10	2.8E-8	3.7E-8	3.1E-9
35	5.7E-8	-	-	2.1E-10	2.0E-8	2.6E-8	2.2E-9
36	4.0E-8	-	-	1.5E-10	1.4E-8	1.9E-8	1.6E-9
37	2.8E-8	-	-	1.0E-10	9.7E-9	1.3E-8	1.1E-9
38	2.0E-8	-	-	-	6.9E-9	9.3E-9	7.8E-10
39	1.4E-8	-	-	-	4.8E-9	6.6E-9	5.5E-10
40	1.0E-8	-	-	-	3.4E-9	4.7E-9	3.9E-10
41	7.1E-9	-	-	-	2.4E-9	3.3E-9	2.8E-10
42	5.0E-9	-	-	-	1.7E-9	2.4E-9	2.0E-10
43	3.6E-9	-	-	-	1.2E-9	1.7E-9	1.4E-10
44	2.5E-9	-	-	-	8.5E-10	1.2E-9	-
45	1.8E-9	-	-	-	6.0E-10	8.5E-10	-
46	1.3E-9	-	-	-	4.2E-10	6.0E-10	-
47	8.9E-10	-	-	-	3.0E-10	4.3E-10	-
48	6.3E-10	-	-	-	2.1E-10	3.0E-10	-
49	4.5E-10	-	-	-	1.5E-10	2.1E-10	-
50	3.2E-10	-	-	-	1.0E-10	1.5E-10	-
51	2.2E-10	-	-	-	-	1.1E-10	-
52	1.6E-10	-	-	-	-	-	-
53	1.1E-10	-	-	-	-	-	-
