Radionuclide	Hf-182
Route of Intake	Inhalation
Material	Aerosols Type S, fA=2E-5
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.7E-1	-	-	3.2E-1	1.5E-1	2.4E-5	2.8E-5
0.083333	9.6E-1	-	-	3.8E-1	1.3E-1	4.3E-5	4.1E-5
0.125	9.5E-1	-	-	4.2E-1	1.2E-1	6.1E-5	5.1E-5
0.25	9.2E-1	-	-	5.0E-1	1.0E-1	1.1E-4	6.6E-5
0.375	9.0E-1	-	-	5.6E-1	9.7E-2	1.5E-4	7.3E-5
0.5	8.8E-1	-	-	6.0E-1	9.3E-2	1.8E-4	7.6E-5
0.625	8.5E-1	-	-	6.2E-1	9.0E-2	2.1E-4	7.8E-5
0.75	8.2E-1	-	-	6.2E-1	8.8E-2	2.3E-4	7.9E-5
0.875	7.9E-1	-	-	6.2E-1	8.6E-2	2.4E-4	7.9E-5
1	7.5E-1	2.8E-5	1.0E-1	6.0E-1	8.4E-2	2.6E-4	7.9E-5
1.125	7.1E-1	-	-	5.8E-1	8.2E-2	2.7E-4	7.9E-5
1.25	6.7E-1	-	-	5.5E-1	8.0E-2	2.8E-4	7.9E-5
1.375	6.2E-1	-	-	5.1E-1	7.8E-2	2.9E-4	7.9E-5
1.5	5.8E-1	-	-	4.8E-1	7.6E-2	3.0E-4	7.9E-5
1.625	5.3E-1	-	-	4.4E-1	7.4E-2	3.1E-4	7.9E-5
1.75	4.9E-1	-	-	4.0E-1	7.3E-2	3.2E-4	7.9E-5
1.875	4.5E-1	-	-	3.6E-1	7.1E-2	3.3E-4	7.9E-5
2	4.1E-1	1.2E-5	3.3E-1	3.3E-1	6.9E-2	3.4E-4	7.9E-5
2.25	3.4E-1	-	-	2.6E-1	6.6E-2	3.5E-4	7.8E-5
2.5	2.8E-1	-	-	2.1E-1	6.3E-2	3.7E-4	7.8E-5
2.75	2.3E-1	-	-	1.6E-1	6.0E-2	3.8E-4	7.8E-5
3	1.9E-1	8.6E-6	2.2E-1	1.3E-1	5.8E-2	4.0E-4	7.8E-5
3.25	1.5E-1	-	-	9.7E-2	5.5E-2	4.1E-4	7.8E-5
3.5	1.3E-1	-	-	7.6E-2	5.2E-2	4.3E-4	7.8E-5
3.75	1.1E-1	-	-	5.9E-2	5.0E-2	4.4E-4	7.7E-5
4	9.7E-2	7.8E-6	8.9E-2	4.7E-2	4.8E-2	4.5E-4	7.7E-5
4.25	8.5E-2	-	-	3.8E-2	4.6E-2	4.7E-4	7.7E-5
4.5	7.7E-2	-	-	3.1E-2	4.4E-2	4.8E-4	7.7E-5
4.75	7.0E-2	-	-	2.6E-2	4.2E-2	4.9E-4	7.7E-5
5	6.4E-2	7.2E-6	3.3E-2	2.2E-2	4.0E-2	5.0E-4	7.7E-5
5.5	5.6E-2	-	-	1.7E-2	3.6E-2	5.3E-4	7.6E-5
6	4.9E-2	6.7E-6	1.5E-2	1.4E-2	3.3E-2	5.5E-4	7.6E-5
6.5	4.5E-2	-	-	1.2E-2	3.1E-2	5.7E-4	7.6E-5
7	4.1E-2	6.1E-6	8.8E-3	1.1E-2	2.8E-2	5.9E-4	7.6E-5
7.5	3.7E-2	-	-	9.6E-3	2.6E-2	6.2E-4	7.5E-5
8	3.4E-2	5.7E-6	6.5E-3	8.6E-3	2.4E-2	6.3E-4	7.5E-5
8.5	3.1E-2	-	-	7.8E-3	2.2E-2	6.5E-4	7.5E-5
9	2.9E-2	5.2E-6	5.2E-3	7.0E-3	2.0E-2	6.7E-4	7.5E-5
9.5	2.7E-2	-	-	6.4E-3	1.9E-2	6.9E-4	7.4E-5
10	2.5E-2	4.8E-6	4.2E-3	5.8E-3	1.7E-2	7.1E-4	7.4E-5
11	2.1E-2	4.5E-6	3.4E-3	4.7E-3	1.5E-2	7.4E-4	7.3E-5
12	1.8E-2	4.1E-6	2.8E-3	3.9E-3	1.3E-2	7.7E-4	7.3E-5
13	1.6E-2	3.8E-6	2.3E-3	3.2E-3	1.1E-2	7.9E-4	7.2E-5
14	1.4E-2	3.5E-6	1.9E-3	2.6E-3	9.9E-3	8.2E-4	7.2E-5
15	1.3E-2	3.2E-6	1.5E-3	2.1E-3	8.8E-3	8.4E-4	7.1E-5
16	1.1E-2	3.0E-6	1.3E-3	1.8E-3	7.9E-3	8.6E-4	7.1E-5
17	1.0E-2	2.8E-6	1.0E-3	1.4E-3	7.2E-3	8.8E-4	7.0E-5
18	9.5E-3	2.6E-6	8.5E-4	1.2E-3	6.6E-3	9.0E-4	7.0E-5
19	8.8E-3	2.4E-6	7.0E-4	9.7E-4	6.1E-3	9.2E-4	6.9E-5
20	8.3E-3	2.2E-6	5.7E-4	8.0E-4	5.7E-3	9.3E-4	6.8E-5
21	7.8E-3	2.0E-6	4.7E-4	6.6E-4	5.3E-3	9.5E-4	6.8E-5
22	7.4E-3	1.9E-6	3.9E-4	5.4E-4	5.1E-3	9.6E-4	6.7E-5
23	7.1E-3	1.8E-6	3.2E-4	4.5E-4	4.8E-3	9.7E-4	6.7E-5
24	6.8E-3	1.6E-6	2.6E-4	3.7E-4	4.6E-3	9.8E-4	6.6E-5
25	6.6E-3	1.5E-6	2.2E-4	3.1E-4	4.5E-3	9.9E-4	6.6E-5
26	6.4E-3	1.4E-6	1.8E-4	2.5E-4	4.4E-3	1.0E-3	6.5E-5
27	6.3E-3	1.3E-6	1.5E-4	2.1E-4	4.3E-3	1.0E-3	6.5E-5
28	6.1E-3	1.2E-6	1.2E-4	1.8E-4	4.2E-3	1.0E-3	6.4E-5
29	6.0E-3	1.1E-6	1.0E-4	1.5E-4	4.1E-3	1.0E-3	6.4E-5
30	6.0E-3	1.1E-6	8.4E-5	1.2E-4	4.0E-3	1.0E-3	6.3E-5
