Radionuclide	I-126
Route of Intake	Inhalation
Material	Aerosols Type F, Sodium iodide, caesium chloride vector, silver iodide, all unspecified forms, fA=0.99
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Liver*
0.041667	5.0E-1	-	-	6.1E-2	8.6E-3	1.0E-2	1.1E-2
0.083333	4.8E-1	-	-	5.4E-2	6.0E-3	1.9E-2	1.0E-2
0.125	4.6E-1	-	-	5.0E-2	5.6E-3	2.8E-2	9.5E-3
0.25	4.0E-1	-	-	4.0E-2	4.5E-3	5.0E-2	7.6E-3
0.375	3.4E-1	-	-	3.3E-2	3.6E-3	6.7E-2	6.1E-3
0.5	3.0E-1	-	-	2.7E-2	2.8E-3	8.0E-2	4.8E-3
0.625	2.6E-1	-	-	2.2E-2	2.2E-3	9.0E-2	3.8E-3
0.75	2.3E-1	-	-	1.8E-2	1.7E-3	9.8E-2	3.1E-3
0.875	2.1E-1	-	-	1.5E-2	1.4E-3	1.0E-1	2.4E-3
1	1.9E-1	2.4E-1	6.7E-4	1.2E-2	1.1E-3	1.1E-1	2.0E-3
1.125	1.8E-1	-	-	1.0E-2	8.5E-4	1.1E-1	1.6E-3
1.25	1.6E-1	-	-	8.6E-3	6.7E-4	1.1E-1	1.3E-3
1.375	1.5E-1	-	-	7.2E-3	5.3E-4	1.2E-1	1.1E-3
1.5	1.5E-1	-	-	6.0E-3	4.2E-4	1.2E-1	9.4E-4
1.625	1.4E-1	-	-	5.1E-3	3.3E-4	1.2E-1	8.3E-4
1.75	1.4E-1	-	-	4.3E-3	2.7E-4	1.2E-1	7.4E-4
1.875	1.3E-1	-	-	3.6E-3	2.2E-4	1.2E-1	6.8E-4
2	1.3E-1	4.1E-2	1.9E-3	3.1E-3	1.9E-4	1.2E-1	6.4E-4
2.25	1.2E-1	-	-	2.2E-3	1.4E-4	1.2E-1	6.0E-4
2.5	1.2E-1	-	-	1.6E-3	1.1E-4	1.2E-1	5.9E-4
2.75	1.2E-1	-	-	1.2E-3	9.8E-5	1.1E-1	6.0E-4
3	1.2E-1	5.2E-3	1.2E-3	8.9E-4	9.2E-5	1.1E-1	6.3E-4
3.25	1.1E-1	-	-	6.6E-4	9.1E-5	1.1E-1	6.5E-4
3.5	1.1E-1	-	-	5.1E-4	9.1E-5	1.1E-1	6.8E-4
3.75	1.1E-1	-	-	4.0E-4	9.3E-5	1.1E-1	7.1E-4
4	1.1E-1	7.0E-4	4.8E-4	3.2E-4	9.6E-5	1.1E-1	7.4E-4
4.25	1.1E-1	-	-	2.7E-4	9.9E-5	1.0E-1	7.6E-4
4.5	1.1E-1	-	-	2.4E-4	1.0E-4	1.0E-1	7.9E-4
4.75	1.0E-1	-	-	2.2E-4	1.0E-4	1.0E-1	8.1E-4
5	1.0E-1	1.9E-4	1.6E-4	2.0E-4	1.1E-4	1.0E-1	8.4E-4
5.5	1.0E-1	-	-	1.9E-4	1.1E-4	9.7E-2	8.7E-4
6	9.7E-2	1.5E-4	7.8E-5	1.9E-4	1.2E-4	9.4E-2	9.1E-4
6.5	9.4E-2	-	-	1.9E-4	1.2E-4	9.1E-2	9.3E-4
7	9.2E-2	1.6E-4	6.1E-5	2.0E-4	1.2E-4	8.8E-2	9.6E-4
7.5	8.9E-2	-	-	2.0E-4	1.3E-4	8.6E-2	9.8E-4
8	8.7E-2	1.7E-4	6.1E-5	2.0E-4	1.3E-4	8.3E-2	9.9E-4
8.5	8.4E-2	-	-	2.1E-4	1.3E-4	8.1E-2	1.0E-3
9	8.2E-2	1.8E-4	6.4E-5	2.1E-4	1.3E-4	7.8E-2	1.0E-3
9.5	8.0E-2	-	-	2.1E-4	1.3E-4	7.6E-2	1.0E-3
10	7.7E-2	1.8E-4	6.6E-5	2.1E-4	1.3E-4	7.4E-2	1.0E-3
11	7.3E-2	1.8E-4	6.7E-5	2.1E-4	1.3E-4	6.9E-2	1.0E-3
12	6.9E-2	1.9E-4	6.8E-5	2.1E-4	1.3E-4	6.5E-2	1.0E-3
13	6.5E-2	1.8E-4	6.7E-5	2.1E-4	1.3E-4	6.1E-2	9.8E-4
14	6.2E-2	1.8E-4	6.7E-5	2.1E-4	1.2E-4	5.8E-2	9.6E-4
15	5.8E-2	1.8E-4	6.6E-5	2.0E-4	1.2E-4	5.5E-2	9.3E-4
16	5.5E-2	1.7E-4	6.4E-5	1.9E-4	1.2E-4	5.1E-2	9.0E-4
17	5.2E-2	1.7E-4	6.2E-5	1.9E-4	1.1E-4	4.8E-2	8.7E-4
18	4.9E-2	1.6E-4	6.0E-5	1.8E-4	1.1E-4	4.6E-2	8.4E-4
19	4.6E-2	1.6E-4	5.8E-5	1.8E-4	1.0E-4	4.3E-2	8.1E-4
20	4.3E-2	1.5E-4	5.6E-5	1.7E-4	1.0E-4	4.0E-2	7.7E-4
21	4.1E-2	1.5E-4	5.4E-5	1.6E-4	9.6E-5	3.8E-2	7.4E-4
22	3.9E-2	1.4E-4	5.2E-5	1.5E-4	9.2E-5	3.6E-2	7.1E-4
23	3.6E-2	1.3E-4	5.0E-5	1.5E-4	8.8E-5	3.4E-2	6.8E-4
24	3.4E-2	1.3E-4	4.7E-5	1.4E-4	8.4E-5	3.2E-2	6.4E-4
25	3.2E-2	1.2E-4	4.5E-5	1.3E-4	8.0E-5	3.0E-2	6.1E-4
26	3.1E-2	1.2E-4	4.3E-5	1.3E-4	7.6E-5	2.8E-2	5.8E-4
27	2.9E-2	1.1E-4	4.1E-5	1.2E-4	7.2E-5	2.7E-2	5.5E-4
28	2.7E-2	1.0E-4	3.9E-5	1.1E-4	6.8E-5	2.5E-2	5.3E-4
29	2.6E-2	9.9E-5	3.7E-5	1.1E-4	6.5E-5	2.4E-2	5.0E-4
30	2.4E-2	9.4E-5	3.5E-5	1.0E-4	6.1E-5	2.2E-2	4.7E-4
31	2.3E-2	8.9E-5	3.3E-5	9.8E-5	5.8E-5	2.1E-2	4.5E-4
32	2.1E-2	8.5E-5	3.2E-5	9.3E-5	5.5E-5	2.0E-2	4.2E-4
