Radionuclide	Sm-145
Route of Intake	Inhalation
Material	Aerosols Dioxide, fA=5E-7
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.7E-1	-	-	3.2E-1	1.5E-1	3.1E-6	4.1E-6
0.083333	9.6E-1	-	-	3.8E-1	1.4E-1	6.4E-6	8.3E-6
0.125	9.5E-1	-	-	4.2E-1	1.2E-1	9.3E-6	1.2E-5
0.25	9.2E-1	-	-	5.0E-1	1.0E-1	1.7E-5	2.2E-5
0.375	9.0E-1	-	-	5.6E-1	9.7E-2	2.3E-5	3.0E-5
0.5	8.8E-1	-	-	6.0E-1	9.3E-2	3.0E-5	3.8E-5
0.625	8.5E-1	-	-	6.2E-1	9.1E-2	3.5E-5	4.5E-5
0.75	8.2E-1	-	-	6.2E-1	8.9E-2	4.1E-5	5.2E-5
0.875	7.9E-1	-	-	6.1E-1	8.6E-2	4.6E-5	5.9E-5
1	7.5E-1	9.6E-6	1.0E-1	6.0E-1	8.4E-2	5.1E-5	6.6E-5
1.125	7.1E-1	-	-	5.7E-1	8.2E-2	5.6E-5	7.2E-5
1.25	6.6E-1	-	-	5.4E-1	8.0E-2	6.1E-5	7.8E-5
1.375	6.2E-1	-	-	5.1E-1	7.8E-2	6.5E-5	8.4E-5
1.5	5.7E-1	-	-	4.7E-1	7.7E-2	7.0E-5	8.9E-5
1.625	5.3E-1	-	-	4.4E-1	7.5E-2	7.4E-5	9.5E-5
1.75	4.9E-1	-	-	4.0E-1	7.3E-2	7.8E-5	1.0E-4
1.875	4.4E-1	-	-	3.6E-1	7.1E-2	8.2E-5	1.0E-4
2	4.0E-1	7.3E-6	3.3E-1	3.3E-1	7.0E-2	8.5E-5	1.1E-4
2.25	3.3E-1	-	-	2.6E-1	6.6E-2	9.3E-5	1.2E-4
2.5	2.7E-1	-	-	2.1E-1	6.3E-2	9.9E-5	1.3E-4
2.75	2.2E-1	-	-	1.6E-1	6.0E-2	1.1E-4	1.4E-4
3	1.8E-1	5.8E-6	2.2E-1	1.3E-1	5.7E-2	1.1E-4	1.4E-4
3.25	1.5E-1	-	-	9.7E-2	5.5E-2	1.2E-4	1.5E-4
3.5	1.3E-1	-	-	7.5E-2	5.2E-2	1.2E-4	1.6E-4
3.75	1.1E-1	-	-	5.9E-2	5.0E-2	1.3E-4	1.6E-4
4	9.5E-2	4.7E-6	8.8E-2	4.7E-2	4.8E-2	1.3E-4	1.7E-4
4.25	8.4E-2	-	-	3.8E-2	4.5E-2	1.4E-4	1.8E-4
4.5	7.5E-2	-	-	3.1E-2	4.3E-2	1.4E-4	1.8E-4
4.75	6.8E-2	-	-	2.6E-2	4.1E-2	1.5E-4	1.9E-4
5	6.3E-2	3.9E-6	3.3E-2	2.2E-2	4.0E-2	1.5E-4	1.9E-4
5.5	5.4E-2	-	-	1.7E-2	3.6E-2	1.6E-4	2.0E-4
6	4.8E-2	3.3E-6	1.4E-2	1.4E-2	3.3E-2	1.6E-4	2.1E-4
6.5	4.3E-2	-	-	1.2E-2	3.0E-2	1.7E-4	2.2E-4
7	3.9E-2	2.8E-6	8.7E-3	1.1E-2	2.8E-2	1.7E-4	2.2E-4
7.5	3.6E-2	-	-	9.5E-3	2.5E-2	1.8E-4	2.3E-4
8	3.3E-2	2.5E-6	6.4E-3	8.5E-3	2.3E-2	1.8E-4	2.3E-4
8.5	3.0E-2	-	-	7.6E-3	2.1E-2	1.9E-4	2.4E-4
9	2.8E-2	2.1E-6	5.1E-3	6.9E-3	2.0E-2	1.9E-4	2.4E-4
9.5	2.5E-2	-	-	6.2E-3	1.8E-2	1.9E-4	2.5E-4
10	2.3E-2	1.9E-6	4.1E-3	5.6E-3	1.7E-2	2.0E-4	2.5E-4
11	2.0E-2	1.6E-6	3.4E-3	4.6E-3	1.4E-2	2.0E-4	2.6E-4
12	1.7E-2	1.5E-6	2.7E-3	3.8E-3	1.2E-2	2.1E-4	2.6E-4
13	1.5E-2	1.3E-6	2.2E-3	3.1E-3	1.1E-2	2.1E-4	2.7E-4
14	1.3E-2	1.2E-6	1.8E-3	2.5E-3	9.5E-3	2.2E-4	2.7E-4
15	1.2E-2	1.1E-6	1.5E-3	2.0E-3	8.4E-3	2.2E-4	2.7E-4
16	1.0E-2	9.6E-7	1.2E-3	1.7E-3	7.6E-3	2.2E-4	2.8E-4
17	9.3E-3	8.8E-7	1.0E-3	1.4E-3	6.9E-3	2.2E-4	2.8E-4
18	8.5E-3	8.1E-7	8.2E-4	1.1E-3	6.3E-3	2.3E-4	2.8E-4
19	7.8E-3	7.5E-7	6.7E-4	9.2E-4	5.8E-3	2.3E-4	2.8E-4
20	7.2E-3	7.0E-7	5.5E-4	7.5E-4	5.4E-3	2.3E-4	2.9E-4
21	6.8E-3	6.6E-7	4.5E-4	6.1E-4	5.0E-3	2.3E-4	2.9E-4
22	6.4E-3	6.2E-7	3.7E-4	5.0E-4	4.8E-3	2.3E-4	2.9E-4
23	6.1E-3	5.9E-7	3.0E-4	4.1E-4	4.5E-3	2.3E-4	2.9E-4
24	5.8E-3	5.6E-7	2.5E-4	3.4E-4	4.4E-3	2.4E-4	2.9E-4
25	5.6E-3	5.3E-7	2.0E-4	2.8E-4	4.2E-3	2.4E-4	2.9E-4
26	5.4E-3	5.1E-7	1.7E-4	2.3E-4	4.1E-3	2.4E-4	2.9E-4
27	5.3E-3	4.9E-7	1.4E-4	1.9E-4	4.0E-3	2.4E-4	2.9E-4
28	5.2E-3	4.8E-7	1.1E-4	1.6E-4	3.9E-3	2.4E-4	3.0E-4
29	5.1E-3	4.6E-7	9.4E-5	1.3E-4	3.8E-3	2.4E-4	3.0E-4
30	5.0E-3	4.5E-7	7.8E-5	1.1E-4	3.7E-3	2.4E-4	3.0E-4
31	4.9E-3	4.4E-7	6.5E-5	9.2E-5	3.7E-3	2.4E-4	3.0E-4
32	4.8E-3	4.3E-7	5.4E-5	7.7E-5	3.6E-3	2.4E-4	3.0E-4
33	4.8E-3	4.2E-7	4.5E-5	6.5E-5	3.6E-3	2.4E-4	3.0E-4
34	4.7E-3	4.1E-7	3.8E-5	5.6E-5	3.5E-3	2.5E-4	3.0E-4
35	4.7E-3	4.0E-7	3.2E-5	4.8E-5	3.5E-3	2.5E-4	3.0E-4
36	4.6E-3	3.9E-7	2.7E-5	4.1E-5	3.5E-3	2.5E-4	3.0E-4
37	4.6E-3	3.9E-7	2.4E-5	3.6E-5	3.4E-3	2.5E-4	3.0E-4
38	4.6E-3	3.8E-7	2.0E-5	3.1E-5	3.4E-3	2.5E-4	3.0E-4
39	4.6E-3	3.8E-7	1.8E-5	2.8E-5	3.4E-3	2.5E-4	3.0E-4
40	4.5E-3	3.7E-7	1.6E-5	2.5E-5	3.4E-3	2.5E-4	3.0E-4
41	4.5E-3	3.7E-7	1.4E-5	2.3E-5	3.4E-3	2.5E-4	3.1E-4
42	4.5E-3	3.6E-7	1.2E-5	2.1E-5	3.3E-3	2.5E-4	3.1E-4
43	4.5E-3	3.6E-7	1.1E-5	1.9E-5	3.3E-3	2.5E-4	3.1E-4
44	4.4E-3	3.6E-7	1.0E-5	1.8E-5	3.3E-3	2.5E-4	3.1E-4
45	4.4E-3	3.5E-7	9.5E-6	1.6E-5	3.3E-3	2.6E-4	3.1E-4
46	4.4E-3	3.5E-7	8.8E-6	1.6E-5	3.3E-3	2.6E-4	3.1E-4
47	4.4E-3	3.5E-7	8.3E-6	1.5E-5	3.2E-3	2.6E-4	3.1E-4
48	4.4E-3	3.5E-7	7.8E-6	1.4E-5	3.2E-3	2.6E-4	3.1E-4
49	4.4E-3	3.4E-7	7.4E-6	1.4E-5	3.2E-3	2.6E-4	3.1E-4
50	4.3E-3	3.4E-7	7.1E-6	1.3E-5	3.2E-3	2.6E-4	3.1E-4
51	4.3E-3	3.4E-7	6.9E-6	1.3E-5	3.2E-3	2.6E-4	3.1E-4
52	4.3E-3	3.4E-7	6.6E-6	1.3E-5	3.2E-3	2.6E-4	3.1E-4
53	4.3E-3	3.4E-7	6.5E-6	1.2E-5	3.1E-3	2.6E-4	3.1E-4
54	4.3E-3	3.3E-7	6.3E-6	1.2E-5	3.1E-3	2.6E-4	3.1E-4
55	4.3E-3	3.3E-7	6.2E-6	1.2E-5	3.1E-3	2.6E-4	3.1E-4
56	4.2E-3	3.3E-7	6.0E-6	1.2E-5	3.1E-3	2.6E-4	3.1E-4
57	4.2E-3	3.3E-7	5.9E-6	1.2E-5	3.1E-3	2.7E-4	3.2E-4
58	4.2E-3	3.3E-7	5.9E-6	1.1E-5	3.1E-3	2.7E-4	3.2E-4
59	4.2E-3	3.3E-7	5.8E-6	1.1E-5	3.1E-3	2.7E-4	3.2E-4
60	4.2E-3	3.3E-7	5.7E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
61	4.2E-3	3.2E-7	5.6E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
62	4.2E-3	3.2E-7	5.6E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
63	4.1E-3	3.2E-7	5.5E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
64	4.1E-3	3.2E-7	5.5E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
65	4.1E-3	3.2E-7	5.4E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
66	4.1E-3	3.2E-7	5.4E-6	1.1E-5	3.0E-3	2.7E-4	3.2E-4
67	4.1E-3	3.2E-7	5.3E-6	1.1E-5	2.9E-3	2.7E-4	3.2E-4
68	4.1E-3	3.1E-7	5.3E-6	1.1E-5	2.9E-3	2.7E-4	3.2E-4
69	4.1E-3	3.1E-7	5.3E-6	1.1E-5	2.9E-3	2.7E-4	3.2E-4
70	4.0E-3	3.1E-7	5.2E-6	1.0E-5	2.9E-3	2.7E-4	3.2E-4
71	4.0E-3	3.1E-7	5.2E-6	1.0E-5	2.9E-3	2.8E-4	3.2E-4
72	4.0E-3	3.1E-7	5.2E-6	1.0E-5	2.9E-3	2.8E-4	3.2E-4
73	4.0E-3	3.1E-7	5.1E-6	1.0E-5	2.9E-3	2.8E-4	3.2E-4
74	4.0E-3	3.1E-7	5.1E-6	1.0E-5	2.8E-3	2.8E-4	3.2E-4
75	4.0E-3	3.1E-7	5.1E-6	1.0E-5	2.8E-3	2.8E-4	3.3E-4
76	4.0E-3	3.1E-7	5.0E-6	1.0E-5	2.8E-3	2.8E-4	3.3E-4
77	3.9E-3	3.1E-7	5.0E-6	1.0E-5	2.8E-3	2.8E-4	3.3E-4
78	3.9E-3	3.0E-7	5.0E-6	1.0E-5	2.8E-3	2.8E-4	3.3E-4
79	3.9E-3	3.0E-7	4.9E-6	1.0E-5	2.8E-3	2.8E-4	3.3E-4
80	3.9E-3	3.0E-7	4.9E-6	9.9E-6	2.8E-3	2.8E-4	3.3E-4
81	3.9E-3	3.0E-7	4.9E-6	9.9E-6	2.8E-3	2.8E-4	3.3E-4
