Radionuclide	Bi-205
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-2
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.7E-1	-	-	3.2E-1	1.5E-1	3.1E-4	1.5E-3
0.083333	9.6E-1	-	-	3.7E-1	1.2E-1	6.5E-4	3.3E-3
0.125	9.4E-1	-	-	4.0E-1	1.1E-1	1.0E-3	5.4E-3
0.25	9.1E-1	-	-	4.8E-1	8.1E-2	2.0E-3	1.1E-2
0.375	8.7E-1	-	-	5.2E-1	6.6E-2	2.9E-3	1.6E-2
0.5	8.4E-1	-	-	5.5E-1	5.6E-2	3.5E-3	2.0E-2
0.625	8.1E-1	-	-	5.6E-1	4.8E-2	4.0E-3	2.2E-2
0.75	7.7E-1	-	-	5.6E-1	4.1E-2	4.4E-3	2.4E-2
0.875	7.4E-1	-	-	5.5E-1	3.5E-2	4.7E-3	2.6E-2
1	6.9E-1	2.8E-2	9.4E-2	5.4E-1	3.0E-2	5.0E-3	2.7E-2
1.125	6.5E-1	-	-	5.1E-1	2.6E-2	5.2E-3	2.7E-2
1.25	6.0E-1	-	-	4.8E-1	2.2E-2	5.3E-3	2.8E-2
1.375	5.6E-1	-	-	4.5E-1	1.9E-2	5.5E-3	2.8E-2
1.5	5.1E-1	-	-	4.1E-1	1.6E-2	5.6E-3	2.8E-2
1.625	4.7E-1	-	-	3.8E-1	1.4E-2	5.6E-3	2.8E-2
1.75	4.3E-1	-	-	3.4E-1	1.2E-2	5.7E-3	2.8E-2
1.875	3.9E-1	-	-	3.1E-1	1.0E-2	5.7E-3	2.8E-2
2	3.5E-1	1.8E-2	2.8E-1	2.7E-1	8.8E-3	5.7E-3	2.8E-2
2.25	2.8E-1	-	-	2.1E-1	6.5E-3	5.8E-3	2.7E-2
2.5	2.3E-1	-	-	1.7E-1	4.8E-3	5.7E-3	2.6E-2
2.75	1.8E-1	-	-	1.3E-1	3.5E-3	5.7E-3	2.5E-2
3	1.5E-1	9.5E-3	1.8E-1	9.5E-2	2.6E-3	5.7E-3	2.4E-2
3.25	1.2E-1	-	-	7.1E-2	2.0E-3	5.6E-3	2.3E-2
3.5	9.9E-2	-	-	5.2E-2	1.5E-3	5.5E-3	2.2E-2
3.75	8.3E-2	-	-	3.9E-2	1.1E-3	5.5E-3	2.1E-2
4	7.1E-2	5.2E-3	6.5E-2	2.9E-2	8.3E-4	5.4E-3	2.1E-2
4.25	6.2E-2	-	-	2.2E-2	6.4E-4	5.3E-3	2.0E-2
4.5	5.4E-2	-	-	1.6E-2	4.9E-4	5.2E-3	1.9E-2
4.75	4.9E-2	-	-	1.2E-2	3.8E-4	5.1E-3	1.8E-2
5	4.5E-2	2.9E-3	2.0E-2	9.7E-3	3.0E-4	5.1E-3	1.8E-2
5.5	3.9E-2	-	-	6.2E-3	2.0E-4	4.9E-3	1.6E-2
6	3.4E-2	1.8E-3	6.5E-3	4.3E-3	1.4E-4	4.8E-3	1.5E-2
6.5	3.1E-2	-	-	3.2E-3	1.1E-4	4.6E-3	1.4E-2
7	2.9E-2	1.2E-3	2.7E-3	2.5E-3	8.7E-5	4.5E-3	1.3E-2
7.5	2.7E-2	-	-	2.1E-3	7.5E-5	4.3E-3	1.2E-2
8	2.5E-2	8.7E-4	1.5E-3	1.8E-3	6.7E-5	4.2E-3	1.2E-2
8.5	2.4E-2	-	-	1.5E-3	6.2E-5	4.0E-3	1.1E-2
9	2.3E-2	6.9E-4	9.9E-4	1.3E-3	5.7E-5	3.9E-3	1.0E-2
9.5	2.1E-2	-	-	1.1E-3	5.4E-5	3.8E-3	9.7E-3
10	2.0E-2	5.8E-4	7.2E-4	1.0E-3	5.1E-5	3.6E-3	9.1E-3
11	1.8E-2	5.1E-4	5.4E-4	8.0E-4	4.6E-5	3.4E-3	8.2E-3
12	1.7E-2	4.5E-4	4.2E-4	6.5E-4	4.3E-5	3.2E-3	7.4E-3
13	1.5E-2	4.0E-4	3.4E-4	5.3E-4	3.9E-5	3.0E-3	6.6E-3
14	1.4E-2	3.6E-4	2.7E-4	4.5E-4	3.6E-5	2.8E-3	6.0E-3
15	1.3E-2	3.3E-4	2.3E-4	3.9E-4	3.3E-5	2.6E-3	5.4E-3
16	1.2E-2	3.0E-4	1.9E-4	3.4E-4	3.1E-5	2.4E-3	4.9E-3
17	1.1E-2	2.7E-4	1.6E-4	3.0E-4	2.8E-5	2.3E-3	4.4E-3
18	9.8E-3	2.5E-4	1.4E-4	2.6E-4	2.6E-5	2.1E-3	4.0E-3
19	9.0E-3	2.2E-4	1.2E-4	2.4E-4	2.5E-5	2.0E-3	3.6E-3
20	8.3E-3	2.0E-4	1.1E-4	2.1E-4	2.3E-5	1.8E-3	3.3E-3
21	7.7E-3	1.9E-4	9.8E-5	1.9E-4	2.1E-5	1.7E-3	3.0E-3
22	7.1E-3	1.7E-4	8.8E-5	1.8E-4	2.0E-5	1.6E-3	2.7E-3
23	6.5E-3	1.5E-4	7.9E-5	1.6E-4	1.9E-5	1.5E-3	2.5E-3
24	6.0E-3	1.4E-4	7.1E-5	1.5E-4	1.7E-5	1.4E-3	2.2E-3
25	5.6E-3	1.3E-4	6.4E-5	1.3E-4	1.6E-5	1.3E-3	2.0E-3
26	5.1E-3	1.2E-4	5.8E-5	1.2E-4	1.5E-5	1.2E-3	1.9E-3
27	4.8E-3	1.1E-4	5.3E-5	1.1E-4	1.4E-5	1.1E-3	1.7E-3
28	4.4E-3	9.8E-5	4.8E-5	1.0E-4	1.3E-5	1.0E-3	1.5E-3
29	4.1E-3	9.0E-5	4.4E-5	9.5E-5	1.3E-5	9.8E-4	1.4E-3
30	3.8E-3	8.2E-5	4.0E-5	8.7E-5	1.2E-5	9.1E-4	1.3E-3
31	3.5E-3	7.5E-5	3.7E-5	8.1E-5	1.1E-5	8.5E-4	1.2E-3
32	3.2E-3	6.9E-5	3.3E-5	7.4E-5	1.0E-5	7.9E-4	1.0E-3
33	3.0E-3	6.3E-5	3.1E-5	6.9E-5	9.8E-6	7.3E-4	9.5E-4
34	2.8E-3	5.8E-5	2.8E-5	6.3E-5	9.2E-6	6.8E-4	8.7E-4
35	2.6E-3	5.3E-5	2.6E-5	5.9E-5	8.6E-6	6.3E-4	7.9E-4
36	2.4E-3	4.9E-5	2.3E-5	5.4E-5	8.1E-6	5.9E-4	7.2E-4
37	2.2E-3	4.5E-5	2.1E-5	5.0E-5	7.6E-6	5.5E-4	6.6E-4
38	2.1E-3	4.1E-5	2.0E-5	4.6E-5	7.2E-6	5.1E-4	6.0E-4
39	1.9E-3	3.8E-5	1.8E-5	4.3E-5	6.7E-6	4.8E-4	5.4E-4
40	1.8E-3	3.4E-5	1.7E-5	4.0E-5	6.3E-6	4.4E-4	5.0E-4
41	1.7E-3	3.2E-5	1.5E-5	3.7E-5	6.0E-6	4.1E-4	4.5E-4
42	1.5E-3	2.9E-5	1.4E-5	3.4E-5	5.6E-6	3.8E-4	4.1E-4
43	1.4E-3	2.7E-5	1.3E-5	3.2E-5	5.3E-6	3.6E-4	3.7E-4
44	1.3E-3	2.5E-5	1.2E-5	2.9E-5	5.0E-6	3.3E-4	3.4E-4
45	1.2E-3	2.3E-5	1.1E-5	2.7E-5	4.7E-6	3.1E-4	3.1E-4
46	1.1E-3	2.1E-5	9.9E-6	2.5E-5	4.4E-6	2.9E-4	2.8E-4
47	1.1E-3	1.9E-5	9.1E-6	2.3E-5	4.2E-6	2.7E-4	2.6E-4
