Radionuclide	Sr-85
Route of Intake	Ingestion
Material	All other chemical forms, fA=0.25
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	9.8E-1	2.5E-3
0.083333	1.0E+0	-	-	9.3E-1	9.3E-3
0.125	1.0E+0	-	-	8.9E-1	1.8E-2
0.25	9.8E-1	-	-	8.1E-1	4.2E-2
0.375	9.6E-1	-	-	7.7E-1	5.7E-2
0.5	9.4E-1	-	-	7.4E-1	6.5E-2
0.625	9.1E-1	-	-	7.1E-1	7.0E-2
0.75	8.6E-1	-	-	6.7E-1	7.3E-2
0.875	8.2E-1	-	-	6.3E-1	7.5E-2
1	7.7E-1	4.6E-2	1.8E-1	5.8E-1	7.6E-2
1.125	7.2E-1	-	-	5.4E-1	7.7E-2
1.25	6.6E-1	-	-	4.9E-1	7.7E-2
1.375	6.1E-1	-	-	4.4E-1	7.7E-2
1.5	5.6E-1	-	-	3.9E-1	7.7E-2
1.625	5.1E-1	-	-	3.4E-1	7.7E-2
1.75	4.7E-1	-	-	3.0E-1	7.6E-2
1.875	4.3E-1	-	-	2.6E-1	7.5E-2
2	3.9E-1	1.8E-2	3.5E-1	2.3E-1	7.5E-2
2.25	3.3E-1	-	-	1.7E-1	7.3E-2
2.5	2.8E-1	-	-	1.3E-1	7.1E-2
2.75	2.4E-1	-	-	9.3E-2	6.9E-2
3	2.1E-1	1.2E-2	1.6E-1	6.7E-2	6.7E-2
3.25	1.9E-1	-	-	4.9E-2	6.5E-2
3.5	1.7E-1	-	-	3.6E-2	6.4E-2
3.75	1.6E-1	-	-	2.6E-2	6.2E-2
4	1.5E-1	8.5E-3	4.9E-2	2.0E-2	6.0E-2
4.25	1.4E-1	-	-	1.5E-2	5.9E-2
4.5	1.4E-1	-	-	1.2E-2	5.8E-2
4.75	1.3E-1	-	-	9.2E-3	5.7E-2
5	1.3E-1	6.6E-3	1.4E-2	7.6E-3	5.5E-2
5.5	1.2E-1	-	-	5.6E-3	5.4E-2
6	1.2E-1	5.3E-3	4.5E-3	4.5E-3	5.2E-2
6.5	1.1E-1	-	-	3.9E-3	5.1E-2
