Radionuclide	Sr-85
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	3.2E-1	-	-	2.6E-2	2.5E-1	7.4E-4
0.083333	3.2E-1	-	-	3.1E-2	2.5E-1	1.8E-3
0.125	3.2E-1	-	-	3.4E-2	2.4E-1	3.0E-3
0.25	3.2E-1	-	-	4.2E-2	2.3E-1	6.3E-3
0.375	3.1E-1	-	-	4.7E-2	2.2E-1	8.9E-3
0.5	3.1E-1	-	-	5.1E-2	2.1E-1	1.1E-2
0.625	3.1E-1	-	-	5.3E-2	2.1E-1	1.3E-2
0.75	3.0E-1	-	-	5.4E-2	2.0E-1	1.4E-2
0.875	3.0E-1	-	-	5.4E-2	2.0E-1	1.5E-2
1	2.9E-1	8.9E-3	8.6E-3	5.3E-2	2.0E-1	1.6E-2
1.125	2.9E-1	-	-	5.2E-2	2.0E-1	1.6E-2
1.25	2.9E-1	-	-	5.0E-2	1.9E-1	1.6E-2
1.375	2.8E-1	-	-	4.7E-2	1.9E-1	1.7E-2
1.5	2.8E-1	-	-	4.5E-2	1.9E-1	1.7E-2
1.625	2.7E-1	-	-	4.2E-2	1.9E-1	1.7E-2
1.75	2.7E-1	-	-	3.9E-2	1.9E-1	1.7E-2
1.875	2.6E-1	-	-	3.7E-2	1.9E-1	1.7E-2
2	2.6E-1	4.9E-3	2.8E-2	3.4E-2	1.9E-1	1.7E-2
2.25	2.5E-1	-	-	2.9E-2	1.8E-1	1.7E-2
2.5	2.4E-1	-	-	2.4E-2	1.8E-1	1.6E-2
2.75	2.4E-1	-	-	2.1E-2	1.8E-1	1.6E-2
3	2.3E-1	3.1E-3	2.1E-2	1.8E-2	1.8E-1	1.6E-2
3.25	2.3E-1	-	-	1.5E-2	1.8E-1	1.5E-2
3.5	2.2E-1	-	-	1.3E-2	1.8E-1	1.5E-2
3.75	2.2E-1	-	-	1.2E-2	1.7E-1	1.5E-2
4	2.1E-1	2.3E-3	1.1E-2	1.0E-2	1.7E-1	1.5E-2
4.25	2.1E-1	-	-	9.5E-3	1.7E-1	1.4E-2
4.5	2.1E-1	-	-	8.7E-3	1.7E-1	1.4E-2
4.75	2.1E-1	-	-	8.0E-3	1.7E-1	1.4E-2
5	2.0E-1	1.9E-3	6.4E-3	7.5E-3	1.7E-1	1.4E-2
5.5	2.0E-1	-	-	6.6E-3	1.6E-1	1.3E-2
6	2.0E-1	1.6E-3	4.3E-3	5.9E-3	1.6E-1	1.3E-2
6.5	1.9E-1	-	-	5.3E-3	1.6E-1	1.3E-2
7	1.9E-1	1.4E-3	3.4E-3	4.9E-3	1.6E-1	1.3E-2
7.5	1.9E-1	-	-	4.4E-3	1.5E-1	1.2E-2
8	1.8E-1	1.2E-3	2.7E-3	4.1E-3	1.5E-1	1.2E-2
8.5	1.8E-1	-	-	3.8E-3	1.5E-1	1.2E-2
9	1.8E-1	1.1E-3	2.3E-3	3.5E-3	1.5E-1	1.2E-2
9.5	1.7E-1	-	-	3.2E-3	1.5E-1	1.2E-2
10	1.7E-1	1.0E-3	1.9E-3	3.0E-3	1.4E-1	1.2E-2
11	1.7E-1	9.3E-4	1.6E-3	2.6E-3	1.4E-1	1.2E-2
12	1.6E-1	8.7E-4	1.4E-3	2.2E-3	1.4E-1	1.2E-2
13	1.6E-1	8.1E-4	1.2E-3	2.0E-3	1.4E-1	1.2E-2
14	1.6E-1	7.7E-4	1.0E-3	1.7E-3	1.3E-1	1.2E-2
15	1.5E-1	7.3E-4	9.2E-4	1.6E-3	1.3E-1	1.2E-2
16	1.5E-1	6.9E-4	8.2E-4	1.4E-3	1.3E-1	1.2E-2
17	1.5E-1	6.6E-4	7.4E-4	1.3E-3	1.3E-1	1.2E-2
18	1.4E-1	6.4E-4	6.7E-4	1.2E-3	1.2E-1	1.2E-2
19	1.4E-1	6.1E-4	6.1E-4	1.1E-3	1.2E-1	1.2E-2
20	1.4E-1	5.9E-4	5.6E-4	1.0E-3	1.2E-1	1.2E-2
21	1.4E-1	5.6E-4	5.2E-4	9.6E-4	1.2E-1	1.2E-2
22	1.3E-1	5.4E-4	4.8E-4	9.0E-4	1.1E-1	1.2E-2
23	1.3E-1	5.2E-4	4.6E-4	8.5E-4	1.1E-1	1.2E-2
24	1.3E-1	5.1E-4	4.3E-4	8.1E-4	1.1E-1	1.2E-2
25	1.3E-1	4.9E-4	4.1E-4	7.8E-4	1.1E-1	1.2E-2
26	1.2E-1	4.7E-4	3.9E-4	7.4E-4	1.1E-1	1.2E-2
27	1.2E-1	4.6E-4	3.7E-4	7.1E-4	1.0E-1	1.2E-2
28	1.2E-1	4.5E-4	3.6E-4	6.9E-4	1.0E-1	1.2E-2
29	1.2E-1	4.3E-4	3.5E-4	6.7E-4	1.0E-1	1.2E-2
30	1.2E-1	4.2E-4	3.3E-4	6.4E-4	9.9E-2	1.2E-2
31	1.1E-1	4.1E-4	3.2E-4	6.2E-4	9.7E-2	1.2E-2
32	1.1E-1	4.0E-4	3.1E-4	6.1E-4	9.5E-2	1.2E-2
33	1.1E-1	3.9E-4	3.0E-4	5.9E-4	9.4E-2	1.2E-2
34	1.1E-1	3.8E-4	3.0E-4	5.7E-4	9.2E-2	1.2E-2
35	1.1E-1	3.7E-4	2.9E-4	5.6E-4	9.0E-2	1.2E-2
36	1.1E-1	3.6E-4	2.8E-4	5.4E-4	8.9E-2	1.2E-2
37	1.0E-1	3.5E-4	2.7E-4	5.3E-4	8.7E-2	1.2E-2
38	1.0E-1	3.4E-4	2.7E-4	5.2E-4	8.6E-2	1.2E-2
39	1.0E-1	3.3E-4	2.6E-4	5.1E-4	8.4E-2	1.1E-2
40	9.8E-2	3.2E-4	2.6E-4	4.9E-4	8.3E-2	1.1E-2
41	9.7E-2	3.2E-4	2.5E-4	4.8E-4	8.1E-2	1.1E-2
42	9.5E-2	3.1E-4	2.5E-4	4.7E-4	8.0E-2	1.1E-2
43	9.4E-2	3.0E-4	2.4E-4	4.6E-4	7.9E-2	1.1E-2
44	9.2E-2	2.9E-4	2.3E-4	4.5E-4	7.7E-2	1.1E-2
45	9.1E-2	2.9E-4	2.3E-4	4.4E-4	7.6E-2	1.1E-2
46	8.9E-2	2.8E-4	2.3E-4	4.3E-4	7.4E-2	1.1E-2
47	8.8E-2	2.8E-4	2.2E-4	4.2E-4	7.3E-2	1.1E-2
48	8.6E-2	2.7E-4	2.2E-4	4.2E-4	7.2E-2	1.1E-2
49	8.5E-2	2.6E-4	2.1E-4	4.1E-4	7.1E-2	1.1E-2
50	8.3E-2	2.6E-4	2.1E-4	4.0E-4	6.9E-2	1.1E-2
51	8.2E-2	2.5E-4	2.0E-4	3.9E-4	6.8E-2	1.1E-2
52	8.1E-2	2.5E-4	2.0E-4	3.8E-4	6.7E-2	1.1E-2
53	7.9E-2	2.4E-4	2.0E-4	3.8E-4	6.6E-2	1.1E-2
54	7.8E-2	2.4E-4	1.9E-4	3.7E-4	6.5E-2	1.1E-2
55	7.7E-2	2.3E-4	1.9E-4	3.6E-4	6.4E-2	1.1E-2
56	7.6E-2	2.3E-4	1.8E-4	3.5E-4	6.2E-2	1.0E-2
57	7.4E-2	2.3E-4	1.8E-4	3.5E-4	6.1E-2	1.0E-2
58	7.3E-2	2.2E-4	1.8E-4	3.4E-4	6.0E-2	1.0E-2
59	7.2E-2	2.2E-4	1.7E-4	3.3E-4	5.9E-2	1.0E-2
60	7.1E-2	2.1E-4	1.7E-4	3.3E-4	5.8E-2	1.0E-2
61	7.0E-2	2.1E-4	1.7E-4	3.2E-4	5.7E-2	1.0E-2
62	6.9E-2	2.0E-4	1.7E-4	3.2E-4	5.6E-2	1.0E-2
63	6.8E-2	2.0E-4	1.6E-4	3.1E-4	5.5E-2	1.0E-2
64	6.7E-2	2.0E-4	1.6E-4	3.0E-4	5.4E-2	9.9E-3
65	6.6E-2	1.9E-4	1.6E-4	3.0E-4	5.3E-2	9.9E-3
66	6.4E-2	1.9E-4	1.5E-4	2.9E-4	5.2E-2	9.8E-3
67	6.3E-2	1.9E-4	1.5E-4	2.9E-4	5.1E-2	9.7E-3
68	6.2E-2	1.8E-4	1.5E-4	2.8E-4	5.1E-2	9.7E-3
69	6.1E-2	1.8E-4	1.4E-4	2.8E-4	5.0E-2	9.6E-3
70	6.0E-2	1.8E-4	1.4E-4	2.7E-4	4.9E-2	9.5E-3
71	6.0E-2	1.7E-4	1.4E-4	2.7E-4	4.8E-2	9.5E-3
72	5.9E-2	1.7E-4	1.4E-4	2.6E-4	4.7E-2	9.4E-3
73	5.8E-2	1.7E-4	1.3E-4	2.6E-4	4.6E-2	9.3E-3
74	5.7E-2	1.6E-4	1.3E-4	2.5E-4	4.6E-2	9.3E-3
75	5.6E-2	1.6E-4	1.3E-4	2.5E-4	4.5E-2	9.2E-3
76	5.5E-2	1.6E-4	1.3E-4	2.4E-4	4.4E-2	9.1E-3
