Radionuclide	Th-234
Route of Intake	Ingestion
Material	All forms, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.0E+0	3.2E-6	3.6E-6
0.083333	1.0E+0	-	-	1.0E+0	1.1E-5	1.0E-5
0.125	1.0E+0	-	-	1.0E+0	2.3E-5	1.7E-5
0.25	9.9E-1	-	-	9.9E-1	6.5E-5	2.8E-5
0.375	9.8E-1	-	-	9.8E-1	1.1E-4	3.1E-5
0.5	9.6E-1	-	-	9.5E-1	1.4E-4	3.0E-5
0.625	9.2E-1	-	-	9.2E-1	1.7E-4	2.8E-5
0.75	8.8E-1	-	-	8.8E-1	1.9E-4	2.6E-5
0.875	8.2E-1	-	-	8.2E-1	2.1E-4	2.4E-5
1	7.6E-1	1.6E-5	2.1E-1	7.6E-1	2.2E-4	2.3E-5
1.125	7.0E-1	-	-	7.0E-1	2.3E-4	2.2E-5
1.25	6.3E-1	-	-	6.3E-1	2.4E-4	2.1E-5
1.375	5.7E-1	-	-	5.7E-1	2.4E-4	2.1E-5
1.5	5.1E-1	-	-	5.1E-1	2.5E-4	2.1E-5
1.625	4.5E-1	-	-	4.5E-1	2.5E-4	2.0E-5
1.75	3.9E-1	-	-	3.9E-1	2.5E-4	2.0E-5
1.875	3.4E-1	-	-	3.4E-1	2.6E-4	2.0E-5
2	3.0E-1	5.0E-6	4.5E-1	3.0E-1	2.6E-4	2.0E-5
2.25	2.2E-1	-	-	2.2E-1	2.6E-4	2.0E-5
2.5	1.6E-1	-	-	1.6E-1	2.7E-4	2.0E-5
2.75	1.1E-1	-	-	1.1E-1	2.7E-4	2.0E-5
3	8.0E-2	2.2E-6	2.1E-1	8.0E-2	2.7E-4	2.0E-5
3.25	5.6E-2	-	-	5.5E-2	2.7E-4	2.0E-5
3.5	3.9E-2	-	-	3.8E-2	2.7E-4	2.0E-5
3.75	2.7E-2	-	-	2.6E-2	2.7E-4	2.0E-5
4	1.8E-2	1.6E-6	5.9E-2	1.8E-2	2.8E-4	2.0E-5
4.25	1.2E-2	-	-	1.2E-2	2.8E-4	2.0E-5
4.5	8.5E-3	-	-	8.1E-3	2.8E-4	2.0E-5
4.75	5.8E-3	-	-	5.4E-3	2.8E-4	2.0E-5
5	4.0E-3	1.3E-6	1.4E-2	3.6E-3	2.8E-4	2.0E-5
5.5	2.0E-3	-	-	1.6E-3	2.8E-4	2.0E-5
6	1.1E-3	1.1E-6	2.8E-3	6.7E-4	2.8E-4	2.0E-5
6.5	6.7E-4	-	-	2.8E-4	2.7E-4	2.0E-5
7	5.0E-4	8.8E-7	5.3E-4	1.2E-4	2.7E-4	2.0E-5
7.5	4.3E-4	-	-	5.1E-5	2.7E-4	1.9E-5
8	3.9E-4	7.5E-7	9.4E-5	2.2E-5	2.7E-4	1.9E-5
8.5	3.7E-4	-	-	9.7E-6	2.7E-4	1.9E-5
9	3.6E-4	6.4E-7	1.6E-5	4.8E-6	2.6E-4	1.9E-5
9.5	3.6E-4	-	-	2.8E-6	2.6E-4	1.9E-5
10	3.5E-4	5.6E-7	2.7E-6	1.9E-6	2.6E-4	1.8E-5
11	3.4E-4	4.9E-7	4.6E-7	1.4E-6	2.5E-4	1.8E-5
12	3.3E-4	4.4E-7	8.8E-8	1.2E-6	2.5E-4	1.7E-5
13	3.2E-4	3.9E-7	2.7E-8	1.1E-6	2.4E-4	1.7E-5
14	3.1E-4	3.5E-7	1.5E-8	1.1E-6	2.3E-4	1.6E-5
15	3.0E-4	3.2E-7	1.2E-8	1.0E-6	2.3E-4	1.6E-5
16	2.9E-4	2.9E-7	1.0E-8	1.0E-6	2.2E-4	1.6E-5
17	2.8E-4	2.7E-7	9.3E-9	9.7E-7	2.1E-4	1.5E-5
18	2.7E-4	2.5E-7	8.5E-9	9.4E-7	2.1E-4	1.5E-5
19	2.7E-4	2.3E-7	7.9E-9	9.1E-7	2.0E-4	1.4E-5
20	2.6E-4	2.1E-7	7.4E-9	8.8E-7	2.0E-4	1.4E-5
21	2.5E-4	1.9E-7	7.0E-9	8.5E-7	1.9E-4	1.3E-5
22	2.4E-4	1.8E-7	6.7E-9	8.3E-7	1.9E-4	1.3E-5
23	2.4E-4	1.7E-7	6.4E-9	8.0E-7	1.8E-4	1.3E-5
24	2.3E-4	1.5E-7	6.1E-9	7.8E-7	1.8E-4	1.2E-5
25	2.2E-4	1.4E-7	5.9E-9	7.5E-7	1.7E-4	1.2E-5
26	2.2E-4	1.3E-7	5.7E-9	7.3E-7	1.7E-4	1.2E-5
27	2.1E-4	1.2E-7	5.5E-9	7.1E-7	1.6E-4	1.1E-5
28	2.0E-4	1.1E-7	5.3E-9	6.9E-7	1.6E-4	1.1E-5
29	2.0E-4	1.1E-7	5.2E-9	6.7E-7	1.5E-4	1.1E-5
30	1.9E-4	9.8E-8	5.0E-9	6.5E-7	1.5E-4	1.0E-5
31	1.9E-4	9.1E-8	4.8E-9	6.3E-7	1.4E-4	1.0E-5
32	1.8E-4	8.5E-8	4.7E-9	6.1E-7	1.4E-4	9.7E-6
