Radionuclide	K-40
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	6.4E-2	3.9E-2	1.1E-2	3.0E-2
0.083333	5.0E-1	-	-	3.9E-2	1.3E-2	1.8E-2	3.2E-2
0.125	4.9E-1	-	-	2.6E-2	5.3E-3	2.3E-2	2.9E-2
0.25	4.8E-1	-	-	1.6E-2	2.3E-3	3.1E-2	2.2E-2
0.375	4.7E-1	-	-	1.3E-2	2.2E-3	3.4E-2	2.0E-2
0.5	4.6E-1	-	-	1.2E-2	2.2E-3	3.6E-2	1.9E-2
0.625	4.5E-1	-	-	1.0E-2	2.3E-3	3.7E-2	1.8E-2
0.75	4.5E-1	-	-	9.6E-3	2.3E-3	3.7E-2	1.7E-2
0.875	4.4E-1	-	-	8.8E-3	2.4E-3	3.7E-2	1.7E-2
1	4.4E-1	1.1E-2	7.2E-4	8.3E-3	2.5E-3	3.6E-2	1.7E-2
1.125	4.4E-1	-	-	7.8E-3	2.5E-3	3.6E-2	1.6E-2
1.25	4.3E-1	-	-	7.5E-3	2.6E-3	3.6E-2	1.6E-2
1.375	4.3E-1	-	-	7.1E-3	2.7E-3	3.5E-2	1.6E-2
1.5	4.3E-1	-	-	6.9E-3	2.7E-3	3.5E-2	1.6E-2
1.625	4.3E-1	-	-	6.7E-3	2.8E-3	3.4E-2	1.6E-2
1.75	4.2E-1	-	-	6.5E-3	2.8E-3	3.4E-2	1.6E-2
1.875	4.2E-1	-	-	6.3E-3	2.9E-3	3.4E-2	1.6E-2
2	4.2E-1	8.6E-3	2.0E-3	6.1E-3	2.9E-3	3.4E-2	1.6E-2
2.25	4.2E-1	-	-	5.9E-3	3.0E-3	3.3E-2	1.6E-2
2.5	4.1E-1	-	-	5.7E-3	3.1E-3	3.3E-2	1.6E-2
2.75	4.1E-1	-	-	5.6E-3	3.2E-3	3.3E-2	1.6E-2
3	4.1E-1	8.2E-3	1.8E-3	5.5E-3	3.2E-3	3.2E-2	1.6E-2
3.25	4.1E-1	-	-	5.4E-3	3.3E-3	3.2E-2	1.6E-2
3.5	4.0E-1	-	-	5.3E-3	3.3E-3	3.2E-2	1.6E-2
3.75	4.0E-1	-	-	5.3E-3	3.4E-3	3.2E-2	1.5E-2
4	4.0E-1	7.9E-3	1.5E-3	5.3E-3	3.4E-3	3.2E-2	1.5E-2
4.25	4.0E-1	-	-	5.2E-3	3.5E-3	3.1E-2	1.5E-2
4.5	3.9E-1	-	-	5.2E-3	3.5E-3	3.1E-2	1.5E-2
4.75	3.9E-1	-	-	5.2E-3	3.5E-3	3.1E-2	1.5E-2
5	3.9E-1	7.7E-3	1.3E-3	5.2E-3	3.5E-3	3.1E-2	1.5E-2
5.5	3.9E-1	-	-	5.1E-3	3.5E-3	3.0E-2	1.5E-2
6	3.8E-1	7.5E-3	1.2E-3	5.1E-3	3.5E-3	3.0E-2	1.5E-2
6.5	3.8E-1	-	-	5.0E-3	3.5E-3	3.0E-2	1.5E-2
7	3.7E-1	7.3E-3	1.2E-3	5.0E-3	3.5E-3	2.9E-2	1.5E-2
7.5	3.7E-1	-	-	5.0E-3	3.5E-3	2.9E-2	1.4E-2
8	3.6E-1	7.2E-3	1.1E-3	4.9E-3	3.5E-3	2.9E-2	1.4E-2
8.5	3.6E-1	-	-	4.9E-3	3.5E-3	2.8E-2	1.4E-2
9	3.6E-1	7.0E-3	1.1E-3	4.8E-3	3.5E-3	2.8E-2	1.4E-2
9.5	3.5E-1	-	-	4.8E-3	3.4E-3	2.8E-2	1.4E-2
10	3.5E-1	6.8E-3	1.1E-3	4.7E-3	3.4E-3	2.7E-2	1.4E-2
11	3.4E-1	6.7E-3	1.0E-3	4.6E-3	3.3E-3	2.7E-2	1.3E-2
12	3.3E-1	6.5E-3	1.0E-3	4.5E-3	3.3E-3	2.6E-2	1.3E-2
13	3.2E-1	6.4E-3	9.9E-4	4.4E-3	3.2E-3	2.6E-2	1.3E-2
14	3.2E-1	6.2E-3	9.7E-4	4.3E-3	3.1E-3	2.5E-2	1.2E-2
15	3.1E-1	6.1E-3	9.5E-4	4.2E-3	3.1E-3	2.4E-2	1.2E-2
16	3.0E-1	5.9E-3	9.3E-4	4.1E-3	3.0E-3	2.4E-2	1.2E-2
17	2.9E-1	5.8E-3	9.1E-4	4.0E-3	2.9E-3	2.3E-2	1.2E-2
18	2.9E-1	5.7E-3	8.8E-4	3.9E-3	2.9E-3	2.3E-2	1.1E-2
19	2.8E-1	5.5E-3	8.6E-4	3.8E-3	2.8E-3	2.2E-2	1.1E-2
20	2.8E-1	5.4E-3	8.4E-4	3.8E-3	2.7E-3	2.2E-2	1.1E-2
21	2.7E-1	5.3E-3	8.2E-4	3.7E-3	2.7E-3	2.1E-2	1.1E-2
22	2.6E-1	5.2E-3	8.1E-4	3.6E-3	2.6E-3	2.1E-2	1.0E-2
23	2.6E-1	5.0E-3	7.9E-4	3.5E-3	2.6E-3	2.0E-2	1.0E-2
24	2.5E-1	4.9E-3	7.7E-4	3.4E-3	2.5E-3	2.0E-2	9.9E-3
25	2.5E-1	4.8E-3	7.5E-4	3.3E-3	2.4E-3	1.9E-2	9.7E-3
26	2.4E-1	4.7E-3	7.3E-4	3.3E-3	2.4E-3	1.9E-2	9.4E-3
27	2.3E-1	4.6E-3	7.2E-4	3.2E-3	2.3E-3	1.8E-2	9.2E-3
28	2.3E-1	4.5E-3	7.0E-4	3.1E-3	2.3E-3	1.8E-2	9.0E-3
29	2.2E-1	4.4E-3	6.9E-4	3.1E-3	2.2E-3	1.8E-2	8.8E-3
30	2.2E-1	4.3E-3	6.7E-4	3.0E-3	2.2E-3	1.7E-2	8.6E-3
31	2.1E-1	4.2E-3	6.5E-4	2.9E-3	2.1E-3	1.7E-2	8.4E-3
32	2.1E-1	4.1E-3	6.4E-4	2.8E-3	2.1E-3	1.6E-2	8.2E-3
33	2.0E-1	4.0E-3	6.2E-4	2.8E-3	2.0E-3	1.6E-2	8.0E-3
34	2.0E-1	3.9E-3	6.1E-4	2.7E-3	2.0E-3	1.6E-2	7.8E-3
35	1.9E-1	3.8E-3	6.0E-4	2.7E-3	1.9E-3	1.5E-2	7.7E-3
36	1.9E-1	3.7E-3	5.8E-4	2.6E-3	1.9E-3	1.5E-2	7.5E-3
37	1.9E-1	3.6E-3	5.7E-4	2.5E-3	1.8E-3	1.5E-2	7.3E-3
38	1.8E-1	3.6E-3	5.6E-4	2.5E-3	1.8E-3	1.4E-2	7.1E-3
39	1.8E-1	3.5E-3	5.4E-4	2.4E-3	1.8E-3	1.4E-2	7.0E-3
40	1.7E-1	3.4E-3	5.3E-4	2.4E-3	1.7E-3	1.4E-2	6.8E-3
41	1.7E-1	3.3E-3	5.2E-4	2.3E-3	1.7E-3	1.3E-2	6.7E-3
42	1.7E-1	3.3E-3	5.1E-4	2.3E-3	1.6E-3	1.3E-2	6.5E-3
43	1.6E-1	3.2E-3	5.0E-4	2.2E-3	1.6E-3	1.3E-2	6.4E-3
44	1.6E-1	3.1E-3	4.8E-4	2.2E-3	1.6E-3	1.2E-2	6.2E-3
45	1.5E-1	3.0E-3	4.7E-4	2.1E-3	1.5E-3	1.2E-2	6.1E-3
46	1.5E-1	3.0E-3	4.6E-4	2.1E-3	1.5E-3	1.2E-2	5.9E-3
47	1.5E-1	2.9E-3	4.5E-4	2.0E-3	1.5E-3	1.2E-2	5.8E-3
48	1.4E-1	2.8E-3	4.4E-4	2.0E-3	1.4E-3	1.1E-2	5.7E-3
49	1.4E-1	2.8E-3	4.3E-4	1.9E-3	1.4E-3	1.1E-2	5.5E-3
50	1.4E-1	2.7E-3	4.2E-4	1.9E-3	1.4E-3	1.1E-2	5.4E-3
51	1.3E-1	2.6E-3	4.1E-4	1.8E-3	1.3E-3	1.1E-2	5.3E-3
52	1.3E-1	2.6E-3	4.0E-4	1.8E-3	1.3E-3	1.0E-2	5.2E-3
53	1.3E-1	2.5E-3	3.9E-4	1.7E-3	1.3E-3	1.0E-2	5.0E-3
54	1.3E-1	2.5E-3	3.8E-4	1.7E-3	1.2E-3	9.9E-3	4.9E-3
55	1.2E-1	2.4E-3	3.8E-4	1.7E-3	1.2E-3	9.7E-3	4.8E-3
56	1.2E-1	2.3E-3	3.7E-4	1.6E-3	1.2E-3	9.4E-3	4.7E-3
57	1.2E-1	2.3E-3	3.6E-4	1.6E-3	1.2E-3	9.2E-3	4.6E-3
58	1.1E-1	2.2E-3	3.5E-4	1.6E-3	1.1E-3	9.0E-3	4.5E-3
59	1.1E-1	2.2E-3	3.4E-4	1.5E-3	1.1E-3	8.8E-3	4.4E-3
60	1.1E-1	2.1E-3	3.3E-4	1.5E-3	1.1E-3	8.6E-3	4.3E-3
61	1.1E-1	2.1E-3	3.3E-4	1.5E-3	1.1E-3	8.4E-3	4.2E-3
62	1.0E-1	2.0E-3	3.2E-4	1.4E-3	1.0E-3	8.2E-3	4.1E-3
63	1.0E-1	2.0E-3	3.1E-4	1.4E-3	1.0E-3	8.0E-3	4.0E-3
64	9.9E-2	2.0E-3	3.0E-4	1.4E-3	9.9E-4	7.8E-3	3.9E-3
65	9.7E-2	1.9E-3	3.0E-4	1.3E-3	9.7E-4	7.7E-3	3.8E-3
66	9.5E-2	1.9E-3	2.9E-4	1.3E-3	9.4E-4	7.5E-3	3.7E-3
67	9.3E-2	1.8E-3	2.8E-4	1.3E-3	9.2E-4	7.3E-3	3.7E-3
68	9.0E-2	1.8E-3	2.8E-4	1.2E-3	9.0E-4	7.1E-3	3.6E-3
69	8.8E-2	1.7E-3	2.7E-4	1.2E-3	8.8E-4	7.0E-3	3.5E-3
70	8.6E-2	1.7E-3	2.6E-4	1.2E-3	8.6E-4	6.8E-3	3.4E-3
71	8.4E-2	1.7E-3	2.6E-4	1.2E-3	8.4E-4	6.7E-3	3.3E-3
72	8.2E-2	1.6E-3	2.5E-4	1.1E-3	8.2E-4	6.5E-3	3.3E-3
73	8.1E-2	1.6E-3	2.5E-4	1.1E-3	8.0E-4	6.4E-3	3.2E-3
74	7.9E-2	1.5E-3	2.4E-4	1.1E-3	7.8E-4	6.2E-3	3.1E-3
75	7.7E-2	1.5E-3	2.4E-4	1.1E-3	7.7E-4	6.1E-3	3.0E-3
76	7.5E-2	1.5E-3	2.3E-4	1.0E-3	7.5E-4	5.9E-3	3.0E-3
77	7.3E-2	1.4E-3	2.3E-4	1.0E-3	7.3E-4	5.8E-3	2.9E-3
78	7.2E-2	1.4E-3	2.2E-4	9.8E-4	7.1E-4	5.7E-3	2.8E-3
79	7.0E-2	1.4E-3	2.2E-4	9.6E-4	7.0E-4	5.5E-3	2.8E-3
80	6.8E-2	1.3E-3	2.1E-4	9.4E-4	6.8E-4	5.4E-3	2.7E-3
81	6.7E-2	1.3E-3	2.1E-4	9.1E-4	6.7E-4	5.3E-3	2.6E-3
82	6.5E-2	1.3E-3	2.0E-4	8.9E-4	6.5E-4	5.2E-3	2.6E-3
83	6.4E-2	1.3E-3	2.0E-4	8.7E-4	6.4E-4	5.0E-3	2.5E-3
84	6.2E-2	1.2E-3	1.9E-4	8.5E-4	6.2E-4	4.9E-3	2.5E-3
85	6.1E-2	1.2E-3	1.9E-4	8.3E-4	6.1E-4	4.8E-3	2.4E-3
86	6.0E-2	1.2E-3	1.8E-4	8.1E-4	5.9E-4	4.7E-3	2.4E-3
87	5.8E-2	1.1E-3	1.8E-4	8.0E-4	5.8E-4	4.6E-3	2.3E-3
88	5.7E-2	1.1E-3	1.7E-4	7.8E-4	5.7E-4	4.5E-3	2.2E-3
89	5.6E-2	1.1E-3	1.7E-4	7.6E-4	5.5E-4	4.4E-3	2.2E-3
90	5.4E-2	1.1E-3	1.7E-4	7.4E-4	5.4E-4	4.3E-3	2.1E-3
91	5.3E-2	1.0E-3	1.6E-4	7.3E-4	5.3E-4	4.2E-3	2.1E-3
92	5.2E-2	1.0E-3	1.6E-4	7.1E-4	5.2E-4	4.1E-3	2.0E-3
93	5.1E-2	1.0E-3	1.6E-4	6.9E-4	5.0E-4	4.0E-3	2.0E-3
94	5.0E-2	9.7E-4	1.5E-4	6.8E-4	4.9E-4	3.9E-3	2.0E-3
95	4.8E-2	9.5E-4	1.5E-4	6.6E-4	4.8E-4	3.8E-3	1.9E-3
96	4.7E-2	9.3E-4	1.5E-4	6.5E-4	4.7E-4	3.7E-3	1.9E-3
97	4.6E-2	9.1E-4	1.4E-4	6.3E-4	4.6E-4	3.7E-3	1.8E-3
98	4.5E-2	8.9E-4	1.4E-4	6.2E-4	4.5E-4	3.6E-3	1.8E-3
