Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type F/M: Uranyl nitrate, uranium peroxide hydrate, ammonium diuranate, uranium trioxide, fA=1.6E-2
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	3.5E-4	-	-	5.1E-5	2.1E-4	7.2E-7	6.2E-7
0.083333	7.0E-4	-	-	1.2E-4	4.1E-4	3.3E-6	2.1E-6
0.125	1.0E-3	-	-	2.0E-4	5.9E-4	7.9E-6	4.2E-6
0.25	2.0E-3	-	-	4.7E-4	1.1E-3	3.6E-5	1.3E-5
0.375	2.9E-3	-	-	7.9E-4	1.5E-3	8.5E-5	2.5E-5
0.5	3.8E-3	-	-	1.1E-3	1.8E-3	1.6E-4	3.9E-5
0.625	4.6E-3	-	-	1.5E-3	2.0E-3	2.4E-4	5.3E-5
0.75	5.4E-3	-	-	1.8E-3	2.2E-3	3.5E-4	6.7E-5
0.875	6.0E-3	-	-	2.0E-3	2.4E-3	4.7E-4	8.2E-5
1	6.6E-3	5.2E-2	1.3E-2	2.3E-3	2.5E-3	6.0E-4	9.6E-5
1.125	7.2E-3	-	-	2.4E-3	2.6E-3	7.4E-4	1.1E-4
1.25	7.7E-3	-	-	2.6E-3	2.7E-3	8.8E-4	1.2E-4
1.375	8.1E-3	-	-	2.7E-3	2.8E-3	1.0E-3	1.4E-4
1.5	8.4E-3	-	-	2.7E-3	2.8E-3	1.2E-3	1.5E-4
1.625	8.7E-3	-	-	2.7E-3	2.9E-3	1.3E-3	1.6E-4
1.75	9.0E-3	-	-	2.6E-3	2.9E-3	1.5E-3	1.7E-4
1.875	9.2E-3	-	-	2.6E-3	2.9E-3	1.6E-3	1.9E-4
