Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Uranium aluminide, fA=2E-3
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	6.0E-4	-	-	1.7E-4	1.6E-4	5.5E-10	4.6E-10
0.083333	1.2E-3	-	-	3.9E-4	3.1E-4	5.3E-9	3.0E-9
0.125	1.8E-3	-	-	6.4E-4	4.5E-4	1.8E-8	7.4E-9
0.25	3.5E-3	-	-	1.5E-3	8.9E-4	1.1E-7	2.7E-8
0.375	5.1E-3	-	-	2.5E-3	1.3E-3	2.9E-7	5.2E-8
0.5	6.6E-3	-	-	3.6E-3	1.7E-3	5.3E-7	8.0E-8
0.625	8.0E-3	-	-	4.7E-3	2.2E-3	8.2E-7	1.1E-7
0.75	9.3E-3	-	-	5.6E-3	2.6E-3	1.1E-6	1.4E-7
0.875	1.1E-2	-	-	6.5E-3	3.0E-3	1.5E-6	1.8E-7
1	1.2E-2	3.4E-4	4.4E-2	7.2E-3	3.4E-3	1.9E-6	2.1E-7
1.125	1.2E-2	-	-	7.8E-3	3.8E-3	2.2E-6	2.5E-7
1.25	1.3E-2	-	-	8.2E-3	4.2E-3	2.6E-6	2.9E-7
1.375	1.4E-2	-	-	8.4E-3	4.6E-3	3.0E-6	3.3E-7
1.5	1.4E-2	-	-	8.5E-3	5.0E-3	3.5E-6	3.6E-7
1.625	1.4E-2	-	-	8.5E-3	5.4E-3	3.9E-6	4.0E-7
1.75	1.4E-2	-	-	8.3E-3	5.8E-3	4.3E-6	4.5E-7
1.875	1.5E-2	-	-	8.0E-3	6.2E-3	4.7E-6	4.9E-7
2	1.5E-2	9.1E-5	1.4E-1	7.7E-3	6.6E-3	5.2E-6	5.3E-7
2.25	1.4E-2	-	-	6.9E-3	7.3E-3	6.0E-6	6.1E-7
2.5	1.4E-2	-	-	5.9E-3	8.1E-3	6.9E-6	7.0E-7
2.75	1.4E-2	-	-	5.0E-3	8.8E-3	7.9E-6	7.8E-7
3	1.4E-2	3.4E-5	9.2E-2	4.1E-3	9.6E-3	8.8E-6	8.7E-7
3.25	1.4E-2	-	-	3.4E-3	1.0E-2	9.7E-6	9.6E-7
3.5	1.4E-2	-	-	2.7E-3	1.1E-2	1.1E-5	1.0E-6
3.75	1.4E-2	-	-	2.2E-3	1.2E-2	1.2E-5	1.1E-6
4	1.4E-2	2.7E-5	3.6E-2	1.7E-3	1.2E-2	1.3E-5	1.2E-6
4.25	1.5E-2	-	-	1.4E-3	1.3E-2	1.4E-5	1.3E-6
4.5	1.5E-2	-	-	1.1E-3	1.4E-2	1.5E-5	1.4E-6
4.75	1.5E-2	-	-	9.4E-4	1.4E-2	1.6E-5	1.5E-6
5	1.6E-2	2.6E-5	1.2E-2	7.9E-4	1.5E-2	1.7E-5	1.6E-6
5.5	1.7E-2	-	-	5.9E-4	1.6E-2	1.9E-5	1.8E-6
6	1.8E-2	2.5E-5	4.1E-3	4.9E-4	1.8E-2	2.1E-5	2.0E-6
6.5	1.9E-2	-	-	4.3E-4	1.9E-2	2.4E-5	2.2E-6
7	2.1E-2	2.6E-5	2.0E-3	4.0E-4	2.0E-2	2.6E-5	2.4E-6
7.5	2.2E-2	-	-	3.8E-4	2.1E-2	2.9E-5	2.6E-6
8	2.3E-2	2.6E-5	1.3E-3	3.6E-4	2.2E-2	3.1E-5	2.8E-6
8.5	2.4E-2	-	-	3.5E-4	2.4E-2	3.4E-5	3.0E-6
9	2.5E-2	2.6E-5	1.1E-3	3.4E-4	2.5E-2	3.7E-5	3.3E-6
9.5	2.6E-2	-	-	3.3E-4	2.6E-2	4.0E-5	3.5E-6
10	2.7E-2	2.7E-5	8.9E-4	3.2E-4	2.7E-2	4.3E-5	3.7E-6
11	2.9E-2	2.7E-5	7.6E-4	3.0E-4	2.9E-2	5.0E-5	4.3E-6
12	3.2E-2	2.8E-5	6.6E-4	2.9E-4	3.1E-2	5.7E-5	4.8E-6
13	3.3E-2	2.9E-5	5.8E-4	2.7E-4	3.3E-2	6.4E-5	5.4E-6
14	3.5E-2	2.9E-5	5.1E-4	2.6E-4	3.5E-2	7.3E-5	6.0E-6
15	3.7E-2	3.0E-5	4.6E-4	2.4E-4	3.7E-2	8.1E-5	6.6E-6
16	3.9E-2	3.1E-5	4.1E-4	2.3E-4	3.9E-2	9.0E-5	7.3E-6
17	4.1E-2	3.2E-5	3.7E-4	2.3E-4	4.0E-2	1.0E-4	8.0E-6
18	4.3E-2	3.3E-5	3.4E-4	2.2E-4	4.2E-2	1.1E-4	8.8E-6
19	4.4E-2	3.4E-5	3.2E-4	2.1E-4	4.4E-2	1.2E-4	9.6E-6
20	4.6E-2	3.4E-5	3.0E-4	2.1E-4	4.5E-2	1.3E-4	1.0E-5
21	4.7E-2	3.5E-5	2.8E-4	2.1E-4	4.7E-2	1.4E-4	1.1E-5
22	4.9E-2	3.6E-5	2.6E-4	2.0E-4	4.8E-2	1.6E-4	1.2E-5
23	5.0E-2	3.7E-5	2.5E-4	2.0E-4	5.0E-2	1.7E-4	1.3E-5
24	5.2E-2	3.8E-5	2.4E-4	2.0E-4	5.1E-2	1.8E-4	1.4E-5
25	5.3E-2	3.9E-5	2.3E-4	2.0E-4	5.2E-2	2.0E-4	1.5E-5
26	5.4E-2	4.0E-5	2.3E-4	2.0E-4	5.4E-2	2.1E-4	1.6E-5
27	5.5E-2	4.1E-5	2.2E-4	2.0E-4	5.5E-2	2.3E-4	1.7E-5
28	5.7E-2	4.2E-5	2.2E-4	2.0E-4	5.6E-2	2.5E-4	1.8E-5
29	5.8E-2	4.3E-5	2.1E-4	2.1E-4	5.7E-2	2.6E-4	2.0E-5
30	5.9E-2	4.4E-5	2.1E-4	2.1E-4	5.8E-2	2.8E-4	2.1E-5
31	6.0E-2	4.5E-5	2.1E-4	2.1E-4	5.9E-2	3.0E-4	2.2E-5
32	6.1E-2	4.6E-5	2.0E-4	2.1E-4	6.0E-2	3.1E-4	2.3E-5
33	6.2E-2	4.7E-5	2.0E-4	2.1E-4	6.1E-2	3.3E-4	2.5E-5
34	6.3E-2	4.8E-5	2.0E-4	2.2E-4	6.2E-2	3.5E-4	2.6E-5
35	6.4E-2	4.9E-5	2.0E-4	2.2E-4	6.3E-2	3.7E-4	2.7E-5
36	6.5E-2	5.0E-5	2.0E-4	2.2E-4	6.4E-2	3.9E-4	2.9E-5
37	6.6E-2	5.0E-5	2.0E-4	2.2E-4	6.5E-2	4.1E-4	3.0E-5
38	6.7E-2	5.1E-5	1.9E-4	2.2E-4	6.6E-2	4.3E-4	3.2E-5
