Radionuclide	Ag-108m
Route of Intake	Inhalation
Material	Aerosols Type F, Silver nitrate, fA=5E-2
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.1E-1	-	-	3.7E-2	5.0E-1	1.1E-3	7.8E-3
0.083333	6.1E-1	-	-	4.4E-2	4.8E-1	2.1E-3	1.8E-2
0.125	6.1E-1	-	-	5.0E-2	4.6E-1	3.0E-3	2.9E-2
0.25	6.1E-1	-	-	6.3E-2	4.0E-1	5.7E-3	5.9E-2
0.375	6.0E-1	-	-	7.3E-2	3.5E-1	8.2E-3	8.6E-2
0.5	6.0E-1	-	-	8.1E-2	3.1E-1	1.0E-2	1.1E-1
0.625	6.0E-1	-	-	8.7E-2	2.7E-1	1.3E-2	1.3E-1
0.75	6.0E-1	-	-	9.0E-2	2.4E-1	1.5E-2	1.5E-1
0.875	5.9E-1	-	-	9.2E-2	2.1E-1	1.6E-2	1.7E-1
1	5.9E-1	9.0E-4	1.3E-2	9.2E-2	1.8E-1	1.8E-2	1.9E-1
1.125	5.8E-1	-	-	9.1E-2	1.6E-1	1.9E-2	2.0E-1
1.25	5.7E-1	-	-	8.9E-2	1.4E-1	2.1E-2	2.1E-1
1.375	5.7E-1	-	-	8.6E-2	1.3E-1	2.2E-2	2.2E-1
1.5	5.6E-1	-	-	8.2E-2	1.1E-1	2.3E-2	2.3E-1
1.625	5.6E-1	-	-	7.8E-2	9.8E-2	2.4E-2	2.4E-1
1.75	5.5E-1	-	-	7.4E-2	8.6E-2	2.5E-2	2.5E-1
1.875	5.4E-1	-	-	6.9E-2	7.6E-2	2.6E-2	2.6E-1
2	5.4E-1	6.0E-4	4.8E-2	6.5E-2	6.7E-2	2.7E-2	2.6E-1
2.25	5.2E-1	-	-	5.6E-2	5.2E-2	2.8E-2	2.7E-1
2.5	5.1E-1	-	-	4.8E-2	4.1E-2	3.0E-2	2.8E-1
2.75	5.0E-1	-	-	4.2E-2	3.2E-2	3.1E-2	2.9E-1
3	5.0E-1	4.1E-4	4.0E-2	3.6E-2	2.5E-2	3.2E-2	2.9E-1
3.25	4.9E-1	-	-	3.1E-2	2.0E-2	3.3E-2	2.9E-1
3.5	4.8E-1	-	-	2.7E-2	1.6E-2	3.4E-2	3.0E-1
3.75	4.8E-1	-	-	2.4E-2	1.3E-2	3.5E-2	3.0E-1
4	4.7E-1	3.3E-4	2.2E-2	2.1E-2	1.0E-2	3.6E-2	3.0E-1
4.25	4.7E-1	-	-	1.9E-2	8.5E-3	3.7E-2	3.0E-1
4.5	4.7E-1	-	-	1.8E-2	7.0E-3	3.7E-2	3.0E-1
4.75	4.6E-1	-	-	1.7E-2	5.8E-3	3.8E-2	3.0E-1
5	4.6E-1	3.0E-4	1.2E-2	1.6E-2	4.9E-3	3.9E-2	3.0E-1
5.5	4.6E-1	-	-	1.4E-2	3.7E-3	4.0E-2	3.0E-1
6	4.5E-1	2.8E-4	8.3E-3	1.3E-2	2.9E-3	4.1E-2	3.0E-1
6.5	4.5E-1	-	-	1.3E-2	2.5E-3	4.2E-2	3.0E-1
7	4.4E-1	2.7E-4	6.9E-3	1.2E-2	2.2E-3	4.3E-2	3.0E-1
7.5	4.4E-1	-	-	1.2E-2	2.0E-3	4.4E-2	3.0E-1
8	4.4E-1	2.6E-4	6.2E-3	1.2E-2	1.9E-3	4.5E-2	3.0E-1
8.5	4.3E-1	-	-	1.2E-2	1.8E-3	4.6E-2	2.9E-1
9	4.3E-1	2.6E-4	6.0E-3	1.2E-2	1.7E-3	4.7E-2	2.9E-1
9.5	4.3E-1	-	-	1.1E-2	1.7E-3	4.7E-2	2.9E-1
10	4.3E-1	2.5E-4	5.8E-3	1.1E-2	1.6E-3	4.8E-2	2.9E-1
11	4.2E-1	2.5E-4	5.6E-3	1.1E-2	1.6E-3	4.9E-2	2.8E-1
12	4.1E-1	2.4E-4	5.5E-3	1.1E-2	1.6E-3	5.0E-2	2.8E-1
13	4.1E-1	2.4E-4	5.4E-3	1.1E-2	1.5E-3	5.1E-2	2.7E-1
14	4.0E-1	2.3E-4	5.3E-3	1.0E-2	1.5E-3	5.2E-2	2.7E-1
15	4.0E-1	2.3E-4	5.2E-3	1.0E-2	1.5E-3	5.3E-2	2.7E-1
16	3.9E-1	2.3E-4	5.1E-3	1.0E-2	1.4E-3	5.3E-2	2.6E-1
17	3.9E-1	2.2E-4	5.0E-3	9.8E-3	1.4E-3	5.3E-2	2.6E-1
18	3.8E-1	2.2E-4	4.9E-3	9.7E-3	1.4E-3	5.4E-2	2.5E-1
19	3.8E-1	2.2E-4	4.9E-3	9.5E-3	1.4E-3	5.4E-2	2.5E-1
20	3.7E-1	2.1E-4	4.8E-3	9.4E-3	1.3E-3	5.4E-2	2.4E-1
21	3.7E-1	2.1E-4	4.7E-3	9.2E-3	1.3E-3	5.4E-2	2.4E-1
22	3.6E-1	2.1E-4	4.6E-3	9.1E-3	1.3E-3	5.4E-2	2.4E-1
23	3.6E-1	2.0E-4	4.6E-3	9.0E-3	1.3E-3	5.4E-2	2.3E-1
24	3.5E-1	2.0E-4	4.5E-3	8.8E-3	1.3E-3	5.4E-2	2.3E-1
25	3.5E-1	2.0E-4	4.4E-3	8.7E-3	1.2E-3	5.4E-2	2.3E-1
26	3.4E-1	1.9E-4	4.4E-3	8.6E-3	1.2E-3	5.4E-2	2.2E-1
27	3.4E-1	1.9E-4	4.3E-3	8.5E-3	1.2E-3	5.4E-2	2.2E-1
28	3.3E-1	1.9E-4	4.3E-3	8.3E-3	1.2E-3	5.3E-2	2.2E-1
29	3.3E-1	1.9E-4	4.2E-3	8.2E-3	1.2E-3	5.3E-2	2.1E-1
30	3.3E-1	1.8E-4	4.1E-3	8.1E-3	1.2E-3	5.3E-2	2.1E-1
31	3.2E-1	1.8E-4	4.1E-3	8.0E-3	1.1E-3	5.3E-2	2.1E-1
32	3.2E-1	1.8E-4	4.0E-3	7.9E-3	1.1E-3	5.2E-2	2.0E-1
33	3.1E-1	1.8E-4	4.0E-3	7.8E-3	1.1E-3	5.2E-2	2.0E-1
34	3.1E-1	1.7E-4	3.9E-3	7.7E-3	1.1E-3	5.1E-2	2.0E-1
35	3.0E-1	1.7E-4	3.9E-3	7.6E-3	1.1E-3	5.1E-2	2.0E-1
36	3.0E-1	1.7E-4	3.8E-3	7.4E-3	1.1E-3	5.1E-2	1.9E-1
37	3.0E-1	1.7E-4	3.7E-3	7.3E-3	1.0E-3	5.0E-2	1.9E-1
38	2.9E-1	1.6E-4	3.7E-3	7.2E-3	1.0E-3	5.0E-2	1.9E-1
39	2.9E-1	1.6E-4	3.6E-3	7.1E-3	1.0E-3	4.9E-2	1.8E-1
