Radionuclide	W-188
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.1
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.8E-2	6.7E-1	1.1E-3	1.4E-3
0.083333	8.7E-1	-	-	9.3E-2	6.4E-1	2.1E-3	2.2E-3
0.125	8.6E-1	-	-	1.0E-1	6.3E-1	3.0E-3	2.8E-3
0.25	8.4E-1	-	-	1.3E-1	5.9E-1	5.2E-3	3.9E-3
0.375	8.1E-1	-	-	1.4E-1	5.6E-1	6.7E-3	4.6E-3
0.5	7.8E-1	-	-	1.5E-1	5.4E-1	7.7E-3	4.9E-3
0.625	7.6E-1	-	-	1.6E-1	5.3E-1	8.3E-3	5.1E-3
0.75	7.4E-1	-	-	1.6E-1	5.2E-1	8.6E-3	5.2E-3
0.875	7.2E-1	-	-	1.6E-1	5.1E-1	8.7E-3	5.3E-3
1	7.1E-1	1.1E-1	2.6E-2	1.6E-1	5.0E-1	8.6E-3	5.2E-3
1.125	6.9E-1	-	-	1.5E-1	5.0E-1	8.4E-3	5.2E-3
1.25	6.7E-1	-	-	1.5E-1	4.9E-1	8.2E-3	5.1E-3
1.375	6.6E-1	-	-	1.4E-1	4.9E-1	7.9E-3	5.0E-3
1.5	6.4E-1	-	-	1.3E-1	4.8E-1	7.6E-3	4.9E-3
1.625	6.3E-1	-	-	1.2E-1	4.8E-1	7.3E-3	4.8E-3
1.75	6.1E-1	-	-	1.2E-1	4.7E-1	7.0E-3	4.7E-3
1.875	6.0E-1	-	-	1.1E-1	4.7E-1	6.8E-3	4.5E-3
2	5.9E-1	2.4E-2	8.4E-2	1.0E-1	4.7E-1	6.5E-3	4.4E-3
2.25	5.6E-1	-	-	8.5E-2	4.6E-1	6.0E-3	4.2E-3
2.5	5.4E-1	-	-	7.3E-2	4.5E-1	5.6E-3	4.0E-3
2.75	5.3E-1	-	-	6.2E-2	4.5E-1	5.2E-3	3.8E-3
3	5.1E-1	8.3E-3	6.3E-2	5.3E-2	4.4E-1	4.9E-3	3.6E-3
3.25	5.0E-1	-	-	4.6E-2	4.4E-1	4.6E-3	3.4E-3
3.5	4.9E-1	-	-	4.0E-2	4.3E-1	4.3E-3	3.2E-3
3.75	4.7E-1	-	-	3.6E-2	4.3E-1	4.1E-3	3.1E-3
4	4.7E-1	5.5E-3	3.4E-2	3.2E-2	4.2E-1	4.0E-3	2.9E-3
4.25	4.6E-1	-	-	2.9E-2	4.2E-1	3.8E-3	2.8E-3
4.5	4.5E-1	-	-	2.7E-2	4.1E-1	3.7E-3	2.7E-3
4.75	4.4E-1	-	-	2.5E-2	4.1E-1	3.6E-3	2.6E-3
5	4.4E-1	4.3E-3	2.0E-2	2.3E-2	4.0E-1	3.5E-3	2.5E-3
5.5	4.3E-1	-	-	2.0E-2	3.9E-1	3.3E-3	2.3E-3
6	4.1E-1	3.6E-3	1.4E-2	1.8E-2	3.9E-1	3.2E-3	2.1E-3
6.5	4.1E-1	-	-	1.6E-2	3.8E-1	3.1E-3	1.9E-3
7	4.0E-1	3.1E-3	1.1E-2	1.5E-2	3.7E-1	3.0E-3	1.8E-3
7.5	3.9E-1	-	-	1.3E-2	3.7E-1	3.0E-3	1.7E-3
8	3.8E-1	2.8E-3	8.6E-3	1.2E-2	3.6E-1	2.9E-3	1.6E-3
8.5	3.7E-1	-	-	1.1E-2	3.5E-1	2.9E-3	1.5E-3
9	3.7E-1	2.5E-3	7.0E-3	9.9E-3	3.5E-1	2.9E-3	1.5E-3
9.5	3.6E-1	-	-	9.0E-3	3.4E-1	2.8E-3	1.4E-3
10	3.6E-1	2.3E-3	5.8E-3	8.2E-3	3.4E-1	2.8E-3	1.3E-3
11	3.5E-1	2.1E-3	4.8E-3	6.8E-3	3.3E-1	2.8E-3	1.2E-3
12	3.4E-1	2.0E-3	4.0E-3	5.7E-3	3.2E-1	2.8E-3	1.2E-3
13	3.3E-1	1.9E-3	3.3E-3	4.8E-3	3.2E-1	2.8E-3	1.1E-3
14	3.2E-1	1.8E-3	2.8E-3	4.1E-3	3.1E-1	2.7E-3	1.1E-3
15	3.1E-1	1.7E-3	2.4E-3	3.5E-3	3.0E-1	2.7E-3	1.1E-3
16	3.1E-1	1.6E-3	2.0E-3	3.0E-3	3.0E-1	2.7E-3	1.0E-3
17	3.0E-1	1.6E-3	1.7E-3	2.6E-3	2.9E-1	2.7E-3	1.0E-3
18	2.9E-1	1.5E-3	1.5E-3	2.3E-3	2.8E-1	2.7E-3	1.0E-3
19	2.9E-1	1.5E-3	1.3E-3	2.0E-3	2.8E-1	2.7E-3	9.8E-4
20	2.8E-1	1.4E-3	1.2E-3	1.8E-3	2.7E-1	2.7E-3	9.7E-4
21	2.8E-1	1.4E-3	1.0E-3	1.6E-3	2.7E-1	2.7E-3	9.6E-4
22	2.7E-1	1.4E-3	9.4E-4	1.5E-3	2.6E-1	2.6E-3	9.5E-4
23	2.7E-1	1.3E-3	8.6E-4	1.4E-3	2.6E-1	2.6E-3	9.4E-4
24	2.6E-1	1.3E-3	7.9E-4	1.3E-3	2.6E-1	2.6E-3	9.3E-4
25	2.6E-1	1.3E-3	7.3E-4	1.2E-3	2.5E-1	2.6E-3	9.2E-4
26	2.5E-1	1.2E-3	6.8E-4	1.1E-3	2.5E-1	2.6E-3	9.2E-4
27	2.5E-1	1.2E-3	6.4E-4	1.1E-3	2.4E-1	2.6E-3	9.1E-4
28	2.5E-1	1.2E-3	6.1E-4	1.0E-3	2.4E-1	2.6E-3	9.0E-4
29	2.4E-1	1.2E-3	5.8E-4	9.7E-4	2.3E-1	2.6E-3	9.0E-4
30	2.4E-1	1.1E-3	5.5E-4	9.4E-4	2.3E-1	2.5E-3	8.9E-4
31	2.3E-1	1.1E-3	5.3E-4	9.0E-4	2.3E-1	2.5E-3	8.8E-4
32	2.3E-1	1.1E-3	5.1E-4	8.7E-4	2.2E-1	2.5E-3	8.8E-4
33	2.3E-1	1.1E-3	4.9E-4	8.5E-4	2.2E-1	2.5E-3	8.7E-4
34	2.2E-1	1.1E-3	4.8E-4	8.2E-4	2.1E-1	2.5E-3	8.7E-4
35	2.2E-1	1.0E-3	4.6E-4	8.0E-4	2.1E-1	2.5E-3	8.6E-4
36	2.1E-1	1.0E-3	4.5E-4	7.8E-4	2.1E-1	2.5E-3	8.5E-4
37	2.1E-1	1.0E-3	4.4E-4	7.6E-4	2.0E-1	2.5E-3	8.5E-4
38	2.1E-1	9.8E-4	4.3E-4	7.5E-4	2.0E-1	2.4E-3	8.4E-4
39	2.0E-1	9.7E-4	4.2E-4	7.3E-4	2.0E-1	2.4E-3	8.4E-4
40	2.0E-1	9.5E-4	4.1E-4	7.1E-4	1.9E-1	2.4E-3	8.3E-4
41	2.0E-1	9.3E-4	4.0E-4	7.0E-4	1.9E-1	2.4E-3	8.2E-4
42	1.9E-1	9.2E-4	3.9E-4	6.8E-4	1.9E-1	2.4E-3	8.2E-4
43	1.9E-1	9.0E-4	3.9E-4	6.7E-4	1.8E-1	2.4E-3	8.1E-4
44	1.9E-1	8.9E-4	3.8E-4	6.6E-4	1.8E-1	2.4E-3	8.1E-4
45	1.8E-1	8.7E-4	3.7E-4	6.5E-4	1.8E-1	2.3E-3	8.0E-4
46	1.8E-1	8.6E-4	3.6E-4	6.3E-4	1.8E-1	2.3E-3	8.0E-4
47	1.8E-1	8.4E-4	3.6E-4	6.2E-4	1.7E-1	2.3E-3	7.9E-4
48	1.8E-1	8.3E-4	3.5E-4	6.1E-4	1.7E-1	2.3E-3	7.8E-4
49	1.7E-1	8.1E-4	3.4E-4	6.0E-4	1.7E-1	2.3E-3	7.8E-4
50	1.7E-1	8.0E-4	3.4E-4	5.9E-4	1.6E-1	2.3E-3	7.7E-4
51	1.7E-1	7.8E-4	3.3E-4	5.8E-4	1.6E-1	2.3E-3	7.7E-4
52	1.6E-1	7.7E-4	3.3E-4	5.7E-4	1.6E-1	2.2E-3	7.6E-4
53	1.6E-1	7.6E-4	3.2E-4	5.6E-4	1.6E-1	2.2E-3	7.5E-4
54	1.6E-1	7.5E-4	3.1E-4	5.5E-4	1.5E-1	2.2E-3	7.5E-4
55	1.6E-1	7.3E-4	3.1E-4	5.4E-4	1.5E-1	2.2E-3	7.4E-4
56	1.5E-1	7.2E-4	3.0E-4	5.3E-4	1.5E-1	2.2E-3	7.4E-4
57	1.5E-1	7.1E-4	3.0E-4	5.2E-4	1.5E-1	2.2E-3	7.3E-4
58	1.5E-1	7.0E-4	2.9E-4	5.1E-4	1.4E-1	2.2E-3	7.3E-4
59	1.5E-1	6.8E-4	2.9E-4	5.0E-4	1.4E-1	2.1E-3	7.2E-4
60	1.4E-1	6.7E-4	2.8E-4	4.9E-4	1.4E-1	2.1E-3	7.2E-4
61	1.4E-1	6.6E-4	2.8E-4	4.8E-4	1.4E-1	2.1E-3	7.1E-4
62	1.4E-1	6.5E-4	2.7E-4	4.7E-4	1.3E-1	2.1E-3	7.0E-4
63	1.4E-1	6.4E-4	2.7E-4	4.7E-4	1.3E-1	2.1E-3	7.0E-4
64	1.3E-1	6.3E-4	2.6E-4	4.6E-4	1.3E-1	2.1E-3	6.9E-4
65	1.3E-1	6.2E-4	2.6E-4	4.5E-4	1.3E-1	2.1E-3	6.9E-4
66	1.3E-1	6.1E-4	2.5E-4	4.4E-4	1.3E-1	2.0E-3	6.8E-4
67	1.3E-1	6.0E-4	2.5E-4	4.3E-4	1.2E-1	2.0E-3	6.8E-4
68	1.3E-1	5.9E-4	2.4E-4	4.3E-4	1.2E-1	2.0E-3	6.7E-4
69	1.2E-1	5.8E-4	2.4E-4	4.2E-4	1.2E-1	2.0E-3	6.7E-4
70	1.2E-1	5.7E-4	2.4E-4	4.1E-4	1.2E-1	2.0E-3	6.6E-4
71	1.2E-1	5.6E-4	2.3E-4	4.0E-4	1.2E-1	2.0E-3	6.6E-4
72	1.2E-1	5.5E-4	2.3E-4	4.0E-4	1.1E-1	2.0E-3	6.5E-4
73	1.2E-1	5.4E-4	2.2E-4	3.9E-4	1.1E-1	1.9E-3	6.4E-4
74	1.1E-1	5.3E-4	2.2E-4	3.8E-4	1.1E-1	1.9E-3	6.4E-4
75	1.1E-1	5.2E-4	2.2E-4	3.8E-4	1.1E-1	1.9E-3	6.3E-4
76	1.1E-1	5.1E-4	2.1E-4	3.7E-4	1.1E-1	1.9E-3	6.3E-4
77	1.1E-1	5.0E-4	2.1E-4	3.6E-4	1.0E-1	1.9E-3	6.2E-4
78	1.1E-1	5.0E-4	2.0E-4	3.6E-4	1.0E-1	1.9E-3	6.2E-4
79	1.0E-1	4.9E-4	2.0E-4	3.5E-4	1.0E-1	1.9E-3	6.1E-4
80	1.0E-1	4.8E-4	2.0E-4	3.5E-4	9.9E-2	1.8E-3	6.1E-4
81	1.0E-1	4.7E-4	1.9E-4	3.4E-4	9.7E-2	1.8E-3	6.0E-4
82	1.0E-1	4.6E-4	1.9E-4	3.3E-4	9.6E-2	1.8E-3	6.0E-4
83	9.8E-2	4.6E-4	1.9E-4	3.3E-4	9.4E-2	1.8E-3	5.9E-4
84	9.7E-2	4.5E-4	1.8E-4	3.2E-4	9.3E-2	1.8E-3	5.9E-4
85	9.5E-2	4.4E-4	1.8E-4	3.2E-4	9.1E-2	1.8E-3	5.8E-4
86	9.4E-2	4.3E-4	1.8E-4	3.1E-4	9.0E-2	1.8E-3	5.8E-4
87	9.2E-2	4.3E-4	1.7E-4	3.1E-4	8.8E-2	1.7E-3	5.7E-4
88	9.0E-2	4.2E-4	1.7E-4	3.0E-4	8.7E-2	1.7E-3	5.7E-4
89	8.9E-2	4.1E-4	1.7E-4	2.9E-4	8.5E-2	1.7E-3	5.6E-4
90	8.8E-2	4.1E-4	1.7E-4	2.9E-4	8.4E-2	1.7E-3	5.6E-4
91	8.6E-2	4.0E-4	1.6E-4	2.8E-4	8.2E-2	1.7E-3	5.5E-4
92	8.5E-2	3.9E-4	1.6E-4	2.8E-4	8.1E-2	1.7E-3	5.5E-4
93	8.3E-2	3.9E-4	1.6E-4	2.7E-4	8.0E-2	1.7E-3	5.4E-4
94	8.2E-2	3.8E-4	1.5E-4	2.7E-4	7.8E-2	1.7E-3	5.4E-4
95	8.1E-2	3.7E-4	1.5E-4	2.7E-4	7.7E-2	1.6E-3	5.3E-4
96	7.9E-2	3.7E-4	1.5E-4	2.6E-4	7.6E-2	1.6E-3	5.3E-4
97	7.8E-2	3.6E-4	1.5E-4	2.6E-4	7.5E-2	1.6E-3	5.2E-4
98	7.7E-2	3.5E-4	1.4E-4	2.5E-4	7.3E-2	1.6E-3	5.2E-4
99	7.6E-2	3.5E-4	1.4E-4	2.5E-4	7.2E-2	1.6E-3	5.2E-4
100	7.4E-2	3.4E-4	1.4E-4	2.4E-4	7.1E-2	1.6E-3	5.1E-4
110	6.3E-2	2.9E-4	1.2E-4	2.0E-4	6.0E-2	1.5E-3	4.7E-4
120	5.4E-2	2.5E-4	9.7E-5	1.7E-4	5.1E-2	1.3E-3	4.3E-4
130	4.6E-2	2.1E-4	8.1E-5	1.4E-4	4.3E-2	1.2E-3	3.9E-4
140	3.9E-2	1.8E-4	6.8E-5	1.2E-4	3.6E-2	1.1E-3	3.5E-4
150	3.3E-2	1.5E-4	5.7E-5	1.0E-4	3.1E-2	1.0E-3	3.2E-4
160	2.8E-2	1.3E-4	4.8E-5	8.5E-5	2.6E-2	9.3E-4	2.9E-4
170	2.4E-2	1.1E-4	4.0E-5	7.1E-5	2.2E-2	8.5E-4	2.6E-4
180	2.0E-2	9.1E-5	3.4E-5	6.0E-5	1.9E-2	7.7E-4	2.4E-4
190	1.7E-2	7.7E-5	2.8E-5	5.0E-5	1.6E-2	7.0E-4	2.1E-4
200	1.5E-2	6.6E-5	2.4E-5	4.2E-5	1.3E-2	6.4E-4	1.9E-4
210	1.3E-2	5.6E-5	2.0E-5	3.6E-5	1.1E-2	5.8E-4	1.7E-4
220	1.1E-2	4.7E-5	1.7E-5	3.0E-5	9.7E-3	5.3E-4	1.6E-4
230	9.1E-3	4.0E-5	1.4E-5	2.5E-5	8.2E-3	4.8E-4	1.4E-4
240	7.8E-3	3.4E-5	1.2E-5	2.1E-5	7.0E-3	4.3E-4	1.3E-4
250	6.7E-3	2.9E-5	9.8E-6	1.8E-5	5.9E-3	3.9E-4	1.1E-4
260	5.7E-3	2.5E-5	8.2E-6	1.5E-5	5.0E-3	3.5E-4	1.0E-4
270	4.9E-3	2.1E-5	6.9E-6	1.3E-5	4.3E-3	3.2E-4	9.2E-5
280	4.2E-3	1.8E-5	5.8E-6	1.1E-5	3.6E-3	2.9E-4	8.2E-5
290	3.6E-3	1.5E-5	4.8E-6	9.0E-6	3.1E-3	2.6E-4	7.4E-5
300	3.0E-3	1.3E-5	4.0E-6	7.6E-6	2.6E-3	2.4E-4	6.6E-5
310	2.6E-3	1.1E-5	3.4E-6	6.4E-6	2.2E-3	2.1E-4	5.9E-5
320	2.2E-3	9.3E-6	2.8E-6	5.4E-6	1.9E-3	1.9E-4	5.3E-5
330	1.9E-3	7.9E-6	2.4E-6	4.6E-6	1.6E-3	1.8E-4	4.8E-5
340	1.6E-3	6.7E-6	2.0E-6	3.9E-6	1.4E-3	1.6E-4	4.3E-5
350	1.4E-3	5.7E-6	1.7E-6	3.3E-6	1.2E-3	1.4E-4	3.8E-5
360	1.2E-3	4.9E-6	1.4E-6	2.8E-6	9.9E-4	1.3E-4	3.4E-5
365	1.1E-3	4.5E-6	1.3E-6	2.5E-6	9.1E-4	1.2E-4	3.2E-5
370	1.0E-3	4.2E-6	1.2E-6	2.3E-6	8.4E-4	1.2E-4	3.0E-5
380	9.0E-4	3.6E-6	1.0E-6	2.0E-6	7.1E-4	1.1E-4	2.7E-5
390	7.7E-4	3.0E-6	8.4E-7	1.7E-6	6.1E-4	9.5E-5	2.4E-5
400	6.7E-4	2.6E-6	7.0E-7	1.4E-6	5.2E-4	8.6E-5	2.2E-5
410	5.8E-4	2.2E-6	5.9E-7	1.2E-6	4.4E-4	7.7E-5	1.9E-5
