Radionuclide	Pb-200
Route of Intake	Inhalation
Material	Aerosols Type F, Lead dichloride, dibromide, difluoride, hydroxide, nitrate, oxide, all unspecified forms, fA=0.2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.8E-1	-	-	1.4E-1	4.5E-2	1.7E-2	1.3E-2
0.083333	7.5E-1	-	-	1.5E-1	4.1E-2	2.1E-2	1.6E-2
0.125	7.1E-1	-	-	1.5E-1	3.9E-2	2.4E-2	1.8E-2
0.25	6.2E-1	-	-	1.5E-1	3.3E-2	3.1E-2	2.4E-2
0.375	5.5E-1	-	-	1.5E-1	2.9E-2	3.4E-2	2.7E-2
0.5	4.9E-1	-	-	1.4E-1	2.5E-2	3.6E-2	2.9E-2
0.625	4.3E-1	-	-	1.3E-1	2.2E-2	3.6E-2	2.9E-2
0.75	3.8E-1	-	-	1.2E-1	2.0E-2	3.5E-2	2.9E-2
0.875	3.4E-1	-	-	1.1E-1	1.8E-2	3.4E-2	2.8E-2
1	3.0E-1	6.9E-3	1.7E-2	9.7E-2	1.6E-2	3.2E-2	2.7E-2
1.125	2.6E-1	-	-	8.5E-2	1.4E-2	3.0E-2	2.6E-2
1.25	2.3E-1	-	-	7.3E-2	1.3E-2	2.8E-2	2.4E-2
1.375	2.0E-1	-	-	6.3E-2	1.1E-2	2.6E-2	2.3E-2
1.5	1.8E-1	-	-	5.3E-2	1.0E-2	2.4E-2	2.1E-2
1.625	1.6E-1	-	-	4.5E-2	9.3E-3	2.2E-2	2.0E-2
1.75	1.4E-1	-	-	3.7E-2	8.4E-3	2.0E-2	1.8E-2
1.875	1.2E-1	-	-	3.1E-2	7.6E-3	1.8E-2	1.7E-2
2	1.1E-1	1.6E-3	2.3E-2	2.6E-2	6.9E-3	1.6E-2	1.5E-2
2.25	8.6E-2	-	-	1.7E-2	5.6E-3	1.4E-2	1.3E-2
2.5	6.7E-2	-	-	1.2E-2	4.6E-3	1.1E-2	1.1E-2
2.75	5.4E-2	-	-	8.0E-3	3.8E-3	9.2E-3	9.0E-3
3	4.3E-2	5.3E-4	6.8E-3	5.4E-3	3.1E-3	7.6E-3	7.4E-3
3.25	3.4E-2	-	-	3.7E-3	2.5E-3	6.3E-3	6.2E-3
3.5	2.8E-2	-	-	2.6E-3	2.1E-3	5.2E-3	5.1E-3
3.75	2.2E-2	-	-	1.8E-3	1.7E-3	4.3E-3	4.2E-3
4	1.8E-2	2.1E-4	1.2E-3	1.3E-3	1.4E-3	3.5E-3	3.5E-3
4.25	1.5E-2	-	-	1.0E-3	1.1E-3	2.9E-3	2.9E-3
4.5	1.2E-2	-	-	7.6E-4	9.1E-4	2.4E-3	2.4E-3
4.75	9.9E-3	-	-	5.8E-4	7.5E-4	2.0E-3	1.9E-3
5	8.1E-3	9.2E-5	1.9E-4	4.6E-4	6.1E-4	1.7E-3	1.6E-3
5.5	5.5E-3	-	-	2.9E-4	4.1E-4	1.1E-3	1.1E-3
6	3.7E-3	4.0E-5	3.5E-5	1.9E-4	2.7E-4	7.8E-4	7.4E-4
6.5	2.5E-3	-	-	1.2E-4	1.8E-4	5.4E-4	5.0E-4
7	1.7E-3	1.8E-5	1.0E-5	8.2E-5	1.2E-4	3.7E-4	3.4E-4
7.5	1.1E-3	-	-	5.4E-5	8.0E-5	2.5E-4	2.3E-4
8	7.6E-4	7.9E-6	4.0E-6	3.6E-5	5.3E-5	1.7E-4	1.5E-4
8.5	5.1E-4	-	-	2.4E-5	3.5E-5	1.2E-4	1.0E-4
9	3.4E-4	3.5E-6	1.7E-6	1.6E-5	2.3E-5	8.2E-5	7.1E-5
9.5	2.3E-4	-	-	1.1E-5	1.6E-5	5.6E-5	4.8E-5
10	1.6E-4	1.5E-6	7.9E-7	7.2E-6	1.0E-5	3.9E-5	3.2E-5
11	7.1E-5	6.9E-7	3.6E-7	3.2E-6	4.6E-6	1.8E-5	1.5E-5
12	3.2E-5	3.1E-7	1.6E-7	1.4E-6	2.0E-6	8.5E-6	6.7E-6
13	1.5E-5	1.4E-7	7.5E-8	6.4E-7	9.1E-7	4.0E-6	3.1E-6
14	6.6E-6	6.0E-8	3.4E-8	2.9E-7	4.0E-7	1.9E-6	1.4E-6
15	3.0E-6	2.7E-8	1.5E-8	1.3E-7	1.8E-7	8.8E-7	6.4E-7
16	1.4E-6	1.2E-8	7.0E-9	5.7E-8	8.0E-8	4.1E-7	2.9E-7
17	6.2E-7	5.3E-9	3.2E-9	2.5E-8	3.5E-8	1.9E-7	1.3E-7
18	2.8E-7	2.4E-9	1.4E-9	1.1E-8	1.6E-8	8.9E-8	6.0E-8
19	1.3E-7	1.0E-9	6.5E-10	5.1E-9	7.0E-9	4.2E-8	2.7E-8
20	5.9E-8	4.7E-10	2.9E-10	2.3E-9	3.1E-9	1.9E-8	1.2E-8
21	2.7E-8	2.1E-10	1.3E-10	1.0E-9	1.4E-9	9.0E-9	5.6E-9
22	1.2E-8	-	-	4.5E-10	6.2E-10	4.2E-9	2.6E-9
23	5.5E-9	-	-	2.0E-10	2.8E-10	1.9E-9	1.2E-9
24	2.5E-9	-	-	-	1.2E-10	9.0E-10	5.3E-10
25	1.1E-9	-	-	-	-	4.2E-10	2.4E-10
26	5.2E-10	-	-	-	-	1.9E-10	1.1E-10
27	2.4E-10	-	-	-	-	-	-
28	1.1E-10	-	-	-	-	-	-
