Radionuclide	Rb-86
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	2.9E-1	-	-	2.1E-2	5.4E-2	5.5E-3	2.4E-2
0.083333	2.9E-1	-	-	1.4E-2	1.7E-2	8.1E-3	3.0E-2
0.125	2.9E-1	-	-	1.0E-2	6.1E-3	9.6E-3	2.9E-2
0.25	2.8E-1	-	-	7.1E-3	1.8E-3	1.2E-2	2.3E-2
0.375	2.8E-1	-	-	6.1E-3	1.7E-3	1.3E-2	1.9E-2
0.5	2.7E-1	-	-	5.6E-3	1.6E-3	1.4E-2	1.7E-2
0.625	2.7E-1	-	-	5.2E-3	1.6E-3	1.5E-2	1.6E-2
0.75	2.7E-1	-	-	4.9E-3	1.6E-3	1.5E-2	1.5E-2
0.875	2.7E-1	-	-	4.6E-3	1.6E-3	1.5E-2	1.4E-2
1	2.6E-1	4.6E-3	3.7E-4	4.4E-3	1.6E-3	1.5E-2	1.4E-2
1.125	2.6E-1	-	-	4.3E-3	1.6E-3	1.5E-2	1.4E-2
1.25	2.6E-1	-	-	4.2E-3	1.6E-3	1.5E-2	1.3E-2
1.375	2.6E-1	-	-	4.1E-3	1.6E-3	1.4E-2	1.3E-2
1.5	2.5E-1	-	-	4.0E-3	1.7E-3	1.4E-2	1.3E-2
1.625	2.5E-1	-	-	3.9E-3	1.7E-3	1.4E-2	1.3E-2
1.75	2.5E-1	-	-	3.8E-3	1.7E-3	1.4E-2	1.3E-2
1.875	2.5E-1	-	-	3.8E-3	1.7E-3	1.4E-2	1.3E-2
2	2.5E-1	3.0E-3	1.0E-3	3.7E-3	1.7E-3	1.4E-2	1.2E-2
2.25	2.4E-1	-	-	3.6E-3	1.7E-3	1.3E-2	1.2E-2
2.5	2.4E-1	-	-	3.5E-3	1.8E-3	1.3E-2	1.2E-2
2.75	2.4E-1	-	-	3.5E-3	1.8E-3	1.3E-2	1.2E-2
3	2.3E-1	2.8E-3	1.0E-3	3.4E-3	1.8E-3	1.3E-2	1.2E-2
3.25	2.3E-1	-	-	3.3E-3	1.8E-3	1.2E-2	1.2E-2
3.5	2.3E-1	-	-	3.3E-3	1.8E-3	1.2E-2	1.2E-2
3.75	2.3E-1	-	-	3.3E-3	1.8E-3	1.2E-2	1.1E-2
4	2.2E-1	2.6E-3	8.9E-4	3.2E-3	1.8E-3	1.2E-2	1.1E-2
4.25	2.2E-1	-	-	3.2E-3	1.8E-3	1.2E-2	1.1E-2
4.5	2.2E-1	-	-	3.1E-3	1.8E-3	1.2E-2	1.1E-2
4.75	2.1E-1	-	-	3.1E-3	1.8E-3	1.1E-2	1.1E-2
5	2.1E-1	2.5E-3	8.0E-4	3.1E-3	1.8E-3	1.1E-2	1.1E-2
5.5	2.1E-1	-	-	3.0E-3	1.8E-3	1.1E-2	1.0E-2
6	2.0E-1	2.3E-3	7.4E-4	2.9E-3	1.8E-3	1.1E-2	1.0E-2
6.5	1.9E-1	-	-	2.9E-3	1.7E-3	1.0E-2	9.9E-3
7	1.9E-1	2.2E-3	7.0E-4	2.8E-3	1.7E-3	1.0E-2	9.7E-3
7.5	1.8E-1	-	-	2.7E-3	1.7E-3	9.9E-3	9.4E-3
8	1.8E-1	2.1E-3	6.6E-4	2.7E-3	1.7E-3	9.7E-3	9.2E-3
8.5	1.8E-1	-	-	2.6E-3	1.6E-3	9.4E-3	8.9E-3
9	1.7E-1	2.0E-3	6.3E-4	2.5E-3	1.6E-3	9.2E-3	8.7E-3
9.5	1.7E-1	-	-	2.5E-3	1.5E-3	8.9E-3	8.5E-3
10	1.6E-1	1.9E-3	6.0E-4	2.4E-3	1.5E-3	8.7E-3	8.3E-3
11	1.5E-1	1.8E-3	5.6E-4	2.3E-3	1.4E-3	8.3E-3	7.8E-3
12	1.5E-1	1.7E-3	5.4E-4	2.2E-3	1.4E-3	7.8E-3	7.4E-3
13	1.4E-1	1.6E-3	5.1E-4	2.1E-3	1.3E-3	7.4E-3	7.1E-3
14	1.3E-1	1.5E-3	4.8E-4	2.0E-3	1.2E-3	7.1E-3	6.7E-3
15	1.2E-1	1.5E-3	4.6E-4	1.9E-3	1.2E-3	6.7E-3	6.4E-3
