Radionuclide	Rb-86
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1	9.3E-6	4.1E-5
0.083333	5.0E-1	-	-	1.6E-1	1.3E-1	2.2E-5	9.0E-5
0.125	4.9E-1	-	-	1.8E-1	1.3E-1	3.8E-5	1.4E-4
0.25	4.8E-1	-	-	2.1E-1	1.2E-1	8.5E-5	2.3E-4
0.375	4.7E-1	-	-	2.3E-1	1.2E-1	1.3E-4	2.7E-4
0.5	4.5E-1	-	-	2.5E-1	1.2E-1	1.6E-4	2.8E-4
0.625	4.4E-1	-	-	2.5E-1	1.2E-1	1.9E-4	2.7E-4
0.75	4.3E-1	-	-	2.5E-1	1.2E-1	2.0E-4	2.7E-4
0.875	4.1E-1	-	-	2.5E-1	1.2E-1	2.2E-4	2.6E-4
1	3.9E-1	5.7E-5	4.2E-2	2.4E-1	1.1E-1	2.3E-4	2.5E-4
1.125	3.7E-1	-	-	2.3E-1	1.1E-1	2.3E-4	2.4E-4
1.25	3.5E-1	-	-	2.2E-1	1.1E-1	2.3E-4	2.3E-4
1.375	3.3E-1	-	-	2.0E-1	1.1E-1	2.3E-4	2.3E-4
1.5	3.1E-1	-	-	1.9E-1	1.1E-1	2.3E-4	2.2E-4
1.625	3.0E-1	-	-	1.7E-1	1.1E-1	2.3E-4	2.2E-4
1.75	2.8E-1	-	-	1.6E-1	1.1E-1	2.3E-4	2.2E-4
1.875	2.6E-1	-	-	1.4E-1	1.1E-1	2.3E-4	2.1E-4
2	2.4E-1	5.3E-5	1.3E-1	1.3E-1	1.1E-1	2.3E-4	2.1E-4
2.25	2.1E-1	-	-	1.0E-1	1.1E-1	2.3E-4	2.1E-4
2.5	1.9E-1	-	-	7.7E-2	1.1E-1	2.2E-4	2.1E-4
2.75	1.7E-1	-	-	5.9E-2	1.0E-1	2.2E-4	2.0E-4
3	1.5E-1	4.8E-5	8.2E-2	4.4E-2	1.0E-1	2.1E-4	2.0E-4
3.25	1.4E-1	-	-	3.3E-2	1.0E-1	2.1E-4	2.0E-4
3.5	1.3E-1	-	-	2.5E-2	1.0E-1	2.1E-4	2.0E-4
3.75	1.2E-1	-	-	1.8E-2	9.8E-2	2.1E-4	1.9E-4
4	1.1E-1	4.5E-5	3.1E-2	1.4E-2	9.7E-2	2.0E-4	1.9E-4
4.25	1.1E-1	-	-	1.0E-2	9.6E-2	2.0E-4	1.9E-4
4.5	1.1E-1	-	-	7.9E-3	9.5E-2	2.0E-4	1.9E-4
4.75	1.0E-1	-	-	6.1E-3	9.4E-2	2.0E-4	1.9E-4
5	1.0E-1	4.3E-5	9.6E-3	4.8E-3	9.2E-2	1.9E-4	1.8E-4
5.5	9.7E-2	-	-	3.3E-3	9.0E-2	1.9E-4	1.8E-4
6	9.4E-2	4.1E-5	3.2E-3	2.5E-3	8.8E-2	1.9E-4	1.8E-4
6.5	9.1E-2	-	-	2.0E-3	8.6E-2	1.8E-4	1.7E-4
7	8.9E-2	3.9E-5	1.5E-3	1.7E-3	8.4E-2	1.8E-4	1.7E-4
7.5	8.7E-2	-	-	1.5E-3	8.2E-2	1.7E-4	1.6E-4
8	8.5E-2	3.7E-5	9.8E-4	1.3E-3	8.0E-2	1.7E-4	1.6E-4
8.5	8.3E-2	-	-	1.2E-3	7.8E-2	1.6E-4	1.6E-4
9	8.1E-2	3.5E-5	7.5E-4	1.1E-3	7.7E-2	1.6E-4	1.5E-4
9.5	7.9E-2	-	-	1.0E-3	7.5E-2	1.6E-4	1.5E-4
10	7.7E-2	3.3E-5	6.1E-4	9.1E-4	7.4E-2	1.5E-4	1.5E-4
11	7.4E-2	3.2E-5	5.1E-4	7.7E-4	7.0E-2	1.5E-4	1.4E-4
12	7.1E-2	3.0E-5	4.3E-4	6.5E-4	6.8E-2	1.4E-4	1.3E-4
13	6.8E-2	2.9E-5	3.6E-4	5.6E-4	6.5E-2	1.3E-4	1.3E-4
14	6.5E-2	2.7E-5	3.1E-4	4.8E-4	6.2E-2	1.3E-4	1.2E-4
15	6.2E-2	2.6E-5	2.6E-4	4.2E-4	6.0E-2	1.2E-4	1.1E-4
16	6.0E-2	2.5E-5	2.3E-4	3.7E-4	5.7E-2	1.1E-4	1.1E-4
17	5.7E-2	2.4E-5	2.0E-4	3.3E-4	5.5E-2	1.1E-4	1.0E-4
18	5.5E-2	2.2E-5	1.8E-4	3.0E-4	5.3E-2	1.0E-4	9.8E-5
19	5.3E-2	2.1E-5	1.6E-4	2.7E-4	5.1E-2	9.9E-5	9.4E-5
20	5.1E-2	2.0E-5	1.4E-4	2.5E-4	4.9E-2	9.4E-5	8.9E-5
21	4.9E-2	1.9E-5	1.3E-4	2.3E-4	4.7E-2	8.9E-5	8.5E-5
22	4.7E-2	1.8E-5	1.2E-4	2.1E-4	4.5E-2	8.5E-5	8.1E-5
23	4.5E-2	1.8E-5	1.1E-4	2.0E-4	4.3E-2	8.1E-5	7.7E-5
24	4.3E-2	1.7E-5	1.0E-4	1.8E-4	4.2E-2	7.7E-5	7.3E-5
25	4.2E-2	1.6E-5	9.6E-5	1.7E-4	4.0E-2	7.3E-5	7.0E-5
26	4.0E-2	1.5E-5	9.0E-5	1.6E-4	3.8E-2	7.0E-5	6.6E-5
27	3.8E-2	1.4E-5	8.5E-5	1.5E-4	3.7E-2	6.6E-5	6.3E-5
28	3.7E-2	1.4E-5	8.0E-5	1.4E-4	3.6E-2	6.3E-5	6.0E-5
29	3.6E-2	1.3E-5	7.6E-5	1.4E-4	3.4E-2	6.0E-5	5.7E-5
30	3.4E-2	1.2E-5	7.2E-5	1.3E-4	3.3E-2	5.7E-5	5.5E-5
31	3.3E-2	1.2E-5	6.8E-5	1.2E-4	3.2E-2	5.5E-5	5.2E-5
32	3.2E-2	1.1E-5	6.5E-5	1.2E-4	3.0E-2	5.2E-5	5.0E-5
33	3.0E-2	1.1E-5	6.2E-5	1.1E-4	2.9E-2	5.0E-5	4.7E-5
34	2.9E-2	1.0E-5	5.9E-5	1.1E-4	2.8E-2	4.7E-5	4.5E-5
35	2.8E-2	9.7E-6	5.6E-5	1.0E-4	2.7E-2	4.5E-5	4.3E-5
36	2.7E-2	9.3E-6	5.4E-5	9.9E-5	2.6E-2	4.3E-5	4.1E-5
37	2.6E-2	8.8E-6	5.2E-5	9.5E-5	2.5E-2	4.1E-5	3.9E-5
38	2.5E-2	8.4E-6	4.9E-5	9.1E-5	2.4E-2	3.9E-5	3.7E-5
39	2.4E-2	8.0E-6	4.7E-5	8.7E-5	2.3E-2	3.7E-5	3.5E-5
40	2.3E-2	7.6E-6	4.5E-5	8.3E-5	2.2E-2	3.5E-5	3.4E-5
41	2.2E-2	7.3E-6	4.4E-5	8.0E-5	2.1E-2	3.4E-5	3.2E-5
42	2.1E-2	6.9E-6	4.2E-5	7.6E-5	2.1E-2	3.2E-5	3.0E-5
43	2.0E-2	6.6E-6	4.0E-5	7.3E-5	2.0E-2	3.0E-5	2.9E-5
44	2.0E-2	6.3E-6	3.8E-5	7.0E-5	1.9E-2	2.9E-5	2.8E-5
45	1.9E-2	6.0E-6	3.7E-5	6.7E-5	1.8E-2	2.8E-5	2.6E-5
46	1.8E-2	5.7E-6	3.5E-5	6.5E-5	1.8E-2	2.6E-5	2.5E-5
47	1.7E-2	5.4E-6	3.4E-5	6.2E-5	1.7E-2	2.5E-5	2.4E-5
48	1.7E-2	5.2E-6	3.3E-5	6.0E-5	1.6E-2	2.4E-5	2.3E-5
49	1.6E-2	4.9E-6	3.1E-5	5.7E-5	1.6E-2	2.3E-5	2.2E-5
50	1.5E-2	4.7E-6	3.0E-5	5.5E-5	1.5E-2	2.2E-5	2.1E-5
51	1.5E-2	4.5E-6	2.9E-5	5.3E-5	1.4E-2	2.1E-5	2.0E-5
52	1.4E-2	4.3E-6	2.8E-5	5.0E-5	1.4E-2	2.0E-5	1.9E-5
53	1.4E-2	4.1E-6	2.7E-5	4.8E-5	1.3E-2	1.9E-5	1.8E-5
54	1.3E-2	3.9E-6	2.5E-5	4.6E-5	1.3E-2	1.8E-5	1.7E-5
55	1.3E-2	3.7E-6	2.4E-5	4.5E-5	1.2E-2	1.7E-5	1.6E-5
56	1.2E-2	3.5E-6	2.4E-5	4.3E-5	1.2E-2	1.6E-5	1.5E-5
57	1.2E-2	3.4E-6	2.3E-5	4.1E-5	1.1E-2	1.5E-5	1.5E-5
58	1.1E-2	3.2E-6	2.2E-5	3.9E-5	1.1E-2	1.5E-5	1.4E-5
59	1.1E-2	3.1E-6	2.1E-5	3.8E-5	1.1E-2	1.4E-5	1.3E-5
60	1.0E-2	2.9E-6	2.0E-5	3.6E-5	1.0E-2	1.3E-5	1.3E-5
