Radionuclide	Au-199
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.1
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.0E-1	-	-	2.2E-1	3.6E-2	8.4E-3	1.2E-2
0.083333	7.8E-1	-	-	2.4E-1	2.3E-2	9.8E-3	1.5E-2
0.125	7.6E-1	-	-	2.6E-1	2.0E-2	1.0E-2	1.6E-2
0.25	7.2E-1	-	-	2.9E-1	1.9E-2	1.1E-2	1.8E-2
0.375	6.7E-1	-	-	3.1E-1	1.8E-2	1.1E-2	1.9E-2
0.5	6.3E-1	-	-	3.1E-1	1.8E-2	1.1E-2	2.0E-2
0.625	5.9E-1	-	-	3.2E-1	1.6E-2	1.1E-2	2.1E-2
0.75	5.5E-1	-	-	3.1E-1	1.5E-2	1.0E-2	2.1E-2
0.875	5.2E-1	-	-	3.0E-1	1.4E-2	9.7E-3	2.1E-2
1	4.8E-1	3.1E-2	4.9E-2	2.8E-1	1.3E-2	9.2E-3	2.1E-2
1.125	4.4E-1	-	-	2.6E-1	1.2E-2	8.7E-3	2.1E-2
1.25	4.1E-1	-	-	2.4E-1	1.1E-2	8.2E-3	2.0E-2
1.375	3.8E-1	-	-	2.2E-1	9.7E-3	7.7E-3	2.0E-2
1.5	3.4E-1	-	-	2.0E-1	8.8E-3	7.3E-3	1.9E-2
1.625	3.1E-1	-	-	1.8E-1	8.0E-3	6.9E-3	1.9E-2
1.75	2.9E-1	-	-	1.6E-1	7.3E-3	6.5E-3	1.8E-2
1.875	2.6E-1	-	-	1.4E-1	6.6E-3	6.1E-3	1.8E-2
2	2.4E-1	1.7E-2	1.2E-1	1.2E-1	6.0E-3	5.8E-3	1.8E-2
2.25	2.0E-1	-	-	9.4E-2	5.0E-3	5.2E-3	1.7E-2
2.5	1.6E-1	-	-	7.0E-2	4.3E-3	4.7E-3	1.6E-2
