Radionuclide	Ba-133
Route of Intake	Ingestion
Material	Soluble forms, fA=0.2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	9.9E-1	3.1E-3
0.083333	1.0E+0	-	-	9.6E-1	1.1E-2
0.125	1.0E+0	-	-	9.4E-1	2.0E-2
0.25	9.9E-1	-	-	9.0E-1	4.2E-2
0.375	9.8E-1	-	-	8.8E-1	5.4E-2
0.5	9.6E-1	-	-	8.6E-1	6.0E-2
0.625	9.3E-1	-	-	8.3E-1	6.2E-2
0.75	8.9E-1	-	-	8.0E-1	6.2E-2
0.875	8.4E-1	-	-	7.5E-1	6.1E-2
1	7.9E-1	1.1E-2	2.0E-1	7.0E-1	6.0E-2
1.125	7.3E-1	-	-	6.4E-1	5.9E-2
1.25	6.7E-1	-	-	5.9E-1	5.7E-2
1.375	6.1E-1	-	-	5.3E-1	5.6E-2
1.5	5.5E-1	-	-	4.8E-1	5.4E-2
1.625	5.0E-1	-	-	4.3E-1	5.3E-2
1.75	4.5E-1	-	-	3.8E-1	5.2E-2
1.875	4.0E-1	-	-	3.3E-1	5.0E-2
2	3.6E-1	2.2E-3	4.3E-1	2.9E-1	4.9E-2
2.25	2.9E-1	-	-	2.2E-1	4.7E-2
2.5	2.3E-1	-	-	1.7E-1	4.5E-2
2.75	1.8E-1	-	-	1.3E-1	4.3E-2
3	1.5E-1	1.4E-3	2.1E-1	9.4E-2	4.1E-2
3.25	1.2E-1	-	-	7.1E-2	4.0E-2
3.5	1.0E-1	-	-	5.4E-2	3.8E-2
3.75	8.9E-2	-	-	4.2E-2	3.7E-2
4	7.8E-2	9.8E-4	7.0E-2	3.3E-2	3.5E-2
4.25	6.9E-2	-	-	2.6E-2	3.4E-2
4.5	6.3E-2	-	-	2.1E-2	3.3E-2
4.75	5.7E-2	-	-	1.7E-2	3.2E-2
5	5.3E-2	6.8E-4	2.4E-2	1.5E-2	3.2E-2
5.5	4.7E-2	-	-	1.1E-2	3.0E-2
6	4.3E-2	4.8E-4	1.0E-2	8.6E-3	2.9E-2
6.5	3.9E-2	-	-	6.9E-3	2.8E-2
7	3.6E-2	3.3E-4	5.8E-3	5.7E-3	2.7E-2
7.5	3.4E-2	-	-	4.7E-3	2.6E-2
8	3.2E-2	2.4E-4	3.8E-3	3.9E-3	2.5E-2
8.5	3.1E-2	-	-	3.3E-3	2.5E-2
9	3.0E-2	1.7E-4	2.6E-3	2.8E-3	2.4E-2
9.5	2.9E-2	-	-	2.4E-3	2.4E-2
10	2.8E-2	1.2E-4	1.8E-3	2.0E-3	2.4E-2
11	2.6E-2	8.9E-5	1.3E-3	1.5E-3	2.3E-2
12	2.5E-2	6.6E-5	9.5E-4	1.1E-3	2.3E-2
13	2.4E-2	5.0E-5	7.0E-4	8.1E-4	2.2E-2
14	2.4E-2	3.9E-5	5.3E-4	6.3E-4	2.2E-2
15	2.3E-2	3.2E-5	4.1E-4	5.0E-4	2.2E-2
16	2.3E-2	2.6E-5	3.2E-4	4.2E-4	2.1E-2
17	2.3E-2	2.3E-5	2.6E-4	3.5E-4	2.1E-2
18	2.3E-2	2.0E-5	2.2E-4	3.1E-4	2.1E-2
19	2.2E-2	1.8E-5	1.9E-4	2.8E-4	2.1E-2
20	2.2E-2	1.7E-5	1.7E-4	2.6E-4	2.1E-2
21	2.2E-2	1.6E-5	1.6E-4	2.4E-4	2.1E-2
22	2.2E-2	1.5E-5	1.5E-4	2.3E-4	2.0E-2
23	2.2E-2	1.4E-5	1.4E-4	2.2E-4	2.0E-2
24	2.2E-2	1.4E-5	1.3E-4	2.1E-4	2.0E-2
25	2.1E-2	1.4E-5	1.3E-4	2.1E-4	2.0E-2
