Radionuclide	Ra-226
Route of Intake	Injection
Material	Injection, fA=0.2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	3.2E-1	2.5E-1	6.6E-2
0.083333	9.9E-1	-	-	3.5E-1	2.7E-1	6.7E-2
0.125	9.9E-1	-	-	3.7E-1	2.8E-1	6.9E-2
0.25	9.9E-1	-	-	4.2E-1	3.0E-1	7.2E-2
0.375	9.7E-1	-	-	4.5E-1	3.1E-1	7.2E-2
0.5	9.6E-1	-	-	4.6E-1	3.1E-1	7.1E-2
0.625	9.4E-1	-	-	4.6E-1	3.0E-1	6.9E-2
0.75	9.1E-1	-	-	4.5E-1	3.0E-1	6.7E-2
0.875	8.8E-1	-	-	4.4E-1	2.9E-1	6.4E-2
1	8.5E-1	1.5E-2	1.4E-1	4.2E-1	2.9E-1	6.2E-2
1.125	8.1E-1	-	-	4.0E-1	2.8E-1	5.9E-2
1.25	7.8E-1	-	-	3.8E-1	2.7E-1	5.7E-2
1.375	7.4E-1	-	-	3.5E-1	2.7E-1	5.4E-2
1.5	7.1E-1	-	-	3.3E-1	2.6E-1	5.2E-2
1.625	6.8E-1	-	-	3.1E-1	2.5E-1	5.0E-2
1.75	6.4E-1	-	-	2.9E-1	2.5E-1	4.8E-2
1.875	6.1E-1	-	-	2.7E-1	2.4E-1	4.6E-2
2	5.8E-1	2.7E-3	2.6E-1	2.5E-1	2.4E-1	4.4E-2
2.25	5.3E-1	-	-	2.2E-1	2.3E-1	4.0E-2
2.5	4.9E-1	-	-	1.9E-1	2.2E-1	3.7E-2
2.75	4.5E-1	-	-	1.6E-1	2.1E-1	3.4E-2
3	4.1E-1	1.8E-3	1.7E-1	1.4E-1	2.0E-1	3.1E-2
3.25	3.8E-1	-	-	1.3E-1	1.9E-1	2.8E-2
3.5	3.6E-1	-	-	1.1E-1	1.9E-1	2.6E-2
3.75	3.3E-1	-	-	1.0E-1	1.8E-1	2.4E-2
4	3.1E-1	1.3E-3	9.8E-2	9.0E-2	1.7E-1	2.2E-2
4.25	2.9E-1	-	-	8.1E-2	1.7E-1	2.0E-2
4.5	2.8E-1	-	-	7.3E-2	1.6E-1	1.8E-2
4.75	2.6E-1	-	-	6.6E-2	1.6E-1	1.7E-2
5	2.5E-1	9.1E-4	6.1E-2	6.1E-2	1.5E-1	1.5E-2
5.5	2.3E-1	-	-	5.0E-2	1.5E-1	1.3E-2
6	2.1E-1	6.4E-4	4.1E-2	4.2E-2	1.4E-1	1.1E-2
6.5	1.9E-1	-	-	3.6E-2	1.4E-1	9.4E-3
7	1.8E-1	4.6E-4	2.8E-2	3.0E-2	1.3E-1	8.0E-3
7.5	1.7E-1	-	-	2.5E-2	1.3E-1	6.8E-3
8	1.6E-1	3.3E-4	2.0E-2	2.2E-2	1.2E-1	5.8E-3
8.5	1.5E-1	-	-	1.8E-2	1.2E-1	5.0E-3
9	1.5E-1	2.4E-4	1.4E-2	1.6E-2	1.2E-1	4.3E-3
9.5	1.4E-1	-	-	1.3E-2	1.2E-1	3.8E-3
10	1.4E-1	1.8E-4	1.0E-2	1.2E-2	1.1E-1	3.3E-3
11	1.3E-1	1.4E-4	7.7E-3	8.7E-3	1.1E-1	2.6E-3
12	1.2E-1	1.1E-4	5.8E-3	6.7E-3	1.1E-1	2.0E-3
13	1.2E-1	8.5E-5	4.4E-3	5.3E-3	1.1E-1	1.7E-3
14	1.1E-1	7.0E-5	3.5E-3	4.3E-3	1.0E-1	1.4E-3
15	1.1E-1	5.9E-5	2.8E-3	3.6E-3	1.0E-1	1.3E-3
16	1.1E-1	5.2E-5	2.3E-3	3.1E-3	1.0E-1	1.1E-3
17	1.1E-1	4.6E-5	2.0E-3	2.7E-3	9.9E-2	1.0E-3
18	1.0E-1	4.2E-5	1.8E-3	2.4E-3	9.8E-2	9.7E-4
19	1.0E-1	3.9E-5	1.6E-3	2.2E-3	9.6E-2	9.3E-4
20	1.0E-1	3.7E-5	1.5E-3	2.1E-3	9.5E-2	8.9E-4
21	1.0E-1	3.5E-5	1.4E-3	2.0E-3	9.4E-2	8.7E-4
22	9.9E-2	3.4E-5	1.3E-3	1.9E-3	9.3E-2	8.5E-4
23	9.8E-2	3.2E-5	1.2E-3	1.8E-3	9.2E-2	8.3E-4
24	9.6E-2	3.1E-5	1.2E-3	1.8E-3	9.0E-2	8.2E-4
25	9.5E-2	3.1E-5	1.1E-3	1.7E-3	8.9E-2	8.1E-4
26	9.4E-2	3.0E-5	1.1E-3	1.7E-3	8.8E-2	8.0E-4
27	9.3E-2	2.9E-5	1.1E-3	1.7E-3	8.7E-2	7.9E-4
28	9.2E-2	2.9E-5	1.1E-3	1.6E-3	8.6E-2	7.9E-4
29	9.1E-2	2.8E-5	1.0E-3	1.6E-3	8.5E-2	7.8E-4
30	9.0E-2	2.8E-5	1.0E-3	1.6E-3	8.4E-2	7.7E-4
31	8.9E-2	2.7E-5	1.0E-3	1.5E-3	8.3E-2	7.7E-4
32	8.8E-2	2.7E-5	9.8E-4	1.5E-3	8.2E-2	7.6E-4
33	8.7E-2	2.6E-5	9.6E-4	1.5E-3	8.1E-2	7.6E-4
34	8.6E-2	2.6E-5	9.5E-4	1.5E-3	8.0E-2	7.5E-4
35	8.5E-2	2.5E-5	9.3E-4	1.4E-3	7.9E-2	7.4E-4
36	8.4E-2	2.5E-5	9.1E-4	1.4E-3	7.8E-2	7.4E-4
37	8.3E-2	2.4E-5	9.0E-4	1.4E-3	7.8E-2	7.3E-4
38	8.2E-2	2.4E-5	8.8E-4	1.4E-3	7.7E-2	7.3E-4
39	8.1E-2	2.3E-5	8.6E-4	1.3E-3	7.6E-2	7.3E-4
40	8.0E-2	2.3E-5	8.5E-4	1.3E-3	7.5E-2	7.2E-4
41	7.9E-2	2.3E-5	8.3E-4	1.3E-3	7.4E-2	7.2E-4
42	7.9E-2	2.2E-5	8.2E-4	1.3E-3	7.3E-2	7.1E-4
43	7.8E-2	2.2E-5	8.0E-4	1.3E-3	7.3E-2	7.1E-4
44	7.7E-2	2.1E-5	7.9E-4	1.2E-3	7.2E-2	7.0E-4
45	7.6E-2	2.1E-5	7.8E-4	1.2E-3	7.1E-2	7.0E-4
46	7.5E-2	2.1E-5	7.6E-4	1.2E-3	7.0E-2	6.9E-4
47	7.5E-2	2.0E-5	7.5E-4	1.2E-3	6.9E-2	6.9E-4
48	7.4E-2	2.0E-5	7.4E-4	1.1E-3	6.9E-2	6.9E-4
49	7.3E-2	2.0E-5	7.2E-4	1.1E-3	6.8E-2	6.8E-4
50	7.2E-2	1.9E-5	7.1E-4	1.1E-3	6.7E-2	6.8E-4
51	7.2E-2	1.9E-5	7.0E-4	1.1E-3	6.7E-2	6.7E-4
52	7.1E-2	1.9E-5	6.9E-4	1.1E-3	6.6E-2	6.7E-4
53	7.0E-2	1.8E-5	6.7E-4	1.1E-3	6.5E-2	6.7E-4
54	7.0E-2	1.8E-5	6.6E-4	1.0E-3	6.5E-2	6.6E-4
55	6.9E-2	1.8E-5	6.5E-4	1.0E-3	6.4E-2	6.6E-4
56	6.8E-2	1.7E-5	6.4E-4	1.0E-3	6.3E-2	6.5E-4
57	6.8E-2	1.7E-5	6.3E-4	9.9E-4	6.3E-2	6.5E-4
58	6.7E-2	1.7E-5	6.2E-4	9.7E-4	6.2E-2	6.5E-4
59	6.6E-2	1.6E-5	6.1E-4	9.6E-4	6.2E-2	6.4E-4
60	6.6E-2	1.6E-5	5.9E-4	9.4E-4	6.1E-2	6.4E-4
61	6.5E-2	1.6E-5	5.8E-4	9.2E-4	6.0E-2	6.4E-4
62	6.5E-2	1.6E-5	5.7E-4	9.1E-4	6.0E-2	6.3E-4
63	6.4E-2	1.5E-5	5.6E-4	8.9E-4	5.9E-2	6.3E-4
64	6.3E-2	1.5E-5	5.5E-4	8.8E-4	5.9E-2	6.3E-4
65	6.3E-2	1.5E-5	5.4E-4	8.7E-4	5.8E-2	6.2E-4
66	6.2E-2	1.5E-5	5.3E-4	8.5E-4	5.8E-2	6.2E-4
67	6.2E-2	1.4E-5	5.3E-4	8.4E-4	5.7E-2	6.2E-4
68	6.1E-2	1.4E-5	5.2E-4	8.2E-4	5.7E-2	6.1E-4
