Radionuclide	H-3
Route of Intake	Ingestion
Material	Soluble forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
0.041667	1.0E+0	-	-	4.6E-1
0.083333	1.0E+0	-	-	2.1E-1
0.125	1.0E+0	-	-	1.1E-1
0.25	9.9E-1	-	-	3.9E-2
0.375	9.8E-1	-	-	3.3E-2
0.5	9.7E-1	-	-	3.3E-2
0.625	9.6E-1	-	-	3.2E-2
0.75	9.5E-1	-	-	3.2E-2
0.875	9.5E-1	-	-	3.1E-2
1	9.4E-1	3.2E-2	3.2E-3	3.0E-2
1.125	9.3E-1	-	-	3.0E-2
1.25	9.2E-1	-	-	2.9E-2
1.375	9.1E-1	-	-	2.9E-2
1.5	9.0E-1	-	-	2.8E-2
1.625	9.0E-1	-	-	2.7E-2
1.75	8.9E-1	-	-	2.7E-2
1.875	8.8E-1	-	-	2.6E-2
2	8.7E-1	3.4E-2	6.0E-3	2.6E-2
2.25	8.6E-1	-	-	2.5E-2
2.5	8.4E-1	-	-	2.4E-2
2.75	8.3E-1	-	-	2.3E-2
3	8.1E-1	3.2E-2	4.0E-3	2.3E-2
3.25	8.0E-1	-	-	2.2E-2
3.5	7.8E-1	-	-	2.1E-2
3.75	7.7E-1	-	-	2.1E-2
4	7.6E-1	3.0E-2	2.8E-3	2.1E-2
4.25	7.4E-1	-	-	2.0E-2
4.5	7.3E-1	-	-	2.0E-2
4.75	7.2E-1	-	-	2.0E-2
5	7.1E-1	2.8E-2	2.3E-3	1.9E-2
5.5	6.8E-1	-	-	1.8E-2
6	6.6E-1	2.6E-2	2.1E-3	1.8E-2
6.5	6.4E-1	-	-	1.7E-2
7	6.2E-1	2.4E-2	1.9E-3	1.7E-2
7.5	5.9E-1	-	-	1.6E-2
8	5.7E-1	2.2E-2	1.8E-3	1.6E-2
8.5	5.6E-1	-	-	1.5E-2
9	5.4E-1	2.1E-2	1.7E-3	1.4E-2
9.5	5.2E-1	-	-	1.4E-2
10	5.0E-1	2.0E-2	1.6E-3	1.4E-2
11	4.7E-1	1.8E-2	1.5E-3	1.3E-2
12	4.4E-1	1.7E-2	1.4E-3	1.2E-2
13	4.1E-1	1.6E-2	1.3E-3	1.1E-2
14	3.8E-1	1.5E-2	1.2E-3	1.0E-2
15	3.6E-1	1.4E-2	1.1E-3	9.6E-3
16	3.3E-1	1.3E-2	1.0E-3	8.9E-3
17	3.1E-1	1.2E-2	9.6E-4	8.3E-3
18	2.9E-1	1.1E-2	9.0E-4	7.8E-3
19	2.7E-1	1.0E-2	8.4E-4	7.3E-3
20	2.5E-1	9.7E-3	7.8E-4	6.8E-3
21	2.4E-1	9.1E-3	7.3E-4	6.3E-3
22	2.2E-1	8.5E-3	6.8E-4	5.9E-3
23	2.1E-1	7.9E-3	6.3E-4	5.5E-3
24	1.9E-1	7.4E-3	5.9E-4	5.2E-3
25	1.8E-1	6.9E-3	5.5E-4	4.8E-3
26	1.7E-1	6.4E-3	5.2E-4	4.5E-3
27	1.6E-1	6.0E-3	4.8E-4	4.2E-3
28	1.5E-1	5.6E-3	4.5E-4	3.9E-3
29	1.4E-1	5.2E-3	4.2E-4	3.7E-3
30	1.3E-1	4.9E-3	3.9E-4	3.4E-3
31	1.2E-1	4.5E-3	3.6E-4	3.2E-3
32	1.1E-1	4.2E-3	3.4E-4	3.0E-3
33	1.1E-1	3.9E-3	3.2E-4	2.8E-3
34	9.9E-2	3.7E-3	3.0E-4	2.6E-3
35	9.3E-2	3.4E-3	2.8E-4	2.5E-3
36	8.7E-2	3.2E-3	2.6E-4	2.3E-3
37	8.1E-2	3.0E-3	2.4E-4	2.2E-3
38	7.6E-2	2.8E-3	2.2E-4	2.0E-3
39	7.2E-2	2.6E-3	2.1E-4	1.9E-3
40	6.7E-2	2.4E-3	2.0E-4	1.8E-3
41	6.3E-2	2.3E-3	1.8E-4	1.7E-3
42	5.9E-2	2.1E-3	1.7E-4	1.6E-3
43	5.5E-2	2.0E-3	1.6E-4	1.5E-3
44	5.2E-2	1.8E-3	1.5E-4	1.4E-3
45	4.9E-2	1.7E-3	1.4E-4	1.3E-3
46	4.6E-2	1.6E-3	1.3E-4	1.2E-3
47	4.3E-2	1.5E-3	1.2E-4	1.1E-3
48	4.1E-2	1.4E-3	1.1E-4	1.1E-3
49	3.8E-2	1.3E-3	1.1E-4	9.9E-4
50	3.6E-2	1.2E-3	9.8E-5	9.3E-4
51	3.4E-2	1.1E-3	9.2E-5	8.7E-4
52	3.2E-2	1.1E-3	8.6E-5	8.2E-4
53	3.0E-2	1.0E-3	8.0E-5	7.7E-4
54	2.8E-2	9.4E-4	7.5E-5	7.3E-4
55	2.7E-2	8.8E-4	7.0E-5	6.8E-4
56	2.5E-2	8.2E-4	6.6E-5	6.4E-4
57	2.4E-2	7.7E-4	6.1E-5	6.1E-4
58	2.3E-2	7.2E-4	5.7E-5	5.7E-4
59	2.1E-2	6.7E-4	5.4E-5	5.4E-4
60	2.0E-2	6.3E-4	5.0E-5	5.1E-4
61	1.9E-2	5.9E-4	4.7E-5	4.8E-4
62	1.8E-2	5.5E-4	4.4E-5	4.5E-4
63	1.7E-2	5.1E-4	4.1E-5	4.3E-4
64	1.6E-2	4.8E-4	3.9E-5	4.1E-4
65	1.6E-2	4.5E-4	3.6E-5	3.8E-4
66	1.5E-2	4.2E-4	3.4E-5	3.6E-4
67	1.4E-2	4.0E-4	3.2E-5	3.4E-4
68	1.3E-2	3.7E-4	3.0E-5	3.3E-4
69	1.3E-2	3.5E-4	2.8E-5	3.1E-4
70	1.2E-2	3.3E-4	2.6E-5	2.9E-4
71	1.2E-2	3.1E-4	2.4E-5	2.8E-4
72	1.1E-2	2.9E-4	2.3E-5	2.6E-4
73	1.1E-2	2.7E-4	2.2E-5	2.5E-4
