Radionuclide	Te-129m
Route of Intake	Inhalation
Material	Aerosols Type S, fA=3E-3
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	7.6E-1	-	-	2.8E-1	3.8E-2	1.1E-7	1.2E-5	1.7E-5
0.083333	7.5E-1	-	-	3.1E-1	3.5E-2	2.4E-7	2.3E-5	3.3E-5
0.125	7.4E-1	-	-	3.4E-1	3.3E-2	4.0E-7	3.5E-5	5.1E-5
0.25	7.1E-1	-	-	4.0E-1	3.1E-2	9.7E-7	6.7E-5	9.9E-5
0.375	6.9E-1	-	-	4.4E-1	3.0E-2	1.6E-6	8.9E-5	1.4E-4
0.5	6.7E-1	-	-	4.7E-1	2.9E-2	2.2E-6	1.0E-4	1.6E-4
0.625	6.5E-1	-	-	4.9E-1	2.9E-2	2.7E-6	1.2E-4	1.8E-4
0.75	6.2E-1	-	-	4.9E-1	2.9E-2	3.3E-6	1.2E-4	2.0E-4
0.875	5.9E-1	-	-	4.8E-1	2.8E-2	3.8E-6	1.3E-4	2.1E-4
1	5.6E-1	6.2E-4	8.2E-2	4.7E-1	2.8E-2	4.2E-6	1.3E-4	2.2E-4
1.125	5.2E-1	-	-	4.5E-1	2.8E-2	4.6E-6	1.3E-4	2.2E-4
1.25	4.9E-1	-	-	4.3E-1	2.8E-2	5.0E-6	1.3E-4	2.3E-4
1.375	4.5E-1	-	-	4.0E-1	2.8E-2	5.3E-6	1.4E-4	2.3E-4
1.5	4.2E-1	-	-	3.7E-1	2.7E-2	5.5E-6	1.4E-4	2.3E-4
1.625	3.8E-1	-	-	3.4E-1	2.7E-2	5.7E-6	1.4E-4	2.3E-4
1.75	3.5E-1	-	-	3.1E-1	2.7E-2	5.9E-6	1.4E-4	2.4E-4
1.875	3.1E-1	-	-	2.8E-1	2.7E-2	6.1E-6	1.3E-4	2.4E-4
2	2.8E-1	5.4E-4	2.5E-1	2.5E-1	2.7E-2	6.2E-6	1.3E-4	2.4E-4
2.25	2.3E-1	-	-	1.9E-1	2.6E-2	6.4E-6	1.3E-4	2.3E-4
2.5	1.8E-1	-	-	1.5E-1	2.6E-2	6.5E-6	1.3E-4	2.3E-4
2.75	1.4E-1	-	-	1.1E-1	2.6E-2	6.6E-6	1.3E-4	2.3E-4
3	1.1E-1	2.2E-4	1.6E-1	8.4E-2	2.5E-2	6.6E-6	1.3E-4	2.3E-4
3.25	8.9E-2	-	-	6.2E-2	2.5E-2	6.6E-6	1.3E-4	2.2E-4
3.5	7.1E-2	-	-	4.5E-2	2.5E-2	6.5E-6	1.3E-4	2.2E-4
3.75	5.8E-2	-	-	3.3E-2	2.4E-2	6.5E-6	1.3E-4	2.2E-4
4	4.9E-2	8.7E-5	6.0E-2	2.3E-2	2.4E-2	6.4E-6	1.3E-4	2.1E-4
4.25	4.2E-2	-	-	1.7E-2	2.4E-2	6.3E-6	1.3E-4	2.1E-4
4.5	3.7E-2	-	-	1.2E-2	2.4E-2	6.2E-6	1.3E-4	2.1E-4
4.75	3.3E-2	-	-	8.6E-3	2.3E-2	6.1E-6	1.2E-4	2.0E-4
5	3.0E-2	4.2E-5	1.7E-2	6.2E-3	2.3E-2	6.0E-6	1.2E-4	2.0E-4
5.5	2.7E-2	-	-	3.3E-3	2.3E-2	5.8E-6	1.2E-4	1.9E-4
6	2.5E-2	2.7E-5	4.5E-3	1.9E-3	2.2E-2	5.7E-6	1.2E-4	1.9E-4
6.5	2.4E-2	-	-	1.2E-3	2.2E-2	5.5E-6	1.2E-4	1.8E-4
7	2.3E-2	2.1E-5	1.3E-3	8.7E-4	2.2E-2	5.3E-6	1.2E-4	1.7E-4
7.5	2.3E-2	-	-	6.9E-4	2.1E-2	5.1E-6	1.2E-4	1.7E-4
8	2.2E-2	1.9E-5	5.5E-4	5.8E-4	2.1E-2	4.9E-6	1.2E-4	1.6E-4
8.5	2.2E-2	-	-	5.1E-4	2.1E-2	4.7E-6	1.1E-4	1.6E-4
9	2.2E-2	1.7E-5	3.4E-4	4.6E-4	2.0E-2	4.6E-6	1.1E-4	1.5E-4
9.5	2.1E-2	-	-	4.1E-4	2.0E-2	4.4E-6	1.1E-4	1.4E-4
10	2.1E-2	1.6E-5	2.6E-4	3.8E-4	2.0E-2	4.3E-6	1.1E-4	1.4E-4
11	2.0E-2	1.5E-5	2.1E-4	3.2E-4	1.9E-2	4.0E-6	1.1E-4	1.3E-4
12	2.0E-2	1.4E-5	1.8E-4	2.7E-4	1.9E-2	3.7E-6	1.0E-4	1.2E-4
13	1.9E-2	1.3E-5	1.5E-4	2.3E-4	1.8E-2	3.5E-6	1.0E-4	1.1E-4
14	1.8E-2	1.2E-5	1.3E-4	1.9E-4	1.8E-2	3.2E-6	1.0E-4	1.1E-4
15	1.8E-2	1.1E-5	1.1E-4	1.7E-4	1.7E-2	3.0E-6	9.7E-5	9.8E-5
16	1.8E-2	1.1E-5	9.4E-5	1.5E-4	1.7E-2	2.8E-6	9.5E-5	9.2E-5
17	1.7E-2	9.9E-6	8.1E-5	1.3E-4	1.6E-2	2.6E-6	9.2E-5	8.6E-5
18	1.7E-2	9.3E-6	7.1E-5	1.1E-4	1.6E-2	2.4E-6	9.0E-5	8.0E-5
19	1.6E-2	8.8E-6	6.3E-5	1.0E-4	1.6E-2	2.3E-6	8.8E-5	7.4E-5
20	1.6E-2	8.2E-6	5.6E-5	9.3E-5	1.5E-2	2.1E-6	8.6E-5	7.0E-5
21	1.5E-2	7.8E-6	5.1E-5	8.5E-5	1.5E-2	2.0E-6	8.3E-5	6.5E-5
22	1.5E-2	7.3E-6	4.6E-5	7.8E-5	1.4E-2	1.8E-6	8.1E-5	6.1E-5
23	1.5E-2	6.9E-6	4.2E-5	7.2E-5	1.4E-2	1.7E-6	7.9E-5	5.7E-5
24	1.4E-2	6.5E-6	3.9E-5	6.7E-5	1.4E-2	1.6E-6	7.7E-5	5.3E-5
25	1.4E-2	6.1E-6	3.7E-5	6.3E-5	1.3E-2	1.5E-6	7.5E-5	4.9E-5
26	1.4E-2	5.8E-6	3.4E-5	6.0E-5	1.3E-2	1.4E-6	7.3E-5	4.6E-5
27	1.3E-2	5.5E-6	3.2E-5	5.6E-5	1.3E-2	1.3E-6	7.1E-5	4.3E-5
28	1.3E-2	5.2E-6	3.1E-5	5.4E-5	1.3E-2	1.2E-6	6.9E-5	4.0E-5
29	1.3E-2	4.9E-6	2.9E-5	5.1E-5	1.2E-2	1.1E-6	6.7E-5	3.8E-5
30	1.2E-2	4.6E-6	2.8E-5	4.9E-5	1.2E-2	1.1E-6	6.5E-5	3.5E-5
31	1.2E-2	4.4E-6	2.7E-5	4.7E-5	1.2E-2	1.0E-6	6.4E-5	3.3E-5
32	1.2E-2	4.1E-6	2.6E-5	4.5E-5	1.1E-2	9.4E-7	6.2E-5	3.1E-5
33	1.2E-2	3.9E-6	2.5E-5	4.4E-5	1.1E-2	8.8E-7	6.0E-5	2.9E-5
34	1.1E-2	3.7E-6	2.4E-5	4.2E-5	1.1E-2	8.2E-7	5.8E-5	2.7E-5
35	1.1E-2	3.5E-6	2.3E-5	4.1E-5	1.1E-2	7.7E-7	5.7E-5	2.5E-5
36	1.1E-2	3.3E-6	2.2E-5	3.9E-5	1.0E-2	7.2E-7	5.5E-5	2.4E-5
37	1.1E-2	3.2E-6	2.1E-5	3.8E-5	1.0E-2	6.8E-7	5.4E-5	2.2E-5
38	1.0E-2	3.0E-6	2.1E-5	3.7E-5	1.0E-2	6.3E-7	5.2E-5	2.1E-5
39	1.0E-2	2.9E-6	2.0E-5	3.6E-5	9.8E-3	5.9E-7	5.1E-5	2.0E-5
40	9.9E-3	2.7E-6	2.0E-5	3.5E-5	9.6E-3	5.6E-7	4.9E-5	1.8E-5
41	9.7E-3	2.6E-6	1.9E-5	3.4E-5	9.4E-3	5.2E-7	4.8E-5	1.7E-5
42	9.5E-3	2.5E-6	1.9E-5	3.3E-5	9.1E-3	4.9E-7	4.7E-5	1.6E-5
43	9.3E-3	2.4E-6	1.8E-5	3.2E-5	8.9E-3	4.6E-7	4.5E-5	1.5E-5
44	9.1E-3	2.3E-6	1.8E-5	3.1E-5	8.7E-3	4.3E-7	4.4E-5	1.4E-5
45	8.9E-3	2.1E-6	1.7E-5	3.0E-5	8.5E-3	4.1E-7	4.3E-5	1.3E-5
46	8.7E-3	2.1E-6	1.7E-5	2.9E-5	8.4E-3	3.8E-7	4.2E-5	1.3E-5
