Radionuclide	As-77
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.2
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.6E-1	-	-	3.1E-1	1.5E-1	5.7E-4	7.7E-4
0.083333	9.3E-1	-	-	3.5E-1	1.3E-1	1.3E-3	1.7E-3
0.125	9.0E-1	-	-	3.7E-1	1.1E-1	2.1E-3	2.6E-3
0.25	8.2E-1	-	-	3.9E-1	8.5E-2	3.8E-3	4.6E-3
0.375	7.5E-1	-	-	4.0E-1	7.3E-2	4.8E-3	5.6E-3
0.5	6.9E-1	-	-	4.0E-1	6.5E-2	5.2E-3	6.0E-3
0.625	6.3E-1	-	-	3.8E-1	5.9E-2	5.4E-3	6.0E-3
0.75	5.7E-1	-	-	3.6E-1	5.4E-2	5.3E-3	5.8E-3
0.875	5.2E-1	-	-	3.4E-1	5.0E-2	5.2E-3	5.5E-3
1	4.7E-1	3.2E-2	5.8E-2	3.1E-1	4.6E-2	5.0E-3	5.2E-3
1.125	4.2E-1	-	-	2.8E-1	4.2E-2	4.8E-3	4.9E-3
1.25	3.7E-1	-	-	2.5E-1	3.9E-2	4.5E-3	4.5E-3
1.375	3.3E-1	-	-	2.2E-1	3.6E-2	4.3E-3	4.2E-3
1.5	2.9E-1	-	-	2.0E-1	3.3E-2	4.0E-3	3.9E-3
1.625	2.6E-1	-	-	1.7E-1	3.1E-2	3.8E-3	3.6E-3
1.75	2.3E-1	-	-	1.5E-1	2.8E-2	3.5E-3	3.3E-3
1.875	2.0E-1	-	-	1.3E-1	2.6E-2	3.3E-3	3.1E-3
2	1.8E-1	9.1E-3	1.1E-1	1.1E-1	2.4E-2	3.1E-3	2.8E-3
2.25	1.4E-1	-	-	7.7E-2	2.1E-2	2.7E-3	2.4E-3
2.5	1.0E-1	-	-	5.5E-2	1.8E-2	2.3E-3	2.1E-3
2.75	8.1E-2	-	-	3.8E-2	1.5E-2	2.0E-3	1.8E-3
3	6.4E-2	4.0E-3	4.7E-2	2.7E-2	1.3E-2	1.7E-3	1.5E-3
3.25	5.1E-2	-	-	1.9E-2	1.1E-2	1.5E-3	1.3E-3
3.5	4.1E-2	-	-	1.3E-2	9.7E-3	1.3E-3	1.1E-3
3.75	3.3E-2	-	-	9.1E-3	8.3E-3	1.1E-3	9.8E-4
4	2.7E-2	2.1E-3	1.2E-2	6.5E-3	7.1E-3	9.5E-4	8.5E-4
4.25	2.3E-2	-	-	4.7E-3	6.1E-3	8.2E-4	7.4E-4
4.5	1.9E-2	-	-	3.5E-3	5.2E-3	7.1E-4	6.5E-4
4.75	1.6E-2	-	-	2.6E-3	4.5E-3	6.2E-4	5.6E-4
5	1.4E-2	1.2E-3	2.8E-3	2.0E-3	3.9E-3	5.3E-4	4.9E-4
5.5	1.0E-2	-	-	1.3E-3	2.9E-3	4.0E-4	3.7E-4
6	7.6E-3	6.5E-4	7.9E-4	8.7E-4	2.1E-3	3.0E-4	2.9E-4
6.5	5.7E-3	-	-	6.1E-4	1.6E-3	2.2E-4	2.2E-4
7	4.3E-3	3.6E-4	3.1E-4	4.4E-4	1.2E-3	1.7E-4	1.7E-4
7.5	3.2E-3	-	-	3.2E-4	8.5E-4	1.3E-4	1.3E-4
8	2.4E-3	2.0E-4	1.5E-4	2.3E-4	6.3E-4	9.4E-5	9.9E-5
8.5	1.8E-3	-	-	1.7E-4	4.7E-4	7.1E-5	7.6E-5
9	1.4E-3	1.1E-4	7.6E-5	1.2E-4	3.5E-4	5.3E-5	5.9E-5
9.5	1.1E-3	-	-	9.2E-5	2.6E-4	4.0E-5	4.5E-5
10	8.1E-4	6.3E-5	4.0E-5	6.8E-5	1.9E-4	3.0E-5	3.5E-5
11	4.7E-4	3.6E-5	2.1E-5	3.7E-5	1.1E-4	1.7E-5	2.1E-5
12	2.7E-4	2.0E-5	1.1E-5	2.0E-5	6.1E-5	1.0E-5	1.2E-5
13	1.6E-4	1.2E-5	6.1E-6	1.1E-5	3.5E-5	5.8E-6	7.3E-6
14	9.5E-5	6.6E-6	3.3E-6	6.1E-6	2.0E-5	3.4E-6	4.4E-6
15	5.6E-5	3.8E-6	1.8E-6	3.4E-6	1.1E-5	2.0E-6	2.6E-6
16	3.3E-5	2.2E-6	9.5E-7	1.9E-6	6.7E-6	1.2E-6	1.6E-6
17	2.0E-5	1.3E-6	5.1E-7	1.0E-6	3.9E-6	6.8E-7	9.6E-7
18	1.2E-5	7.3E-7	2.7E-7	5.8E-7	2.3E-6	4.1E-7	5.8E-7
19	7.3E-6	4.3E-7	1.5E-7	3.3E-7	1.4E-6	2.4E-7	3.5E-7
20	4.4E-6	2.5E-7	8.0E-8	1.8E-7	8.4E-7	1.5E-7	2.1E-7
21	2.7E-6	1.5E-7	4.3E-8	1.0E-7	5.1E-7	8.8E-8	1.3E-7
22	1.6E-6	8.6E-8	2.4E-8	6.0E-8	3.2E-7	5.3E-8	7.8E-8
23	1.0E-6	5.1E-8	1.3E-8	3.4E-8	1.9E-7	3.3E-8	4.7E-8
24	6.2E-7	3.0E-8	7.1E-9	2.0E-8	1.2E-7	2.0E-8	2.9E-8
25	3.8E-7	1.8E-8	3.9E-9	1.1E-8	7.6E-8	1.2E-8	1.8E-8
26	2.3E-7	1.1E-8	2.1E-9	6.7E-9	4.8E-8	7.6E-9	1.1E-8
27	1.5E-7	6.4E-9	1.2E-9	3.9E-9	3.0E-8	4.7E-9	6.5E-9
28	9.0E-8	3.8E-9	6.6E-10	2.3E-9	1.9E-8	2.9E-9	4.0E-9
29	5.6E-8	2.3E-9	3.7E-10	1.4E-9	1.2E-8	1.8E-9	2.4E-9
30	3.5E-8	1.4E-9	2.1E-10	8.2E-10	7.7E-9	1.2E-9	1.5E-9
31	2.2E-8	8.4E-10	1.2E-10	4.9E-10	4.9E-9	7.3E-10	9.1E-10
32	1.4E-8	5.1E-10	-	3.0E-10	3.2E-9	4.6E-10	5.6E-10
33	8.5E-9	3.1E-10	-	1.8E-10	2.0E-9	2.9E-10	3.4E-10
34	5.3E-9	1.9E-10	-	1.1E-10	1.3E-9	1.8E-10	2.1E-10
35	3.4E-9	1.1E-10	-	-	8.3E-10	1.2E-10	1.3E-10
36	2.1E-9	-	-	-	5.4E-10	-	-
37	1.3E-9	-	-	-	3.5E-10	-	-
38	8.4E-10	-	-	-	2.2E-10	-	-
39	5.3E-10	-	-	-	1.4E-10	-	-
40	3.3E-10	-	-	-	-	-	-
41	2.1E-10	-	-	-	-	-	-
42	1.3E-10	-	-	-	-	-	-
