Radionuclide	Te-132
Route of Intake	Inhalation
Material	Aerosols Type F, Tellurium chloride, tellurium dioxide, fA=0.3
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	7.5E-1	-	-	1.9E-1	2.1E-2	9.3E-5	9.2E-3	1.3E-2
0.083333	7.4E-1	-	-	2.0E-1	1.9E-2	1.3E-4	1.1E-2	1.6E-2
0.125	7.2E-1	-	-	2.0E-1	2.0E-2	1.6E-4	1.2E-2	1.7E-2
0.25	6.6E-1	-	-	2.1E-1	2.2E-2	2.5E-4	1.4E-2	2.2E-2
0.375	6.1E-1	-	-	2.2E-1	2.2E-2	3.3E-4	1.6E-2	2.5E-2
0.5	5.6E-1	-	-	2.2E-1	2.2E-2	4.0E-4	1.7E-2	2.6E-2
0.625	5.2E-1	-	-	2.2E-1	2.1E-2	4.7E-4	1.7E-2	2.8E-2
0.75	4.8E-1	-	-	2.1E-1	1.9E-2	5.2E-4	1.7E-2	2.8E-2
0.875	4.4E-1	-	-	2.0E-1	1.8E-2	5.6E-4	1.7E-2	2.8E-2
1	4.0E-1	9.4E-2	3.5E-2	1.9E-1	1.6E-2	6.0E-4	1.7E-2	2.8E-2
1.125	3.6E-1	-	-	1.7E-1	1.4E-2	6.2E-4	1.7E-2	2.8E-2
1.25	3.3E-1	-	-	1.6E-1	1.3E-2	6.4E-4	1.6E-2	2.8E-2
1.375	3.0E-1	-	-	1.4E-1	1.2E-2	6.6E-4	1.6E-2	2.7E-2
1.5	2.7E-1	-	-	1.3E-1	1.0E-2	6.7E-4	1.6E-2	2.7E-2
1.625	2.5E-1	-	-	1.1E-1	9.4E-3	6.7E-4	1.5E-2	2.6E-2
1.75	2.2E-1	-	-	1.0E-1	8.4E-3	6.7E-4	1.5E-2	2.6E-2
1.875	2.0E-1	-	-	8.9E-2	7.6E-3	6.7E-4	1.4E-2	2.5E-2
2	1.8E-1	5.0E-2	7.9E-2	7.8E-2	6.8E-3	6.6E-4	1.4E-2	2.4E-2
2.25	1.5E-1	-	-	5.8E-2	5.6E-3	6.4E-4	1.3E-2	2.3E-2
2.5	1.3E-1	-	-	4.3E-2	4.6E-3	6.2E-4	1.2E-2	2.2E-2
2.75	1.1E-1	-	-	3.2E-2	3.9E-3	5.9E-4	1.2E-2	2.0E-2
3	9.0E-2	1.6E-2	4.0E-2	2.3E-2	3.3E-3	5.6E-4	1.1E-2	1.9E-2
3.25	7.8E-2	-	-	1.7E-2	2.9E-3	5.3E-4	1.0E-2	1.8E-2
3.5	6.9E-2	-	-	1.2E-2	2.5E-3	5.0E-4	9.9E-3	1.7E-2
3.75	6.1E-2	-	-	8.9E-3	2.2E-3	4.7E-4	9.4E-3	1.6E-2
4	5.5E-2	5.2E-3	1.2E-2	6.6E-3	2.0E-3	4.5E-4	8.9E-3	1.5E-2
4.25	5.0E-2	-	-	5.0E-3	1.8E-3	4.2E-4	8.4E-3	1.4E-2
