Radionuclide	Te-125m
Route of Intake	Inhalation
Material	Aerosols Type F, Tellurium chloride, tellurium dioxide, fA=0.3
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	9.4E-1	-	-	1.6E-1	1.1E-1	3.2E-4	3.2E-2	4.6E-2
0.083333	9.2E-1	-	-	1.7E-1	6.8E-2	4.2E-4	3.6E-2	5.3E-2
0.125	9.1E-1	-	-	1.7E-1	6.2E-2	5.0E-4	3.7E-2	5.5E-2
0.25	8.5E-1	-	-	1.8E-1	5.7E-2	7.1E-4	3.9E-2	5.9E-2
0.375	7.9E-1	-	-	1.8E-1	5.3E-2	9.0E-4	4.0E-2	6.2E-2
0.5	7.4E-1	-	-	1.8E-1	4.9E-2	1.1E-3	4.0E-2	6.4E-2
0.625	7.0E-1	-	-	1.8E-1	4.4E-2	1.2E-3	4.0E-2	6.6E-2
0.75	6.5E-1	-	-	1.8E-1	4.0E-2	1.3E-3	4.0E-2	6.7E-2
0.875	6.1E-1	-	-	1.8E-1	3.7E-2	1.4E-3	4.0E-2	6.8E-2
1	5.7E-1	2.5E-1	2.9E-2	1.7E-1	3.3E-2	1.5E-3	4.0E-2	6.8E-2
1.125	5.4E-1	-	-	1.6E-1	3.0E-2	1.6E-3	4.0E-2	6.9E-2
1.25	5.1E-1	-	-	1.5E-1	2.8E-2	1.7E-3	4.0E-2	6.9E-2
1.375	4.8E-1	-	-	1.4E-1	2.5E-2	1.7E-3	4.0E-2	6.9E-2
1.5	4.5E-1	-	-	1.3E-1	2.3E-2	1.8E-3	3.9E-2	6.9E-2
1.625	4.2E-1	-	-	1.2E-1	2.1E-2	1.8E-3	3.9E-2	6.9E-2
1.75	4.0E-1	-	-	1.1E-1	1.9E-2	1.9E-3	3.9E-2	6.9E-2
1.875	3.8E-1	-	-	9.6E-2	1.8E-2	1.9E-3	3.9E-2	6.9E-2
