Radionuclide	Zr-93
Route of Intake	Injection
Material	Injection, fA=2E-3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	6.5E-2	9.0E-2	9.2E-2
0.083333	1.0E+0	-	-	6.0E-2	1.1E-1	8.5E-2
0.125	1.0E+0	-	-	5.7E-2	1.2E-1	7.9E-2
0.25	9.9E-1	-	-	5.0E-2	1.5E-1	6.9E-2
0.375	9.8E-1	-	-	4.7E-2	1.7E-1	6.3E-2
0.5	9.8E-1	-	-	4.5E-2	1.8E-1	6.1E-2
0.625	9.8E-1	-	-	4.4E-2	1.9E-1	5.9E-2
0.75	9.8E-1	-	-	4.3E-2	2.0E-1	5.8E-2
0.875	9.8E-1	-	-	4.3E-2	2.0E-1	5.8E-2
1	9.8E-1	2.3E-2	8.7E-4	4.2E-2	2.1E-1	5.7E-2
1.125	9.7E-1	-	-	4.2E-2	2.2E-1	5.7E-2
1.25	9.7E-1	-	-	4.2E-2	2.2E-1	5.7E-2
1.375	9.7E-1	-	-	4.1E-2	2.3E-1	5.7E-2
1.5	9.7E-1	-	-	4.1E-2	2.3E-1	5.7E-2
1.625	9.7E-1	-	-	4.0E-2	2.4E-1	5.6E-2
1.75	9.7E-1	-	-	4.0E-2	2.4E-1	5.6E-2
1.875	9.7E-1	-	-	3.9E-2	2.5E-1	5.6E-2
2	9.7E-1	6.5E-3	3.4E-3	3.9E-2	2.5E-1	5.6E-2
2.25	9.6E-1	-	-	3.8E-2	2.7E-1	5.6E-2
2.5	9.6E-1	-	-	3.7E-2	2.8E-1	5.6E-2
2.75	9.6E-1	-	-	3.6E-2	2.9E-1	5.5E-2
3	9.6E-1	5.8E-3	3.4E-3	3.5E-2	3.0E-1	5.5E-2
3.25	9.5E-1	-	-	3.4E-2	3.1E-1	5.5E-2
3.5	9.5E-1	-	-	3.4E-2	3.1E-1	5.5E-2
3.75	9.5E-1	-	-	3.3E-2	3.2E-1	5.5E-2
4	9.5E-1	5.4E-3	2.8E-3	3.2E-2	3.3E-1	5.5E-2
4.25	9.5E-1	-	-	3.1E-2	3.4E-1	5.5E-2
4.5	9.4E-1	-	-	3.1E-2	3.5E-1	5.4E-2
4.75	9.4E-1	-	-	3.0E-2	3.6E-1	5.4E-2
5	9.4E-1	4.9E-3	2.4E-3	2.9E-2	3.7E-1	5.4E-2
5.5	9.4E-1	-	-	2.8E-2	3.8E-1	5.4E-2
6	9.3E-1	4.5E-3	2.1E-3	2.7E-2	4.0E-1	5.4E-2
6.5	9.3E-1	-	-	2.6E-2	4.2E-1	5.3E-2
7	9.3E-1	4.2E-3	1.9E-3	2.5E-2	4.3E-1	5.3E-2
7.5	9.3E-1	-	-	2.4E-2	4.4E-1	5.3E-2
8	9.2E-1	3.8E-3	1.7E-3	2.3E-2	4.6E-1	5.3E-2
8.5	9.2E-1	-	-	2.2E-2	4.7E-1	5.2E-2
9	9.2E-1	3.5E-3	1.6E-3	2.1E-2	4.8E-1	5.2E-2
9.5	9.2E-1	-	-	2.0E-2	4.9E-1	5.2E-2
10	9.1E-1	3.3E-3	1.5E-3	2.0E-2	5.0E-1	5.2E-2
11	9.1E-1	3.0E-3	1.3E-3	1.8E-2	5.3E-1	5.1E-2
12	9.0E-1	2.8E-3	1.2E-3	1.7E-2	5.5E-1	5.1E-2
13	9.0E-1	2.5E-3	1.1E-3	1.5E-2	5.6E-1	5.0E-2
14	9.0E-1	2.3E-3	1.0E-3	1.4E-2	5.8E-1	5.0E-2
15	8.9E-1	2.2E-3	9.7E-4	1.3E-2	5.9E-1	5.0E-2
16	8.9E-1	2.0E-3	8.9E-4	1.2E-2	6.1E-1	4.9E-2
17	8.9E-1	1.8E-3	8.2E-4	1.1E-2	6.2E-1	4.9E-2
18	8.9E-1	1.7E-3	7.6E-4	1.0E-2	6.3E-1	4.8E-2
19	8.8E-1	1.6E-3	7.0E-4	9.7E-3	6.4E-1	4.8E-2
20	8.8E-1	1.5E-3	6.5E-4	9.0E-3	6.5E-1	4.7E-2
21	8.8E-1	1.3E-3	6.0E-4	8.3E-3	6.6E-1	4.7E-2
22	8.8E-1	1.2E-3	5.5E-4	7.8E-3	6.7E-1	4.7E-2
23	8.8E-1	1.2E-3	5.1E-4	7.2E-3	6.8E-1	4.6E-2
24	8.8E-1	1.1E-3	4.7E-4	6.7E-3	6.9E-1	4.6E-2
25	8.7E-1	9.9E-4	4.4E-4	6.3E-3	7.0E-1	4.6E-2
26	8.7E-1	9.2E-4	4.1E-4	5.8E-3	7.0E-1	4.5E-2
27	8.7E-1	8.6E-4	3.8E-4	5.4E-3	7.1E-1	4.5E-2
28	8.7E-1	8.0E-4	3.5E-4	5.1E-3	7.1E-1	4.4E-2
29	8.7E-1	7.4E-4	3.2E-4	4.8E-3	7.2E-1	4.4E-2
30	8.7E-1	6.9E-4	3.0E-4	4.5E-3	7.2E-1	4.4E-2
31	8.7E-1	6.4E-4	2.8E-4	4.2E-3	7.3E-1	4.3E-2
