Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type M, Thorium hydroxide, fA=1E-4
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	7.1E-5	-	-	5.8E-6	5.5E-5	1.9E-7	1.0E-7
0.083333	2.8E-4	-	-	2.8E-5	2.2E-4	1.9E-6	8.4E-7
0.125	6.3E-4	-	-	7.1E-5	4.7E-4	6.7E-6	2.7E-6
0.25	2.3E-3	-	-	3.4E-4	1.7E-3	5.1E-5	1.8E-5
0.375	4.9E-3	-	-	8.4E-4	3.4E-3	1.5E-4	5.1E-5
0.5	8.1E-3	-	-	1.5E-3	5.4E-3	3.2E-4	9.9E-5
0.625	1.2E-2	-	-	2.4E-3	7.8E-3	5.3E-4	1.6E-4
0.75	1.6E-2	-	-	3.3E-3	1.0E-2	8.0E-4	2.3E-4
0.875	2.0E-2	-	-	4.3E-3	1.3E-2	1.1E-3	3.0E-4
1	2.4E-2	1.5E-3	8.6E-3	5.3E-3	1.6E-2	1.4E-3	3.8E-4
1.125	2.9E-2	-	-	6.2E-3	1.9E-2	1.8E-3	4.5E-4
1.25	3.3E-2	-	-	7.0E-3	2.2E-2	2.2E-3	5.3E-4
1.375	3.7E-2	-	-	7.7E-3	2.5E-2	2.5E-3	6.0E-4
1.5	4.1E-2	-	-	8.2E-3	2.8E-2	2.9E-3	6.7E-4
1.625	4.5E-2	-	-	8.7E-3	3.1E-2	3.3E-3	7.4E-4
1.75	4.9E-2	-	-	9.0E-3	3.4E-2	3.7E-3	8.1E-4
1.875	5.3E-2	-	-	9.2E-3	3.7E-2	4.0E-3	8.7E-4
2	5.6E-2	7.1E-4	2.9E-2	9.3E-3	3.9E-2	4.4E-3	9.3E-4
2.25	6.3E-2	-	-	9.3E-3	4.5E-2	5.1E-3	1.1E-3
2.5	6.9E-2	-	-	9.1E-3	5.0E-2	5.8E-3	1.2E-3
2.75	7.4E-2	-	-	8.9E-3	5.5E-2	6.5E-3	1.3E-3
3	7.9E-2	3.1E-4	2.2E-2	8.5E-3	6.0E-2	7.1E-3	1.4E-3
3.25	8.4E-2	-	-	8.2E-3	6.5E-2	7.7E-3	1.4E-3
3.5	8.9E-2	-	-	8.0E-3	6.9E-2	8.2E-3	1.5E-3
3.75	9.4E-2	-	-	7.7E-3	7.3E-2	8.8E-3	1.6E-3
4	9.8E-2	2.4E-4	1.1E-2	7.6E-3	7.7E-2	9.3E-3	1.7E-3
4.25	1.0E-1	-	-	7.4E-3	8.0E-2	9.7E-3	1.7E-3
4.5	1.1E-1	-	-	7.3E-3	8.3E-2	1.0E-2	1.8E-3
4.75	1.1E-1	-	-	7.3E-3	8.7E-2	1.1E-2	1.8E-3
5	1.1E-1	2.1E-4	6.2E-3	7.2E-3	8.9E-2	1.1E-2	1.9E-3
5.5	1.2E-1	-	-	7.1E-3	9.5E-2	1.2E-2	2.0E-3
6	1.2E-1	1.8E-4	4.2E-3	7.0E-3	1.0E-1	1.2E-2	2.0E-3
6.5	1.3E-1	-	-	7.0E-3	1.0E-1	1.3E-2	2.1E-3
7	1.3E-1	1.6E-4	3.2E-3	6.9E-3	1.1E-1	1.4E-2	2.1E-3
7.5	1.4E-1	-	-	6.8E-3	1.1E-1	1.4E-2	2.2E-3
8	1.4E-1	1.5E-4	2.6E-3	6.7E-3	1.1E-1	1.5E-2	2.2E-3
8.5	1.4E-1	-	-	6.6E-3	1.2E-1	1.5E-2	2.3E-3
9	1.5E-1	1.4E-4	2.2E-3	6.6E-3	1.2E-1	1.5E-2	2.3E-3
9.5	1.5E-1	-	-	6.5E-3	1.2E-1	1.6E-2	2.3E-3
10	1.5E-1	1.3E-4	1.8E-3	6.4E-3	1.2E-1	1.6E-2	2.3E-3
11	1.5E-1	1.2E-4	1.5E-3	6.2E-3	1.2E-1	1.7E-2	2.4E-3
12	1.6E-1	1.2E-4	1.3E-3	6.1E-3	1.3E-1	1.7E-2	2.4E-3
13	1.6E-1	1.1E-4	1.1E-3	6.0E-3	1.3E-1	1.8E-2	2.5E-3
14	1.6E-1	1.1E-4	9.7E-4	5.9E-3	1.3E-1	1.8E-2	2.5E-3
15	1.6E-1	1.1E-4	8.4E-4	5.8E-3	1.3E-1	1.9E-2	2.5E-3
16	1.6E-1	1.0E-4	7.4E-4	5.7E-3	1.3E-1	1.9E-2	2.6E-3
17	1.6E-1	1.0E-4	6.6E-4	5.7E-3	1.3E-1	2.0E-2	2.6E-3
18	1.6E-1	9.8E-5	5.9E-4	5.7E-3	1.3E-1	2.0E-2	2.6E-3
19	1.6E-1	9.5E-5	5.3E-4	5.6E-3	1.3E-1	2.0E-2	2.6E-3
20	1.6E-1	9.4E-5	4.8E-4	5.6E-3	1.3E-1	2.0E-2	2.7E-3
21	1.6E-1	9.2E-5	4.4E-4	5.6E-3	1.3E-1	2.1E-2	2.7E-3
22	1.6E-1	9.0E-5	4.1E-4	5.6E-3	1.3E-1	2.1E-2	2.7E-3
23	1.6E-1	8.8E-5	3.9E-4	5.6E-3	1.3E-1	2.1E-2	2.7E-3
24	1.6E-1	8.7E-5	3.7E-4	5.7E-3	1.3E-1	2.2E-2	2.8E-3
25	1.6E-1	8.5E-5	3.5E-4	5.7E-3	1.3E-1	2.2E-2	2.8E-3
26	1.6E-1	8.4E-5	3.3E-4	5.7E-3	1.2E-1	2.2E-2	2.8E-3
27	1.6E-1	8.3E-5	3.2E-4	5.7E-3	1.2E-1	2.2E-2	2.8E-3
28	1.6E-1	8.2E-5	3.1E-4	5.7E-3	1.2E-1	2.2E-2	2.9E-3
29	1.6E-1	8.0E-5	3.0E-4	5.8E-3	1.2E-1	2.3E-2	2.9E-3
30	1.6E-1	7.9E-5	2.9E-4	5.8E-3	1.2E-1	2.3E-2	2.9E-3
31	1.6E-1	7.8E-5	2.8E-4	5.8E-3	1.2E-1	2.3E-2	2.9E-3
32	1.6E-1	7.7E-5	2.8E-4	5.8E-3	1.2E-1	2.3E-2	2.9E-3
33	1.6E-1	7.6E-5	2.7E-4	5.9E-3	1.2E-1	2.3E-2	3.0E-3
34	1.6E-1	7.5E-5	2.7E-4	5.9E-3	1.2E-1	2.4E-2	3.0E-3
35	1.6E-1	7.4E-5	2.6E-4	5.9E-3	1.2E-1	2.4E-2	3.0E-3
36	1.5E-1	7.3E-5	2.6E-4	5.9E-3	1.2E-1	2.4E-2	3.0E-3
37	1.5E-1	7.2E-5	2.6E-4	6.0E-3	1.2E-1	2.4E-2	3.1E-3
38	1.5E-1	7.1E-5	2.5E-4	6.0E-3	1.1E-1	2.4E-2	3.1E-3
39	1.5E-1	7.0E-5	2.5E-4	6.0E-3	1.1E-1	2.5E-2	3.1E-3
40	1.5E-1	6.9E-5	2.5E-4	6.1E-3	1.1E-1	2.5E-2	3.1E-3
41	1.5E-1	6.8E-5	2.4E-4	6.1E-3	1.1E-1	2.5E-2	3.1E-3
42	1.5E-1	6.7E-5	2.4E-4	6.1E-3	1.1E-1	2.5E-2	3.2E-3
43	1.5E-1	6.7E-5	2.4E-4	6.1E-3	1.1E-1	2.5E-2	3.2E-3
44	1.5E-1	6.6E-5	2.4E-4	6.2E-3	1.1E-1	2.5E-2	3.2E-3
45	1.5E-1	6.5E-5	2.3E-4	6.2E-3	1.1E-1	2.6E-2	3.2E-3
46	1.5E-1	6.4E-5	2.3E-4	6.2E-3	1.1E-1	2.6E-2	3.2E-3
47	1.5E-1	6.4E-5	2.3E-4	6.2E-3	1.1E-1	2.6E-2	3.3E-3
48	1.5E-1	6.3E-5	2.3E-4	6.3E-3	1.1E-1	2.6E-2	3.3E-3
49	1.5E-1	6.2E-5	2.3E-4	6.3E-3	1.0E-1	2.6E-2	3.3E-3
50	1.5E-1	6.2E-5	2.2E-4	6.3E-3	1.0E-1	2.6E-2	3.3E-3
51	1.5E-1	6.1E-5	2.2E-4	6.3E-3	1.0E-1	2.7E-2	3.3E-3
52	1.4E-1	6.0E-5	2.2E-4	6.4E-3	1.0E-1	2.7E-2	3.3E-3
53	1.4E-1	6.0E-5	2.2E-4	6.4E-3	1.0E-1	2.7E-2	3.4E-3
54	1.4E-1	5.9E-5	2.2E-4	6.4E-3	1.0E-1	2.7E-2	3.4E-3
55	1.4E-1	5.8E-5	2.1E-4	6.4E-3	1.0E-1	2.7E-2	3.4E-3
56	1.4E-1	5.8E-5	2.1E-4	6.5E-3	9.9E-2	2.7E-2	3.4E-3
57	1.4E-1	5.7E-5	2.1E-4	6.5E-3	9.9E-2	2.8E-2	3.4E-3
58	1.4E-1	5.7E-5	2.1E-4	6.5E-3	9.8E-2	2.8E-2	3.4E-3
59	1.4E-1	5.6E-5	2.1E-4	6.5E-3	9.7E-2	2.8E-2	3.5E-3
60	1.4E-1	5.5E-5	2.0E-4	6.6E-3	9.6E-2	2.8E-2	3.5E-3
61	1.4E-1	5.5E-5	2.0E-4	6.6E-3	9.6E-2	2.8E-2	3.5E-3
62	1.4E-1	5.4E-5	2.0E-4	6.6E-3	9.5E-2	2.8E-2	3.5E-3
63	1.4E-1	5.4E-5	2.0E-4	6.6E-3	9.4E-2	2.8E-2	3.5E-3
64	1.4E-1	5.3E-5	2.0E-4	6.6E-3	9.3E-2	2.9E-2	3.5E-3
65	1.4E-1	5.3E-5	2.0E-4	6.7E-3	9.3E-2	2.9E-2	3.6E-3
66	1.4E-1	5.2E-5	1.9E-4	6.7E-3	9.2E-2	2.9E-2	3.6E-3
67	1.4E-1	5.2E-5	1.9E-4	6.7E-3	9.1E-2	2.9E-2	3.6E-3
68	1.4E-1	5.1E-5	1.9E-4	6.7E-3	9.0E-2	2.9E-2	3.6E-3
69	1.4E-1	5.1E-5	1.9E-4	6.8E-3	9.0E-2	2.9E-2	3.6E-3
70	1.4E-1	5.0E-5	1.9E-4	6.8E-3	8.9E-2	2.9E-2	3.6E-3
71	1.3E-1	5.0E-5	1.9E-4	6.8E-3	8.8E-2	3.0E-2	3.7E-3
72	1.3E-1	5.0E-5	1.8E-4	6.8E-3	8.8E-2	3.0E-2	3.7E-3
73	1.3E-1	4.9E-5	1.8E-4	6.8E-3	8.7E-2	3.0E-2	3.7E-3
74	1.3E-1	4.9E-5	1.8E-4	6.9E-3	8.6E-2	3.0E-2	3.7E-3
75	1.3E-1	4.8E-5	1.8E-4	6.9E-3	8.6E-2	3.0E-2	3.7E-3
76	1.3E-1	4.8E-5	1.8E-4	6.9E-3	8.5E-2	3.0E-2	3.7E-3
77	1.3E-1	4.7E-5	1.8E-4	6.9E-3	8.4E-2	3.0E-2	3.7E-3
