Radionuclide	Cm-240
Route of Intake	Ingestion
Material	All compounds, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.0E+0	4.5E-6	7.0E-6
0.083333	1.0E+0	-	-	1.0E+0	1.7E-5	2.7E-5
0.125	1.0E+0	-	-	1.0E+0	3.1E-5	5.1E-5
0.25	9.9E-1	-	-	9.9E-1	6.9E-5	1.1E-4
0.375	9.8E-1	-	-	9.8E-1	9.2E-5	1.5E-4
0.5	9.6E-1	-	-	9.6E-1	1.0E-4	1.7E-4
0.625	9.2E-1	-	-	9.2E-1	1.1E-4	1.9E-4
0.75	8.8E-1	-	-	8.8E-1	1.2E-4	1.9E-4
0.875	8.3E-1	-	-	8.2E-1	1.2E-4	2.0E-4
1	7.7E-1	2.9E-5	2.1E-1	7.6E-1	1.2E-4	2.1E-4
1.125	7.0E-1	-	-	7.0E-1	1.3E-4	2.1E-4
1.25	6.4E-1	-	-	6.4E-1	1.3E-4	2.1E-4
1.375	5.7E-1	-	-	5.7E-1	1.3E-4	2.2E-4
1.5	5.1E-1	-	-	5.1E-1	1.3E-4	2.2E-4
1.625	4.5E-1	-	-	4.5E-1	1.3E-4	2.2E-4
1.75	3.9E-1	-	-	3.9E-1	1.3E-4	2.2E-4
1.875	3.4E-1	-	-	3.4E-1	1.3E-4	2.2E-4
2	3.0E-1	4.4E-6	4.5E-1	3.0E-1	1.3E-4	2.2E-4
2.25	2.2E-1	-	-	2.2E-1	1.4E-4	2.2E-4
2.5	1.6E-1	-	-	1.6E-1	1.4E-4	2.3E-4
2.75	1.1E-1	-	-	1.1E-1	1.4E-4	2.3E-4
3	8.1E-2	2.0E-6	2.1E-1	8.0E-2	1.4E-4	2.3E-4
3.25	5.6E-2	-	-	5.6E-2	1.4E-4	2.3E-4
3.5	3.9E-2	-	-	3.9E-2	1.4E-4	2.3E-4
3.75	2.7E-2	-	-	2.7E-2	1.4E-4	2.2E-4
4	1.8E-2	1.2E-6	6.0E-2	1.8E-2	1.3E-4	2.2E-4
4.25	1.3E-2	-	-	1.2E-2	1.3E-4	2.2E-4
4.5	8.6E-3	-	-	8.2E-3	1.3E-4	2.2E-4
4.75	5.9E-3	-	-	5.5E-3	1.3E-4	2.2E-4
5	4.0E-3	8.1E-7	1.4E-2	3.6E-3	1.3E-4	2.2E-4
5.5	2.0E-3	-	-	1.6E-3	1.3E-4	2.2E-4
6	1.1E-3	6.3E-7	2.9E-3	6.8E-4	1.3E-4	2.1E-4
6.5	6.7E-4	-	-	2.9E-4	1.3E-4	2.1E-4
7	5.0E-4	5.3E-7	5.4E-4	1.2E-4	1.3E-4	2.1E-4
7.5	4.2E-4	-	-	5.1E-5	1.2E-4	2.1E-4
