Radionuclide	Pu-246
Route of Intake	Inhalation
Material	Aerosols Type M, Plutonium citrate, plutonium tri-butyl-phosphate, plutonium chloride, fA=1E-4
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.7E-1	-	-	2.5E-1	1.0E-1	3.0E-5	4.5E-5
0.083333	7.6E-1	-	-	2.9E-1	9.8E-2	5.3E-5	7.9E-5
0.125	7.4E-1	-	-	3.1E-1	9.4E-2	7.5E-5	1.2E-4
0.25	7.2E-1	-	-	3.7E-1	8.9E-2	1.5E-4	2.4E-4
0.375	6.9E-1	-	-	4.1E-1	8.6E-2	2.3E-4	3.8E-4
0.5	6.7E-1	-	-	4.3E-1	8.4E-2	3.1E-4	5.3E-4
0.625	6.4E-1	-	-	4.4E-1	8.2E-2	4.0E-4	7.0E-4
0.75	6.2E-1	-	-	4.4E-1	8.1E-2	4.9E-4	8.7E-4
0.875	5.9E-1	-	-	4.4E-1	7.9E-2	5.9E-4	1.1E-3
1	5.6E-1	2.7E-5	7.3E-2	4.2E-1	7.8E-2	6.8E-4	1.2E-3
1.125	5.2E-1	-	-	4.0E-1	7.6E-2	7.8E-4	1.4E-3
1.25	4.9E-1	-	-	3.8E-1	7.5E-2	8.7E-4	1.6E-3
1.375	4.5E-1	-	-	3.5E-1	7.4E-2	9.6E-4	1.8E-3
1.5	4.2E-1	-	-	3.2E-1	7.2E-2	1.1E-3	2.0E-3
1.625	3.9E-1	-	-	2.9E-1	7.1E-2	1.1E-3	2.2E-3
1.75	3.5E-1	-	-	2.6E-1	7.0E-2	1.2E-3	2.3E-3
1.875	3.2E-1	-	-	2.4E-1	6.9E-2	1.3E-3	2.5E-3
2	2.9E-1	4.9E-5	2.2E-1	2.1E-1	6.8E-2	1.4E-3	2.7E-3
2.25	2.4E-1	-	-	1.6E-1	6.5E-2	1.6E-3	3.0E-3
2.5	2.0E-1	-	-	1.3E-1	6.3E-2	1.7E-3	3.3E-3
2.75	1.7E-1	-	-	9.5E-2	6.1E-2	1.9E-3	3.6E-3
3	1.4E-1	4.7E-5	1.3E-1	7.0E-2	6.0E-2	2.0E-3	3.8E-3
3.25	1.2E-1	-	-	5.1E-2	5.8E-2	2.1E-3	4.1E-3
3.5	1.1E-1	-	-	3.7E-2	5.6E-2	2.2E-3	4.3E-3
3.75	9.4E-2	-	-	2.7E-2	5.5E-2	2.3E-3	4.5E-3
4	8.5E-2	3.8E-5	4.8E-2	1.9E-2	5.3E-2	2.4E-3	4.6E-3
4.25	7.8E-2	-	-	1.4E-2	5.2E-2	2.4E-3	4.8E-3
4.5	7.3E-2	-	-	1.0E-2	5.1E-2	2.5E-3	4.9E-3
4.75	6.9E-2	-	-	7.4E-3	5.0E-2	2.6E-3	5.0E-3
5	6.6E-2	3.0E-5	1.3E-2	5.5E-3	4.8E-2	2.6E-3	5.2E-3
5.5	6.2E-2	-	-	3.2E-3	4.6E-2	2.7E-3	5.3E-3
6	5.8E-2	2.3E-5	3.7E-3	2.1E-3	4.4E-2	2.7E-3	5.4E-3
6.5	5.6E-2	-	-	1.5E-3	4.2E-2	2.8E-3	5.5E-3
7	5.4E-2	1.8E-5	1.2E-3	1.2E-3	4.0E-2	2.8E-3	5.5E-3
7.5	5.1E-2	-	-	9.5E-4	3.9E-2	2.8E-3	5.6E-3
8	5.0E-2	1.4E-5	6.1E-4	8.2E-4	3.7E-2	2.8E-3	5.6E-3
8.5	4.8E-2	-	-	7.2E-4	3.6E-2	2.8E-3	5.5E-3
9	4.6E-2	1.1E-5	4.1E-4	6.4E-4	3.4E-2	2.8E-3	5.5E-3
9.5	4.4E-2	-	-	5.7E-4	3.3E-2	2.7E-3	5.4E-3
10	4.3E-2	9.6E-6	3.1E-4	5.2E-4	3.2E-2	2.7E-3	5.4E-3
11	4.0E-2	8.1E-6	2.4E-4	4.2E-4	2.9E-2	2.6E-3	5.2E-3
12	3.7E-2	7.0E-6	2.0E-4	3.5E-4	2.7E-2	2.6E-3	5.1E-3
13	3.5E-2	6.2E-6	1.6E-4	2.9E-4	2.5E-2	2.5E-3	4.9E-3
14	3.3E-2	5.5E-6	1.3E-4	2.4E-4	2.3E-2	2.4E-3	4.7E-3
15	3.0E-2	5.0E-6	1.1E-4	2.1E-4	2.2E-2	2.3E-3	4.5E-3
16	2.8E-2	4.5E-6	9.1E-5	1.8E-4	2.0E-2	2.2E-3	4.3E-3
17	2.7E-2	4.1E-6	7.7E-5	1.5E-4	1.9E-2	2.1E-3	4.2E-3
18	2.5E-2	3.7E-6	6.6E-5	1.3E-4	1.8E-2	2.0E-3	4.0E-3
19	2.3E-2	3.4E-6	5.7E-5	1.2E-4	1.6E-2	1.9E-3	3.8E-3
20	2.2E-2	3.1E-6	4.9E-5	1.1E-4	1.5E-2	1.8E-3	3.6E-3
21	2.0E-2	2.9E-6	4.3E-5	9.4E-5	1.4E-2	1.8E-3	3.5E-3
22	1.9E-2	2.7E-6	3.8E-5	8.4E-5	1.3E-2	1.7E-3	3.3E-3
23	1.8E-2	2.5E-6	3.4E-5	7.6E-5	1.2E-2	1.6E-3	3.1E-3
24	1.7E-2	2.3E-6	3.1E-5	6.9E-5	1.1E-2	1.5E-3	3.0E-3
25	1.6E-2	2.1E-6	2.8E-5	6.3E-5	1.1E-2	1.4E-3	2.8E-3
26	1.5E-2	1.9E-6	2.5E-5	5.7E-5	9.9E-3	1.4E-3	2.7E-3
27	1.4E-2	1.8E-6	2.3E-5	5.3E-5	9.2E-3	1.3E-3	2.6E-3
28	1.3E-2	1.7E-6	2.1E-5	4.8E-5	8.6E-3	1.2E-3	2.4E-3
29	1.2E-2	1.6E-6	1.9E-5	4.4E-5	8.0E-3	1.2E-3	2.3E-3
30	1.1E-2	1.4E-6	1.7E-5	4.1E-5	7.5E-3	1.1E-3	2.2E-3
31	1.1E-2	1.3E-6	1.6E-5	3.8E-5	6.9E-3	1.1E-3	2.1E-3
32	9.9E-3	1.3E-6	1.5E-5	3.5E-5	6.5E-3	1.0E-3	2.0E-3
33	9.3E-3	1.2E-6	1.4E-5	3.2E-5	6.0E-3	9.6E-4	1.9E-3
34	8.7E-3	1.1E-6	1.3E-5	3.0E-5	5.6E-3	9.1E-4	1.8E-3
35	8.1E-3	1.0E-6	1.2E-5	2.8E-5	5.2E-3	8.6E-4	1.7E-3
36	7.6E-3	9.4E-7	1.1E-5	2.6E-5	4.9E-3	8.2E-4	1.6E-3
37	7.1E-3	8.8E-7	1.0E-5	2.4E-5	4.5E-3	7.7E-4	1.5E-3
38	6.7E-3	8.2E-7	9.2E-6	2.2E-5	4.2E-3	7.3E-4	1.4E-3
39	6.3E-3	7.6E-7	8.6E-6	2.1E-5	3.9E-3	6.9E-4	1.3E-3
40	5.9E-3	7.1E-7	8.0E-6	1.9E-5	3.7E-3	6.6E-4	1.3E-3
41	5.5E-3	6.7E-7	7.4E-6	1.8E-5	3.4E-3	6.2E-4	1.2E-3
42	5.1E-3	6.2E-7	6.9E-6	1.7E-5	3.2E-3	5.9E-4	1.1E-3
43	4.8E-3	5.8E-7	6.4E-6	1.6E-5	3.0E-3	5.6E-4	1.1E-3
44	4.5E-3	5.4E-7	5.9E-6	1.5E-5	2.8E-3	5.3E-4	1.0E-3
45	4.2E-3	5.1E-7	5.5E-6	1.4E-5	2.6E-3	5.0E-4	9.6E-4
46	4.0E-3	4.7E-7	5.1E-6	1.3E-5	2.4E-3	4.7E-4	9.1E-4
47	3.7E-3	4.4E-7	4.8E-6	1.2E-5	2.2E-3	4.5E-4	8.6E-4
48	3.5E-3	4.1E-7	4.4E-6	1.1E-5	2.1E-3	4.2E-4	8.1E-4
49	3.3E-3	3.9E-7	4.1E-6	1.0E-5	1.9E-3	4.0E-4	7.7E-4
50	3.0E-3	3.6E-7	3.8E-6	9.5E-6	1.8E-3	3.8E-4	7.3E-4
51	2.9E-3	3.4E-7	3.6E-6	8.9E-6	1.7E-3	3.6E-4	6.9E-4
52	2.7E-3	3.1E-7	3.3E-6	8.3E-6	1.6E-3	3.4E-4	6.5E-4
53	2.5E-3	2.9E-7	3.1E-6	7.7E-6	1.5E-3	3.2E-4	6.1E-4
54	2.3E-3	2.7E-7	2.9E-6	7.2E-6	1.4E-3	3.0E-4	5.8E-4
55	2.2E-3	2.6E-7	2.7E-6	6.7E-6	1.3E-3	2.9E-4	5.5E-4
56	2.1E-3	2.4E-7	2.5E-6	6.3E-6	1.2E-3	2.7E-4	5.2E-4
57	1.9E-3	2.2E-7	2.3E-6	5.9E-6	1.1E-3	2.6E-4	4.9E-4
58	1.8E-3	2.1E-7	2.2E-6	5.5E-6	1.0E-3	2.4E-4	4.6E-4
59	1.7E-3	2.0E-7	2.0E-6	5.1E-6	9.5E-4	2.3E-4	4.3E-4
60	1.6E-3	1.8E-7	1.9E-6	4.8E-6	8.9E-4	2.2E-4	4.1E-4
61	1.5E-3	1.7E-7	1.7E-6	4.4E-6	8.3E-4	2.0E-4	3.9E-4
62	1.4E-3	1.6E-7	1.6E-6	4.1E-6	7.7E-4	1.9E-4	3.6E-4
63	1.3E-3	1.5E-7	1.5E-6	3.9E-6	7.2E-4	1.8E-4	3.4E-4
64	1.2E-3	1.4E-7	1.4E-6	3.6E-6	6.7E-4	1.7E-4	3.2E-4
65	1.1E-3	1.3E-7	1.3E-6	3.4E-6	6.2E-4	1.6E-4	3.1E-4
66	1.1E-3	1.2E-7	1.2E-6	3.1E-6	5.8E-4	1.5E-4	2.9E-4
67	1.0E-3	1.1E-7	1.1E-6	2.9E-6	5.4E-4	1.4E-4	2.7E-4
68	9.4E-4	1.1E-7	1.0E-6	2.7E-6	5.0E-4	1.4E-4	2.6E-4
69	8.8E-4	1.0E-7	9.7E-7	2.6E-6	4.7E-4	1.3E-4	2.4E-4
70	8.3E-4	9.4E-8	9.1E-7	2.4E-6	4.4E-4	1.2E-4	2.3E-4
71	7.7E-4	8.8E-8	8.4E-7	2.2E-6	4.1E-4	1.1E-4	2.2E-4
72	7.3E-4	8.2E-8	7.9E-7	2.1E-6	3.8E-4	1.1E-4	2.0E-4
73	6.8E-4	7.7E-8	7.3E-7	1.9E-6	3.5E-4	1.0E-4	1.9E-4
74	6.4E-4	7.2E-8	6.8E-7	1.8E-6	3.3E-4	9.6E-5	1.8E-4
75	6.0E-4	6.7E-8	6.3E-7	1.7E-6	3.1E-4	9.1E-5	1.7E-4
76	5.6E-4	6.3E-8	5.9E-7	1.6E-6	2.9E-4	8.6E-5	1.6E-4
77	5.2E-4	5.9E-8	5.5E-7	1.5E-6	2.7E-4	8.1E-5	1.5E-4
78	4.9E-4	5.5E-8	5.1E-7	1.4E-6	2.5E-4	7.6E-5	1.4E-4
79	4.6E-4	5.1E-8	4.8E-7	1.3E-6	2.3E-4	7.2E-5	1.3E-4
80	4.3E-4	4.8E-8	4.4E-7	1.2E-6	2.2E-4	6.8E-5	1.3E-4
81	4.0E-4	4.5E-8	4.1E-7	1.1E-6	2.0E-4	6.4E-5	1.2E-4
82	3.8E-4	4.2E-8	3.8E-7	1.0E-6	1.9E-4	6.0E-5	1.1E-4
83	3.5E-4	3.9E-8	3.6E-7	9.8E-7	1.7E-4	5.7E-5	1.1E-4
84	3.3E-4	3.7E-8	3.3E-7	9.1E-7	1.6E-4	5.4E-5	1.0E-4
85	3.1E-4	3.4E-8	3.1E-7	8.5E-7	1.5E-4	5.1E-5	9.4E-5
86	2.9E-4	3.2E-8	2.9E-7	8.0E-7	1.4E-4	4.8E-5	8.9E-5
87	2.7E-4	3.0E-8	2.7E-7	7.4E-7	1.3E-4	4.5E-5	8.4E-5
88	2.6E-4	2.8E-8	2.5E-7	6.9E-7	1.2E-4	4.3E-5	7.9E-5
89	2.4E-4	2.6E-8	2.3E-7	6.5E-7	1.1E-4	4.0E-5	7.4E-5
90	2.2E-4	2.5E-8	2.2E-7	6.0E-7	1.1E-4	3.8E-5	7.0E-5
91	2.1E-4	2.3E-8	2.0E-7	5.6E-7	9.9E-5	3.6E-5	6.6E-5
92	2.0E-4	2.1E-8	1.9E-7	5.3E-7	9.2E-5	3.4E-5	6.2E-5
93	1.9E-4	2.0E-8	1.7E-7	4.9E-7	8.6E-5	3.2E-5	5.8E-5
94	1.7E-4	1.9E-8	1.6E-7	4.6E-7	8.0E-5	3.0E-5	5.5E-5
95	1.6E-4	1.8E-8	1.5E-7	4.3E-7	7.5E-5	2.8E-5	5.2E-5
96	1.5E-4	1.6E-8	1.4E-7	4.0E-7	7.0E-5	2.7E-5	4.9E-5
