Radionuclide	I-124
Route of Intake	Ingestion
Material	All unspecified forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	9.9E-1	-	-	4.9E-1	1.9E-2	2.7E-2
0.083333	9.5E-1	-	-	2.8E-1	4.7E-2	3.3E-2
0.125	9.1E-1	-	-	2.0E-1	7.5E-2	3.1E-2
0.25	7.4E-1	-	-	1.2E-1	1.4E-1	2.2E-2
0.375	6.0E-1	-	-	8.1E-2	1.8E-1	1.5E-2
0.5	5.0E-1	-	-	5.9E-2	2.1E-1	1.0E-2
0.625	4.2E-1	-	-	4.4E-2	2.3E-1	6.9E-3
0.75	3.7E-1	-	-	3.3E-2	2.4E-1	4.7E-3
0.875	3.3E-1	-	-	2.6E-2	2.4E-1	3.3E-3
1	3.1E-1	5.4E-1	3.4E-3	2.0E-2	2.4E-1	2.4E-3
1.125	2.9E-1	-	-	1.6E-2	2.4E-1	1.8E-3
1.25	2.7E-1	-	-	1.3E-2	2.4E-1	1.4E-3
1.375	2.6E-1	-	-	1.1E-2	2.3E-1	1.2E-3
1.5	2.5E-1	-	-	9.2E-3	2.3E-1	1.0E-3
1.625	2.4E-1	-	-	7.7E-3	2.3E-1	9.6E-4
1.75	2.4E-1	-	-	6.4E-3	2.2E-1	9.2E-4
1.875	2.3E-1	-	-	5.4E-3	2.2E-1	9.0E-4
2	2.2E-1	3.3E-2	5.8E-3	4.6E-3	2.1E-1	9.0E-4
2.25	2.1E-1	-	-	3.3E-3	2.0E-1	9.2E-4
2.5	2.0E-1	-	-	2.3E-3	2.0E-1	9.5E-4
2.75	1.9E-1	-	-	1.7E-3	1.9E-1	9.8E-4
3	1.8E-1	1.4E-3	2.5E-3	1.2E-3	1.8E-1	1.0E-3
3.25	1.8E-1	-	-	8.7E-4	1.7E-1	1.0E-3
3.5	1.7E-1	-	-	6.5E-4	1.7E-1	1.1E-3
3.75	1.6E-1	-	-	5.1E-4	1.6E-1	1.1E-3
4	1.6E-1	1.9E-4	6.9E-4	4.1E-4	1.5E-1	1.1E-3
4.25	1.5E-1	-	-	3.4E-4	1.5E-1	1.1E-3
4.5	1.4E-1	-	-	3.0E-4	1.4E-1	1.1E-3
4.75	1.4E-1	-	-	2.7E-4	1.3E-1	1.1E-3
5	1.3E-1	1.6E-4	1.9E-4	2.5E-4	1.3E-1	1.1E-3
5.5	1.2E-1	-	-	2.3E-4	1.2E-1	1.1E-3
6	1.1E-1	1.7E-4	8.2E-5	2.2E-4	1.1E-1	1.1E-3
6.5	1.0E-1	-	-	2.1E-4	9.8E-2	1.0E-3
7	9.4E-2	1.7E-4	6.2E-5	2.0E-4	9.0E-2	1.0E-3
7.5	8.6E-2	-	-	2.0E-4	8.3E-2	9.6E-4
8	7.9E-2	1.6E-4	5.7E-5	1.9E-4	7.6E-2	9.2E-4
8.5	7.3E-2	-	-	1.8E-4	7.0E-2	8.8E-4
9	6.7E-2	1.5E-4	5.3E-5	1.7E-4	6.4E-2	8.3E-4
9.5	6.1E-2	-	-	1.7E-4	5.9E-2	7.9E-4
10	5.7E-2	1.3E-4	4.9E-5	1.6E-4	5.4E-2	7.5E-4
11	4.8E-2	1.2E-4	4.4E-5	1.4E-4	4.5E-2	6.6E-4
12	4.0E-2	1.1E-4	4.0E-5	1.2E-4	3.8E-2	5.9E-4
13	3.4E-2	9.7E-5	3.5E-5	1.1E-4	3.2E-2	5.1E-4
14	2.9E-2	8.5E-5	3.1E-5	9.6E-5	2.7E-2	4.5E-4
15	2.4E-2	7.5E-5	2.7E-5	8.4E-5	2.3E-2	3.9E-4
16	2.0E-2	6.5E-5	2.4E-5	7.3E-5	1.9E-2	3.4E-4
17	1.7E-2	5.6E-5	2.1E-5	6.3E-5	1.6E-2	2.9E-4
18	1.4E-2	4.9E-5	1.8E-5	5.4E-5	1.4E-2	2.5E-4
19	1.2E-2	4.2E-5	1.6E-5	4.7E-5	1.1E-2	2.1E-4
20	1.0E-2	3.6E-5	1.3E-5	4.0E-5	9.6E-3	1.8E-4
21	8.7E-3	3.1E-5	1.2E-5	3.4E-5	8.1E-3	1.6E-4
22	7.3E-3	2.6E-5	9.9E-6	2.9E-5	6.8E-3	1.3E-4
23	6.2E-3	2.3E-5	8.4E-6	2.5E-5	5.7E-3	1.1E-4
24	5.2E-3	1.9E-5	7.2E-6	2.1E-5	4.8E-3	9.8E-5
25	4.4E-3	1.6E-5	6.1E-6	1.8E-5	4.1E-3	8.3E-5
26	3.7E-3	1.4E-5	5.2E-6	1.5E-5	3.4E-3	7.1E-5
27	3.1E-3	1.2E-5	4.4E-6	1.3E-5	2.9E-3	6.0E-5
28	2.6E-3	1.0E-5	3.8E-6	1.1E-5	2.4E-3	5.1E-5
29	2.2E-3	8.6E-6	3.2E-6	9.4E-6	2.0E-3	4.3E-5
30	1.9E-3	7.3E-6	2.7E-6	8.0E-6	1.7E-3	3.6E-5
31	1.6E-3	6.2E-6	2.3E-6	6.8E-6	1.4E-3	3.1E-5
32	1.3E-3	5.2E-6	2.0E-6	5.7E-6	1.2E-3	2.6E-5
33	1.1E-3	4.4E-6	1.7E-6	4.8E-6	1.0E-3	2.2E-5
34	9.4E-4	3.7E-6	1.4E-6	4.1E-6	8.7E-4	1.9E-5
35	7.9E-4	3.2E-6	1.2E-6	3.5E-6	7.3E-4	1.6E-5
36	6.7E-4	2.7E-6	1.0E-6	2.9E-6	6.1E-4	1.3E-5
37	5.6E-4	2.3E-6	8.5E-7	2.5E-6	5.2E-4	1.1E-5
38	4.7E-4	1.9E-6	7.1E-7	2.1E-6	4.4E-4	9.5E-6
39	4.0E-4	1.6E-6	6.0E-7	1.8E-6	3.7E-4	8.0E-6
40	3.3E-4	1.4E-6	5.1E-7	1.5E-6	3.1E-4	6.8E-6
41	2.8E-4	1.1E-6	4.3E-7	1.3E-6	2.6E-4	5.7E-6
42	2.4E-4	9.7E-7	3.6E-7	1.1E-6	2.2E-4	4.8E-6
43	2.0E-4	8.2E-7	3.1E-7	8.9E-7	1.8E-4	4.1E-6
44	1.7E-4	6.9E-7	2.6E-7	7.5E-7	1.6E-4	3.4E-6
45	1.4E-4	5.8E-7	2.2E-7	6.4E-7	1.3E-4	2.9E-6
46	1.2E-4	4.9E-7	1.8E-7	5.4E-7	1.1E-4	2.4E-6
47	1.0E-4	4.1E-7	1.6E-7	4.5E-7	9.3E-5	2.1E-6
48	8.5E-5	3.5E-7	1.3E-7	3.8E-7	7.8E-5	1.7E-6
49	7.1E-5	2.9E-7	1.1E-7	3.2E-7	6.6E-5	1.5E-6
50	6.0E-5	2.5E-7	9.3E-8	2.7E-7	5.5E-5	1.2E-6
51	5.1E-5	2.1E-7	7.8E-8	2.3E-7	4.7E-5	1.0E-6
52	4.3E-5	1.8E-7	6.6E-8	1.9E-7	3.9E-5	8.8E-7
53	3.6E-5	1.5E-7	5.6E-8	1.6E-7	3.3E-5	7.4E-7
54	3.0E-5	1.3E-7	4.7E-8	1.4E-7	2.8E-5	6.2E-7
55	2.6E-5	1.1E-7	4.0E-8	1.2E-7	2.4E-5	5.2E-7
56	2.1E-5	8.9E-8	3.3E-8	9.7E-8	2.0E-5	4.4E-7
57	1.8E-5	7.5E-8	2.8E-8	8.2E-8	1.7E-5	3.7E-7
58	1.5E-5	6.3E-8	2.4E-8	6.9E-8	1.4E-5	3.1E-7
59	1.3E-5	5.3E-8	2.0E-8	5.8E-8	1.2E-5	2.6E-7
60	1.1E-5	4.5E-8	1.7E-8	4.9E-8	1.0E-5	2.2E-7
61	9.1E-6	3.8E-8	1.4E-8	4.1E-8	8.4E-6	1.9E-7
62	7.7E-6	3.2E-8	1.2E-8	3.5E-8	7.1E-6	1.6E-7
63	6.5E-6	2.7E-8	1.0E-8	2.9E-8	6.0E-6	1.3E-7
64	5.4E-6	2.3E-8	8.5E-9	2.5E-8	5.0E-6	1.1E-7
65	4.6E-6	1.9E-8	7.1E-9	2.1E-8	4.2E-6	9.4E-8
66	3.9E-6	1.6E-8	6.0E-9	1.7E-8	3.6E-6	7.9E-8
67	3.3E-6	1.4E-8	5.1E-9	1.5E-8	3.0E-6	6.7E-8
68	2.7E-6	1.1E-8	4.3E-9	1.2E-8	2.5E-6	5.6E-8
69	2.3E-6	9.6E-9	3.6E-9	1.0E-8	2.1E-6	4.8E-8
70	1.9E-6	8.1E-9	3.0E-9	8.8E-9	1.8E-6	4.0E-8
