Radionuclide	Sr-89
Route of Intake	Inhalation
Material	Aerosols Type F, Strontium chloride, sulphate and carbonate, fA=0.25
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	9.4E-1	-	-	1.7E-1	1.6E-1	4.6E-2
0.083333	9.2E-1	-	-	1.9E-1	6.2E-2	8.0E-2
0.125	9.0E-1	-	-	1.9E-1	3.0E-2	1.0E-1
0.25	8.5E-1	-	-	2.1E-1	1.1E-2	1.4E-1
0.375	8.2E-1	-	-	2.2E-1	8.6E-3	1.5E-1
0.5	7.9E-1	-	-	2.3E-1	7.7E-3	1.6E-1
0.625	7.7E-1	-	-	2.3E-1	7.2E-3	1.7E-1
0.75	7.5E-1	-	-	2.3E-1	6.7E-3	1.8E-1
0.875	7.2E-1	-	-	2.3E-1	6.2E-3	1.8E-1
1	7.0E-1	1.2E-1	4.3E-2	2.2E-1	5.9E-3	1.8E-1
1.125	6.7E-1	-	-	2.1E-1	5.5E-3	1.9E-1
1.25	6.5E-1	-	-	2.0E-1	5.2E-3	1.9E-1
1.375	6.2E-1	-	-	1.9E-1	5.0E-3	1.9E-1
1.5	6.0E-1	-	-	1.8E-1	4.7E-3	1.9E-1
1.625	5.8E-1	-	-	1.6E-1	4.5E-3	1.9E-1
1.75	5.5E-1	-	-	1.5E-1	4.3E-3	1.8E-1
1.875	5.3E-1	-	-	1.4E-1	4.2E-3	1.8E-1
2	5.1E-1	4.4E-2	1.2E-1	1.2E-1	4.0E-3	1.8E-1
2.25	4.8E-1	-	-	1.0E-1	3.7E-3	1.8E-1
2.5	4.5E-1	-	-	8.0E-2	3.5E-3	1.7E-1
2.75	4.2E-1	-	-	6.4E-2	3.3E-3	1.7E-1
3	4.0E-1	2.8E-2	7.8E-2	5.2E-2	3.2E-3	1.6E-1
3.25	3.8E-1	-	-	4.2E-2	3.0E-3	1.6E-1
3.5	3.7E-1	-	-	3.4E-2	2.9E-3	1.5E-1
3.75	3.5E-1	-	-	2.8E-2	2.8E-3	1.5E-1
4	3.4E-1	2.1E-2	3.3E-2	2.3E-2	2.7E-3	1.5E-1
4.25	3.3E-1	-	-	2.0E-2	2.6E-3	1.4E-1
4.5	3.2E-1	-	-	1.7E-2	2.5E-3	1.4E-1
4.75	3.1E-1	-	-	1.5E-2	2.4E-3	1.4E-1
5	3.1E-1	1.6E-2	1.4E-2	1.4E-2	2.3E-3	1.3E-1
5.5	2.9E-1	-	-	1.2E-2	2.2E-3	1.3E-1
6	2.8E-1	1.3E-2	7.0E-3	1.0E-2	2.0E-3	1.3E-1
6.5	2.7E-1	-	-	9.1E-3	1.9E-3	1.2E-1
7	2.6E-1	1.1E-2	4.6E-3	8.3E-3	1.8E-3	1.2E-1
7.5	2.5E-1	-	-	7.6E-3	1.7E-3	1.2E-1
8	2.5E-1	8.9E-3	3.5E-3	7.1E-3	1.6E-3	1.1E-1
8.5	2.4E-1	-	-	6.6E-3	1.5E-3	1.1E-1
9	2.3E-1	7.6E-3	2.9E-3	6.2E-3	1.5E-3	1.1E-1
9.5	2.3E-1	-	-	5.8E-3	1.4E-3	1.1E-1
