Radionuclide	Eu-145
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-6
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.0E-1	-	-	2.8E-1	7.6E-2	9.4E-6	8.0E-6
0.083333	7.9E-1	-	-	3.1E-1	7.1E-2	1.8E-5	1.4E-5
0.125	7.8E-1	-	-	3.4E-1	6.8E-2	2.5E-5	1.9E-5
0.25	7.4E-1	-	-	4.0E-1	6.3E-2	4.4E-5	3.3E-5
0.375	7.1E-1	-	-	4.4E-1	6.1E-2	6.1E-5	4.4E-5
0.5	6.8E-1	-	-	4.6E-1	6.0E-2	7.5E-5	5.4E-5
0.625	6.5E-1	-	-	4.7E-1	5.8E-2	8.8E-5	6.3E-5
0.75	6.2E-1	-	-	4.7E-1	5.7E-2	9.8E-5	7.1E-5
0.875	5.8E-1	-	-	4.6E-1	5.6E-2	1.1E-4	7.8E-5
1	5.5E-1	6.2E-5	7.6E-2	4.4E-1	5.5E-2	1.2E-4	8.3E-5
1.125	5.1E-1	-	-	4.1E-1	5.4E-2	1.2E-4	8.9E-5
1.25	4.7E-1	-	-	3.9E-1	5.3E-2	1.3E-4	9.3E-5
1.375	4.3E-1	-	-	3.6E-1	5.2E-2	1.4E-4	9.7E-5
1.5	3.9E-1	-	-	3.3E-1	5.1E-2	1.4E-4	1.0E-4
1.625	3.6E-1	-	-	2.9E-1	5.0E-2	1.4E-4	1.0E-4
1.75	3.2E-1	-	-	2.6E-1	4.9E-2	1.5E-4	1.0E-4
1.875	2.9E-1	-	-	2.4E-1	4.9E-2	1.5E-4	1.1E-4
2	2.6E-1	3.0E-5	2.1E-1	2.1E-1	4.8E-2	1.5E-4	1.1E-4
2.25	2.1E-1	-	-	1.6E-1	4.6E-2	1.5E-4	1.1E-4
2.5	1.7E-1	-	-	1.2E-1	4.4E-2	1.6E-4	1.1E-4
2.75	1.3E-1	-	-	8.9E-2	4.3E-2	1.6E-4	1.1E-4
3	1.1E-1	1.3E-5	1.2E-1	6.5E-2	4.1E-2	1.6E-4	1.1E-4
3.25	8.8E-2	-	-	4.7E-2	4.0E-2	1.5E-4	1.1E-4
3.5	7.3E-2	-	-	3.3E-2	3.9E-2	1.5E-4	1.1E-4
3.75	6.2E-2	-	-	2.4E-2	3.7E-2	1.5E-4	1.1E-4
4	5.4E-2	5.9E-6	4.2E-2	1.7E-2	3.6E-2	1.5E-4	1.0E-4
4.25	4.7E-2	-	-	1.2E-2	3.5E-2	1.4E-4	1.0E-4
4.5	4.3E-2	-	-	8.4E-3	3.4E-2	1.4E-4	1.0E-4
4.75	3.9E-2	-	-	6.0E-3	3.3E-2	1.4E-4	9.8E-5
5	3.6E-2	2.9E-6	1.1E-2	4.3E-3	3.2E-2	1.4E-4	9.6E-5
5.5	3.2E-2	-	-	2.3E-3	3.0E-2	1.3E-4	9.1E-5
6	3.0E-2	1.7E-6	2.8E-3	1.4E-3	2.8E-2	1.2E-4	8.6E-5
6.5	2.7E-2	-	-	9.4E-4	2.6E-2	1.2E-4	8.2E-5
7	2.5E-2	1.1E-6	8.6E-4	6.9E-4	2.4E-2	1.1E-4	7.8E-5
7.5	2.4E-2	-	-	5.5E-4	2.3E-2	1.0E-4	7.4E-5
8	2.2E-2	8.5E-7	3.9E-4	4.5E-4	2.1E-2	9.9E-5	7.0E-5
8.5	2.1E-2	-	-	3.9E-4	2.0E-2	9.4E-5	6.6E-5
9	2.0E-2	6.9E-7	2.4E-4	3.3E-4	1.9E-2	8.9E-5	6.3E-5
9.5	1.8E-2	-	-	2.9E-4	1.8E-2	8.5E-5	5.9E-5
10	1.7E-2	5.8E-7	1.8E-4	2.5E-4	1.7E-2	8.0E-5	5.6E-5
11	1.5E-2	5.0E-7	1.3E-4	1.9E-4	1.5E-2	7.2E-5	5.0E-5
12	1.3E-2	4.3E-7	1.0E-4	1.5E-4	1.3E-2	6.5E-5	4.5E-5
13	1.2E-2	3.7E-7	7.7E-5	1.1E-4	1.2E-2	5.8E-5	4.0E-5
14	1.1E-2	3.3E-7	6.0E-5	8.9E-5	1.0E-2	5.2E-5	3.6E-5
15	9.3E-3	2.8E-7	4.7E-5	7.1E-5	9.0E-3	4.7E-5	3.2E-5
16	8.2E-3	2.5E-7	3.7E-5	5.6E-5	8.0E-3	4.2E-5	2.9E-5
17	7.3E-3	2.2E-7	2.9E-5	4.5E-5	7.1E-3	3.8E-5	2.6E-5
18	6.5E-3	1.9E-7	2.4E-5	3.7E-5	6.3E-3	3.4E-5	2.3E-5
19	5.7E-3	1.7E-7	1.9E-5	3.0E-5	5.6E-3	3.0E-5	2.1E-5
20	5.1E-3	1.5E-7	1.6E-5	2.5E-5	5.0E-3	2.7E-5	1.9E-5
21	4.5E-3	1.3E-7	1.3E-5	2.1E-5	4.4E-3	2.4E-5	1.7E-5
22	4.0E-3	1.1E-7	1.1E-5	1.8E-5	3.9E-3	2.2E-5	1.5E-5
23	3.6E-3	1.0E-7	9.1E-6	1.5E-5	3.5E-3	2.0E-5	1.3E-5
24	3.2E-3	8.9E-8	7.7E-6	1.3E-5	3.1E-3	1.7E-5	1.2E-5
25	2.8E-3	7.8E-8	6.6E-6	1.1E-5	2.7E-3	1.6E-5	1.1E-5
26	2.5E-3	6.9E-8	5.7E-6	9.5E-6	2.4E-3	1.4E-5	9.5E-6
27	2.2E-3	6.1E-8	4.9E-6	8.2E-6	2.1E-3	1.3E-5	8.5E-6
28	2.0E-3	5.4E-8	4.2E-6	7.2E-6	1.9E-3	1.1E-5	7.6E-6
29	1.7E-3	4.8E-8	3.7E-6	6.3E-6	1.7E-3	1.0E-5	6.8E-6
30	1.5E-3	4.2E-8	3.2E-6	5.5E-6	1.5E-3	9.1E-6	6.1E-6
31	1.4E-3	3.7E-8	2.8E-6	4.8E-6	1.3E-3	8.1E-6	5.5E-6
32	1.2E-3	3.3E-8	2.5E-6	4.2E-6	1.2E-3	7.3E-6	4.9E-6
33	1.1E-3	2.9E-8	2.2E-6	3.7E-6	1.1E-3	6.5E-6	4.4E-6
34	9.6E-4	2.6E-8	1.9E-6	3.3E-6	9.3E-4	5.8E-6	3.9E-6
35	8.5E-4	2.3E-8	1.7E-6	2.9E-6	8.3E-4	5.2E-6	3.5E-6
36	7.6E-4	2.0E-8	1.5E-6	2.5E-6	7.4E-4	4.7E-6	3.1E-6
37	6.7E-4	1.8E-8	1.3E-6	2.3E-6	6.5E-4	4.2E-6	2.8E-6
38	6.0E-4	1.6E-8	1.2E-6	2.0E-6	5.8E-4	3.8E-6	2.5E-6
39	5.3E-4	1.4E-8	1.0E-6	1.8E-6	5.2E-4	3.4E-6	2.2E-6
40	4.7E-4	1.3E-8	9.0E-7	1.6E-6	4.6E-4	3.0E-6	2.0E-6
41	4.2E-4	1.1E-8	8.0E-7	1.4E-6	4.1E-4	2.7E-6	1.8E-6
42	3.7E-4	9.9E-9	7.1E-7	1.2E-6	3.6E-4	2.4E-6	1.6E-6
43	3.3E-4	8.8E-9	6.2E-7	1.1E-6	3.2E-4	2.2E-6	1.4E-6
44	2.9E-4	7.8E-9	5.5E-7	9.6E-7	2.8E-4	1.9E-6	1.3E-6
45	2.6E-4	6.9E-9	4.9E-7	8.5E-7	2.5E-4	1.7E-6	1.1E-6
