Radionuclide	Ru-97
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride, oxalate, fA=5E-2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.0E-1	-	-	2.2E-1	3.0E-2	1.1E-2	1.6E-2
0.083333	7.7E-1	-	-	2.4E-1	1.4E-2	1.3E-2	2.0E-2
0.125	7.5E-1	-	-	2.6E-1	1.1E-2	1.4E-2	2.1E-2
0.25	6.9E-1	-	-	2.9E-1	9.1E-3	1.6E-2	2.4E-2
0.375	6.5E-1	-	-	3.1E-1	8.9E-3	1.7E-2	2.5E-2
0.5	6.1E-1	-	-	3.2E-1	8.6E-3	1.7E-2	2.5E-2
0.625	5.7E-1	-	-	3.2E-1	8.3E-3	1.8E-2	2.6E-2
0.75	5.4E-1	-	-	3.1E-1	8.0E-3	1.8E-2	2.5E-2
0.875	5.0E-1	-	-	3.0E-1	7.6E-3	1.7E-2	2.5E-2
1	4.7E-1	3.5E-2	5.0E-2	2.8E-1	7.2E-3	1.7E-2	2.5E-2
1.125	4.3E-1	-	-	2.6E-1	6.8E-3	1.7E-2	2.4E-2
1.25	4.0E-1	-	-	2.4E-1	6.5E-3	1.7E-2	2.4E-2
1.375	3.7E-1	-	-	2.2E-1	6.1E-3	1.6E-2	2.3E-2
1.5	3.3E-1	-	-	2.0E-1	5.8E-3	1.6E-2	2.2E-2
1.625	3.1E-1	-	-	1.8E-1	5.4E-3	1.5E-2	2.2E-2
1.75	2.8E-1	-	-	1.6E-1	5.1E-3	1.5E-2	2.1E-2
1.875	2.5E-1	-	-	1.4E-1	4.8E-3	1.5E-2	2.0E-2
2	2.3E-1	6.5E-3	1.2E-1	1.2E-1	4.6E-3	1.4E-2	2.0E-2
2.25	1.9E-1	-	-	9.0E-2	4.1E-3	1.3E-2	1.8E-2
2.5	1.6E-1	-	-	6.6E-2	3.6E-3	1.3E-2	1.7E-2
2.75	1.3E-1	-	-	4.8E-2	3.2E-3	1.2E-2	1.6E-2
3	1.1E-1	3.6E-3	6.2E-2	3.4E-2	2.9E-3	1.1E-2	1.5E-2
3.25	9.9E-2	-	-	2.4E-2	2.6E-3	1.1E-2	1.4E-2
3.5	8.7E-2	-	-	1.7E-2	2.3E-3	9.9E-3	1.3E-2
3.75	7.7E-2	-	-	1.2E-2	2.1E-3	9.3E-3	1.2E-2
4	6.9E-2	2.3E-3	1.9E-2	8.7E-3	1.9E-3	8.7E-3	1.1E-2
4.25	6.3E-2	-	-	6.3E-3	1.7E-3	8.1E-3	1.0E-2
4.5	5.7E-2	-	-	4.6E-3	1.6E-3	7.6E-3	9.5E-3
4.75	5.2E-2	-	-	3.4E-3	1.4E-3	7.1E-3	8.8E-3
5	4.8E-2	1.6E-3	4.6E-3	2.6E-3	1.3E-3	6.7E-3	8.2E-3
5.5	4.1E-2	-	-	1.7E-3	1.1E-3	5.9E-3	7.0E-3
6	3.6E-2	1.1E-3	1.1E-3	1.2E-3	9.0E-4	5.2E-3	6.1E-3
6.5	3.1E-2	-	-	9.3E-4	7.5E-4	4.5E-3	5.2E-3
7	2.7E-2	8.1E-4	3.8E-4	7.5E-4	6.3E-4	4.0E-3	4.5E-3
7.5	2.4E-2	-	-	6.3E-4	5.4E-4	3.5E-3	3.8E-3
8	2.0E-2	5.8E-4	2.0E-4	5.4E-4	4.5E-4	3.0E-3	3.3E-3
8.5	1.8E-2	-	-	4.6E-4	3.8E-4	2.7E-3	2.8E-3
9	1.6E-2	4.2E-4	1.3E-4	4.0E-4	3.3E-4	2.3E-3	2.4E-3
9.5	1.4E-2	-	-	3.4E-4	2.8E-4	2.1E-3	2.1E-3
10	1.2E-2	3.1E-4	9.3E-5	3.0E-4	2.4E-4	1.8E-3	1.8E-3
11	9.0E-3	2.3E-4	6.8E-5	2.2E-4	1.7E-4	1.4E-3	1.3E-3
12	6.9E-3	1.7E-4	5.0E-5	1.7E-4	1.3E-4	1.1E-3	1.0E-3
13	5.3E-3	1.2E-4	3.7E-5	1.3E-4	9.3E-5	8.2E-4	7.4E-4
14	4.0E-3	9.2E-5	2.7E-5	9.5E-5	6.9E-5	6.3E-4	5.5E-4
15	3.1E-3	6.8E-5	2.0E-5	7.2E-5	5.1E-5	4.8E-4	4.1E-4
16	2.4E-3	5.0E-5	1.5E-5	5.5E-5	3.7E-5	3.7E-4	3.1E-4
