Radionuclide	Eu-146
Route of Intake	Inhalation
Material	Aerosols Dioxide, fA=5E-7
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.6E-1	-	-	2.4E-1	1.4E-2	1.0E-6	8.3E-7
0.083333	6.4E-1	-	-	2.7E-1	1.2E-2	1.6E-6	1.2E-6
0.125	6.3E-1	-	-	2.9E-1	1.1E-2	2.0E-6	1.5E-6
0.25	6.0E-1	-	-	3.4E-1	9.7E-3	2.9E-6	2.1E-6
0.375	5.7E-1	-	-	3.7E-1	9.1E-3	3.7E-6	2.7E-6
0.5	5.4E-1	-	-	3.9E-1	8.8E-3	4.4E-6	3.1E-6
0.625	5.1E-1	-	-	4.0E-1	8.6E-3	5.0E-6	3.6E-6
0.75	4.8E-1	-	-	3.9E-1	8.3E-3	5.5E-6	3.9E-6
0.875	4.5E-1	-	-	3.8E-1	8.1E-3	6.0E-6	4.3E-6
1	4.2E-1	3.4E-6	6.4E-2	3.7E-1	7.9E-3	6.4E-6	4.6E-6
1.125	3.9E-1	-	-	3.5E-1	7.7E-3	6.8E-6	4.9E-6
1.25	3.6E-1	-	-	3.2E-1	7.6E-3	7.2E-6	5.1E-6
1.375	3.2E-1	-	-	3.0E-1	7.4E-3	7.5E-6	5.4E-6
1.5	2.9E-1	-	-	2.7E-1	7.2E-3	7.8E-6	5.6E-6
1.625	2.6E-1	-	-	2.4E-1	7.0E-3	8.0E-6	5.7E-6
1.75	2.3E-1	-	-	2.2E-1	6.9E-3	8.3E-6	5.9E-6
1.875	2.0E-1	-	-	1.9E-1	6.7E-3	8.5E-6	6.1E-6
2	1.8E-1	1.9E-6	1.7E-1	1.7E-1	6.5E-3	8.7E-6	6.2E-6
2.25	1.4E-1	-	-	1.3E-1	6.2E-3	9.1E-6	6.5E-6
2.5	1.0E-1	-	-	9.6E-2	6.0E-3	9.3E-6	6.7E-6
2.75	7.7E-2	-	-	7.0E-2	5.7E-3	9.6E-6	6.8E-6
3	5.7E-2	1.3E-6	9.7E-2	5.0E-2	5.4E-3	9.8E-6	6.9E-6
3.25	4.2E-2	-	-	3.6E-2	5.2E-3	9.9E-6	7.0E-6
3.5	3.1E-2	-	-	2.5E-2	5.0E-3	1.0E-5	7.1E-6
3.75	2.3E-2	-	-	1.8E-2	4.7E-3	1.0E-5	7.2E-6
4	1.7E-2	1.0E-6	3.2E-2	1.2E-2	4.5E-3	1.0E-5	7.2E-6
4.25	1.3E-2	-	-	8.3E-3	4.3E-3	1.0E-5	7.2E-6
4.5	1.0E-2	-	-	5.7E-3	4.1E-3	1.0E-5	7.2E-6
4.75	8.1E-3	-	-	3.8E-3	4.0E-3	1.0E-5	7.2E-6
5	6.7E-3	8.4E-7	7.9E-3	2.6E-3	3.8E-3	1.0E-5	7.2E-6
5.5	4.9E-3	-	-	1.2E-3	3.5E-3	1.0E-5	7.1E-6
6	4.0E-3	7.0E-7	1.7E-3	5.9E-4	3.2E-3	9.9E-6	7.0E-6
6.5	3.4E-3	-	-	3.1E-4	2.9E-3	9.7E-6	6.9E-6
7	3.0E-3	5.8E-7	3.8E-4	1.8E-4	2.7E-3	9.5E-6	6.7E-6
7.5	2.8E-3	-	-	1.2E-4	2.5E-3	9.2E-6	6.5E-6
8	2.5E-3	4.9E-7	1.1E-4	8.4E-5	2.3E-3	9.0E-6	6.3E-6
8.5	2.3E-3	-	-	6.5E-5	2.1E-3	8.7E-6	6.1E-6
9	2.1E-3	4.2E-7	4.6E-5	5.3E-5	1.9E-3	8.4E-6	5.9E-6
9.5	1.9E-3	-	-	4.4E-5	1.8E-3	8.1E-6	5.7E-6
10	1.8E-3	3.6E-7	2.8E-5	3.7E-5	1.6E-3	7.8E-6	5.5E-6
11	1.5E-3	3.0E-7	1.9E-5	2.7E-5	1.4E-3	7.2E-6	5.1E-6
12	1.3E-3	2.6E-7	1.4E-5	2.0E-5	1.2E-3	6.7E-6	4.7E-6
13	1.1E-3	2.2E-7	1.0E-5	1.4E-5	1.0E-3	6.1E-6	4.3E-6
14	9.4E-4	1.9E-7	7.4E-6	1.1E-5	8.7E-4	5.6E-6	3.9E-6
15	8.1E-4	1.6E-7	5.4E-6	8.0E-6	7.4E-4	5.1E-6	3.5E-6
16	6.9E-4	1.4E-7	4.1E-6	6.0E-6	6.3E-4	4.6E-6	3.2E-6
17	5.9E-4	1.2E-7	3.0E-6	4.6E-6	5.4E-4	4.1E-6	2.9E-6
18	5.1E-4	1.0E-7	2.3E-6	3.5E-6	4.6E-4	3.7E-6	2.6E-6
19	4.3E-4	8.9E-8	1.8E-6	2.7E-6	4.0E-4	3.4E-6	2.3E-6
20	3.7E-4	7.6E-8	1.4E-6	2.1E-6	3.4E-4	3.0E-6	2.1E-6
21	3.2E-4	6.6E-8	1.1E-6	1.7E-6	2.9E-4	2.7E-6	1.9E-6
22	2.7E-4	5.6E-8	8.4E-7	1.3E-6	2.5E-4	2.4E-6	1.7E-6
23	2.3E-4	4.8E-8	6.7E-7	1.1E-6	2.1E-4	2.2E-6	1.5E-6
24	2.0E-4	4.2E-8	5.3E-7	8.7E-7	1.8E-4	1.9E-6	1.3E-6
25	1.7E-4	3.6E-8	4.3E-7	7.1E-7	1.6E-4	1.7E-6	1.2E-6
26	1.5E-4	3.1E-8	3.5E-7	5.9E-7	1.4E-4	1.5E-6	1.1E-6
27	1.3E-4	2.6E-8	2.9E-7	4.9E-7	1.2E-4	1.4E-6	9.3E-7
28	1.1E-4	2.3E-8	2.4E-7	4.1E-7	9.9E-5	1.2E-6	8.3E-7
29	9.4E-5	2.0E-8	2.0E-7	3.4E-7	8.5E-5	1.1E-6	7.3E-7
30	8.0E-5	1.7E-8	1.7E-7	2.8E-7	7.3E-5	9.4E-7	6.5E-7
31	6.9E-5	1.4E-8	1.4E-7	2.4E-7	6.3E-5	8.4E-7	5.7E-7
32	5.9E-5	1.2E-8	1.2E-7	2.0E-7	5.4E-5	7.4E-7	5.1E-7
