Radionuclide	Tc-95m
Route of Intake	Inhalation
Material	Aerosols Type S, fA=9E-3
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	3.2E-1	-	-	2.6E-2	2.6E-1	7.6E-6	1.1E-5	2.6E-5
0.083333	3.2E-1	-	-	3.1E-2	2.6E-1	1.3E-5	2.0E-5	5.4E-5
0.125	3.2E-1	-	-	3.4E-2	2.5E-1	1.7E-5	3.0E-5	8.3E-5
0.25	3.2E-1	-	-	4.2E-2	2.5E-1	2.4E-5	5.7E-5	1.5E-4
0.375	3.2E-1	-	-	4.8E-2	2.5E-1	2.7E-5	8.2E-5	1.9E-4
0.5	3.2E-1	-	-	5.1E-2	2.5E-1	2.8E-5	1.0E-4	1.9E-4
0.625	3.1E-1	-	-	5.4E-2	2.5E-1	2.7E-5	1.2E-4	1.8E-4
0.75	3.1E-1	-	-	5.5E-2	2.4E-1	2.5E-5	1.3E-4	1.7E-4
0.875	3.1E-1	-	-	5.5E-2	2.4E-1	2.4E-5	1.4E-4	1.5E-4
1	3.0E-1	5.3E-4	8.6E-3	5.5E-2	2.4E-1	2.2E-5	1.5E-4	1.3E-4
1.125	3.0E-1	-	-	5.3E-2	2.4E-1	2.0E-5	1.5E-4	1.1E-4
1.25	2.9E-1	-	-	5.1E-2	2.4E-1	1.8E-5	1.5E-4	9.8E-5
1.375	2.9E-1	-	-	4.9E-2	2.4E-1	1.7E-5	1.5E-4	8.6E-5
1.5	2.9E-1	-	-	4.7E-2	2.4E-1	1.6E-5	1.5E-4	7.7E-5
1.625	2.8E-1	-	-	4.4E-2	2.4E-1	1.4E-5	1.5E-4	6.9E-5
1.75	2.8E-1	-	-	4.1E-2	2.3E-1	1.3E-5	1.5E-4	6.3E-5
1.875	2.7E-1	-	-	3.8E-2	2.3E-1	1.2E-5	1.4E-4	5.8E-5
2	2.7E-1	2.6E-4	2.9E-2	3.6E-2	2.3E-1	1.2E-5	1.4E-4	5.4E-5
2.25	2.6E-1	-	-	3.0E-2	2.3E-1	1.0E-5	1.3E-4	4.8E-5
2.5	2.5E-1	-	-	2.6E-2	2.3E-1	9.0E-6	1.3E-4	4.4E-5
2.75	2.5E-1	-	-	2.2E-2	2.3E-1	8.0E-6	1.2E-4	4.2E-5
3	2.4E-1	1.1E-4	2.2E-2	1.9E-2	2.2E-1	7.2E-6	1.1E-4	4.0E-5
3.25	2.4E-1	-	-	1.7E-2	2.2E-1	6.5E-6	1.1E-4	3.8E-5
3.5	2.3E-1	-	-	1.4E-2	2.2E-1	6.0E-6	1.0E-4	3.7E-5
3.75	2.3E-1	-	-	1.3E-2	2.2E-1	5.5E-6	9.4E-5	3.6E-5
4	2.3E-1	7.9E-5	1.2E-2	1.2E-2	2.2E-1	5.0E-6	8.9E-5	3.5E-5
4.25	2.3E-1	-	-	1.0E-2	2.1E-1	4.7E-6	8.4E-5	3.4E-5
4.5	2.2E-1	-	-	9.6E-3	2.1E-1	4.3E-6	7.9E-5	3.3E-5
4.75	2.2E-1	-	-	8.8E-3	2.1E-1	4.1E-6	7.5E-5	3.2E-5
5	2.2E-1	6.2E-5	7.1E-3	8.2E-3	2.1E-1	3.8E-6	7.1E-5	3.2E-5
5.5	2.1E-1	-	-	7.3E-3	2.1E-1	3.4E-6	6.4E-5	3.0E-5
6	2.1E-1	5.0E-5	4.9E-3	6.5E-3	2.0E-1	3.0E-6	5.7E-5	2.9E-5
6.5	2.1E-1	-	-	5.8E-3	2.0E-1	2.7E-6	5.1E-5	2.8E-5
7	2.0E-1	4.1E-5	3.8E-3	5.3E-3	2.0E-1	2.4E-6	4.6E-5	2.7E-5
7.5	2.0E-1	-	-	4.8E-3	2.0E-1	2.2E-6	4.2E-5	2.6E-5
8	2.0E-1	3.4E-5	3.1E-3	4.4E-3	1.9E-1	2.0E-6	3.8E-5	2.5E-5
