Radionuclide	Nb-92m
Route of Intake	Injection
Material	Injection, fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.9E-1	-	-	6.3E-2	6.7E-2	9.2E-2
0.083333	9.7E-1	-	-	5.9E-2	6.5E-2	8.6E-2
0.125	9.5E-1	-	-	5.5E-2	6.3E-2	8.2E-2
0.25	9.0E-1	-	-	5.1E-2	6.3E-2	7.7E-2
0.375	8.7E-1	-	-	4.9E-2	6.4E-2	7.7E-2
0.5	8.4E-1	-	-	4.8E-2	6.6E-2	7.7E-2
0.625	8.2E-1	-	-	4.8E-2	6.7E-2	7.8E-2
0.75	8.0E-1	-	-	4.7E-2	6.9E-2	7.8E-2
0.875	7.8E-1	-	-	4.7E-2	7.1E-2	7.9E-2
1	7.7E-1	1.7E-1	2.0E-3	4.6E-2	7.2E-2	8.0E-2
1.125	7.5E-1	-	-	4.5E-2	7.4E-2	8.0E-2
1.25	7.3E-1	-	-	4.4E-2	7.5E-2	8.1E-2
1.375	7.1E-1	-	-	4.3E-2	7.6E-2	8.1E-2
1.5	7.0E-1	-	-	4.2E-2	7.7E-2	8.1E-2
1.625	6.8E-1	-	-	4.1E-2	7.8E-2	8.1E-2
1.75	6.7E-1	-	-	4.0E-2	7.9E-2	8.2E-2
1.875	6.5E-1	-	-	3.9E-2	8.0E-2	8.2E-2
2	6.4E-1	7.1E-2	7.7E-3	3.8E-2	8.1E-2	8.2E-2
2.25	6.1E-1	-	-	3.6E-2	8.3E-2	8.2E-2
2.5	5.8E-1	-	-	3.4E-2	8.4E-2	8.1E-2
2.75	5.6E-1	-	-	3.1E-2	8.5E-2	8.1E-2
3	5.3E-1	5.2E-2	8.3E-3	3.0E-2	8.6E-2	8.1E-2
3.25	5.1E-1	-	-	2.8E-2	8.7E-2	8.0E-2
3.5	4.9E-1	-	-	2.6E-2	8.7E-2	7.9E-2
3.75	4.7E-1	-	-	2.4E-2	8.8E-2	7.8E-2
4	4.5E-1	3.9E-2	7.0E-3	2.3E-2	8.8E-2	7.8E-2
4.25	4.4E-1	-	-	2.1E-2	8.8E-2	7.7E-2
4.5	4.2E-1	-	-	2.0E-2	8.8E-2	7.6E-2
4.75	4.0E-1	-	-	1.9E-2	8.8E-2	7.5E-2
5	3.9E-1	2.8E-2	5.7E-3	1.8E-2	8.8E-2	7.4E-2
5.5	3.6E-1	-	-	1.6E-2	8.7E-2	7.1E-2
6	3.4E-1	2.1E-2	4.5E-3	1.4E-2	8.6E-2	6.9E-2
6.5	3.2E-1	-	-	1.2E-2	8.5E-2	6.7E-2
7	3.0E-1	1.6E-2	3.5E-3	1.1E-2	8.4E-2	6.5E-2
7.5	2.8E-1	-	-	9.3E-3	8.2E-2	6.3E-2
8	2.6E-1	1.2E-2	2.8E-3	8.1E-3	8.1E-2	6.0E-2
8.5	2.5E-1	-	-	7.2E-3	7.9E-2	5.8E-2
9	2.3E-1	8.7E-3	2.1E-3	6.3E-3	7.7E-2	5.6E-2
9.5	2.2E-1	-	-	5.6E-3	7.5E-2	5.4E-2
10	2.1E-1	6.5E-3	1.6E-3	4.9E-3	7.3E-2	5.2E-2
11	1.9E-1	4.9E-3	1.3E-3	3.9E-3	6.9E-2	4.9E-2
