Radionuclide	Pu-237
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-6
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	2.9E-1	-	-	4.3E-2	1.8E-1	1.7E-6	2.5E-6
0.083333	2.9E-1	-	-	4.9E-2	1.8E-1	3.5E-6	5.2E-6
0.125	2.9E-1	-	-	5.4E-2	1.8E-1	5.3E-6	8.1E-6
0.25	2.9E-1	-	-	6.5E-2	1.8E-1	1.2E-5	1.8E-5
0.375	2.8E-1	-	-	7.3E-2	1.8E-1	1.9E-5	3.1E-5
0.5	2.8E-1	-	-	7.8E-2	1.8E-1	2.6E-5	4.5E-5
0.625	2.8E-1	-	-	8.1E-2	1.7E-1	3.4E-5	6.0E-5
0.75	2.7E-1	-	-	8.2E-2	1.7E-1	4.3E-5	7.6E-5
0.875	2.7E-1	-	-	8.2E-2	1.7E-1	5.2E-5	9.3E-5
1	2.6E-1	2.4E-6	1.3E-2	8.0E-2	1.7E-1	6.2E-5	1.1E-4
1.125	2.5E-1	-	-	7.7E-2	1.7E-1	7.1E-5	1.3E-4
1.25	2.5E-1	-	-	7.4E-2	1.7E-1	8.1E-5	1.5E-4
1.375	2.4E-1	-	-	6.9E-2	1.7E-1	9.0E-5	1.7E-4
1.5	2.4E-1	-	-	6.5E-2	1.7E-1	1.0E-4	1.9E-4
1.625	2.3E-1	-	-	6.0E-2	1.7E-1	1.1E-4	2.1E-4
1.75	2.2E-1	-	-	5.5E-2	1.7E-1	1.2E-4	2.2E-4
1.875	2.2E-1	-	-	5.1E-2	1.6E-1	1.3E-4	2.4E-4
2	2.1E-1	4.9E-6	4.3E-2	4.6E-2	1.6E-1	1.4E-4	2.6E-4
2.25	2.0E-1	-	-	3.8E-2	1.6E-1	1.6E-4	3.0E-4
2.5	1.9E-1	-	-	3.1E-2	1.6E-1	1.7E-4	3.3E-4
2.75	1.8E-1	-	-	2.5E-2	1.6E-1	1.9E-4	3.7E-4
3	1.8E-1	4.9E-6	3.0E-2	2.0E-2	1.6E-1	2.1E-4	4.0E-4
3.25	1.7E-1	-	-	1.6E-2	1.6E-1	2.2E-4	4.3E-4
3.5	1.7E-1	-	-	1.3E-2	1.5E-1	2.3E-4	4.6E-4
3.75	1.7E-1	-	-	1.1E-2	1.5E-1	2.5E-4	4.8E-4
4	1.6E-1	4.2E-6	1.3E-2	9.4E-3	1.5E-1	2.6E-4	5.1E-4
4.25	1.6E-1	-	-	8.1E-3	1.5E-1	2.7E-4	5.3E-4
4.5	1.6E-1	-	-	7.1E-3	1.5E-1	2.8E-4	5.5E-4
4.75	1.6E-1	-	-	6.3E-3	1.5E-1	2.9E-4	5.7E-4
5	1.5E-1	3.4E-6	6.1E-3	5.7E-3	1.5E-1	3.0E-4	5.9E-4
5.5	1.5E-1	-	-	4.8E-3	1.4E-1	3.2E-4	6.2E-4
6	1.5E-1	2.7E-6	3.5E-3	4.2E-3	1.4E-1	3.3E-4	6.5E-4
6.5	1.5E-1	-	-	3.7E-3	1.4E-1	3.4E-4	6.7E-4
7	1.4E-1	2.2E-6	2.5E-3	3.4E-3	1.4E-1	3.5E-4	7.0E-4
7.5	1.4E-1	-	-	3.0E-3	1.4E-1	3.6E-4	7.1E-4
8	1.4E-1	1.8E-6	2.0E-3	2.8E-3	1.3E-1	3.7E-4	7.3E-4
8.5	1.4E-1	-	-	2.5E-3	1.3E-1	3.7E-4	7.4E-4
