Radionuclide	As-73
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1	1.6E-5	2.2E-5
0.083333	5.0E-1	-	-	1.6E-1	1.3E-1	3.5E-5	4.6E-5
0.125	5.0E-1	-	-	1.8E-1	1.3E-1	5.5E-5	6.9E-5
0.25	4.8E-1	-	-	2.1E-1	1.2E-1	1.0E-4	1.3E-4
0.375	4.7E-1	-	-	2.3E-1	1.2E-1	1.4E-4	1.6E-4
0.5	4.6E-1	-	-	2.5E-1	1.2E-1	1.6E-4	1.9E-4
0.625	4.5E-1	-	-	2.6E-1	1.2E-1	1.8E-4	2.0E-4
0.75	4.3E-1	-	-	2.6E-1	1.2E-1	1.9E-4	2.0E-4
0.875	4.2E-1	-	-	2.6E-1	1.2E-1	1.9E-4	2.1E-4
1	4.0E-1	1.3E-3	4.3E-2	2.5E-1	1.2E-1	2.0E-4	2.1E-4
1.125	3.8E-1	-	-	2.4E-1	1.2E-1	2.0E-4	2.0E-4
1.25	3.7E-1	-	-	2.3E-1	1.2E-1	2.0E-4	2.0E-4
1.375	3.5E-1	-	-	2.1E-1	1.2E-1	2.0E-4	1.9E-4
1.5	3.3E-1	-	-	2.0E-1	1.2E-1	2.0E-4	1.9E-4
1.625	3.1E-1	-	-	1.8E-1	1.2E-1	1.9E-4	1.8E-4
1.75	2.9E-1	-	-	1.6E-1	1.2E-1	1.9E-4	1.8E-4
1.875	2.7E-1	-	-	1.5E-1	1.2E-1	1.9E-4	1.7E-4
2	2.6E-1	5.5E-4	1.4E-1	1.3E-1	1.1E-1	1.8E-4	1.7E-4
2.25	2.3E-1	-	-	1.1E-1	1.1E-1	1.8E-4	1.6E-4
2.5	2.0E-1	-	-	8.3E-2	1.1E-1	1.7E-4	1.5E-4
2.75	1.8E-1	-	-	6.3E-2	1.1E-1	1.6E-4	1.4E-4
3	1.6E-1	3.6E-4	8.9E-2	4.8E-2	1.1E-1	1.6E-4	1.4E-4
3.25	1.5E-1	-	-	3.6E-2	1.1E-1	1.5E-4	1.3E-4
3.5	1.4E-1	-	-	2.7E-2	1.1E-1	1.4E-4	1.3E-4
3.75	1.3E-1	-	-	2.0E-2	1.1E-1	1.4E-4	1.2E-4
4	1.3E-1	2.9E-4	3.4E-2	1.5E-2	1.1E-1	1.3E-4	1.2E-4
4.25	1.2E-1	-	-	1.2E-2	1.1E-1	1.3E-4	1.1E-4
4.5	1.2E-1	-	-	8.9E-3	1.1E-1	1.2E-4	1.1E-4
4.75	1.2E-1	-	-	7.0E-3	1.1E-1	1.2E-4	1.1E-4
5	1.1E-1	2.4E-4	1.1E-2	5.6E-3	1.1E-1	1.1E-4	1.0E-4
5.5	1.1E-1	-	-	3.8E-3	1.1E-1	1.0E-4	9.6E-5
6	1.1E-1	2.0E-4	3.8E-3	2.9E-3	1.0E-1	9.4E-5	9.0E-5
6.5	1.1E-1	-	-	2.4E-3	1.0E-1	8.6E-5	8.5E-5
7	1.1E-1	1.7E-4	1.8E-3	2.1E-3	1.0E-1	8.0E-5	8.0E-5
7.5	1.0E-1	-	-	1.8E-3	1.0E-1	7.4E-5	7.6E-5
8	1.0E-1	1.5E-4	1.2E-3	1.7E-3	1.0E-1	6.9E-5	7.2E-5
8.5	1.0E-1	-	-	1.5E-3	1.0E-1	6.4E-5	6.9E-5
9	1.0E-1	1.2E-4	9.7E-4	1.4E-3	9.9E-2	5.9E-5	6.5E-5
9.5	1.0E-1	-	-	1.3E-3	9.9E-2	5.5E-5	6.2E-5
10	1.0E-1	1.1E-4	8.1E-4	1.2E-3	9.8E-2	5.1E-5	5.9E-5
11	9.8E-2	9.3E-5	6.9E-4	1.0E-3	9.6E-2	4.5E-5	5.4E-5
12	9.7E-2	8.2E-5	5.9E-4	8.9E-4	9.5E-2	4.0E-5	4.9E-5
13	9.6E-2	7.2E-5	5.1E-4	7.8E-4	9.4E-2	3.5E-5	4.5E-5
14	9.4E-2	6.3E-5	4.5E-4	6.9E-4	9.3E-2	3.2E-5	4.1E-5
15	9.3E-2	5.6E-5	4.0E-4	6.2E-4	9.2E-2	2.8E-5	3.8E-5
16	9.2E-2	5.1E-5	3.5E-4	5.6E-4	9.0E-2	2.6E-5	3.5E-5
17	9.1E-2	4.5E-5	3.2E-4	5.1E-4	8.9E-2	2.3E-5	3.2E-5
18	8.9E-2	4.1E-5	2.9E-4	4.7E-4	8.8E-2	2.2E-5	3.0E-5
19	8.8E-2	3.8E-5	2.7E-4	4.3E-4	8.7E-2	2.0E-5	2.8E-5
20	8.7E-2	3.4E-5	2.5E-4	4.0E-4	8.6E-2	1.9E-5	2.6E-5
21	8.6E-2	3.2E-5	2.3E-4	3.8E-4	8.5E-2	1.7E-5	2.4E-5
22	8.5E-2	2.9E-5	2.2E-4	3.6E-4	8.4E-2	1.6E-5	2.3E-5
23	8.4E-2	2.7E-5	2.1E-4	3.4E-4	8.4E-2	1.5E-5	2.1E-5
24	8.3E-2	2.5E-5	2.0E-4	3.3E-4	8.3E-2	1.5E-5	2.0E-5
25	8.3E-2	2.4E-5	1.9E-4	3.2E-4	8.2E-2	1.4E-5	1.9E-5
26	8.2E-2	2.2E-5	1.8E-4	3.1E-4	8.1E-2	1.3E-5	1.8E-5
27	8.1E-2	2.1E-5	1.7E-4	3.0E-4	8.0E-2	1.3E-5	1.7E-5
28	8.0E-2	2.0E-5	1.7E-4	2.9E-4	7.9E-2	1.2E-5	1.6E-5
29	7.9E-2	1.9E-5	1.6E-4	2.8E-4	7.8E-2	1.2E-5	1.5E-5
30	7.8E-2	1.8E-5	1.6E-4	2.8E-4	7.7E-2	1.1E-5	1.4E-5
31	7.7E-2	1.7E-5	1.6E-4	2.7E-4	7.7E-2	1.1E-5	1.3E-5
32	7.6E-2	1.6E-5	1.5E-4	2.7E-4	7.6E-2	1.1E-5	1.3E-5
33	7.6E-2	1.6E-5	1.5E-4	2.6E-4	7.5E-2	1.0E-5	1.2E-5
34	7.5E-2	1.5E-5	1.5E-4	2.6E-4	7.4E-2	1.0E-5	1.1E-5
35	7.4E-2	1.4E-5	1.5E-4	2.5E-4	7.3E-2	9.9E-6	1.1E-5
36	7.3E-2	1.4E-5	1.4E-4	2.5E-4	7.3E-2	9.6E-6	1.0E-5
37	7.2E-2	1.3E-5	1.4E-4	2.4E-4	7.2E-2	9.4E-6	9.8E-6
38	7.2E-2	1.3E-5	1.4E-4	2.4E-4	7.1E-2	9.2E-6	9.4E-6
39	7.1E-2	1.3E-5	1.4E-4	2.4E-4	7.0E-2	9.0E-6	9.0E-6
40	7.0E-2	1.2E-5	1.4E-4	2.3E-4	7.0E-2	8.9E-6	8.6E-6
41	6.9E-2	1.2E-5	1.3E-4	2.3E-4	6.9E-2	8.7E-6	8.2E-6
42	6.9E-2	1.1E-5	1.3E-4	2.3E-4	6.8E-2	8.5E-6	7.9E-6
43	6.8E-2	1.1E-5	1.3E-4	2.3E-4	6.7E-2	8.4E-6	7.6E-6
44	6.7E-2	1.1E-5	1.3E-4	2.2E-4	6.7E-2	8.3E-6	7.3E-6
45	6.6E-2	1.0E-5	1.3E-4	2.2E-4	6.6E-2	8.1E-6	7.0E-6
46	6.6E-2	1.0E-5	1.3E-4	2.2E-4	6.5E-2	8.0E-6	6.7E-6
47	6.5E-2	1.0E-5	1.2E-4	2.1E-4	6.5E-2	7.9E-6	6.5E-6
48	6.4E-2	9.7E-6	1.2E-4	2.1E-4	6.4E-2	7.8E-6	6.2E-6
49	6.4E-2	9.5E-6	1.2E-4	2.1E-4	6.3E-2	7.7E-6	6.0E-6
50	6.3E-2	9.3E-6	1.2E-4	2.1E-4	6.3E-2	7.5E-6	5.8E-6
51	6.2E-2	9.1E-6	1.2E-4	2.0E-4	6.2E-2	7.4E-6	5.6E-6
52	6.2E-2	8.9E-6	1.2E-4	2.0E-4	6.1E-2	7.3E-6	5.4E-6
53	6.1E-2	8.7E-6	1.2E-4	2.0E-4	6.1E-2	7.3E-6	5.2E-6
54	6.0E-2	8.5E-6	1.1E-4	2.0E-4	6.0E-2	7.2E-6	5.1E-6
55	6.0E-2	8.3E-6	1.1E-4	1.9E-4	5.9E-2	7.1E-6	4.9E-6
56	5.9E-2	8.2E-6	1.1E-4	1.9E-4	5.9E-2	7.0E-6	4.8E-6
