Radionuclide	Au-196
Route of Intake	Inhalation
Material	Aerosols Type S, Elemental gold, gold-labelled Teflon, fA=1E-3
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	2.9E-1	-	-	4.3E-2	1.8E-1	1.6E-5	2.3E-5
0.083333	2.9E-1	-	-	4.9E-2	1.8E-1	2.9E-5	4.3E-5
0.125	2.9E-1	-	-	5.4E-2	1.8E-1	4.0E-5	6.0E-5
0.25	2.8E-1	-	-	6.4E-2	1.7E-1	6.4E-5	1.0E-4
0.375	2.7E-1	-	-	7.0E-2	1.7E-1	7.7E-5	1.3E-4
0.5	2.7E-1	-	-	7.5E-2	1.7E-1	8.3E-5	1.5E-4
0.625	2.6E-1	-	-	7.6E-2	1.6E-1	8.6E-5	1.6E-4
0.75	2.5E-1	-	-	7.7E-2	1.6E-1	8.5E-5	1.6E-4
0.875	2.4E-1	-	-	7.5E-2	1.6E-1	8.3E-5	1.7E-4
1	2.4E-1	2.3E-4	1.2E-2	7.3E-2	1.5E-1	8.0E-5	1.7E-4
1.125	2.3E-1	-	-	6.9E-2	1.5E-1	7.7E-5	1.7E-4
1.25	2.2E-1	-	-	6.5E-2	1.5E-1	7.3E-5	1.7E-4
1.375	2.1E-1	-	-	6.1E-2	1.5E-1	7.0E-5	1.7E-4
1.5	2.0E-1	-	-	5.6E-2	1.4E-1	6.7E-5	1.7E-4
1.625	2.0E-1	-	-	5.1E-2	1.4E-1	6.3E-5	1.7E-4
1.75	1.9E-1	-	-	4.7E-2	1.4E-1	6.1E-5	1.7E-4
1.875	1.8E-1	-	-	4.2E-2	1.4E-1	5.8E-5	1.7E-4
2	1.7E-1	1.8E-4	3.5E-2	3.8E-2	1.3E-1	5.5E-5	1.6E-4
2.25	1.6E-1	-	-	3.0E-2	1.3E-1	5.1E-5	1.6E-4
2.5	1.5E-1	-	-	2.4E-2	1.3E-1	4.7E-5	1.5E-4
2.75	1.4E-1	-	-	1.9E-2	1.2E-1	4.4E-5	1.5E-4
3	1.3E-1	7.7E-5	2.2E-2	1.5E-2	1.2E-1	4.2E-5	1.4E-4
3.25	1.3E-1	-	-	1.2E-2	1.1E-1	3.9E-5	1.4E-4
3.5	1.2E-1	-	-	9.5E-3	1.1E-1	3.7E-5	1.4E-4
3.75	1.1E-1	-	-	7.7E-3	1.1E-1	3.6E-5	1.3E-4
4	1.1E-1	4.0E-5	9.1E-3	6.4E-3	1.0E-1	3.4E-5	1.3E-4
4.25	1.1E-1	-	-	5.4E-3	9.9E-2	3.2E-5	1.2E-4
4.5	1.0E-1	-	-	4.6E-3	9.6E-2	3.1E-5	1.2E-4
4.75	9.8E-2	-	-	4.0E-3	9.3E-2	3.0E-5	1.1E-4
5	9.4E-2	2.6E-5	3.8E-3	3.5E-3	9.0E-2	2.9E-5	1.1E-4
5.5	8.8E-2	-	-	2.8E-3	8.5E-2	2.6E-5	1.0E-4
6	8.2E-2	2.0E-5	2.0E-3	2.3E-3	8.0E-2	2.4E-5	9.6E-5
6.5	7.7E-2	-	-	2.0E-3	7.5E-2	2.3E-5	8.9E-5
7	7.2E-2	1.6E-5	1.3E-3	1.7E-3	7.0E-2	2.1E-5	8.3E-5
7.5	6.8E-2	-	-	1.5E-3	6.6E-2	2.0E-5	7.8E-5
8	6.4E-2	1.4E-5	9.1E-4	1.3E-3	6.2E-2	1.8E-5	7.2E-5
8.5	6.0E-2	-	-	1.1E-3	5.8E-2	1.7E-5	6.7E-5
9	5.6E-2	1.2E-5	6.8E-4	9.7E-4	5.5E-2	1.6E-5	6.3E-5
9.5	5.3E-2	-	-	8.4E-4	5.2E-2	1.5E-5	5.9E-5
10	5.0E-2	1.0E-5	5.1E-4	7.4E-4	4.9E-2	1.4E-5	5.5E-5
11	4.4E-2	8.7E-6	3.9E-4	5.7E-4	4.3E-2	1.2E-5	4.7E-5
12	3.9E-2	7.6E-6	3.0E-4	4.4E-4	3.8E-2	1.0E-5	4.1E-5
13	3.5E-2	6.6E-6	2.3E-4	3.4E-4	3.4E-2	8.8E-6	3.6E-5
14	3.1E-2	5.7E-6	1.8E-4	2.7E-4	3.0E-2	7.6E-6	3.1E-5
15	2.7E-2	5.0E-6	1.4E-4	2.1E-4	2.7E-2	6.6E-6	2.7E-5
16	2.4E-2	4.3E-6	1.1E-4	1.7E-4	2.4E-2	5.7E-6	2.4E-5
17	2.2E-2	3.8E-6	9.0E-5	1.4E-4	2.1E-2	5.0E-6	2.0E-5
18	1.9E-2	3.3E-6	7.3E-5	1.1E-4	1.9E-2	4.3E-6	1.8E-5
19	1.7E-2	2.9E-6	5.9E-5	9.4E-5	1.7E-2	3.7E-6	1.6E-5
20	1.5E-2	2.5E-6	4.9E-5	7.9E-5	1.5E-2	3.3E-6	1.4E-5
21	1.4E-2	2.2E-6	4.1E-5	6.6E-5	1.4E-2	2.8E-6	1.2E-5
22	1.2E-2	1.9E-6	3.4E-5	5.6E-5	1.2E-2	2.5E-6	1.0E-5
23	1.1E-2	1.7E-6	2.9E-5	4.8E-5	1.1E-2	2.2E-6	8.9E-6
24	9.7E-3	1.5E-6	2.5E-5	4.1E-5	9.6E-3	1.9E-6	7.8E-6
25	8.7E-3	1.3E-6	2.1E-5	3.5E-5	8.6E-3	1.6E-6	6.8E-6
26	7.7E-3	1.1E-6	1.8E-5	3.1E-5	7.6E-3	1.4E-6	5.9E-6
27	6.9E-3	9.9E-7	1.6E-5	2.7E-5	6.8E-3	1.2E-6	5.2E-6
28	6.1E-3	8.7E-7	1.4E-5	2.3E-5	6.1E-3	1.1E-6	4.5E-6
29	5.5E-3	7.7E-7	1.2E-5	2.0E-5	5.4E-3	9.5E-7	4.0E-6
30	4.9E-3	6.7E-7	1.0E-5	1.8E-5	4.8E-3	8.3E-7	3.5E-6
31	4.4E-3	5.9E-7	9.2E-6	1.6E-5	4.3E-3	7.3E-7	3.0E-6
