Radionuclide	Y-90
Route of Intake	Inhalation
Material	Aerosols Type S, FAP, fA=1E-6
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.3E-1	-	-	2.0E-1	4.3E-1	3.4E-5	2.0E-5
0.083333	9.1E-1	-	-	2.4E-1	4.1E-1	8.5E-5	3.7E-5
0.125	9.0E-1	-	-	2.6E-1	3.9E-1	1.4E-4	5.3E-5
0.25	8.5E-1	-	-	3.1E-1	3.6E-1	3.0E-4	9.1E-5
0.375	8.1E-1	-	-	3.4E-1	3.4E-1	4.3E-4	1.2E-4
0.5	7.7E-1	-	-	3.5E-1	3.2E-1	5.3E-4	1.4E-4
0.625	7.3E-1	-	-	3.6E-1	3.0E-1	6.2E-4	1.6E-4
0.75	6.9E-1	-	-	3.5E-1	2.9E-1	6.8E-4	1.7E-4
0.875	6.6E-1	-	-	3.4E-1	2.7E-1	7.3E-4	1.8E-4
1	6.2E-1	2.7E-4	5.3E-2	3.2E-1	2.6E-1	7.7E-4	1.9E-4
1.125	5.8E-1	-	-	3.0E-1	2.5E-1	8.0E-4	2.0E-4
1.25	5.4E-1	-	-	2.8E-1	2.4E-1	8.2E-4	2.0E-4
1.375	5.0E-1	-	-	2.6E-1	2.3E-1	8.4E-4	2.0E-4
1.5	4.6E-1	-	-	2.3E-1	2.1E-1	8.4E-4	2.0E-4
1.625	4.3E-1	-	-	2.1E-1	2.0E-1	8.5E-4	2.0E-4
1.75	3.9E-1	-	-	1.9E-1	1.9E-1	8.5E-4	1.9E-4
1.875	3.6E-1	-	-	1.7E-1	1.9E-1	8.4E-4	1.9E-4
2	3.3E-1	9.8E-5	1.3E-1	1.5E-1	1.8E-1	8.4E-4	1.9E-4
2.25	2.8E-1	-	-	1.2E-1	1.6E-1	8.2E-4	1.8E-4
2.5	2.4E-1	-	-	9.4E-2	1.5E-1	7.9E-4	1.7E-4
2.75	2.1E-1	-	-	7.3E-2	1.3E-1	7.6E-4	1.6E-4
3	1.8E-1	3.5E-5	7.6E-2	5.8E-2	1.2E-1	7.3E-4	1.5E-4
3.25	1.6E-1	-	-	4.6E-2	1.1E-1	7.0E-4	1.4E-4
3.5	1.4E-1	-	-	3.7E-2	1.0E-1	6.7E-4	1.3E-4
3.75	1.2E-1	-	-	3.0E-2	9.2E-2	6.3E-4	1.2E-4
4	1.1E-1	1.5E-5	3.0E-2	2.5E-2	8.4E-2	6.0E-4	1.2E-4
4.25	9.9E-2	-	-	2.1E-2	7.7E-2	5.7E-4	1.1E-4
4.5	8.9E-2	-	-	1.7E-2	7.0E-2	5.4E-4	1.0E-4
4.75	8.0E-2	-	-	1.5E-2	6.4E-2	5.1E-4	9.5E-5
5	7.3E-2	8.2E-6	1.2E-2	1.3E-2	5.9E-2	4.9E-4	8.8E-5
5.5	6.0E-2	-	-	9.8E-3	4.9E-2	4.3E-4	7.7E-5
6	5.0E-2	4.9E-6	6.1E-3	7.6E-3	4.2E-2	3.9E-4	6.7E-5
6.5	4.2E-2	-	-	6.0E-3	3.5E-2	3.5E-4	5.8E-5
7	3.5E-2	3.2E-6	3.6E-3	4.7E-3	3.0E-2	3.1E-4	5.0E-5
7.5	2.9E-2	-	-	3.8E-3	2.5E-2	2.7E-4	4.4E-5
8	2.5E-2	2.1E-6	2.2E-3	3.0E-3	2.1E-2	2.4E-4	3.8E-5
8.5	2.1E-2	-	-	2.4E-3	1.8E-2	2.1E-4	3.3E-5
9	1.8E-2	1.4E-6	1.4E-3	1.9E-3	1.6E-2	1.9E-4	2.9E-5
9.5	1.5E-2	-	-	1.5E-3	1.3E-2	1.7E-4	2.5E-5
10	1.3E-2	9.3E-7	8.7E-4	1.2E-3	1.1E-2	1.5E-4	2.2E-5
11	9.3E-3	6.3E-7	5.5E-4	7.6E-4	8.4E-3	1.2E-4	1.7E-5
12	6.9E-3	4.3E-7	3.5E-4	4.8E-4	6.2E-3	9.1E-5	1.3E-5
13	5.1E-3	3.0E-7	2.2E-4	3.1E-4	4.6E-3	7.1E-5	9.9E-6
14	3.8E-3	2.1E-7	1.4E-4	2.0E-4	3.5E-3	5.5E-5	7.6E-6
15	2.8E-3	1.4E-7	9.1E-5	1.3E-4	2.6E-3	4.3E-5	5.8E-6
16	2.1E-3	1.0E-7	5.8E-5	8.0E-5	2.0E-3	3.4E-5	4.5E-6
