Radionuclide	Re-183
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.9
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	2.9E-1	-	-	4.4E-2	6.0E-2	3.5E-3	4.9E-3	1.2E-2
0.083333	2.9E-1	-	-	5.4E-2	2.2E-2	3.8E-3	6.3E-3	1.8E-2
0.125	2.9E-1	-	-	6.1E-2	1.1E-2	3.6E-3	7.3E-3	2.2E-2
0.25	2.7E-1	-	-	7.4E-2	5.0E-3	3.0E-3	9.4E-3	2.3E-2
0.375	2.6E-1	-	-	8.3E-2	3.9E-3	2.6E-3	1.1E-2	2.0E-2
0.5	2.5E-1	-	-	9.1E-2	3.2E-3	2.3E-3	1.2E-2	1.6E-2
0.625	2.4E-1	-	-	9.6E-2	2.6E-3	2.1E-3	1.3E-2	1.3E-2
0.75	2.3E-1	-	-	1.0E-1	2.3E-3	1.9E-3	1.3E-2	1.1E-2
0.875	2.2E-1	-	-	1.0E-1	2.0E-3	1.7E-3	1.3E-2	9.0E-3
1	2.1E-1	5.4E-2	7.2E-3	1.0E-1	1.7E-3	1.5E-3	1.3E-2	7.7E-3
1.125	2.1E-1	-	-	1.0E-1	1.5E-3	1.4E-3	1.3E-2	6.6E-3
1.25	2.0E-1	-	-	1.0E-1	1.4E-3	1.3E-3	1.3E-2	5.8E-3
1.375	1.9E-1	-	-	1.0E-1	1.3E-3	1.2E-3	1.3E-2	5.2E-3
1.5	1.9E-1	-	-	9.8E-2	1.2E-3	1.1E-3	1.2E-2	4.7E-3
1.625	1.8E-1	-	-	9.5E-2	1.1E-3	9.8E-4	1.2E-2	4.3E-3
1.75	1.7E-1	-	-	9.2E-2	1.0E-3	9.1E-4	1.2E-2	4.0E-3
1.875	1.7E-1	-	-	8.8E-2	9.6E-4	8.4E-4	1.1E-2	3.7E-3
2	1.6E-1	1.5E-2	3.6E-2	8.4E-2	9.1E-4	7.8E-4	1.1E-2	3.6E-3
2.25	1.5E-1	-	-	7.6E-2	8.3E-4	6.8E-4	1.0E-2	3.3E-3
2.5	1.3E-1	-	-	6.8E-2	7.6E-4	5.9E-4	9.6E-3	3.0E-3
2.75	1.2E-1	-	-	6.0E-2	7.1E-4	5.2E-4	9.0E-3	2.9E-3
3	1.1E-1	6.8E-3	4.1E-2	5.3E-2	6.6E-4	4.7E-4	8.4E-3	2.8E-3
3.25	1.0E-1	-	-	4.6E-2	6.1E-4	4.2E-4	7.8E-3	2.6E-3
3.5	9.2E-2	-	-	4.1E-2	5.7E-4	3.7E-4	7.3E-3	2.5E-3
3.75	8.4E-2	-	-	3.6E-2	5.3E-4	3.4E-4	6.8E-3	2.5E-3
4	7.7E-2	4.7E-3	2.8E-2	3.2E-2	5.0E-4	3.1E-4	6.4E-3	2.4E-3
4.25	7.1E-2	-	-	2.8E-2	4.7E-4	2.8E-4	5.9E-3	2.3E-3
4.5	6.5E-2	-	-	2.5E-2	4.4E-4	2.6E-4	5.6E-3	2.2E-3
4.75	6.0E-2	-	-	2.2E-2	4.1E-4	2.3E-4	5.2E-3	2.2E-3
5	5.6E-2	3.5E-3	1.7E-2	2.0E-2	3.9E-4	2.2E-4	4.8E-3	2.1E-3
5.5	4.9E-2	-	-	1.6E-2	3.4E-4	1.8E-4	4.2E-3	2.0E-3
6	4.3E-2	2.6E-3	1.0E-2	1.4E-2	3.0E-4	1.6E-4	3.7E-3	1.9E-3
6.5	3.8E-2	-	-	1.2E-2	2.7E-4	1.3E-4	3.2E-3	1.8E-3
7	3.4E-2	2.0E-3	6.7E-3	9.9E-3	2.4E-4	1.2E-4	2.9E-3	1.7E-3
7.5	3.0E-2	-	-	8.5E-3	2.1E-4	1.0E-4	2.5E-3	1.7E-3
8	2.7E-2	1.5E-3	4.8E-3	7.4E-3	1.9E-4	8.7E-5	2.2E-3	1.6E-3
8.5	2.4E-2	-	-	6.4E-3	1.7E-4	7.6E-5	2.0E-3	1.6E-3
9	2.2E-2	1.1E-3	3.5E-3	5.6E-3	1.5E-4	6.6E-5	1.7E-3	1.5E-3
9.5	2.0E-2	-	-	4.9E-3	1.4E-4	5.8E-5	1.5E-3	1.4E-3
10	1.8E-2	8.7E-4	2.6E-3	4.3E-3	1.3E-4	5.1E-5	1.4E-3	1.4E-3
11	1.5E-2	6.7E-4	2.0E-3	3.3E-3	1.1E-4	3.9E-5	1.1E-3	1.3E-3
12	1.3E-2	5.2E-4	1.5E-3	2.6E-3	8.9E-5	3.0E-5	9.0E-4	1.2E-3
13	1.2E-2	4.1E-4	1.2E-3	2.0E-3	7.7E-5	2.4E-5	7.4E-4	1.2E-3
14	1.0E-2	3.2E-4	9.1E-4	1.6E-3	6.7E-5	1.9E-5	6.3E-4	1.1E-3
15	9.1E-3	2.6E-4	7.1E-4	1.3E-3	5.9E-5	1.5E-5	5.4E-4	1.1E-3
16	8.3E-3	2.1E-4	5.6E-4	1.0E-3	5.3E-5	1.2E-5	4.7E-4	1.0E-3
17	7.6E-3	1.7E-4	4.5E-4	8.4E-4	4.8E-5	1.0E-5	4.2E-4	9.6E-4
18	7.0E-3	1.4E-4	3.6E-4	7.0E-4	4.4E-5	8.4E-6	3.9E-4	9.1E-4
19	6.5E-3	1.2E-4	3.0E-4	5.9E-4	4.1E-5	7.1E-6	3.6E-4	8.7E-4
20	6.1E-3	1.1E-4	2.5E-4	5.1E-4	3.8E-5	6.1E-6	3.3E-4	8.3E-4
21	5.7E-3	9.2E-5	2.1E-4	4.4E-4	3.5E-5	5.3E-6	3.1E-4	7.9E-4
22	5.4E-3	8.2E-5	1.8E-4	3.9E-4	3.3E-5	4.7E-6	3.0E-4	7.6E-4
23	5.1E-3	7.3E-5	1.6E-4	3.5E-4	3.1E-5	4.2E-6	2.9E-4	7.3E-4
24	4.9E-3	6.6E-5	1.4E-4	3.2E-4	3.0E-5	3.8E-6	2.8E-4	7.0E-4
25	4.6E-3	6.1E-5	1.2E-4	2.9E-4	2.8E-5	3.5E-6	2.7E-4	6.7E-4
26	4.4E-3	5.6E-5	1.1E-4	2.7E-4	2.7E-5	3.3E-6	2.6E-4	6.4E-4
27	4.2E-3	5.2E-5	1.0E-4	2.5E-4	2.5E-5	3.0E-6	2.6E-4	6.1E-4
28	4.0E-3	4.9E-5	9.5E-5	2.3E-4	2.4E-5	2.8E-6	2.5E-4	5.8E-4
29	3.8E-3	4.6E-5	8.8E-5	2.2E-4	2.3E-5	2.7E-6	2.5E-4	5.6E-4
30	3.7E-3	4.4E-5	8.2E-5	2.1E-4	2.2E-5	2.5E-6	2.4E-4	5.4E-4
31	3.5E-3	4.1E-5	7.7E-5	1.9E-4	2.1E-5	2.4E-6	2.4E-4	5.1E-4
32	3.4E-3	3.9E-5	7.3E-5	1.8E-4	2.0E-5	2.3E-6	2.3E-4	4.9E-4
33	3.2E-3	3.7E-5	6.9E-5	1.8E-4	1.9E-5	2.1E-6	2.3E-4	4.7E-4
34	3.1E-3	3.5E-5	6.5E-5	1.7E-4	1.8E-5	2.0E-6	2.3E-4	4.5E-4
35	3.0E-3	3.4E-5	6.2E-5	1.6E-4	1.8E-5	2.0E-6	2.2E-4	4.3E-4
36	2.9E-3	3.2E-5	5.9E-5	1.5E-4	1.7E-5	1.9E-6	2.2E-4	4.1E-4
37	2.7E-3	3.1E-5	5.6E-5	1.5E-4	1.6E-5	1.8E-6	2.2E-4	4.0E-4
38	2.6E-3	2.9E-5	5.4E-5	1.4E-4	1.5E-5	1.7E-6	2.2E-4	3.8E-4
39	2.5E-3	2.8E-5	5.1E-5	1.3E-4	1.5E-5	1.6E-6	2.1E-4	3.6E-4
40	2.4E-3	2.7E-5	4.9E-5	1.3E-4	1.4E-5	1.6E-6	2.1E-4	3.5E-4
41	2.3E-3	2.6E-5	4.7E-5	1.2E-4	1.4E-5	1.5E-6	2.1E-4	3.3E-4
42	2.2E-3	2.5E-5	4.5E-5	1.2E-4	1.3E-5	1.4E-6	2.0E-4	3.2E-4
43	2.2E-3	2.4E-5	4.3E-5	1.1E-4	1.2E-5	1.4E-6	2.0E-4	3.1E-4
44	2.1E-3	2.3E-5	4.1E-5	1.1E-4	1.2E-5	1.3E-6	2.0E-4	2.9E-4
45	2.0E-3	2.2E-5	3.9E-5	1.0E-4	1.1E-5	1.2E-6	2.0E-4	2.8E-4
46	1.9E-3	2.1E-5	3.8E-5	9.8E-5	1.1E-5	1.2E-6	1.9E-4	2.7E-4
47	1.8E-3	2.0E-5	3.6E-5	9.4E-5	1.0E-5	1.1E-6	1.9E-4	2.6E-4
48	1.8E-3	1.9E-5	3.5E-5	9.0E-5	1.0E-5	1.1E-6	1.9E-4	2.5E-4
49	1.7E-3	1.8E-5	3.3E-5	8.6E-5	9.6E-6	1.1E-6	1.9E-4	2.4E-4
50	1.6E-3	1.7E-5	3.2E-5	8.2E-5	9.2E-6	1.0E-6	1.8E-4	2.3E-4
51	1.6E-3	1.7E-5	3.0E-5	7.9E-5	8.8E-6	9.6E-7	1.8E-4	2.2E-4
52	1.5E-3	1.6E-5	2.9E-5	7.5E-5	8.5E-6	9.2E-7	1.8E-4	2.1E-4
53	1.4E-3	1.5E-5	2.8E-5	7.2E-5	8.1E-6	8.8E-7	1.8E-4	2.0E-4
54	1.4E-3	1.5E-5	2.7E-5	6.9E-5	7.8E-6	8.5E-7	1.8E-4	1.9E-4
55	1.3E-3	1.4E-5	2.6E-5	6.6E-5	7.4E-6	8.1E-7	1.7E-4	1.8E-4
56	1.3E-3	1.3E-5	2.4E-5	6.3E-5	7.1E-6	7.8E-7	1.7E-4	1.7E-4
57	1.2E-3	1.3E-5	2.3E-5	6.1E-5	6.8E-6	7.4E-7	1.7E-4	1.7E-4
58	1.2E-3	1.2E-5	2.2E-5	5.8E-5	6.5E-6	7.1E-7	1.7E-4	1.6E-4
59	1.1E-3	1.2E-5	2.2E-5	5.6E-5	6.3E-6	6.8E-7	1.7E-4	1.5E-4
60	1.1E-3	1.1E-5	2.1E-5	5.3E-5	6.0E-6	6.5E-7	1.6E-4	1.5E-4
61	1.1E-3	1.1E-5	2.0E-5	5.1E-5	5.7E-6	6.3E-7	1.6E-4	1.4E-4
62	1.0E-3	1.0E-5	1.9E-5	4.9E-5	5.5E-6	6.0E-7	1.6E-4	1.3E-4
63	9.8E-4	9.9E-6	1.8E-5	4.7E-5	5.3E-6	5.7E-7	1.6E-4	1.3E-4
64	9.4E-4	9.5E-6	1.7E-5	4.5E-5	5.0E-6	5.5E-7	1.6E-4	1.2E-4
65	9.1E-4	9.1E-6	1.7E-5	4.3E-5	4.8E-6	5.3E-7	1.6E-4	1.2E-4
66	8.8E-4	8.7E-6	1.6E-5	4.1E-5	4.6E-6	5.0E-7	1.5E-4	1.1E-4
67	8.4E-4	8.4E-6	1.5E-5	3.9E-5	4.4E-6	4.8E-7	1.5E-4	1.1E-4
68	8.1E-4	8.0E-6	1.5E-5	3.8E-5	4.2E-6	4.6E-7	1.5E-4	1.0E-4
69	7.8E-4	7.7E-6	1.4E-5	3.6E-5	4.1E-6	4.4E-7	1.5E-4	1.0E-4
70	7.5E-4	7.3E-6	1.3E-5	3.5E-5	3.9E-6	4.2E-7	1.5E-4	9.5E-5
71	7.3E-4	7.0E-6	1.3E-5	3.3E-5	3.7E-6	4.1E-7	1.5E-4	9.1E-5
72	7.0E-4	6.7E-6	1.2E-5	3.2E-5	3.6E-6	3.9E-7	1.4E-4	8.7E-5
73	6.8E-4	6.5E-6	1.2E-5	3.0E-5	3.4E-6	3.7E-7	1.4E-4	8.4E-5
74	6.5E-4	6.2E-6	1.1E-5	2.9E-5	3.3E-6	3.6E-7	1.4E-4	8.0E-5
75	6.3E-4	5.9E-6	1.1E-5	2.8E-5	3.1E-6	3.4E-7	1.4E-4	7.7E-5
76	6.1E-4	5.7E-6	1.0E-5	2.7E-5	3.0E-6	3.3E-7	1.4E-4	7.4E-5
77	5.9E-4	5.4E-6	9.9E-6	2.6E-5	2.9E-6	3.1E-7	1.4E-4	7.0E-5
78	5.6E-4	5.2E-6	9.5E-6	2.5E-5	2.8E-6	3.0E-7	1.3E-4	6.8E-5
79	5.5E-4	5.0E-6	9.1E-6	2.4E-5	2.6E-6	2.9E-7	1.3E-4	6.5E-5
80	5.3E-4	4.8E-6	8.7E-6	2.3E-5	2.5E-6	2.8E-7	1.3E-4	6.2E-5
81	5.1E-4	4.6E-6	8.3E-6	2.2E-5	2.4E-6	2.6E-7	1.3E-4	5.9E-5
82	4.9E-4	4.4E-6	8.0E-6	2.1E-5	2.3E-6	2.5E-7	1.3E-4	5.7E-5
83	4.7E-4	4.2E-6	7.6E-6	2.0E-5	2.2E-6	2.4E-7	1.3E-4	5.4E-5
84	4.6E-4	4.0E-6	7.3E-6	1.9E-5	2.1E-6	2.3E-7	1.3E-4	5.2E-5
85	4.4E-4	3.9E-6	7.0E-6	1.8E-5	2.0E-6	2.2E-7	1.2E-4	5.0E-5
86	4.3E-4	3.7E-6	6.7E-6	1.7E-5	2.0E-6	2.1E-7	1.2E-4	4.8E-5
87	4.1E-4	3.5E-6	6.4E-6	1.7E-5	1.9E-6	2.0E-7	1.2E-4	4.6E-5
88	4.0E-4	3.4E-6	6.2E-6	1.6E-5	1.8E-6	2.0E-7	1.2E-4	4.4E-5
89	3.9E-4	3.2E-6	5.9E-6	1.5E-5	1.7E-6	1.9E-7	1.2E-4	4.2E-5
90	3.7E-4	3.1E-6	5.7E-6	1.5E-5	1.6E-6	1.8E-7	1.2E-4	4.0E-5
91	3.6E-4	3.0E-6	5.4E-6	1.4E-5	1.6E-6	1.7E-7	1.2E-4	3.9E-5
92	3.5E-4	2.8E-6	5.2E-6	1.3E-5	1.5E-6	1.6E-7	1.2E-4	3.7E-5
93	3.4E-4	2.7E-6	5.0E-6	1.3E-5	1.4E-6	1.6E-7	1.1E-4	3.5E-5
94	3.3E-4	2.6E-6	4.8E-6	1.2E-5	1.4E-6	1.5E-7	1.1E-4	3.4E-5
95	3.2E-4	2.5E-6	4.6E-6	1.2E-5	1.3E-6	1.4E-7	1.1E-4	3.2E-5
96	3.1E-4	2.4E-6	4.4E-6	1.1E-5	1.3E-6	1.4E-7	1.1E-4	3.1E-5
97	3.0E-4	2.3E-6	4.2E-6	1.1E-5	1.2E-6	1.3E-7	1.1E-4	3.0E-5
