Radionuclide	In-115
Route of Intake	Injection
Material	Injection, fA=5E-3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	6.6E-2	7.4E-2	1.0E-1
0.083333	1.0E+0	-	-	6.3E-2	8.2E-2	1.0E-1
0.125	1.0E+0	-	-	6.0E-2	8.8E-2	1.1E-1
0.25	1.0E+0	-	-	5.3E-2	1.0E-1	1.2E-1
0.375	1.0E+0	-	-	4.8E-2	1.1E-1	1.2E-1
0.5	1.0E+0	-	-	4.5E-2	1.2E-1	1.3E-1
0.625	1.0E+0	-	-	4.2E-2	1.3E-1	1.3E-1
0.75	1.0E+0	-	-	4.0E-2	1.3E-1	1.4E-1
0.875	1.0E+0	-	-	3.9E-2	1.3E-1	1.4E-1
1	1.0E+0	4.9E-4	2.5E-4	3.8E-2	1.3E-1	1.4E-1
1.125	1.0E+0	-	-	3.7E-2	1.3E-1	1.5E-1
1.25	1.0E+0	-	-	3.7E-2	1.3E-1	1.5E-1
1.375	1.0E+0	-	-	3.6E-2	1.3E-1	1.5E-1
1.5	1.0E+0	-	-	3.6E-2	1.3E-1	1.5E-1
1.625	1.0E+0	-	-	3.5E-2	1.3E-1	1.5E-1
1.75	1.0E+0	-	-	3.5E-2	1.3E-1	1.5E-1
1.875	1.0E+0	-	-	3.4E-2	1.3E-1	1.5E-1
2	1.0E+0	6.1E-4	3.0E-3	3.4E-2	1.3E-1	1.5E-1
2.25	9.9E-1	-	-	3.3E-2	1.3E-1	1.5E-1
2.5	9.9E-1	-	-	3.2E-2	1.3E-1	1.5E-1
2.75	9.9E-1	-	-	3.1E-2	1.2E-1	1.5E-1
3	9.9E-1	6.4E-4	6.0E-3	2.9E-2	1.2E-1	1.5E-1
3.25	9.9E-1	-	-	2.8E-2	1.2E-1	1.5E-1
3.5	9.9E-1	-	-	2.7E-2	1.2E-1	1.5E-1
3.75	9.8E-1	-	-	2.6E-2	1.2E-1	1.5E-1
4	9.8E-1	6.5E-4	6.2E-3	2.4E-2	1.2E-1	1.5E-1
4.25	9.8E-1	-	-	2.3E-2	1.2E-1	1.5E-1
4.5	9.8E-1	-	-	2.2E-2	1.2E-1	1.5E-1
4.75	9.8E-1	-	-	2.1E-2	1.2E-1	1.5E-1
5	9.8E-1	6.4E-4	4.8E-3	2.1E-2	1.2E-1	1.5E-1
5.5	9.7E-1	-	-	1.9E-2	1.1E-1	1.5E-1
6	9.7E-1	6.3E-4	3.3E-3	1.8E-2	1.1E-1	1.5E-1
6.5	9.7E-1	-	-	1.7E-2	1.1E-1	1.5E-1
7	9.7E-1	6.1E-4	2.2E-3	1.6E-2	1.1E-1	1.5E-1
7.5	9.7E-1	-	-	1.6E-2	1.1E-1	1.5E-1
8	9.7E-1	6.0E-4	1.4E-3	1.5E-2	1.1E-1	1.5E-1
8.5	9.7E-1	-	-	1.5E-2	1.1E-1	1.5E-1
9	9.7E-1	5.8E-4	9.6E-4	1.5E-2	1.1E-1	1.5E-1
9.5	9.7E-1	-	-	1.4E-2	1.1E-1	1.5E-1
10	9.7E-1	5.6E-4	6.7E-4	1.4E-2	1.1E-1	1.5E-1
11	9.6E-1	5.4E-4	5.0E-4	1.4E-2	1.1E-1	1.5E-1
12	9.6E-1	5.2E-4	4.0E-4	1.4E-2	1.1E-1	1.5E-1
13	9.6E-1	5.0E-4	3.4E-4	1.4E-2	1.1E-1	1.5E-1
14	9.6E-1	4.8E-4	3.1E-4	1.4E-2	1.1E-1	1.5E-1
15	9.6E-1	4.6E-4	2.8E-4	1.4E-2	1.1E-1	1.5E-1
16	9.6E-1	4.5E-4	2.7E-4	1.4E-2	1.1E-1	1.5E-1
17	9.6E-1	4.3E-4	2.6E-4	1.4E-2	1.1E-1	1.5E-1
18	9.6E-1	4.2E-4	2.6E-4	1.4E-2	1.1E-1	1.5E-1
19	9.6E-1	4.0E-4	2.6E-4	1.4E-2	1.1E-1	1.5E-1
20	9.6E-1	3.9E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
21	9.6E-1	3.7E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
22	9.6E-1	3.6E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
23	9.6E-1	3.5E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
24	9.6E-1	3.4E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
25	9.5E-1	3.3E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
26	9.5E-1	3.1E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
27	9.5E-1	3.0E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
28	9.5E-1	2.9E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
29	9.5E-1	2.9E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
30	9.5E-1	2.8E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
31	9.5E-1	2.7E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
32	9.5E-1	2.6E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
33	9.5E-1	2.5E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
34	9.5E-1	2.4E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
35	9.5E-1	2.4E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
36	9.5E-1	2.3E-4	2.5E-4	1.4E-2	1.1E-1	1.5E-1
37	9.5E-1	2.2E-4	2.5E-4	1.3E-2	1.1E-1	1.5E-1
38	9.5E-1	2.2E-4	2.5E-4	1.3E-2	1.1E-1	1.5E-1
39	9.5E-1	2.1E-4	2.5E-4	1.3E-2	1.1E-1	1.5E-1
40	9.5E-1	2.0E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
41	9.5E-1	2.0E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
42	9.5E-1	1.9E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
43	9.5E-1	1.9E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
44	9.5E-1	1.8E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
45	9.4E-1	1.8E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
46	9.4E-1	1.7E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
47	9.4E-1	1.7E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
48	9.4E-1	1.6E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
49	9.4E-1	1.6E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
50	9.4E-1	1.6E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
51	9.4E-1	1.5E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
52	9.4E-1	1.5E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
53	9.4E-1	1.4E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
54	9.4E-1	1.4E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
55	9.4E-1	1.4E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
56	9.4E-1	1.4E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
57	9.4E-1	1.3E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
58	9.4E-1	1.3E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
59	9.4E-1	1.3E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
60	9.4E-1	1.2E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
61	9.4E-1	1.2E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
62	9.4E-1	1.2E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
63	9.4E-1	1.2E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
64	9.4E-1	1.2E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
65	9.4E-1	1.1E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
66	9.4E-1	1.1E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
67	9.4E-1	1.1E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
68	9.4E-1	1.1E-4	2.4E-4	1.3E-2	1.1E-1	1.5E-1
