Radionuclide	Sb-120m
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-4
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	7.6E-1	-	-	2.7E-1	3.8E-2	3.6E-7	6.3E-6	7.0E-6
0.083333	7.4E-1	-	-	3.1E-1	3.5E-2	5.9E-7	9.2E-6	9.8E-6
0.125	7.3E-1	-	-	3.3E-1	3.3E-2	8.0E-7	1.2E-5	1.2E-5
0.25	7.0E-1	-	-	3.9E-1	3.0E-2	1.3E-6	1.9E-5	1.9E-5
0.375	6.7E-1	-	-	4.3E-1	2.8E-2	1.8E-6	2.5E-5	2.4E-5
0.5	6.4E-1	-	-	4.5E-1	2.8E-2	2.2E-6	2.9E-5	2.7E-5
0.625	6.1E-1	-	-	4.6E-1	2.7E-2	2.5E-6	3.2E-5	3.0E-5
0.75	5.7E-1	-	-	4.6E-1	2.6E-2	2.7E-6	3.5E-5	3.2E-5
0.875	5.4E-1	-	-	4.5E-1	2.6E-2	2.9E-6	3.7E-5	3.3E-5
1	5.1E-1	9.5E-5	7.4E-2	4.3E-1	2.5E-2	3.1E-6	3.9E-5	3.4E-5
1.125	4.7E-1	-	-	4.0E-1	2.5E-2	3.3E-6	4.1E-5	3.4E-5
1.25	4.3E-1	-	-	3.8E-1	2.4E-2	3.4E-6	4.2E-5	3.5E-5
1.375	4.0E-1	-	-	3.5E-1	2.4E-2	3.6E-6	4.2E-5	3.5E-5
1.5	3.6E-1	-	-	3.2E-1	2.4E-2	3.7E-6	4.3E-5	3.5E-5
1.625	3.2E-1	-	-	2.9E-1	2.3E-2	3.8E-6	4.4E-5	3.4E-5
1.75	2.9E-1	-	-	2.6E-1	2.3E-2	3.9E-6	4.4E-5	3.4E-5
1.875	2.6E-1	-	-	2.3E-1	2.2E-2	3.9E-6	4.4E-5	3.3E-5
2	2.3E-1	5.2E-5	2.1E-1	2.0E-1	2.2E-2	4.0E-6	4.4E-5	3.3E-5
2.25	1.8E-1	-	-	1.6E-1	2.1E-2	4.1E-6	4.4E-5	3.2E-5
2.5	1.4E-1	-	-	1.2E-1	2.0E-2	4.1E-6	4.3E-5	3.0E-5
2.75	1.1E-1	-	-	8.6E-2	1.9E-2	4.2E-6	4.2E-5	2.9E-5
3	8.3E-2	3.6E-5	1.2E-1	6.3E-2	1.9E-2	4.2E-6	4.1E-5	2.7E-5
3.25	6.4E-2	-	-	4.5E-2	1.8E-2	4.2E-6	4.0E-5	2.6E-5
3.5	5.0E-2	-	-	3.2E-2	1.7E-2	4.1E-6	3.9E-5	2.4E-5
3.75	4.0E-2	-	-	2.2E-2	1.7E-2	4.1E-6	3.7E-5	2.3E-5
4	3.3E-2	2.6E-5	4.0E-2	1.6E-2	1.6E-2	4.0E-6	3.6E-5	2.2E-5
4.25	2.7E-2	-	-	1.1E-2	1.6E-2	4.0E-6	3.5E-5	2.0E-5
4.5	2.3E-2	-	-	7.7E-3	1.5E-2	3.9E-6	3.3E-5	1.9E-5
4.75	2.1E-2	-	-	5.3E-3	1.5E-2	3.8E-6	3.2E-5	1.8E-5
5	1.8E-2	1.9E-5	1.1E-2	3.7E-3	1.4E-2	3.7E-6	3.0E-5	1.7E-5
5.5	1.6E-2	-	-	1.9E-3	1.3E-2	3.5E-6	2.7E-5	1.5E-5
6	1.4E-2	1.5E-5	2.5E-3	1.0E-3	1.2E-2	3.3E-6	2.5E-5	1.3E-5
6.5	1.3E-2	-	-	6.3E-4	1.1E-2	3.1E-6	2.2E-5	1.2E-5
7	1.2E-2	1.1E-5	6.6E-4	4.3E-4	1.1E-2	2.9E-6	2.0E-5	1.0E-5
7.5	1.1E-2	-	-	3.2E-4	1.0E-2	2.7E-6	1.8E-5	9.1E-6
8	1.0E-2	8.5E-6	2.5E-4	2.6E-4	9.4E-3	2.5E-6	1.6E-5	8.1E-6
8.5	9.3E-3	-	-	2.1E-4	8.8E-3	2.3E-6	1.4E-5	7.2E-6
9	8.7E-3	6.5E-6	1.4E-4	1.8E-4	8.2E-3	2.1E-6	1.3E-5	6.4E-6
9.5	8.1E-3	-	-	1.6E-4	7.7E-3	2.0E-6	1.1E-5	5.7E-6
10	7.6E-3	5.0E-6	9.6E-5	1.4E-4	7.2E-3	1.8E-6	9.9E-6	5.1E-6
11	6.7E-3	3.9E-6	7.1E-5	1.0E-4	6.4E-3	1.5E-6	7.9E-6	4.1E-6
12	5.9E-3	3.1E-6	5.3E-5	7.8E-5	5.6E-3	1.3E-6	6.2E-6	3.3E-6
13	5.2E-3	2.4E-6	4.0E-5	5.9E-5	4.9E-3	1.0E-6	5.0E-6	2.7E-6
14	4.5E-3	1.9E-6	3.1E-5	4.6E-5	4.3E-3	8.6E-7	4.0E-6	2.3E-6
15	4.0E-3	1.5E-6	2.4E-5	3.6E-5	3.8E-3	7.1E-7	3.2E-6	1.9E-6
16	3.5E-3	1.2E-6	1.8E-5	2.8E-5	3.4E-3	5.9E-7	2.5E-6	1.6E-6
17	3.1E-3	1.0E-6	1.4E-5	2.2E-5	3.0E-3	4.9E-7	2.1E-6	1.3E-6
18	2.7E-3	8.1E-7	1.1E-5	1.8E-5	2.6E-3	4.0E-7	1.7E-6	1.1E-6
19	2.4E-3	6.7E-7	9.1E-6	1.5E-5	2.3E-3	3.3E-7	1.4E-6	9.5E-7
20	2.1E-3	5.5E-7	7.3E-6	1.2E-5	2.1E-3	2.7E-7	1.1E-6	8.1E-7
21	1.9E-3	4.5E-7	6.0E-6	9.8E-6	1.8E-3	2.2E-7	9.4E-7	7.0E-7
22	1.7E-3	3.8E-7	4.9E-6	8.2E-6	1.6E-3	1.8E-7	7.8E-7	6.0E-7
23	1.5E-3	3.2E-7	4.1E-6	6.9E-6	1.4E-3	1.5E-7	6.5E-7	5.2E-7
24	1.3E-3	2.7E-7	3.4E-6	5.8E-6	1.3E-3	1.3E-7	5.5E-7	4.5E-7
25	1.2E-3	2.2E-7	2.9E-6	4.9E-6	1.1E-3	1.0E-7	4.7E-7	4.0E-7
26	1.0E-3	1.9E-7	2.4E-6	4.2E-6	9.9E-4	8.6E-8	4.0E-7	3.5E-7
27	9.0E-4	1.6E-7	2.1E-6	3.6E-6	8.7E-4	7.1E-8	3.4E-7	3.0E-7
28	8.0E-4	1.4E-7	1.8E-6	3.1E-6	7.7E-4	5.9E-8	2.9E-7	2.7E-7
29	7.1E-4	1.2E-7	1.5E-6	2.7E-6	6.8E-4	4.9E-8	2.5E-7	2.3E-7
30	6.3E-4	1.0E-7	1.3E-6	2.4E-6	6.0E-4	4.1E-8	2.2E-7	2.0E-7
31	5.5E-4	8.9E-8	1.2E-6	2.0E-6	5.3E-4	3.5E-8	1.9E-7	1.8E-7
32	4.9E-4	7.7E-8	1.0E-6	1.8E-6	4.7E-4	2.9E-8	1.6E-7	1.6E-7
33	4.3E-4	6.7E-8	8.8E-7	1.6E-6	4.2E-4	2.5E-8	1.4E-7	1.4E-7
34	3.8E-4	5.8E-8	7.7E-7	1.4E-6	3.7E-4	2.1E-8	1.2E-7	1.2E-7
35	3.4E-4	5.0E-8	6.7E-7	1.2E-6	3.3E-4	1.8E-8	1.1E-7	1.1E-7
36	3.0E-4	4.4E-8	5.9E-7	1.1E-6	2.9E-4	1.5E-8	9.4E-8	9.7E-8
37	2.7E-4	3.9E-8	5.2E-7	9.3E-7	2.6E-4	1.3E-8	8.3E-8	8.6E-8
38	2.3E-4	3.4E-8	4.6E-7	8.2E-7	2.3E-4	1.1E-8	7.3E-8	7.6E-8
39	2.1E-4	3.0E-8	4.0E-7	7.2E-7	2.0E-4	9.3E-9	6.4E-8	6.8E-8
40	1.8E-4	2.6E-8	3.5E-7	6.4E-7	1.8E-4	8.0E-9	5.6E-8	6.0E-8
41	1.6E-4	2.3E-8	3.1E-7	5.6E-7	1.6E-4	6.9E-9	5.0E-8	5.3E-8
42	1.4E-4	2.0E-8	2.7E-7	5.0E-7	1.4E-4	5.9E-9	4.4E-8	4.7E-8
43	1.3E-4	1.8E-8	2.4E-7	4.4E-7	1.2E-4	5.1E-9	3.9E-8	4.2E-8
44	1.1E-4	1.5E-8	2.1E-7	3.9E-7	1.1E-4	4.4E-9	3.4E-8	3.7E-8
45	1.0E-4	1.4E-8	1.9E-7	3.4E-7	9.6E-5	3.8E-9	3.0E-8	3.3E-8
46	8.8E-5	1.2E-8	1.7E-7	3.0E-7	8.5E-5	3.3E-9	2.7E-8	2.9E-8
47	7.8E-5	1.1E-8	1.5E-7	2.7E-7	7.5E-5	2.9E-9	2.4E-8	2.6E-8
48	6.9E-5	9.3E-9	1.3E-7	2.3E-7	6.7E-5	2.5E-9	2.1E-8	2.3E-8
49	6.1E-5	8.2E-9	1.1E-7	2.1E-7	5.9E-5	2.2E-9	1.8E-8	2.0E-8
50	5.4E-5	7.2E-9	1.0E-7	1.8E-7	5.2E-5	1.9E-9	1.6E-8	1.8E-8
51	4.8E-5	6.4E-9	9.0E-8	1.6E-7	4.6E-5	1.7E-9	1.4E-8	1.6E-8
52	4.2E-5	5.6E-9	7.9E-8	1.4E-7	4.1E-5	1.5E-9	1.3E-8	1.4E-8
53	3.7E-5	4.9E-9	7.0E-8	1.3E-7	3.6E-5	1.3E-9	1.1E-8	1.3E-8
54	3.3E-5	4.4E-9	6.2E-8	1.1E-7	3.2E-5	1.1E-9	1.0E-8	1.1E-8
55	2.9E-5	3.8E-9	5.5E-8	9.9E-8	2.8E-5	9.9E-10	8.9E-9	1.0E-8
56	2.6E-5	3.4E-9	4.8E-8	8.7E-8	2.5E-5	8.7E-10	7.8E-9	8.9E-9
57	2.3E-5	3.0E-9	4.3E-8	7.7E-8	2.2E-5	7.7E-10	6.9E-9	7.9E-9
58	2.0E-5	2.6E-9	3.8E-8	6.8E-8	2.0E-5	6.7E-10	6.1E-9	7.0E-9
59	1.8E-5	2.3E-9	3.3E-8	6.0E-8	1.7E-5	5.9E-10	5.4E-9	6.2E-9
60	1.6E-5	2.1E-9	2.9E-8	5.3E-8	1.5E-5	5.2E-10	4.8E-9	5.5E-9
61	1.4E-5	1.8E-9	2.6E-8	4.7E-8	1.4E-5	4.6E-10	4.3E-9	4.9E-9
62	1.2E-5	1.6E-9	2.3E-8	4.2E-8	1.2E-5	4.0E-10	3.8E-9	4.4E-9
63	1.1E-5	1.4E-9	2.0E-8	3.7E-8	1.1E-5	3.6E-10	3.4E-9	3.9E-9
64	9.8E-6	1.3E-9	1.8E-8	3.2E-8	9.4E-6	3.1E-10	3.0E-9	3.4E-9
