Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including thorium chloride, citrate, nitrate and sulphate; thorium fluoride, fA=5E-5
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	4.5E-7	-	-	3.2E-8	3.5E-7	6.2E-9	4.7E-9
0.083333	1.8E-6	-	-	1.5E-7	1.4E-6	3.6E-8	2.0E-8
0.125	3.8E-6	-	-	3.8E-7	2.9E-6	8.9E-8	3.9E-8
0.25	1.4E-5	-	-	1.7E-6	1.0E-5	3.9E-7	1.2E-7
0.375	2.8E-5	-	-	3.8E-6	2.1E-5	8.9E-7	2.3E-7
0.5	4.5E-5	-	-	6.6E-6	3.4E-5	1.6E-6	3.6E-7
0.625	6.4E-5	-	-	9.8E-6	4.8E-5	2.4E-6	5.1E-7
0.75	8.4E-5	-	-	1.3E-5	6.4E-5	3.3E-6	6.7E-7
0.875	1.0E-4	-	-	1.7E-5	8.0E-5	4.3E-6	8.3E-7
1	1.3E-4	2.1E-3	1.2E-2	2.0E-5	9.6E-5	5.4E-6	1.0E-6
1.125	1.5E-4	-	-	2.3E-5	1.1E-4	6.5E-6	1.2E-6
1.25	1.7E-4	-	-	2.6E-5	1.3E-4	7.7E-6	1.3E-6
1.375	1.9E-4	-	-	2.9E-5	1.5E-4	8.8E-6	1.5E-6
1.5	2.1E-4	-	-	3.1E-5	1.6E-4	1.0E-5	1.7E-6
1.625	2.3E-4	-	-	3.3E-5	1.8E-4	1.1E-5	1.8E-6
1.75	2.5E-4	-	-	3.4E-5	2.0E-4	1.2E-5	2.0E-6
1.875	2.7E-4	-	-	3.5E-5	2.1E-4	1.4E-5	2.1E-6
2	2.9E-4	5.3E-4	4.2E-2	3.6E-5	2.3E-4	1.5E-5	2.3E-6
2.25	3.2E-4	-	-	3.7E-5	2.6E-4	1.7E-5	2.6E-6
2.5	3.6E-4	-	-	3.7E-5	3.0E-4	1.9E-5	2.9E-6
2.75	4.0E-4	-	-	3.7E-5	3.3E-4	2.1E-5	3.1E-6
3	4.3E-4	3.5E-4	3.4E-2	3.7E-5	3.6E-4	2.3E-5	3.4E-6
3.25	4.6E-4	-	-	3.7E-5	3.9E-4	2.6E-5	3.7E-6
3.5	5.0E-4	-	-	3.7E-5	4.2E-4	2.8E-5	3.9E-6
