Radionuclide	Pm-149
Route of Intake	Inhalation
Material	Aerosols Type M, Chloride, oxide, fA=1E-4
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.2E-1	-	-	2.6E-2	2.5E-1	3.1E-4	4.1E-4
0.083333	3.2E-1	-	-	3.0E-2	2.5E-1	7.5E-4	9.8E-4
0.125	3.1E-1	-	-	3.3E-2	2.4E-1	1.2E-3	1.5E-3
0.25	3.0E-1	-	-	3.9E-2	2.2E-1	2.4E-3	3.1E-3
0.375	2.8E-1	-	-	4.2E-2	2.1E-1	3.4E-3	4.4E-3
0.5	2.7E-1	-	-	4.4E-2	2.0E-1	4.3E-3	5.5E-3
0.625	2.6E-1	-	-	4.4E-2	1.9E-1	5.0E-3	6.4E-3
0.75	2.5E-1	-	-	4.3E-2	1.8E-1	5.6E-3	7.2E-3
0.875	2.3E-1	-	-	4.2E-2	1.7E-1	6.0E-3	7.8E-3
1	2.2E-1	1.2E-3	6.4E-3	4.0E-2	1.6E-1	6.4E-3	8.3E-3
1.125	2.1E-1	-	-	3.7E-2	1.5E-1	6.7E-3	8.6E-3
1.25	2.0E-1	-	-	3.5E-2	1.4E-1	6.9E-3	8.9E-3
1.375	1.9E-1	-	-	3.2E-2	1.4E-1	7.1E-3	9.1E-3
1.5	1.8E-1	-	-	2.9E-2	1.3E-1	7.2E-3	9.2E-3
1.625	1.7E-1	-	-	2.6E-2	1.2E-1	7.2E-3	9.3E-3
1.75	1.6E-1	-	-	2.3E-2	1.2E-1	7.2E-3	9.3E-3
1.875	1.5E-1	-	-	2.1E-2	1.1E-1	7.2E-3	9.3E-3
2	1.5E-1	5.5E-4	1.6E-2	1.9E-2	1.1E-1	7.2E-3	9.2E-3
2.25	1.3E-1	-	-	1.5E-2	9.7E-2	7.0E-3	9.0E-3
2.5	1.2E-1	-	-	1.1E-2	8.8E-2	6.7E-3	8.6E-3
2.75	1.1E-1	-	-	8.9E-3	8.1E-2	6.5E-3	8.3E-3
3	9.8E-2	2.1E-4	8.7E-3	6.9E-3	7.4E-2	6.1E-3	7.9E-3
3.25	8.9E-2	-	-	5.5E-3	6.8E-2	5.8E-3	7.4E-3
3.5	8.1E-2	-	-	4.4E-3	6.2E-2	5.5E-3	7.0E-3
3.75	7.4E-2	-	-	3.6E-3	5.7E-2	5.2E-3	6.6E-3
4	6.8E-2	8.9E-5	3.3E-3	2.9E-3	5.2E-2	4.8E-3	6.2E-3
4.25	6.2E-2	-	-	2.4E-3	4.8E-2	4.5E-3	5.8E-3
4.5	5.7E-2	-	-	2.0E-3	4.4E-2	4.2E-3	5.4E-3
4.75	5.3E-2	-	-	1.7E-3	4.0E-2	3.9E-3	5.0E-3
5	4.8E-2	4.2E-5	1.3E-3	1.5E-3	3.7E-2	3.7E-3	4.7E-3
5.5	4.1E-2	-	-	1.1E-3	3.1E-2	3.2E-3	4.1E-3
6	3.5E-2	2.3E-5	6.6E-4	8.5E-4	2.7E-2	2.8E-3	3.5E-3
6.5	2.9E-2	-	-	6.6E-4	2.3E-2	2.4E-3	3.0E-3
