Radionuclide	Gd-146
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide, fA=1E-4
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.7E-1	-	-	3.2E-1	1.5E-1	3.9E-4	2.0E-4
0.083333	9.6E-1	-	-	3.7E-1	1.3E-1	8.1E-4	3.4E-4
0.125	9.5E-1	-	-	4.1E-1	1.2E-1	1.2E-3	4.6E-4
0.25	9.2E-1	-	-	5.0E-1	9.9E-2	2.1E-3	7.5E-4
0.375	8.9E-1	-	-	5.5E-1	9.1E-2	2.9E-3	9.9E-4
0.5	8.7E-1	-	-	5.9E-1	8.6E-2	3.5E-3	1.2E-3
0.625	8.4E-1	-	-	6.1E-1	8.2E-2	4.1E-3	1.4E-3
0.75	8.1E-1	-	-	6.1E-1	7.8E-2	4.6E-3	1.6E-3
0.875	7.8E-1	-	-	6.1E-1	7.5E-2	5.1E-3	1.7E-3
1	7.4E-1	2.3E-3	1.0E-1	5.9E-1	7.3E-2	5.5E-3	1.9E-3
1.125	7.0E-1	-	-	5.6E-1	7.0E-2	5.9E-3	2.0E-3
1.25	6.5E-1	-	-	5.3E-1	6.8E-2	6.2E-3	2.1E-3
1.375	6.1E-1	-	-	5.0E-1	6.5E-2	6.5E-3	2.2E-3
1.5	5.6E-1	-	-	4.6E-1	6.3E-2	6.8E-3	2.3E-3
1.625	5.2E-1	-	-	4.2E-1	6.1E-2	7.1E-3	2.4E-3
1.75	4.7E-1	-	-	3.9E-1	5.9E-2	7.3E-3	2.4E-3
1.875	4.3E-1	-	-	3.5E-1	5.8E-2	7.5E-3	2.5E-3
2	3.9E-1	1.1E-3	3.2E-1	3.1E-1	5.6E-2	7.6E-3	2.5E-3
2.25	3.2E-1	-	-	2.5E-1	5.3E-2	7.9E-3	2.6E-3
2.5	2.6E-1	-	-	2.0E-1	5.0E-2	8.2E-3	2.7E-3
2.75	2.2E-1	-	-	1.5E-1	4.7E-2	8.4E-3	2.8E-3
3	1.8E-1	4.9E-4	2.1E-1	1.2E-1	4.4E-2	8.5E-3	2.8E-3
3.25	1.5E-1	-	-	8.9E-2	4.2E-2	8.6E-3	2.9E-3
3.5	1.3E-1	-	-	6.9E-2	4.0E-2	8.7E-3	2.9E-3
3.75	1.1E-1	-	-	5.3E-2	3.8E-2	8.8E-3	2.9E-3
4	9.3E-2	2.4E-4	8.2E-2	4.1E-2	3.6E-2	8.8E-3	2.9E-3
4.25	8.3E-2	-	-	3.2E-2	3.4E-2	8.9E-3	2.9E-3
4.5	7.5E-2	-	-	2.6E-2	3.2E-2	8.9E-3	2.9E-3
4.75	6.8E-2	-	-	2.1E-2	3.1E-2	8.9E-3	2.9E-3
5	6.3E-2	1.3E-4	2.9E-2	1.8E-2	2.9E-2	8.9E-3	3.0E-3
5.5	5.6E-2	-	-	1.3E-2	2.7E-2	8.9E-3	3.0E-3
6	5.1E-2	7.9E-5	1.2E-2	1.1E-2	2.4E-2	8.9E-3	2.9E-3
6.5	4.7E-2	-	-	9.0E-3	2.2E-2	8.9E-3	2.9E-3
7	4.3E-2	5.6E-5	6.5E-3	7.8E-3	2.0E-2	8.9E-3	2.9E-3
7.5	4.1E-2	-	-	6.8E-3	1.8E-2	8.9E-3	2.9E-3
8	3.8E-2	4.4E-5	4.6E-3	6.1E-3	1.6E-2	8.8E-3	2.9E-3
8.5	3.6E-2	-	-	5.4E-3	1.5E-2	8.8E-3	2.9E-3
9	3.4E-2	3.7E-5	3.6E-3	4.9E-3	1.4E-2	8.8E-3	2.9E-3
9.5	3.2E-2	-	-	4.4E-3	1.3E-2	8.7E-3	2.8E-3
10	3.1E-2	3.2E-5	2.8E-3	3.9E-3	1.1E-2	8.7E-3	2.8E-3
11	2.8E-2	2.8E-5	2.3E-3	3.2E-3	9.7E-3	8.6E-3	2.8E-3
12	2.6E-2	2.5E-5	1.8E-3	2.6E-3	8.3E-3	8.5E-3	2.8E-3
13	2.4E-2	2.2E-5	1.5E-3	2.1E-3	7.1E-3	8.4E-3	2.7E-3
14	2.2E-2	2.0E-5	1.2E-3	1.7E-3	6.1E-3	8.3E-3	2.7E-3
15	2.1E-2	1.8E-5	9.5E-4	1.4E-3	5.4E-3	8.2E-3	2.7E-3
16	2.0E-2	1.7E-5	7.7E-4	1.1E-3	4.7E-3	8.1E-3	2.6E-3
17	1.9E-2	1.5E-5	6.2E-4	9.0E-4	4.2E-3	8.0E-3	2.6E-3
18	1.8E-2	1.4E-5	5.0E-4	7.4E-4	3.8E-3	7.9E-3	2.5E-3
19	1.7E-2	1.3E-5	4.0E-4	6.0E-4	3.5E-3	7.8E-3	2.5E-3
20	1.7E-2	1.2E-5	3.2E-4	5.0E-4	3.2E-3	7.7E-3	2.5E-3
21	1.6E-2	1.1E-5	2.6E-4	4.1E-4	2.9E-3	7.6E-3	2.4E-3
22	1.6E-2	1.1E-5	2.1E-4	3.4E-4	2.7E-3	7.5E-3	2.4E-3
23	1.6E-2	1.0E-5	1.7E-4	2.9E-4	2.6E-3	7.4E-3	2.4E-3
24	1.5E-2	9.4E-6	1.4E-4	2.4E-4	2.4E-3	7.4E-3	2.3E-3
25	1.5E-2	8.9E-6	1.1E-4	2.1E-4	2.3E-3	7.3E-3	2.3E-3
26	1.5E-2	8.5E-6	9.2E-5	1.8E-4	2.2E-3	7.2E-3	2.3E-3
27	1.4E-2	8.1E-6	7.5E-5	1.5E-4	2.1E-3	7.1E-3	2.2E-3
28	1.4E-2	7.7E-6	6.1E-5	1.3E-4	2.0E-3	7.0E-3	2.2E-3
29	1.4E-2	7.4E-6	5.0E-5	1.2E-4	1.9E-3	6.9E-3	2.2E-3
30	1.3E-2	7.1E-6	4.1E-5	1.0E-4	1.9E-3	6.8E-3	2.1E-3
31	1.3E-2	6.8E-6	3.4E-5	9.4E-5	1.8E-3	6.7E-3	2.1E-3
32	1.3E-2	6.6E-6	2.9E-5	8.5E-5	1.8E-3	6.7E-3	2.1E-3
33	1.3E-2	6.4E-6	2.4E-5	7.8E-5	1.7E-3	6.6E-3	2.0E-3
34	1.3E-2	6.2E-6	2.0E-5	7.2E-5	1.7E-3	6.5E-3	2.0E-3
35	1.2E-2	6.0E-6	1.7E-5	6.7E-5	1.6E-3	6.4E-3	2.0E-3
36	1.2E-2	5.8E-6	1.5E-5	6.3E-5	1.6E-3	6.3E-3	2.0E-3
37	1.2E-2	5.6E-6	1.3E-5	6.0E-5	1.6E-3	6.2E-3	1.9E-3
38	1.2E-2	5.5E-6	1.1E-5	5.7E-5	1.5E-3	6.2E-3	1.9E-3
39	1.2E-2	5.3E-6	9.8E-6	5.4E-5	1.5E-3	6.1E-3	1.9E-3
40	1.1E-2	5.2E-6	8.7E-6	5.2E-5	1.4E-3	6.0E-3	1.8E-3
41	1.1E-2	5.0E-6	7.8E-6	5.0E-5	1.4E-3	5.9E-3	1.8E-3
42	1.1E-2	4.9E-6	7.0E-6	4.8E-5	1.4E-3	5.9E-3	1.8E-3
43	1.1E-2	4.8E-6	6.4E-6	4.7E-5	1.4E-3	5.8E-3	1.8E-3
44	1.1E-2	4.7E-6	5.9E-6	4.5E-5	1.3E-3	5.7E-3	1.7E-3
45	1.1E-2	4.6E-6	5.5E-6	4.4E-5	1.3E-3	5.6E-3	1.7E-3
46	1.0E-2	4.5E-6	5.1E-6	4.3E-5	1.3E-3	5.6E-3	1.7E-3
47	1.0E-2	4.4E-6	4.8E-6	4.2E-5	1.2E-3	5.5E-3	1.7E-3
48	1.0E-2	4.3E-6	4.5E-6	4.1E-5	1.2E-3	5.4E-3	1.6E-3
49	1.0E-2	4.2E-6	4.3E-6	4.0E-5	1.2E-3	5.4E-3	1.6E-3
50	9.8E-3	4.1E-6	4.1E-6	3.9E-5	1.2E-3	5.3E-3	1.6E-3
51	9.7E-3	4.0E-6	3.9E-6	3.8E-5	1.1E-3	5.2E-3	1.6E-3
52	9.5E-3	3.9E-6	3.7E-6	3.7E-5	1.1E-3	5.1E-3	1.5E-3
53	9.4E-3	3.8E-6	3.6E-6	3.6E-5	1.1E-3	5.1E-3	1.5E-3
54	9.2E-3	3.8E-6	3.5E-6	3.6E-5	1.1E-3	5.0E-3	1.5E-3
55	9.1E-3	3.7E-6	3.3E-6	3.5E-5	1.0E-3	5.0E-3	1.5E-3
56	9.0E-3	3.6E-6	3.2E-6	3.4E-5	1.0E-3	4.9E-3	1.5E-3
57	8.8E-3	3.5E-6	3.1E-6	3.4E-5	1.0E-3	4.8E-3	1.4E-3
58	8.7E-3	3.5E-6	3.0E-6	3.3E-5	9.8E-4	4.8E-3	1.4E-3
59	8.6E-3	3.4E-6	2.9E-6	3.2E-5	9.6E-4	4.7E-3	1.4E-3
60	8.4E-3	3.3E-6	2.8E-6	3.2E-5	9.4E-4	4.6E-3	1.4E-3
61	8.3E-3	3.3E-6	2.8E-6	3.1E-5	9.2E-4	4.6E-3	1.4E-3
62	8.2E-3	3.2E-6	2.7E-6	3.0E-5	9.0E-4	4.5E-3	1.3E-3
63	8.1E-3	3.2E-6	2.6E-6	3.0E-5	8.9E-4	4.5E-3	1.3E-3
64	7.9E-3	3.1E-6	2.5E-6	2.9E-5	8.7E-4	4.4E-3	1.3E-3
65	7.8E-3	3.0E-6	2.5E-6	2.9E-5	8.5E-4	4.3E-3	1.3E-3
