Radionuclide	Cd-113m
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.6E-1	-	-	2.2E-1	1.2E-2	4.0E-4	4.0E-2
0.083333	7.5E-1	-	-	2.4E-1	4.0E-3	4.0E-4	4.7E-2
0.125	7.4E-1	-	-	2.5E-1	1.9E-3	4.2E-4	5.1E-2
0.25	7.2E-1	-	-	3.0E-1	1.3E-3	4.8E-4	6.0E-2
0.375	7.0E-1	-	-	3.3E-1	1.3E-3	5.3E-4	6.8E-2
0.5	6.8E-1	-	-	3.5E-1	1.4E-3	5.7E-4	7.3E-2
0.625	6.6E-1	-	-	3.6E-1	1.5E-3	6.0E-4	7.8E-2
0.75	6.4E-1	-	-	3.6E-1	1.5E-3	6.3E-4	8.1E-2
0.875	6.2E-1	-	-	3.6E-1	1.5E-3	6.5E-4	8.5E-2
1	5.9E-1	7.2E-4	6.1E-2	3.5E-1	1.5E-3	6.7E-4	8.7E-2
1.125	5.7E-1	-	-	3.4E-1	1.5E-3	6.9E-4	8.9E-2
1.25	5.4E-1	-	-	3.2E-1	1.5E-3	7.1E-4	9.1E-2
1.375	5.1E-1	-	-	3.0E-1	1.5E-3	7.2E-4	9.3E-2
1.5	4.9E-1	-	-	2.7E-1	1.5E-3	7.3E-4	9.4E-2
1.625	4.6E-1	-	-	2.5E-1	1.5E-3	7.4E-4	9.6E-2
1.75	4.4E-1	-	-	2.3E-1	1.5E-3	7.5E-4	9.7E-2
1.875	4.1E-1	-	-	2.1E-1	1.5E-3	7.6E-4	9.8E-2
2	3.9E-1	1.2E-4	1.9E-1	1.9E-1	1.5E-3	7.7E-4	9.9E-2
2.25	3.5E-1	-	-	1.5E-1	1.4E-3	7.9E-4	1.0E-1
2.5	3.1E-1	-	-	1.1E-1	1.4E-3	8.0E-4	1.0E-1
2.75	2.8E-1	-	-	8.8E-2	1.4E-3	8.1E-4	1.0E-1
3	2.6E-1	6.4E-5	1.2E-1	6.6E-2	1.4E-3	8.2E-4	1.0E-1
3.25	2.5E-1	-	-	4.9E-2	1.3E-3	8.4E-4	1.1E-1
3.5	2.3E-1	-	-	3.7E-2	1.3E-3	8.5E-4	1.1E-1
3.75	2.2E-1	-	-	2.7E-2	1.3E-3	8.5E-4	1.1E-1
4	2.2E-1	4.6E-5	4.6E-2	2.0E-2	1.3E-3	8.6E-4	1.1E-1
4.25	2.1E-1	-	-	1.5E-2	1.3E-3	8.7E-4	1.1E-1
4.5	2.1E-1	-	-	1.1E-2	1.3E-3	8.8E-4	1.1E-1
4.75	2.0E-1	-	-	8.8E-3	1.3E-3	8.9E-4	1.1E-1
5	2.0E-1	3.7E-5	1.3E-2	7.0E-3	1.2E-3	9.0E-4	1.1E-1
5.5	2.0E-1	-	-	4.7E-3	1.2E-3	9.1E-4	1.1E-1
6	2.0E-1	3.0E-5	3.3E-3	3.7E-3	1.2E-3	9.2E-4	1.1E-1
6.5	2.0E-1	-	-	3.1E-3	1.2E-3	9.3E-4	1.1E-1
7	2.0E-1	2.6E-5	7.4E-4	2.9E-3	1.2E-3	9.4E-4	1.1E-1
7.5	2.0E-1	-	-	2.8E-3	1.2E-3	9.6E-4	1.1E-1
8	2.0E-1	2.3E-5	1.7E-4	2.7E-3	1.2E-3	9.6E-4	1.1E-1
8.5	2.0E-1	-	-	2.6E-3	1.2E-3	9.7E-4	1.1E-1
9	2.0E-1	2.1E-5	5.2E-5	2.6E-3	1.1E-3	9.8E-4	1.1E-1
9.5	2.0E-1	-	-	2.6E-3	1.1E-3	9.9E-4	1.1E-1
10	2.0E-1	1.9E-5	2.7E-5	2.6E-3	1.1E-3	1.0E-3	1.1E-1
11	2.0E-1	1.8E-5	2.1E-5	2.6E-3	1.1E-3	1.0E-3	1.1E-1
12	2.0E-1	1.7E-5	1.9E-5	2.6E-3	1.1E-3	1.0E-3	1.1E-1
13	2.0E-1	1.7E-5	1.8E-5	2.6E-3	1.1E-3	1.0E-3	1.1E-1
14	2.0E-1	1.7E-5	1.7E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
15	2.0E-1	1.6E-5	1.7E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
16	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
17	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
18	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
19	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
20	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.1E-3	1.1E-1
21	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
22	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
23	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
24	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
25	2.0E-1	1.6E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
26	2.0E-1	1.5E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
27	2.0E-1	1.5E-5	1.6E-5	2.5E-3	1.1E-3	1.2E-3	1.1E-1
28	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
29	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
30	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
31	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
32	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
33	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
34	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
35	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.3E-3	1.1E-1
36	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.4E-3	1.1E-1
37	2.0E-1	1.5E-5	1.5E-5	2.5E-3	1.1E-3	1.4E-3	1.1E-1
