Radionuclide	Cr-51
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-4
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.6E-1	-	-	2.8E-1	3.8E-2	8.8E-6	1.3E-5
0.083333	7.5E-1	-	-	3.1E-1	3.5E-2	1.2E-5	1.8E-5
0.125	7.4E-1	-	-	3.4E-1	3.3E-2	1.4E-5	2.3E-5
0.25	7.1E-1	-	-	4.0E-1	3.1E-2	2.0E-5	3.3E-5
0.375	6.9E-1	-	-	4.4E-1	2.9E-2	2.2E-5	4.1E-5
0.5	6.7E-1	-	-	4.7E-1	2.9E-2	2.3E-5	4.7E-5
0.625	6.4E-1	-	-	4.9E-1	2.9E-2	2.3E-5	5.1E-5
0.75	6.2E-1	-	-	4.9E-1	2.8E-2	2.3E-5	5.5E-5
0.875	5.9E-1	-	-	4.8E-1	2.8E-2	2.2E-5	5.7E-5
1	5.6E-1	5.8E-5	8.1E-2	4.7E-1	2.8E-2	2.1E-5	6.0E-5
1.125	5.2E-1	-	-	4.5E-1	2.8E-2	2.1E-5	6.1E-5
1.25	4.9E-1	-	-	4.2E-1	2.8E-2	2.0E-5	6.3E-5
1.375	4.5E-1	-	-	4.0E-1	2.7E-2	1.9E-5	6.4E-5
1.5	4.1E-1	-	-	3.7E-1	2.7E-2	1.8E-5	6.6E-5
1.625	3.8E-1	-	-	3.3E-1	2.7E-2	1.7E-5	6.7E-5
1.75	3.4E-1	-	-	3.0E-1	2.7E-2	1.7E-5	6.8E-5
1.875	3.1E-1	-	-	2.7E-1	2.7E-2	1.6E-5	6.9E-5
2	2.8E-1	3.8E-5	2.5E-1	2.4E-1	2.6E-2	1.6E-5	7.0E-5
2.25	2.2E-1	-	-	1.9E-1	2.6E-2	1.5E-5	7.1E-5
2.5	1.8E-1	-	-	1.5E-1	2.6E-2	1.5E-5	7.3E-5
2.75	1.4E-1	-	-	1.1E-1	2.5E-2	1.4E-5	7.4E-5
3	1.1E-1	2.0E-5	1.6E-1	8.3E-2	2.5E-2	1.4E-5	7.5E-5
3.25	8.7E-2	-	-	6.1E-2	2.5E-2	1.4E-5	7.6E-5
3.5	7.0E-2	-	-	4.5E-2	2.4E-2	1.4E-5	7.8E-5
3.75	5.7E-2	-	-	3.2E-2	2.4E-2	1.4E-5	7.9E-5
4	4.8E-2	1.3E-5	5.9E-2	2.3E-2	2.4E-2	1.4E-5	8.0E-5
4.25	4.1E-2	-	-	1.6E-2	2.3E-2	1.4E-5	8.0E-5
4.5	3.6E-2	-	-	1.2E-2	2.3E-2	1.4E-5	8.1E-5
4.75	3.2E-2	-	-	8.4E-3	2.3E-2	1.4E-5	8.2E-5
5	3.0E-2	1.1E-5	1.7E-2	6.0E-3	2.3E-2	1.4E-5	8.3E-5
5.5	2.6E-2	-	-	3.2E-3	2.2E-2	1.4E-5	8.4E-5
6	2.4E-2	9.2E-6	4.4E-3	1.8E-3	2.2E-2	1.4E-5	8.5E-5
6.5	2.3E-2	-	-	1.2E-3	2.1E-2	1.4E-5	8.6E-5
7	2.2E-2	8.2E-6	1.3E-3	8.4E-4	2.1E-2	1.4E-5	8.7E-5
7.5	2.2E-2	-	-	6.6E-4	2.0E-2	1.4E-5	8.8E-5
8	2.1E-2	7.3E-6	5.3E-4	5.5E-4	2.0E-2	1.4E-5	8.8E-5
8.5	2.1E-2	-	-	4.8E-4	2.0E-2	1.4E-5	8.9E-5
9	2.0E-2	6.6E-6	3.3E-4	4.3E-4	1.9E-2	1.4E-5	8.9E-5
9.5	2.0E-2	-	-	3.8E-4	1.9E-2	1.4E-5	9.0E-5
10	2.0E-2	6.0E-6	2.5E-4	3.5E-4	1.9E-2	1.4E-5	9.0E-5
11	1.9E-2	5.4E-6	2.0E-4	2.9E-4	1.8E-2	1.4E-5	9.0E-5
12	1.8E-2	4.9E-6	1.7E-4	2.4E-4	1.8E-2	1.4E-5	9.0E-5
13	1.8E-2	4.4E-6	1.4E-4	2.0E-4	1.7E-2	1.4E-5	8.9E-5
14	1.7E-2	4.0E-6	1.2E-4	1.7E-4	1.6E-2	1.4E-5	8.9E-5
15	1.7E-2	3.7E-6	9.9E-5	1.5E-4	1.6E-2	1.4E-5	8.8E-5
16	1.6E-2	3.3E-6	8.5E-5	1.3E-4	1.6E-2	1.4E-5	8.7E-5
17	1.6E-2	3.1E-6	7.3E-5	1.1E-4	1.5E-2	1.4E-5	8.6E-5
18	1.5E-2	2.8E-6	6.4E-5	9.9E-5	1.5E-2	1.3E-5	8.4E-5
19	1.5E-2	2.6E-6	5.6E-5	8.8E-5	1.4E-2	1.3E-5	8.3E-5
20	1.4E-2	2.4E-6	5.0E-5	7.9E-5	1.4E-2	1.3E-5	8.2E-5
21	1.4E-2	2.2E-6	4.5E-5	7.2E-5	1.3E-2	1.3E-5	8.0E-5
22	1.4E-2	2.0E-6	4.0E-5	6.6E-5	1.3E-2	1.3E-5	7.8E-5
23	1.3E-2	1.9E-6	3.7E-5	6.0E-5	1.3E-2	1.2E-5	7.7E-5
24	1.3E-2	1.7E-6	3.4E-5	5.6E-5	1.2E-2	1.2E-5	7.5E-5
25	1.3E-2	1.6E-6	3.1E-5	5.2E-5	1.2E-2	1.2E-5	7.4E-5
26	1.2E-2	1.5E-6	2.9E-5	4.9E-5	1.2E-2	1.2E-5	7.2E-5
27	1.2E-2	1.4E-6	2.8E-5	4.6E-5	1.1E-2	1.2E-5	7.0E-5
28	1.2E-2	1.3E-6	2.6E-5	4.4E-5	1.1E-2	1.2E-5	6.9E-5
29	1.1E-2	1.3E-6	2.5E-5	4.2E-5	1.1E-2	1.1E-5	6.7E-5
30	1.1E-2	1.2E-6	2.3E-5	4.0E-5	1.1E-2	1.1E-5	6.6E-5
31	1.1E-2	1.1E-6	2.2E-5	3.8E-5	1.0E-2	1.1E-5	6.4E-5
32	1.0E-2	1.1E-6	2.1E-5	3.7E-5	1.0E-2	1.1E-5	6.3E-5
33	1.0E-2	1.0E-6	2.1E-5	3.5E-5	9.7E-3	1.1E-5	6.1E-5
34	9.8E-3	9.5E-7	2.0E-5	3.4E-5	9.4E-3	1.0E-5	5.9E-5
35	9.5E-3	9.0E-7	1.9E-5	3.3E-5	9.2E-3	1.0E-5	5.8E-5
36	9.3E-3	8.6E-7	1.8E-5	3.2E-5	8.9E-3	1.0E-5	5.7E-5
37	9.0E-3	8.2E-7	1.8E-5	3.1E-5	8.7E-3	9.8E-6	5.5E-5
38	8.8E-3	7.8E-7	1.7E-5	3.0E-5	8.5E-3	9.6E-6	5.4E-5
39	8.6E-3	7.5E-7	1.7E-5	2.9E-5	8.2E-3	9.4E-6	5.2E-5
40	8.3E-3	7.2E-7	1.6E-5	2.8E-5	8.0E-3	9.2E-6	5.1E-5
41	8.1E-3	6.9E-7	1.6E-5	2.7E-5	7.8E-3	9.1E-6	5.0E-5
42	7.9E-3	6.6E-7	1.5E-5	2.6E-5	7.6E-3	8.9E-6	4.8E-5
43	7.7E-3	6.4E-7	1.5E-5	2.6E-5	7.4E-3	8.7E-6	4.7E-5
44	7.5E-3	6.1E-7	1.4E-5	2.5E-5	7.2E-3	8.5E-6	4.6E-5
45	7.3E-3	5.9E-7	1.4E-5	2.4E-5	7.0E-3	8.4E-6	4.5E-5
46	7.1E-3	5.7E-7	1.3E-5	2.3E-5	6.8E-3	8.2E-6	4.3E-5
47	6.9E-3	5.5E-7	1.3E-5	2.3E-5	6.6E-3	8.1E-6	4.2E-5
48	6.7E-3	5.3E-7	1.3E-5	2.2E-5	6.5E-3	7.9E-6	4.1E-5
49	6.5E-3	5.1E-7	1.2E-5	2.1E-5	6.3E-3	7.7E-6	4.0E-5
50	6.4E-3	5.0E-7	1.2E-5	2.1E-5	6.1E-3	7.6E-6	3.9E-5
51	6.2E-3	4.8E-7	1.2E-5	2.0E-5	6.0E-3	7.4E-6	3.8E-5
52	6.0E-3	4.6E-7	1.1E-5	2.0E-5	5.8E-3	7.3E-6	3.7E-5
53	5.9E-3	4.5E-7	1.1E-5	1.9E-5	5.6E-3	7.1E-6	3.6E-5
54	5.7E-3	4.4E-7	1.1E-5	1.9E-5	5.5E-3	7.0E-6	3.5E-5
55	5.6E-3	4.2E-7	1.0E-5	1.8E-5	5.4E-3	6.9E-6	3.4E-5
56	5.4E-3	4.1E-7	1.0E-5	1.8E-5	5.2E-3	6.7E-6	3.3E-5
57	5.3E-3	4.0E-7	9.8E-6	1.7E-5	5.1E-3	6.6E-6	3.2E-5
58	5.1E-3	3.9E-7	9.5E-6	1.7E-5	4.9E-3	6.5E-6	3.1E-5
59	5.0E-3	3.7E-7	9.3E-6	1.6E-5	4.8E-3	6.3E-6	3.0E-5
60	4.9E-3	3.6E-7	9.0E-6	1.6E-5	4.7E-3	6.2E-6	3.0E-5
61	4.7E-3	3.5E-7	8.8E-6	1.5E-5	4.6E-3	6.1E-6	2.9E-5
62	4.6E-3	3.4E-7	8.5E-6	1.5E-5	4.4E-3	5.9E-6	2.8E-5
63	4.5E-3	3.3E-7	8.3E-6	1.4E-5	4.3E-3	5.8E-6	2.7E-5
64	4.4E-3	3.2E-7	8.1E-6	1.4E-5	4.2E-3	5.7E-6	2.7E-5
65	4.2E-3	3.1E-7	7.8E-6	1.4E-5	4.1E-3	5.6E-6	2.6E-5
66	4.1E-3	3.1E-7	7.6E-6	1.3E-5	4.0E-3	5.5E-6	2.5E-5
67	4.0E-3	3.0E-7	7.4E-6	1.3E-5	3.9E-3	5.4E-6	2.4E-5
68	3.9E-3	2.9E-7	7.2E-6	1.3E-5	3.8E-3	5.3E-6	2.4E-5
69	3.8E-3	2.8E-7	7.0E-6	1.2E-5	3.7E-3	5.1E-6	2.3E-5
70	3.7E-3	2.7E-7	6.8E-6	1.2E-5	3.6E-3	5.0E-6	2.3E-5
71	3.6E-3	2.7E-7	6.6E-6	1.2E-5	3.5E-3	4.9E-6	2.2E-5
72	3.5E-3	2.6E-7	6.4E-6	1.1E-5	3.4E-3	4.8E-6	2.1E-5
73	3.4E-3	2.5E-7	6.3E-6	1.1E-5	3.3E-3	4.7E-6	2.1E-5
74	3.3E-3	2.4E-7	6.1E-6	1.1E-5	3.2E-3	4.6E-6	2.0E-5
75	3.2E-3	2.4E-7	5.9E-6	1.0E-5	3.1E-3	4.5E-6	2.0E-5
76	3.2E-3	2.3E-7	5.8E-6	1.0E-5	3.0E-3	4.4E-6	1.9E-5
77	3.1E-3	2.2E-7	5.6E-6	9.8E-6	3.0E-3	4.3E-6	1.9E-5
78	3.0E-3	2.2E-7	5.4E-6	9.5E-6	2.9E-3	4.3E-6	1.8E-5
79	2.9E-3	2.1E-7	5.3E-6	9.2E-6	2.8E-3	4.2E-6	1.8E-5
80	2.8E-3	2.1E-7	5.1E-6	9.0E-6	2.7E-3	4.1E-6	1.7E-5
81	2.8E-3	2.0E-7	5.0E-6	8.7E-6	2.7E-3	4.0E-6	1.7E-5
82	2.7E-3	2.0E-7	4.9E-6	8.5E-6	2.6E-3	3.9E-6	1.6E-5
83	2.6E-3	1.9E-7	4.7E-6	8.3E-6	2.5E-3	3.8E-6	1.6E-5
84	2.5E-3	1.9E-7	4.6E-6	8.0E-6	2.4E-3	3.8E-6	1.5E-5
