Radionuclide	Cr-51
Route of Intake	Ingestion
Material	Trivalent state, fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.0E+0	5.1E-5	7.4E-5
0.083333	1.0E+0	-	-	1.0E+0	1.5E-4	2.2E-4
0.125	1.0E+0	-	-	9.9E-1	2.4E-4	3.6E-4
0.25	9.9E-1	-	-	9.8E-1	4.2E-4	6.9E-4
0.375	9.8E-1	-	-	9.7E-1	4.9E-4	8.7E-4
0.5	9.6E-1	-	-	9.5E-1	4.9E-4	9.7E-4
0.625	9.2E-1	-	-	9.1E-1	4.7E-4	1.0E-3
0.75	8.8E-1	-	-	8.7E-1	4.4E-4	1.1E-3
0.875	8.3E-1	-	-	8.2E-1	4.1E-4	1.1E-3
1	7.7E-1	1.1E-3	2.1E-1	7.6E-1	3.8E-4	1.1E-3
1.125	7.0E-1	-	-	6.9E-1	3.6E-4	1.1E-3
1.25	6.4E-1	-	-	6.3E-1	3.4E-4	1.1E-3
1.375	5.7E-1	-	-	5.7E-1	3.2E-4	1.2E-3
1.5	5.1E-1	-	-	5.0E-1	3.1E-4	1.2E-3
1.625	4.5E-1	-	-	4.4E-1	2.9E-4	1.2E-3
1.75	4.0E-1	-	-	3.9E-1	2.8E-4	1.2E-3
1.875	3.5E-1	-	-	3.4E-1	2.7E-4	1.2E-3
2	3.0E-1	6.1E-4	4.4E-1	2.9E-1	2.7E-4	1.2E-3
2.25	2.2E-1	-	-	2.2E-1	2.6E-4	1.3E-3
2.5	1.6E-1	-	-	1.6E-1	2.5E-4	1.3E-3
2.75	1.2E-1	-	-	1.1E-1	2.4E-4	1.3E-3
3	8.6E-2	3.1E-4	2.1E-1	8.0E-2	2.4E-4	1.3E-3
3.25	6.2E-2	-	-	5.6E-2	2.4E-4	1.3E-3
3.5	4.5E-2	-	-	3.9E-2	2.4E-4	1.4E-3
3.75	3.3E-2	-	-	2.7E-2	2.4E-4	1.4E-3
4	2.4E-2	2.1E-4	6.0E-2	1.8E-2	2.4E-4	1.4E-3
4.25	1.8E-2	-	-	1.2E-2	2.4E-4	1.4E-3
4.5	1.4E-2	-	-	8.4E-3	2.4E-4	1.4E-3
4.75	1.1E-2	-	-	5.7E-3	2.4E-4	1.4E-3
5	9.3E-3	1.7E-4	1.4E-2	3.8E-3	2.4E-4	1.4E-3
5.5	7.1E-3	-	-	1.8E-3	2.4E-4	1.5E-3
6	6.0E-3	1.5E-4	2.9E-3	8.7E-4	2.4E-4	1.5E-3
6.5	5.5E-3	-	-	4.7E-4	2.4E-4	1.5E-3
7	5.2E-3	1.3E-4	6.0E-4	2.9E-4	2.4E-4	1.5E-3
7.5	4.9E-3	-	-	2.1E-4	2.4E-4	1.5E-3
8	4.8E-3	1.2E-4	1.5E-4	1.7E-4	2.4E-4	1.5E-3
8.5	4.6E-3	-	-	1.5E-4	2.4E-4	1.5E-3
9	4.5E-3	1.0E-4	6.6E-5	1.4E-4	2.4E-4	1.5E-3
9.5	4.4E-3	-	-	1.3E-4	2.4E-4	1.5E-3
10	4.2E-3	9.2E-5	4.7E-5	1.2E-4	2.4E-4	1.5E-3
11	4.0E-3	8.2E-5	4.0E-5	1.1E-4	2.4E-4	1.5E-3
12	3.8E-3	7.4E-5	3.5E-5	9.9E-5	2.4E-4	1.5E-3
13	3.6E-3	6.6E-5	3.1E-5	8.9E-5	2.3E-4	1.5E-3
14	3.4E-3	5.9E-5	2.8E-5	8.0E-5	2.3E-4	1.5E-3
15	3.3E-3	5.3E-5	2.5E-5	7.2E-5	2.3E-4	1.5E-3
16	3.1E-3	4.7E-5	2.2E-5	6.5E-5	2.3E-4	1.4E-3
17	3.0E-3	4.2E-5	2.0E-5	5.9E-5	2.2E-4	1.4E-3
18	2.8E-3	3.8E-5	1.8E-5	5.3E-5	2.2E-4	1.4E-3
19	2.7E-3	3.4E-5	1.6E-5	4.8E-5	2.2E-4	1.4E-3
20	2.6E-3	3.1E-5	1.5E-5	4.4E-5	2.1E-4	1.3E-3
21	2.5E-3	2.8E-5	1.3E-5	4.0E-5	2.1E-4	1.3E-3
22	2.4E-3	2.5E-5	1.2E-5	3.6E-5	2.0E-4	1.3E-3
23	2.3E-3	2.3E-5	1.1E-5	3.3E-5	2.0E-4	1.2E-3
24	2.2E-3	2.1E-5	9.7E-6	3.1E-5	2.0E-4	1.2E-3
25	2.1E-3	1.9E-5	8.8E-6	2.8E-5	1.9E-4	1.2E-3
26	2.1E-3	1.7E-5	8.0E-6	2.6E-5	1.9E-4	1.2E-3
27	2.0E-3	1.6E-5	7.3E-6	2.4E-5	1.9E-4	1.1E-3
28	1.9E-3	1.4E-5	6.6E-6	2.2E-5	1.8E-4	1.1E-3
29	1.9E-3	1.3E-5	6.1E-6	2.1E-5	1.8E-4	1.1E-3
30	1.8E-3	1.2E-5	5.5E-6	1.9E-5	1.8E-4	1.0E-3
31	1.7E-3	1.1E-5	5.1E-6	1.8E-5	1.7E-4	1.0E-3
32	1.7E-3	1.0E-5	4.7E-6	1.7E-5	1.7E-4	9.8E-4
33	1.6E-3	9.5E-6	4.3E-6	1.6E-5	1.6E-4	9.5E-4
34	1.6E-3	8.8E-6	4.0E-6	1.5E-5	1.6E-4	9.2E-4
35	1.5E-3	8.2E-6	3.7E-6	1.4E-5	1.6E-4	8.9E-4
36	1.5E-3	7.6E-6	3.4E-6	1.3E-5	1.5E-4	8.7E-4
37	1.4E-3	7.1E-6	3.2E-6	1.2E-5	1.5E-4	8.4E-4
38	1.4E-3	6.6E-6	3.0E-6	1.2E-5	1.5E-4	8.2E-4
39	1.3E-3	6.2E-6	2.8E-6	1.1E-5	1.4E-4	7.9E-4
40	1.3E-3	5.8E-6	2.6E-6	1.0E-5	1.4E-4	7.7E-4
41	1.3E-3	5.5E-6	2.4E-6	9.9E-6	1.4E-4	7.5E-4
42	1.2E-3	5.2E-6	2.3E-6	9.4E-6	1.3E-4	7.2E-4
43	1.2E-3	4.9E-6	2.1E-6	9.0E-6	1.3E-4	7.0E-4
44	1.1E-3	4.6E-6	2.0E-6	8.6E-6	1.3E-4	6.8E-4
45	1.1E-3	4.4E-6	1.9E-6	8.2E-6	1.3E-4	6.6E-4
46	1.1E-3	4.1E-6	1.8E-6	7.9E-6	1.2E-4	6.4E-4
