Radionuclide	Cf-254
Route of Intake	Ingestion
Material	All compounds, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.0E+0	4.8E-6	4.0E-6
0.083333	1.0E+0	-	-	1.0E+0	1.9E-5	1.3E-5
0.125	1.0E+0	-	-	1.0E+0	4.0E-5	2.2E-5
0.25	9.9E-1	-	-	9.9E-1	1.0E-4	4.6E-5
0.375	9.8E-1	-	-	9.8E-1	1.4E-4	6.1E-5
0.5	9.6E-1	-	-	9.6E-1	1.7E-4	7.0E-5
0.625	9.3E-1	-	-	9.3E-1	1.8E-4	7.5E-5
0.75	8.9E-1	-	-	8.9E-1	1.9E-4	7.8E-5
0.875	8.4E-1	-	-	8.3E-1	2.0E-4	8.1E-5
1	7.8E-1	4.5E-5	2.1E-1	7.8E-1	2.1E-4	8.3E-5
1.125	7.1E-1	-	-	7.1E-1	2.1E-4	8.5E-5
1.25	6.5E-1	-	-	6.5E-1	2.2E-4	8.6E-5
1.375	5.8E-1	-	-	5.8E-1	2.2E-4	8.8E-5
1.5	5.2E-1	-	-	5.2E-1	2.2E-4	8.9E-5
1.625	4.6E-1	-	-	4.6E-1	2.2E-4	9.0E-5
1.75	4.0E-1	-	-	4.0E-1	2.3E-4	9.1E-5
1.875	3.5E-1	-	-	3.5E-1	2.3E-4	9.1E-5
2	3.1E-1	7.0E-6	4.6E-1	3.1E-1	2.3E-4	9.2E-5
2.25	2.3E-1	-	-	2.3E-1	2.3E-4	9.3E-5
2.5	1.7E-1	-	-	1.7E-1	2.3E-4	9.4E-5
2.75	1.2E-1	-	-	1.2E-1	2.4E-4	9.4E-5
3	8.4E-2	3.0E-6	2.2E-1	8.4E-2	2.4E-4	9.4E-5
3.25	5.9E-2	-	-	5.9E-2	2.4E-4	9.5E-5
3.5	4.1E-2	-	-	4.1E-2	2.4E-4	9.5E-5
3.75	2.8E-2	-	-	2.8E-2	2.4E-4	9.5E-5
4	1.9E-2	1.6E-6	6.4E-2	1.9E-2	2.4E-4	9.5E-5
4.25	1.3E-2	-	-	1.3E-2	2.4E-4	9.5E-5
4.5	9.1E-3	-	-	8.7E-3	2.4E-4	9.4E-5
4.75	6.2E-3	-	-	5.8E-3	2.4E-4	9.4E-5
5	4.3E-3	9.9E-7	1.5E-2	3.9E-3	2.4E-4	9.4E-5
5.5	2.1E-3	-	-	1.7E-3	2.3E-4	9.4E-5
6	1.1E-3	7.3E-7	3.1E-3	7.4E-4	2.3E-4	9.3E-5
6.5	7.0E-4	-	-	3.2E-4	2.3E-4	9.3E-5
7	5.1E-4	6.0E-7	6.0E-4	1.3E-4	2.3E-4	9.2E-5
7.5	4.3E-4	-	-	5.7E-5	2.3E-4	9.2E-5
8	4.0E-4	5.1E-7	1.1E-4	2.4E-5	2.3E-4	9.1E-5
8.5	3.8E-4	-	-	1.1E-5	2.3E-4	9.1E-5
9	3.7E-4	4.5E-7	1.9E-5	4.9E-6	2.3E-4	9.0E-5
9.5	3.7E-4	-	-	2.6E-6	2.3E-4	9.0E-5
10	3.6E-4	4.1E-7	3.3E-6	1.6E-6	2.2E-4	8.9E-5
11	3.6E-4	3.7E-7	5.9E-7	1.1E-6	2.2E-4	8.8E-5
12	3.5E-4	3.3E-7	1.4E-7	9.9E-7	2.2E-4	8.7E-5
13	3.5E-4	3.0E-7	7.1E-8	9.6E-7	2.2E-4	8.6E-5
14	3.5E-4	2.7E-7	5.8E-8	9.4E-7	2.1E-4	8.5E-5
15	3.4E-4	2.5E-7	5.4E-8	9.2E-7	2.1E-4	8.4E-5
16	3.4E-4	2.2E-7	5.3E-8	9.1E-7	2.1E-4	8.3E-5
17	3.3E-4	2.0E-7	5.1E-8	8.9E-7	2.1E-4	8.2E-5
18	3.3E-4	1.9E-7	5.0E-8	8.8E-7	2.1E-4	8.1E-5
19	3.3E-4	1.7E-7	4.9E-8	8.6E-7	2.0E-4	8.0E-5
20	3.2E-4	1.5E-7	4.8E-8	8.5E-7	2.0E-4	7.9E-5
21	3.2E-4	1.4E-7	4.6E-8	8.3E-7	2.0E-4	7.8E-5
