Radionuclide	Sc-47
Route of Intake	Inhalation
Material	Aerosols Type F, fA=1E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.0E-1	-	-	2.2E-1	3.6E-2	9.9E-3	1.3E-2
0.083333	7.8E-1	-	-	2.4E-1	2.1E-2	1.3E-2	1.7E-2
0.125	7.7E-1	-	-	2.6E-1	1.6E-2	1.6E-2	1.9E-2
0.25	7.2E-1	-	-	3.0E-1	1.3E-2	2.2E-2	2.4E-2
0.375	6.9E-1	-	-	3.2E-1	1.1E-2	2.6E-2	2.8E-2
0.5	6.5E-1	-	-	3.3E-1	9.2E-3	2.9E-2	3.0E-2
0.625	6.2E-1	-	-	3.4E-1	8.0E-3	3.1E-2	3.2E-2
0.75	5.8E-1	-	-	3.3E-1	7.0E-3	3.3E-2	3.2E-2
0.875	5.5E-1	-	-	3.2E-1	6.2E-3	3.4E-2	3.3E-2
1	5.1E-1	2.8E-3	5.2E-2	3.0E-1	5.6E-3	3.5E-2	3.3E-2
1.125	4.8E-1	-	-	2.8E-1	5.0E-3	3.5E-2	3.2E-2
1.25	4.5E-1	-	-	2.6E-1	4.6E-3	3.5E-2	3.2E-2
1.375	4.1E-1	-	-	2.4E-1	4.2E-3	3.5E-2	3.1E-2
1.5	3.8E-1	-	-	2.2E-1	3.9E-3	3.5E-2	3.1E-2
1.625	3.5E-1	-	-	1.9E-1	3.6E-3	3.5E-2	3.0E-2
1.75	3.2E-1	-	-	1.7E-1	3.4E-3	3.4E-2	2.9E-2
1.875	3.0E-1	-	-	1.5E-1	3.2E-3	3.4E-2	2.8E-2
2	2.7E-1	6.4E-4	1.3E-1	1.3E-1	3.0E-3	3.4E-2	2.8E-2
2.25	2.3E-1	-	-	1.0E-1	2.6E-3	3.3E-2	2.6E-2
2.5	2.0E-1	-	-	7.5E-2	2.4E-3	3.2E-2	2.5E-2
2.75	1.7E-1	-	-	5.5E-2	2.1E-3	3.1E-2	2.3E-2
3	1.5E-1	2.5E-4	7.2E-2	4.0E-2	1.9E-3	3.0E-2	2.2E-2
3.25	1.3E-1	-	-	2.9E-2	1.7E-3	2.9E-2	2.0E-2
3.5	1.2E-1	-	-	2.1E-2	1.6E-3	2.8E-2	1.9E-2
3.75	1.1E-1	-	-	1.5E-2	1.4E-3	2.7E-2	1.8E-2
4	9.9E-2	1.5E-4	2.2E-2	1.1E-2	1.3E-3	2.6E-2	1.7E-2
4.25	9.2E-2	-	-	7.9E-3	1.2E-3	2.5E-2	1.6E-2
4.5	8.6E-2	-	-	5.9E-3	1.1E-3	2.4E-2	1.5E-2
4.75	8.0E-2	-	-	4.5E-3	1.0E-3	2.3E-2	1.4E-2
5	7.5E-2	1.1E-4	5.7E-3	3.5E-3	9.1E-4	2.2E-2	1.3E-2
5.5	6.7E-2	-	-	2.4E-3	7.7E-4	2.0E-2	1.1E-2
6	5.9E-2	7.4E-5	1.5E-3	1.7E-3	6.5E-4	1.8E-2	9.9E-3
6.5	5.3E-2	-	-	1.4E-3	5.5E-4	1.7E-2	8.7E-3
7	4.8E-2	5.3E-5	5.4E-4	1.1E-3	4.7E-4	1.5E-2	7.7E-3
7.5	4.3E-2	-	-	9.6E-4	4.0E-4	1.4E-2	6.8E-3
8	3.8E-2	3.8E-5	2.9E-4	8.3E-4	3.5E-4	1.3E-2	6.0E-3
8.5	3.5E-2	-	-	7.1E-4	3.0E-4	1.2E-2	5.3E-3
9	3.1E-2	2.7E-5	1.9E-4	6.2E-4	2.6E-4	1.1E-2	4.7E-3
9.5	2.8E-2	-	-	5.3E-4	2.2E-4	9.8E-3	4.1E-3
10	2.5E-2	2.0E-5	1.4E-4	4.6E-4	1.9E-4	8.9E-3	3.7E-3
11	2.0E-2	1.4E-5	9.9E-5	3.5E-4	1.5E-4	7.4E-3	2.9E-3
12	1.6E-2	1.1E-5	7.1E-5	2.7E-4	1.1E-4	6.1E-3	2.3E-3
13	1.3E-2	7.8E-6	5.2E-5	2.1E-4	8.7E-5	5.0E-3	1.8E-3
14	1.1E-2	5.8E-6	3.7E-5	1.6E-4	6.7E-5	4.1E-3	1.4E-3
15	8.7E-3	4.3E-6	2.7E-5	1.2E-4	5.3E-5	3.4E-3	1.1E-3
16	7.1E-3	3.2E-6	2.0E-5	9.5E-5	4.1E-5	2.8E-3	9.0E-4
17	5.7E-3	2.4E-6	1.4E-5	7.4E-5	3.2E-5	2.3E-3	7.1E-4
18	4.6E-3	1.8E-6	1.0E-5	5.8E-5	2.5E-5	1.9E-3	5.7E-4
19	3.8E-3	1.4E-6	7.7E-6	4.6E-5	2.0E-5	1.5E-3	4.6E-4
20	3.1E-3	1.1E-6	5.7E-6	3.6E-5	1.6E-5	1.3E-3	3.7E-4
21	2.5E-3	8.1E-7	4.2E-6	2.8E-5	1.3E-5	1.0E-3	2.9E-4
22	2.0E-3	6.2E-7	3.1E-6	2.3E-5	1.0E-5	8.3E-4	2.4E-4
23	1.6E-3	4.8E-7	2.3E-6	1.8E-5	8.1E-6	6.8E-4	1.9E-4
24	1.3E-3	3.7E-7	1.7E-6	1.4E-5	6.4E-6	5.6E-4	1.5E-4
25	1.1E-3	2.9E-7	1.3E-6	1.1E-5	5.2E-6	4.5E-4	1.2E-4
26	8.7E-4	2.3E-7	9.8E-7	9.1E-6	4.1E-6	3.7E-4	1.0E-4
27	7.1E-4	1.8E-7	7.4E-7	7.3E-6	3.3E-6	3.0E-4	8.1E-5
28	5.8E-4	1.4E-7	5.7E-7	5.8E-6	2.7E-6	2.5E-4	6.5E-5
29	4.7E-4	1.1E-7	4.3E-7	4.7E-6	2.2E-6	2.0E-4	5.3E-5
30	3.8E-4	8.8E-8	3.3E-7	3.8E-6	1.7E-6	1.6E-4	4.3E-5
31	3.1E-4	6.9E-8	2.6E-7	3.0E-6	1.4E-6	1.3E-4	3.5E-5
32	2.5E-4	5.5E-8	2.0E-7	2.4E-6	1.1E-6	1.1E-4	2.8E-5
33	2.0E-4	4.4E-8	1.5E-7	2.0E-6	9.1E-7	8.9E-5	2.3E-5
34	1.7E-4	3.5E-8	1.2E-7	1.6E-6	7.4E-7	7.2E-5	1.8E-5
35	1.3E-4	2.8E-8	9.4E-8	1.3E-6	6.0E-7	5.9E-5	1.5E-5
36	1.1E-4	2.2E-8	7.4E-8	1.0E-6	4.8E-7	4.8E-5	1.2E-5
37	8.9E-5	1.8E-8	5.8E-8	8.4E-7	3.9E-7	3.9E-5	9.8E-6
38	7.2E-5	1.4E-8	4.6E-8	6.8E-7	3.2E-7	3.2E-5	7.9E-6
39	5.9E-5	1.2E-8	3.7E-8	5.5E-7	2.6E-7	2.6E-5	6.4E-6
40	4.8E-5	9.3E-9	2.9E-8	4.5E-7	2.1E-7	2.1E-5	5.2E-6
41	3.9E-5	7.5E-9	2.3E-8	3.6E-7	1.7E-7	1.7E-5	4.2E-6
42	3.1E-5	6.0E-9	1.8E-8	2.9E-7	1.4E-7	1.4E-5	3.4E-6
43	2.5E-5	4.8E-9	1.5E-8	2.4E-7	1.1E-7	1.1E-5	2.8E-6
44	2.1E-5	3.9E-9	1.2E-8	1.9E-7	8.9E-8	9.3E-6	2.3E-6
45	1.7E-5	3.1E-9	9.4E-9	1.6E-7	7.2E-8	7.5E-6	1.8E-6
46	1.4E-5	2.5E-9	7.5E-9	1.3E-7	5.9E-8	6.1E-6	1.5E-6
47	1.1E-5	2.0E-9	6.1E-9	1.0E-7	4.8E-8	5.0E-6	1.2E-6
48	9.0E-6	1.7E-9	4.9E-9	8.3E-8	3.9E-8	4.1E-6	9.8E-7
49	7.3E-6	1.3E-9	3.9E-9	6.7E-8	3.1E-8	3.3E-6	7.9E-7
50	6.0E-6	1.1E-9	3.2E-9	5.4E-8	2.5E-8	2.7E-6	6.4E-7
51	4.8E-6	8.7E-10	2.5E-9	4.4E-8	2.1E-8	2.2E-6	5.2E-7
52	3.9E-6	7.1E-10	2.0E-9	3.6E-8	1.7E-8	1.8E-6	4.2E-7
53	3.2E-6	5.7E-10	1.7E-9	2.9E-8	1.4E-8	1.5E-6	3.4E-7
54	2.6E-6	4.6E-10	1.3E-9	2.3E-8	1.1E-8	1.2E-6	2.8E-7
55	2.1E-6	3.7E-10	1.1E-9	1.9E-8	8.9E-9	9.6E-7	2.3E-7
56	1.7E-6	3.0E-10	8.7E-10	1.5E-8	7.2E-9	7.9E-7	1.8E-7
57	1.4E-6	2.4E-10	7.0E-10	1.3E-8	5.8E-9	6.4E-7	1.5E-7
58	1.1E-6	2.0E-10	5.7E-10	1.0E-8	4.7E-9	5.2E-7	1.2E-7
59	9.2E-7	1.6E-10	4.6E-10	8.2E-9	3.8E-9	4.2E-7	9.8E-8
60	7.5E-7	1.3E-10	3.7E-10	6.7E-9	3.1E-9	3.4E-7	7.9E-8
61	6.1E-7	1.1E-10	3.0E-10	5.4E-9	2.5E-9	2.8E-7	6.4E-8
62	4.9E-7	-	2.4E-10	4.4E-9	2.1E-9	2.3E-7	5.2E-8
63	4.0E-7	-	2.0E-10	3.6E-9	1.7E-9	1.9E-7	4.2E-8
64	3.3E-7	-	1.6E-10	2.9E-9	1.3E-9	1.5E-7	3.4E-8
65	2.6E-7	-	1.3E-10	2.3E-9	1.1E-9	1.2E-7	2.8E-8
66	2.1E-7	-	1.0E-10	1.9E-9	8.9E-10	1.0E-7	2.3E-8
67	1.7E-7	-	-	1.5E-9	7.2E-10	8.2E-8	1.8E-8
68	1.4E-7	-	-	1.3E-9	5.8E-10	6.6E-8	1.5E-8
69	1.2E-7	-	-	1.0E-9	4.7E-10	5.4E-8	1.2E-8
70	9.4E-8	-	-	8.2E-10	3.8E-10	4.4E-8	9.8E-9
71	7.6E-8	-	-	6.7E-10	3.1E-10	3.6E-8	8.0E-9
72	6.2E-8	-	-	5.4E-10	2.5E-10	2.9E-8	6.5E-9
73	5.0E-8	-	-	4.4E-10	2.1E-10	2.4E-8	5.2E-9
74	4.1E-8	-	-	3.6E-10	1.7E-10	1.9E-8	4.2E-9
75	3.3E-8	-	-	2.9E-10	1.3E-10	1.6E-8	3.4E-9
76	2.7E-8	-	-	2.3E-10	1.1E-10	1.3E-8	2.8E-9
77	2.2E-8	-	-	1.9E-10	-	1.0E-8	2.3E-9
78	1.8E-8	-	-	1.5E-10	-	8.5E-9	1.8E-9
79	1.4E-8	-	-	1.3E-10	-	6.9E-9	1.5E-9
80	1.2E-8	-	-	1.0E-10	-	5.6E-9	1.2E-9
81	9.5E-9	-	-	-	-	4.6E-9	9.8E-10
82	7.8E-9	-	-	-	-	3.7E-9	8.0E-10
83	6.3E-9	-	-	-	-	3.0E-9	6.5E-10
84	5.1E-9	-	-	-	-	2.5E-9	5.2E-10
85	4.2E-9	-	-	-	-	2.0E-9	4.3E-10
86	3.4E-9	-	-	-	-	1.6E-9	3.5E-10
