Radionuclide	Er-169
Route of Intake	Inhalation
Material	Aerosols Type M, fA=1E-4
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.6E-1	-	-	2.7E-1	3.8E-2	2.1E-4	5.4E-5
0.083333	7.5E-1	-	-	3.1E-1	3.5E-2	3.8E-4	6.1E-5
0.125	7.4E-1	-	-	3.3E-1	3.2E-2	5.1E-4	6.9E-5
0.25	7.0E-1	-	-	3.9E-1	2.9E-2	8.5E-4	9.5E-5
0.375	6.8E-1	-	-	4.3E-1	2.7E-2	1.1E-3	1.2E-4
0.5	6.5E-1	-	-	4.6E-1	2.6E-2	1.4E-3	1.4E-4
0.625	6.2E-1	-	-	4.7E-1	2.6E-2	1.6E-3	1.6E-4
0.75	5.9E-1	-	-	4.7E-1	2.5E-2	1.8E-3	1.7E-4
0.875	5.6E-1	-	-	4.6E-1	2.4E-2	2.0E-3	1.9E-4
1	5.3E-1	7.2E-4	7.7E-2	4.5E-1	2.4E-2	2.1E-3	2.0E-4
1.125	4.9E-1	-	-	4.2E-1	2.3E-2	2.2E-3	2.1E-4
1.25	4.6E-1	-	-	4.0E-1	2.3E-2	2.4E-3	2.2E-4
1.375	4.2E-1	-	-	3.7E-1	2.2E-2	2.5E-3	2.3E-4
1.5	3.8E-1	-	-	3.4E-1	2.2E-2	2.5E-3	2.4E-4
1.625	3.5E-1	-	-	3.1E-1	2.1E-2	2.6E-3	2.4E-4
1.75	3.1E-1	-	-	2.8E-1	2.1E-2	2.7E-3	2.5E-4
1.875	2.8E-1	-	-	2.5E-1	2.0E-2	2.7E-3	2.5E-4
2	2.5E-1	3.3E-4	2.3E-1	2.2E-1	2.0E-2	2.8E-3	2.6E-4
2.25	2.0E-1	-	-	1.7E-1	1.9E-2	2.9E-3	2.6E-4
2.5	1.6E-1	-	-	1.3E-1	1.9E-2	2.9E-3	2.7E-4
2.75	1.2E-1	-	-	9.7E-2	1.8E-2	3.0E-3	2.7E-4
3	9.5E-2	1.5E-4	1.4E-1	7.2E-2	1.8E-2	3.0E-3	2.7E-4
3.25	7.4E-2	-	-	5.2E-2	1.7E-2	3.0E-3	2.7E-4
3.5	5.9E-2	-	-	3.7E-2	1.7E-2	3.0E-3	2.7E-4
3.75	4.8E-2	-	-	2.7E-2	1.6E-2	3.0E-3	2.7E-4
4	3.9E-2	7.6E-5	4.9E-2	1.9E-2	1.6E-2	2.9E-3	2.7E-4
4.25	3.3E-2	-	-	1.3E-2	1.5E-2	2.9E-3	2.6E-4
4.5	2.9E-2	-	-	9.3E-3	1.5E-2	2.9E-3	2.6E-4
4.75	2.6E-2	-	-	6.5E-3	1.5E-2	2.9E-3	2.6E-4
5	2.3E-2	4.2E-5	1.3E-2	4.6E-3	1.4E-2	2.8E-3	2.6E-4
5.5	2.0E-2	-	-	2.3E-3	1.4E-2	2.8E-3	2.5E-4
6	1.8E-2	2.8E-5	3.2E-3	1.3E-3	1.3E-2	2.7E-3	2.4E-4
6.5	1.7E-2	-	-	7.6E-4	1.2E-2	2.6E-3	2.3E-4
7	1.6E-2	2.1E-5	8.4E-4	5.1E-4	1.2E-2	2.5E-3	2.3E-4
7.5	1.5E-2	-	-	3.8E-4	1.1E-2	2.5E-3	2.2E-4
8	1.5E-2	1.7E-5	3.1E-4	3.1E-4	1.1E-2	2.4E-3	2.1E-4
8.5	1.4E-2	-	-	2.6E-4	1.0E-2	2.3E-3	2.1E-4
9	1.4E-2	1.5E-5	1.7E-4	2.3E-4	9.8E-3	2.3E-3	2.0E-4
9.5	1.3E-2	-	-	2.0E-4	9.4E-3	2.2E-3	2.0E-4
10	1.2E-2	1.3E-5	1.2E-4	1.8E-4	9.0E-3	2.1E-3	1.9E-4
11	1.1E-2	1.2E-5	9.1E-5	1.4E-4	8.3E-3	2.0E-3	1.8E-4
12	1.1E-2	1.1E-5	7.1E-5	1.1E-4	7.6E-3	1.9E-3	1.7E-4
13	9.7E-3	9.6E-6	5.6E-5	9.3E-5	7.0E-3	1.8E-3	1.6E-4
14	9.0E-3	8.8E-6	4.5E-5	7.6E-5	6.4E-3	1.7E-3	1.5E-4
15	8.3E-3	8.0E-6	3.6E-5	6.3E-5	5.9E-3	1.6E-3	1.4E-4
16	7.7E-3	7.3E-6	2.9E-5	5.3E-5	5.4E-3	1.5E-3	1.3E-4
17	7.1E-3	6.7E-6	2.4E-5	4.5E-5	5.0E-3	1.4E-3	1.2E-4
18	6.6E-3	6.1E-6	2.0E-5	3.8E-5	4.6E-3	1.3E-3	1.1E-4
19	6.1E-3	5.6E-6	1.7E-5	3.3E-5	4.2E-3	1.2E-3	1.1E-4
20	5.6E-3	5.1E-6	1.4E-5	2.9E-5	3.9E-3	1.1E-3	1.0E-4
21	5.2E-3	4.7E-6	1.2E-5	2.5E-5	3.6E-3	1.1E-3	9.4E-5
22	4.8E-3	4.3E-6	1.0E-5	2.2E-5	3.3E-3	1.0E-3	8.8E-5
23	4.5E-3	4.0E-6	8.9E-6	2.0E-5	3.1E-3	9.5E-4	8.2E-5
24	4.1E-3	3.7E-6	7.8E-6	1.8E-5	2.8E-3	8.9E-4	7.7E-5
25	3.8E-3	3.4E-6	6.8E-6	1.6E-5	2.6E-3	8.3E-4	7.2E-5
26	3.5E-3	3.1E-6	6.0E-6	1.4E-5	2.4E-3	7.8E-4	6.8E-5
27	3.3E-3	2.8E-6	5.4E-6	1.3E-5	2.2E-3	7.3E-4	6.3E-5
28	3.0E-3	2.6E-6	4.8E-6	1.2E-5	2.0E-3	6.9E-4	5.9E-5
29	2.8E-3	2.4E-6	4.3E-6	1.1E-5	1.9E-3	6.4E-4	5.5E-5
30	2.6E-3	2.2E-6	3.9E-6	1.0E-5	1.7E-3	6.0E-4	5.2E-5
31	2.4E-3	2.0E-6	3.5E-6	9.2E-6	1.6E-3	5.7E-4	4.9E-5
32	2.2E-3	1.9E-6	3.2E-6	8.4E-6	1.5E-3	5.3E-4	4.5E-5
33	2.1E-3	1.7E-6	2.9E-6	7.8E-6	1.4E-3	5.0E-4	4.2E-5
34	1.9E-3	1.6E-6	2.7E-6	7.2E-6	1.3E-3	4.7E-4	4.0E-5
35	1.8E-3	1.5E-6	2.4E-6	6.6E-6	1.2E-3	4.4E-4	3.7E-5
36	1.7E-3	1.4E-6	2.2E-6	6.1E-6	1.1E-3	4.1E-4	3.5E-5
37	1.5E-3	1.3E-6	2.1E-6	5.6E-6	9.9E-4	3.8E-4	3.3E-5
38	1.4E-3	1.2E-6	1.9E-6	5.2E-6	9.1E-4	3.6E-4	3.0E-5
39	1.3E-3	1.1E-6	1.7E-6	4.8E-6	8.4E-4	3.4E-4	2.8E-5
40	1.2E-3	9.9E-7	1.6E-6	4.4E-6	7.8E-4	3.1E-4	2.7E-5
41	1.1E-3	9.1E-7	1.5E-6	4.1E-6	7.2E-4	2.9E-4	2.5E-5
42	1.1E-3	8.4E-7	1.3E-6	3.8E-6	6.6E-4	2.8E-4	2.3E-5
43	9.8E-4	7.8E-7	1.2E-6	3.5E-6	6.1E-4	2.6E-4	2.2E-5
44	9.0E-4	7.2E-7	1.1E-6	3.2E-6	5.6E-4	2.4E-4	2.0E-5
45	8.4E-4	6.6E-7	1.0E-6	3.0E-6	5.2E-4	2.3E-4	1.9E-5
46	7.8E-4	6.1E-7	9.6E-7	2.8E-6	4.8E-4	2.1E-4	1.8E-5
47	7.2E-4	5.7E-7	8.9E-7	2.6E-6	4.4E-4	2.0E-4	1.7E-5
48	6.7E-4	5.2E-7	8.2E-7	2.4E-6	4.1E-4	1.9E-4	1.5E-5
49	6.2E-4	4.8E-7	7.5E-7	2.2E-6	3.8E-4	1.7E-4	1.4E-5
50	5.7E-4	4.5E-7	6.9E-7	2.0E-6	3.5E-4	1.6E-4	1.3E-5
51	5.3E-4	4.1E-7	6.4E-7	1.9E-6	3.2E-4	1.5E-4	1.3E-5
52	4.9E-4	3.8E-7	5.9E-7	1.7E-6	3.0E-4	1.4E-4	1.2E-5
53	4.6E-4	3.5E-7	5.4E-7	1.6E-6	2.7E-4	1.3E-4	1.1E-5
54	4.2E-4	3.2E-7	5.0E-7	1.5E-6	2.5E-4	1.2E-4	1.0E-5
55	3.9E-4	3.0E-7	4.6E-7	1.4E-6	2.3E-4	1.2E-4	9.6E-6
56	3.6E-4	2.8E-7	4.2E-7	1.3E-6	2.1E-4	1.1E-4	8.9E-6
57	3.4E-4	2.6E-7	3.9E-7	1.2E-6	2.0E-4	1.0E-4	8.3E-6
58	3.1E-4	2.4E-7	3.6E-7	1.1E-6	1.8E-4	9.5E-5	7.8E-6
59	2.9E-4	2.2E-7	3.3E-7	1.0E-6	1.7E-4	8.8E-5	7.3E-6
60	2.7E-4	2.0E-7	3.1E-7	9.4E-7	1.5E-4	8.3E-5	6.8E-6
61	2.5E-4	1.9E-7	2.8E-7	8.7E-7	1.4E-4	7.7E-5	6.3E-6
62	2.3E-4	1.7E-7	2.6E-7	8.1E-7	1.3E-4	7.2E-5	5.9E-6
63	2.1E-4	1.6E-7	2.4E-7	7.5E-7	1.2E-4	6.7E-5	5.5E-6
64	2.0E-4	1.5E-7	2.2E-7	6.9E-7	1.1E-4	6.3E-5	5.1E-6
65	1.8E-4	1.4E-7	2.0E-7	6.4E-7	1.0E-4	5.9E-5	4.8E-6
66	1.7E-4	1.3E-7	1.9E-7	5.9E-7	9.6E-5	5.5E-5	4.5E-6
67	1.6E-4	1.2E-7	1.7E-7	5.5E-7	8.8E-5	5.1E-5	4.2E-6
68	1.5E-4	1.1E-7	1.6E-7	5.1E-7	8.1E-5	4.8E-5	3.9E-6
69	1.4E-4	9.9E-8	1.5E-7	4.7E-7	7.5E-5	4.5E-5	3.6E-6
70	1.3E-4	9.1E-8	1.4E-7	4.3E-7	6.9E-5	4.2E-5	3.4E-6
71	1.2E-4	8.4E-8	1.2E-7	4.0E-7	6.4E-5	3.9E-5	3.2E-6
72	1.1E-4	7.8E-8	1.2E-7	3.7E-7	5.9E-5	3.7E-5	3.0E-6
73	1.0E-4	7.2E-8	1.1E-7	3.4E-7	5.4E-5	3.4E-5	2.8E-6
74	9.4E-5	6.6E-8	9.8E-8	3.2E-7	5.0E-5	3.2E-5	2.6E-6
75	8.7E-5	6.1E-8	9.0E-8	3.0E-7	4.6E-5	3.0E-5	2.4E-6
76	8.0E-5	5.7E-8	8.3E-8	2.7E-7	4.3E-5	2.8E-5	2.2E-6
77	7.5E-5	5.2E-8	7.6E-8	2.5E-7	3.9E-5	2.6E-5	2.1E-6
78	6.9E-5	4.8E-8	7.0E-8	2.3E-7	3.6E-5	2.4E-5	1.9E-6
79	6.4E-5	4.5E-8	6.5E-8	2.2E-7	3.4E-5	2.3E-5	1.8E-6
80	5.9E-5	4.1E-8	6.0E-8	2.0E-7	3.1E-5	2.1E-5	1.7E-6
81	5.5E-5	3.8E-8	5.5E-8	1.9E-7	2.9E-5	2.0E-5	1.6E-6
82	5.1E-5	3.5E-8	5.1E-8	1.7E-7	2.6E-5	1.8E-5	1.5E-6
83	4.7E-5	3.3E-8	4.7E-8	1.6E-7	2.4E-5	1.7E-5	1.4E-6
84	4.4E-5	3.0E-8	4.3E-8	1.5E-7	2.2E-5	1.6E-5	1.3E-6
85	4.1E-5	2.8E-8	4.0E-8	1.4E-7	2.1E-5	1.5E-5	1.2E-6
86	3.8E-5	2.6E-8	3.7E-8	1.3E-7	1.9E-5	1.4E-5	1.1E-6
87	3.5E-5	2.4E-8	3.4E-8	1.2E-7	1.8E-5	1.3E-5	1.0E-6
88	3.3E-5	2.2E-8	3.1E-8	1.1E-7	1.6E-5	1.2E-5	9.6E-7
