Radionuclide	Pa-230
Route of Intake	Inhalation
Material	Aerosols Type M, Hydroxide, fA=1E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.4E-1	-	-	2.0E-1	4.2E-1	1.1E-3	1.1E-3
0.083333	9.3E-1	-	-	2.4E-1	4.0E-1	2.5E-3	1.9E-3
0.125	9.2E-1	-	-	2.7E-1	3.8E-1	4.0E-3	2.5E-3
0.25	9.0E-1	-	-	3.3E-1	3.4E-1	9.3E-3	3.6E-3
0.375	8.8E-1	-	-	3.7E-1	3.2E-1	1.5E-2	4.1E-3
0.5	8.6E-1	-	-	3.9E-1	3.0E-1	2.0E-2	4.2E-3
0.625	8.4E-1	-	-	4.0E-1	2.9E-1	2.4E-2	4.1E-3
0.75	8.2E-1	-	-	4.1E-1	2.8E-1	2.8E-2	4.0E-3
0.875	7.9E-1	-	-	4.0E-1	2.7E-1	3.0E-2	3.9E-3
1	7.7E-1	2.4E-3	6.5E-2	3.9E-1	2.7E-1	3.3E-2	3.7E-3
1.125	7.4E-1	-	-	3.8E-1	2.6E-1	3.5E-2	3.6E-3
1.25	7.0E-1	-	-	3.6E-1	2.5E-1	3.6E-2	3.5E-3
1.375	6.7E-1	-	-	3.4E-1	2.5E-1	3.8E-2	3.5E-3
1.5	6.4E-1	-	-	3.1E-1	2.4E-1	3.9E-2	3.4E-3
1.625	6.1E-1	-	-	2.9E-1	2.4E-1	3.9E-2	3.4E-3
1.75	5.8E-1	-	-	2.7E-1	2.3E-1	4.0E-2	3.4E-3
1.875	5.5E-1	-	-	2.5E-1	2.3E-1	4.1E-2	3.3E-3
2	5.2E-1	1.0E-3	2.0E-1	2.2E-1	2.2E-1	4.1E-2	3.3E-3
2.25	4.7E-1	-	-	1.8E-1	2.1E-1	4.2E-2	3.3E-3
2.5	4.3E-1	-	-	1.5E-1	2.0E-1	4.3E-2	3.3E-3
2.75	3.9E-1	-	-	1.2E-1	1.9E-1	4.3E-2	3.3E-3
3	3.6E-1	4.2E-4	1.4E-1	1.0E-1	1.9E-1	4.4E-2	3.3E-3
3.25	3.3E-1	-	-	8.3E-2	1.8E-1	4.4E-2	3.3E-3
3.5	3.1E-1	-	-	7.0E-2	1.7E-1	4.4E-2	3.3E-3
3.75	2.9E-1	-	-	5.9E-2	1.7E-1	4.4E-2	3.3E-3
4	2.8E-1	3.1E-4	6.5E-2	5.1E-2	1.6E-1	4.5E-2	3.3E-3
4.25	2.7E-1	-	-	4.4E-2	1.6E-1	4.5E-2	3.3E-3
4.5	2.6E-1	-	-	3.9E-2	1.5E-1	4.5E-2	3.3E-3
4.75	2.5E-1	-	-	3.5E-2	1.4E-1	4.5E-2	3.3E-3
5	2.4E-1	2.5E-4	3.1E-2	3.2E-2	1.4E-1	4.5E-2	3.3E-3
5.5	2.2E-1	-	-	2.7E-2	1.3E-1	4.5E-2	3.3E-3
6	2.1E-1	2.1E-4	1.9E-2	2.3E-2	1.2E-1	4.5E-2	3.3E-3
6.5	2.0E-1	-	-	2.0E-2	1.1E-1	4.4E-2	3.2E-3
7	1.9E-1	1.7E-4	1.3E-2	1.8E-2	1.1E-1	4.4E-2	3.2E-3
7.5	1.8E-1	-	-	1.6E-2	1.0E-1	4.4E-2	3.2E-3
8	1.7E-1	1.5E-4	1.0E-2	1.4E-2	9.7E-2	4.3E-2	3.1E-3
8.5	1.6E-1	-	-	1.2E-2	9.2E-2	4.3E-2	3.1E-3
9	1.6E-1	1.3E-4	7.8E-3	1.1E-2	8.7E-2	4.2E-2	3.0E-3
9.5	1.5E-1	-	-	9.7E-3	8.3E-2	4.2E-2	3.0E-3
10	1.4E-1	1.1E-4	6.1E-3	8.6E-3	7.9E-2	4.1E-2	3.0E-3
11	1.3E-1	1.0E-4	4.8E-3	6.8E-3	7.2E-2	4.0E-2	2.9E-3
12	1.2E-1	8.9E-5	3.8E-3	5.4E-3	6.6E-2	3.9E-2	2.8E-3
13	1.2E-1	8.1E-5	3.0E-3	4.3E-3	6.1E-2	3.8E-2	2.7E-3
14	1.1E-1	7.3E-5	2.4E-3	3.4E-3	5.7E-2	3.6E-2	2.6E-3
15	1.0E-1	6.7E-5	1.9E-3	2.7E-3	5.3E-2	3.5E-2	2.5E-3
16	9.7E-2	6.1E-5	1.5E-3	2.2E-3	5.0E-2	3.4E-2	2.4E-3
17	9.2E-2	5.6E-5	1.2E-3	1.8E-3	4.7E-2	3.3E-2	2.3E-3
18	8.8E-2	5.2E-5	9.3E-4	1.4E-3	4.4E-2	3.2E-2	2.3E-3
19	8.4E-2	4.8E-5	7.4E-4	1.2E-3	4.2E-2	3.1E-2	2.2E-3
20	8.0E-2	4.5E-5	6.0E-4	9.8E-4	3.9E-2	3.0E-2	2.1E-3
21	7.6E-2	4.1E-5	4.8E-4	8.1E-4	3.7E-2	2.9E-2	2.0E-3
22	7.3E-2	3.9E-5	3.9E-4	6.8E-4	3.5E-2	2.8E-2	2.0E-3
23	6.9E-2	3.6E-5	3.2E-4	5.8E-4	3.4E-2	2.7E-2	1.9E-3
24	6.6E-2	3.3E-5	2.6E-4	4.9E-4	3.2E-2	2.6E-2	1.8E-3
25	6.4E-2	3.1E-5	2.1E-4	4.3E-4	3.0E-2	2.5E-2	1.8E-3
26	6.1E-2	2.9E-5	1.8E-4	3.7E-4	2.9E-2	2.4E-2	1.7E-3
27	5.8E-2	2.7E-5	1.5E-4	3.3E-4	2.7E-2	2.3E-2	1.6E-3
28	5.6E-2	2.5E-5	1.3E-4	2.9E-4	2.6E-2	2.2E-2	1.6E-3
29	5.4E-2	2.4E-5	1.1E-4	2.6E-4	2.5E-2	2.2E-2	1.5E-3
30	5.1E-2	2.2E-5	9.3E-5	2.4E-4	2.4E-2	2.1E-2	1.5E-3
31	4.9E-2	2.1E-5	8.1E-5	2.2E-4	2.3E-2	2.0E-2	1.4E-3
32	4.7E-2	2.0E-5	7.1E-5	2.0E-4	2.2E-2	1.9E-2	1.4E-3
33	4.5E-2	1.8E-5	6.3E-5	1.9E-4	2.1E-2	1.9E-2	1.3E-3
34	4.3E-2	1.7E-5	5.6E-5	1.7E-4	2.0E-2	1.8E-2	1.3E-3
35	4.2E-2	1.6E-5	5.1E-5	1.6E-4	1.9E-2	1.7E-2	1.2E-3
36	4.0E-2	1.5E-5	4.6E-5	1.5E-4	1.8E-2	1.7E-2	1.2E-3
37	3.8E-2	1.4E-5	4.2E-5	1.4E-4	1.7E-2	1.6E-2	1.1E-3
38	3.7E-2	1.3E-5	3.9E-5	1.4E-4	1.6E-2	1.6E-2	1.1E-3
39	3.5E-2	1.3E-5	3.6E-5	1.3E-4	1.6E-2	1.5E-2	1.1E-3
40	3.4E-2	1.2E-5	3.4E-5	1.2E-4	1.5E-2	1.5E-2	1.0E-3
41	3.3E-2	1.1E-5	3.1E-5	1.2E-4	1.4E-2	1.4E-2	9.8E-4
42	3.1E-2	1.1E-5	2.9E-5	1.1E-4	1.3E-2	1.4E-2	9.4E-4
43	3.0E-2	9.9E-6	2.8E-5	1.1E-4	1.3E-2	1.3E-2	9.1E-4
44	2.9E-2	9.4E-6	2.6E-5	1.0E-4	1.2E-2	1.3E-2	8.7E-4
45	2.8E-2	8.8E-6	2.5E-5	9.7E-5	1.2E-2	1.2E-2	8.4E-4
46	2.7E-2	8.3E-6	2.3E-5	9.3E-5	1.1E-2	1.2E-2	8.1E-4
47	2.5E-2	7.9E-6	2.2E-5	8.9E-5	1.1E-2	1.1E-2	7.8E-4
48	2.4E-2	7.4E-6	2.1E-5	8.5E-5	1.0E-2	1.1E-2	7.5E-4
49	2.3E-2	7.0E-6	2.0E-5	8.1E-5	9.7E-3	1.1E-2	7.3E-4
50	2.3E-2	6.6E-6	1.9E-5	7.8E-5	9.3E-3	1.0E-2	7.0E-4
51	2.2E-2	6.2E-6	1.8E-5	7.5E-5	8.9E-3	9.8E-3	6.7E-4
52	2.1E-2	5.9E-6	1.7E-5	7.2E-5	8.5E-3	9.4E-3	6.5E-4
53	2.0E-2	5.6E-6	1.6E-5	6.9E-5	8.1E-3	9.1E-3	6.3E-4
54	1.9E-2	5.3E-6	1.5E-5	6.6E-5	7.7E-3	8.8E-3	6.0E-4
55	1.8E-2	5.0E-6	1.5E-5	6.3E-5	7.3E-3	8.5E-3	5.8E-4
56	1.8E-2	4.7E-6	1.4E-5	6.0E-5	7.0E-3	8.2E-3	5.6E-4
57	1.7E-2	4.5E-6	1.3E-5	5.8E-5	6.7E-3	7.9E-3	5.4E-4
58	1.6E-2	4.2E-6	1.3E-5	5.6E-5	6.4E-3	7.6E-3	5.2E-4
59	1.6E-2	4.0E-6	1.2E-5	5.3E-5	6.1E-3	7.3E-3	5.0E-4
60	1.5E-2	3.8E-6	1.1E-5	5.1E-5	5.8E-3	7.0E-3	4.8E-4
61	1.4E-2	3.6E-6	1.1E-5	4.9E-5	5.6E-3	6.8E-3	4.6E-4
62	1.4E-2	3.4E-6	1.0E-5	4.7E-5	5.3E-3	6.5E-3	4.5E-4
63	1.3E-2	3.2E-6	9.9E-6	4.5E-5	5.1E-3	6.3E-3	4.3E-4
64	1.3E-2	3.1E-6	9.5E-6	4.3E-5	4.8E-3	6.1E-3	4.1E-4
65	1.2E-2	2.9E-6	9.0E-6	4.1E-5	4.6E-3	5.9E-3	4.0E-4
66	1.2E-2	2.7E-6	8.6E-6	4.0E-5	4.4E-3	5.6E-3	3.8E-4
67	1.1E-2	2.6E-6	8.2E-6	3.8E-5	4.2E-3	5.4E-3	3.7E-4
68	1.1E-2	2.5E-6	7.8E-6	3.7E-5	4.0E-3	5.2E-3	3.6E-4
69	1.0E-2	2.3E-6	7.5E-6	3.5E-5	3.8E-3	5.1E-3	3.4E-4
70	9.9E-3	2.2E-6	7.1E-6	3.4E-5	3.6E-3	4.9E-3	3.3E-4
71	9.5E-3	2.1E-6	6.8E-6	3.2E-5	3.5E-3	4.7E-3	3.2E-4
72	9.2E-3	2.0E-6	6.5E-6	3.1E-5	3.3E-3	4.5E-3	3.1E-4
73	8.8E-3	1.9E-6	6.2E-6	3.0E-5	3.2E-3	4.4E-3	3.0E-4
74	8.4E-3	1.8E-6	5.9E-6	2.9E-5	3.0E-3	4.2E-3	2.8E-4
75	8.1E-3	1.7E-6	5.6E-6	2.7E-5	2.9E-3	4.0E-3	2.7E-4
76	7.8E-3	1.6E-6	5.3E-6	2.6E-5	2.8E-3	3.9E-3	2.6E-4
77	7.5E-3	1.6E-6	5.1E-6	2.5E-5	2.6E-3	3.8E-3	2.5E-4
78	7.2E-3	1.5E-6	4.9E-6	2.4E-5	2.5E-3	3.6E-3	2.4E-4
79	6.9E-3	1.4E-6	4.6E-6	2.3E-5	2.4E-3	3.5E-3	2.4E-4
80	6.6E-3	1.3E-6	4.4E-6	2.2E-5	2.3E-3	3.4E-3	2.3E-4
81	6.4E-3	1.3E-6	4.2E-6	2.1E-5	2.2E-3	3.2E-3	2.2E-4
82	6.1E-3	1.2E-6	4.0E-6	2.0E-5	2.1E-3	3.1E-3	2.1E-4
83	5.9E-3	1.2E-6	3.8E-6	2.0E-5	2.0E-3	3.0E-3	2.0E-4
84	5.6E-3	1.1E-6	3.7E-6	1.9E-5	1.9E-3	2.9E-3	1.9E-4
85	5.4E-3	1.0E-6	3.5E-6	1.8E-5	1.8E-3	2.8E-3	1.9E-4
