Radionuclide	V-49
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.2E-1	-	-	3.2E-2	9.6E-2	1.3E-2	1.8E-2
0.083333	3.2E-1	-	-	3.6E-2	4.5E-2	1.6E-2	2.1E-2
0.125	3.1E-1	-	-	3.7E-2	2.8E-2	1.6E-2	2.1E-2
0.25	2.9E-1	-	-	3.8E-2	1.7E-2	1.6E-2	1.9E-2
0.375	2.7E-1	-	-	3.8E-2	1.4E-2	1.5E-2	1.8E-2
0.5	2.6E-1	-	-	3.9E-2	1.3E-2	1.5E-2	1.7E-2
0.625	2.5E-1	-	-	4.0E-2	1.2E-2	1.5E-2	1.6E-2
0.75	2.5E-1	-	-	3.9E-2	1.2E-2	1.5E-2	1.6E-2
0.875	2.4E-1	-	-	3.9E-2	1.2E-2	1.5E-2	1.6E-2
1	2.4E-1	7.1E-2	5.6E-3	3.8E-2	1.1E-2	1.5E-2	1.5E-2
1.125	2.3E-1	-	-	3.6E-2	1.1E-2	1.5E-2	1.5E-2
1.25	2.3E-1	-	-	3.4E-2	1.1E-2	1.5E-2	1.4E-2
1.375	2.2E-1	-	-	3.3E-2	1.0E-2	1.5E-2	1.4E-2
1.5	2.2E-1	-	-	3.1E-2	1.0E-2	1.6E-2	1.4E-2
1.625	2.2E-1	-	-	2.8E-2	9.9E-3	1.6E-2	1.3E-2
1.75	2.1E-1	-	-	2.6E-2	9.6E-3	1.6E-2	1.3E-2
1.875	2.1E-1	-	-	2.5E-2	9.4E-3	1.6E-2	1.3E-2
2	2.0E-1	1.6E-2	1.7E-2	2.3E-2	9.1E-3	1.6E-2	1.2E-2
2.25	2.0E-1	-	-	1.9E-2	8.7E-3	1.6E-2	1.2E-2
2.5	1.9E-1	-	-	1.6E-2	8.3E-3	1.6E-2	1.1E-2
2.75	1.9E-1	-	-	1.4E-2	7.9E-3	1.6E-2	1.1E-2
3	1.8E-1	1.1E-2	1.1E-2	1.2E-2	7.5E-3	1.6E-2	1.0E-2
3.25	1.8E-1	-	-	1.0E-2	7.2E-3	1.6E-2	9.6E-3
3.5	1.7E-1	-	-	9.2E-3	6.9E-3	1.6E-2	9.2E-3
3.75	1.7E-1	-	-	8.3E-3	6.6E-3	1.6E-2	8.8E-3
4	1.7E-1	9.2E-3	4.5E-3	7.5E-3	6.3E-3	1.6E-2	8.5E-3
4.25	1.7E-1	-	-	7.0E-3	6.0E-3	1.6E-2	8.1E-3
4.5	1.6E-1	-	-	6.5E-3	5.8E-3	1.6E-2	7.8E-3
4.75	1.6E-1	-	-	6.1E-3	5.6E-3	1.6E-2	7.5E-3
5	1.6E-1	8.0E-3	1.8E-3	5.8E-3	5.4E-3	1.6E-2	7.3E-3
5.5	1.5E-1	-	-	5.3E-3	5.0E-3	1.7E-2	6.8E-3
6	1.5E-1	7.1E-3	9.2E-4	5.0E-3	4.7E-3	1.7E-2	6.4E-3
6.5	1.5E-1	-	-	4.7E-3	4.4E-3	1.7E-2	6.0E-3
7	1.4E-1	6.3E-3	6.4E-4	4.5E-3	4.1E-3	1.7E-2	5.7E-3
7.5	1.4E-1	-	-	4.3E-3	3.9E-3	1.7E-2	5.4E-3
8	1.4E-1	5.7E-3	5.2E-4	4.1E-3	3.7E-3	1.7E-2	5.1E-3
8.5	1.3E-1	-	-	3.9E-3	3.5E-3	1.7E-2	4.9E-3
