Radionuclide	Pm-144
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.4E-1	-	-	2.0E-1	4.3E-1	1.5E-3	2.0E-3
0.083333	9.3E-1	-	-	2.4E-1	4.0E-1	3.5E-3	4.6E-3
0.125	9.2E-1	-	-	2.7E-1	3.8E-1	5.5E-3	7.1E-3
0.25	9.1E-1	-	-	3.3E-1	3.4E-1	1.1E-2	1.4E-2
0.375	8.9E-1	-	-	3.7E-1	3.2E-1	1.6E-2	2.0E-2
0.5	8.8E-1	-	-	4.0E-1	2.9E-1	2.0E-2	2.6E-2
0.625	8.6E-1	-	-	4.1E-1	2.8E-1	2.4E-2	3.1E-2
0.75	8.4E-1	-	-	4.2E-1	2.6E-1	2.8E-2	3.6E-2
0.875	8.2E-1	-	-	4.1E-1	2.5E-1	3.1E-2	4.0E-2
1	7.9E-1	6.4E-3	6.8E-2	4.0E-1	2.4E-1	3.4E-2	4.4E-2
1.125	7.6E-1	-	-	3.9E-1	2.2E-1	3.7E-2	4.7E-2
1.25	7.3E-1	-	-	3.7E-1	2.1E-1	3.9E-2	5.0E-2
1.375	7.0E-1	-	-	3.5E-1	2.1E-1	4.1E-2	5.3E-2
1.5	6.7E-1	-	-	3.3E-1	2.0E-1	4.3E-2	5.5E-2
1.625	6.4E-1	-	-	3.0E-1	1.9E-1	4.5E-2	5.8E-2
1.75	6.1E-1	-	-	2.8E-1	1.8E-1	4.6E-2	6.0E-2
1.875	5.8E-1	-	-	2.6E-1	1.8E-1	4.8E-2	6.2E-2
2	5.6E-1	3.5E-3	2.2E-1	2.3E-1	1.7E-1	4.9E-2	6.3E-2
2.25	5.1E-1	-	-	1.9E-1	1.6E-1	5.1E-2	6.6E-2
2.5	4.6E-1	-	-	1.6E-1	1.6E-1	5.3E-2	6.8E-2
2.75	4.3E-1	-	-	1.3E-1	1.5E-1	5.5E-2	7.0E-2
3	4.0E-1	1.7E-3	1.5E-1	1.0E-1	1.4E-1	5.6E-2	7.2E-2
3.25	3.8E-1	-	-	8.2E-2	1.4E-1	5.7E-2	7.3E-2
3.5	3.6E-1	-	-	6.7E-2	1.3E-1	5.8E-2	7.4E-2
3.75	3.4E-1	-	-	5.5E-2	1.3E-1	5.8E-2	7.5E-2
4	3.3E-1	8.3E-4	6.9E-2	4.6E-2	1.2E-1	5.9E-2	7.5E-2
4.25	3.2E-1	-	-	4.0E-2	1.2E-1	5.9E-2	7.6E-2
4.5	3.1E-1	-	-	3.4E-2	1.2E-1	6.0E-2	7.6E-2
4.75	3.0E-1	-	-	3.0E-2	1.1E-1	6.0E-2	7.6E-2
5	3.0E-1	4.6E-4	3.1E-2	2.7E-2	1.1E-1	6.0E-2	7.7E-2
5.5	2.9E-1	-	-	2.2E-2	1.1E-1	6.0E-2	7.7E-2
6	2.8E-1	2.9E-4	1.7E-2	1.9E-2	1.0E-1	6.0E-2	7.7E-2
6.5	2.7E-1	-	-	1.7E-2	9.8E-2	6.1E-2	7.7E-2
7	2.7E-1	2.1E-4	1.2E-2	1.5E-2	9.4E-2	6.1E-2	7.7E-2
7.5	2.6E-1	-	-	1.4E-2	9.1E-2	6.1E-2	7.7E-2
8	2.6E-1	1.7E-4	8.9E-3	1.2E-2	8.8E-2	6.1E-2	7.7E-2
8.5	2.5E-1	-	-	1.1E-2	8.5E-2	6.1E-2	7.7E-2
9	2.5E-1	1.5E-4	7.2E-3	1.0E-2	8.2E-2	6.1E-2	7.7E-2
9.5	2.5E-1	-	-	9.3E-3	8.0E-2	6.1E-2	7.7E-2
10	2.4E-1	1.3E-4	5.9E-3	8.5E-3	7.8E-2	6.1E-2	7.7E-2
11	2.4E-1	1.2E-4	4.9E-3	7.1E-3	7.4E-2	6.1E-2	7.6E-2
12	2.3E-1	1.1E-4	4.0E-3	5.9E-3	7.1E-2	6.1E-2	7.6E-2
13	2.3E-1	1.0E-4	3.3E-3	5.0E-3	6.9E-2	6.1E-2	7.6E-2
14	2.3E-1	9.3E-5	2.7E-3	4.2E-3	6.7E-2	6.0E-2	7.6E-2
15	2.2E-1	8.5E-5	2.3E-3	3.5E-3	6.5E-2	6.0E-2	7.6E-2
16	2.2E-1	7.8E-5	1.9E-3	3.0E-3	6.3E-2	6.0E-2	7.5E-2
17	2.2E-1	7.2E-5	1.6E-3	2.6E-3	6.2E-2	6.0E-2	7.5E-2
18	2.2E-1	6.7E-5	1.3E-3	2.3E-3	6.1E-2	6.0E-2	7.5E-2
19	2.1E-1	6.2E-5	1.1E-3	2.0E-3	6.0E-2	6.0E-2	7.5E-2
20	2.1E-1	5.7E-5	9.7E-4	1.7E-3	5.9E-2	6.0E-2	7.5E-2
21	2.1E-1	5.3E-5	8.3E-4	1.6E-3	5.8E-2	6.0E-2	7.4E-2
22	2.1E-1	5.0E-5	7.1E-4	1.4E-3	5.8E-2	6.0E-2	7.4E-2
23	2.1E-1	4.6E-5	6.2E-4	1.3E-3	5.7E-2	6.0E-2	7.4E-2
24	2.1E-1	4.3E-5	5.4E-4	1.2E-3	5.7E-2	6.0E-2	7.4E-2
25	2.1E-1	4.1E-5	4.8E-4	1.1E-3	5.6E-2	6.0E-2	7.4E-2
26	2.1E-1	3.8E-5	4.3E-4	1.0E-3	5.5E-2	6.0E-2	7.3E-2
27	2.1E-1	3.6E-5	3.8E-4	9.4E-4	5.5E-2	6.0E-2	7.3E-2
28	2.1E-1	3.4E-5	3.5E-4	8.9E-4	5.5E-2	6.0E-2	7.3E-2
29	2.0E-1	3.2E-5	3.2E-4	8.4E-4	5.4E-2	6.0E-2	7.3E-2
30	2.0E-1	3.0E-5	2.9E-4	8.1E-4	5.4E-2	6.0E-2	7.3E-2
31	2.0E-1	2.9E-5	2.7E-4	7.8E-4	5.3E-2	6.0E-2	7.2E-2
32	2.0E-1	2.8E-5	2.6E-4	7.5E-4	5.3E-2	6.0E-2	7.2E-2
33	2.0E-1	2.6E-5	2.4E-4	7.3E-4	5.3E-2	5.9E-2	7.2E-2
34	2.0E-1	2.5E-5	2.3E-4	7.1E-4	5.2E-2	5.9E-2	7.2E-2
35	2.0E-1	2.4E-5	2.2E-4	7.0E-4	5.2E-2	5.9E-2	7.2E-2
36	2.0E-1	2.3E-5	2.1E-4	6.9E-4	5.2E-2	5.9E-2	7.2E-2
37	2.0E-1	2.2E-5	2.0E-4	6.7E-4	5.1E-2	5.9E-2	7.1E-2
38	2.0E-1	2.2E-5	2.0E-4	6.6E-4	5.1E-2	5.9E-2	7.1E-2
39	2.0E-1	2.1E-5	1.9E-4	6.5E-4	5.1E-2	5.9E-2	7.1E-2
40	2.0E-1	2.0E-5	1.9E-4	6.4E-4	5.0E-2	5.9E-2	7.1E-2
41	2.0E-1	2.0E-5	1.8E-4	6.4E-4	5.0E-2	5.9E-2	7.1E-2
42	2.0E-1	1.9E-5	1.8E-4	6.3E-4	5.0E-2	5.9E-2	7.1E-2
43	2.0E-1	1.9E-5	1.7E-4	6.2E-4	5.0E-2	5.9E-2	7.0E-2
44	2.0E-1	1.8E-5	1.7E-4	6.2E-4	4.9E-2	5.9E-2	7.0E-2
45	1.9E-1	1.8E-5	1.7E-4	6.1E-4	4.9E-2	5.9E-2	7.0E-2
46	1.9E-1	1.8E-5	1.6E-4	6.1E-4	4.9E-2	5.9E-2	7.0E-2
47	1.9E-1	1.7E-5	1.6E-4	6.0E-4	4.8E-2	5.9E-2	7.0E-2
48	1.9E-1	1.7E-5	1.6E-4	6.0E-4	4.8E-2	5.9E-2	7.0E-2
49	1.9E-1	1.7E-5	1.6E-4	5.9E-4	4.8E-2	5.9E-2	6.9E-2
50	1.9E-1	1.6E-5	1.5E-4	5.9E-4	4.8E-2	5.9E-2	6.9E-2
51	1.9E-1	1.6E-5	1.5E-4	5.8E-4	4.7E-2	5.8E-2	6.9E-2
52	1.9E-1	1.6E-5	1.5E-4	5.8E-4	4.7E-2	5.8E-2	6.9E-2
53	1.9E-1	1.6E-5	1.5E-4	5.7E-4	4.7E-2	5.8E-2	6.9E-2
54	1.9E-1	1.5E-5	1.4E-4	5.7E-4	4.7E-2	5.8E-2	6.9E-2
55	1.9E-1	1.5E-5	1.4E-4	5.7E-4	4.6E-2	5.8E-2	6.9E-2
56	1.9E-1	1.5E-5	1.4E-4	5.6E-4	4.6E-2	5.8E-2	6.8E-2
57	1.9E-1	1.5E-5	1.4E-4	5.6E-4	4.6E-2	5.8E-2	6.8E-2
58	1.9E-1	1.5E-5	1.4E-4	5.5E-4	4.5E-2	5.8E-2	6.8E-2
59	1.9E-1	1.5E-5	1.4E-4	5.5E-4	4.5E-2	5.8E-2	6.8E-2
60	1.9E-1	1.5E-5	1.3E-4	5.5E-4	4.5E-2	5.8E-2	6.8E-2
61	1.9E-1	1.4E-5	1.3E-4	5.4E-4	4.5E-2	5.8E-2	6.8E-2
62	1.9E-1	1.4E-5	1.3E-4	5.4E-4	4.4E-2	5.8E-2	6.7E-2
63	1.9E-1	1.4E-5	1.3E-4	5.4E-4	4.4E-2	5.8E-2	6.7E-2
64	1.9E-1	1.4E-5	1.3E-4	5.3E-4	4.4E-2	5.8E-2	6.7E-2
65	1.8E-1	1.4E-5	1.3E-4	5.3E-4	4.4E-2	5.8E-2	6.7E-2
66	1.8E-1	1.4E-5	1.2E-4	5.3E-4	4.3E-2	5.8E-2	6.7E-2
67	1.8E-1	1.4E-5	1.2E-4	5.2E-4	4.3E-2	5.8E-2	6.7E-2
68	1.8E-1	1.4E-5	1.2E-4	5.2E-4	4.3E-2	5.7E-2	6.7E-2
69	1.8E-1	1.4E-5	1.2E-4	5.2E-4	4.3E-2	5.7E-2	6.6E-2
70	1.8E-1	1.4E-5	1.2E-4	5.2E-4	4.3E-2	5.7E-2	6.6E-2
71	1.8E-1	1.4E-5	1.2E-4	5.1E-4	4.2E-2	5.7E-2	6.6E-2
72	1.8E-1	1.4E-5	1.2E-4	5.1E-4	4.2E-2	5.7E-2	6.6E-2
73	1.8E-1	1.3E-5	1.1E-4	5.1E-4	4.2E-2	5.7E-2	6.6E-2
74	1.8E-1	1.3E-5	1.1E-4	5.0E-4	4.2E-2	5.7E-2	6.6E-2
75	1.8E-1	1.3E-5	1.1E-4	5.0E-4	4.1E-2	5.7E-2	6.6E-2
76	1.8E-1	1.3E-5	1.1E-4	5.0E-4	4.1E-2	5.7E-2	6.5E-2
77	1.8E-1	1.3E-5	1.1E-4	5.0E-4	4.1E-2	5.7E-2	6.5E-2
78	1.8E-1	1.3E-5	1.1E-4	4.9E-4	4.1E-2	5.7E-2	6.5E-2
79	1.8E-1	1.3E-5	1.1E-4	4.9E-4	4.0E-2	5.7E-2	6.5E-2
80	1.8E-1	1.3E-5	1.1E-4	4.9E-4	4.0E-2	5.7E-2	6.5E-2
81	1.8E-1	1.3E-5	1.1E-4	4.9E-4	4.0E-2	5.7E-2	6.5E-2
82	1.8E-1	1.3E-5	1.0E-4	4.8E-4	4.0E-2	5.7E-2	6.5E-2
83	1.8E-1	1.3E-5	1.0E-4	4.8E-4	4.0E-2	5.7E-2	6.5E-2
84	1.8E-1	1.3E-5	1.0E-4	4.8E-4	3.9E-2	5.6E-2	6.4E-2
85	1.8E-1	1.3E-5	1.0E-4	4.8E-4	3.9E-2	5.6E-2	6.4E-2
86	1.7E-1	1.3E-5	1.0E-4	4.7E-4	3.9E-2	5.6E-2	6.4E-2
87	1.7E-1	1.3E-5	9.9E-5	4.7E-4	3.9E-2	5.6E-2	6.4E-2
