Radionuclide	Pm-144
Route of Intake	Inhalation
Material	Aerosols Type M, Chloride, oxide, fA=1E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.7E-2	6.8E-1	8.4E-4	1.1E-3
0.083333	8.7E-1	-	-	9.3E-2	6.6E-1	2.0E-3	2.7E-3
0.125	8.7E-1	-	-	1.1E-1	6.5E-1	3.3E-3	4.2E-3
0.25	8.6E-1	-	-	1.3E-1	6.3E-1	6.8E-3	8.8E-3
0.375	8.5E-1	-	-	1.5E-1	6.1E-1	1.0E-2	1.3E-2
0.5	8.5E-1	-	-	1.6E-1	6.0E-1	1.3E-2	1.7E-2
0.625	8.4E-1	-	-	1.7E-1	5.8E-1	1.6E-2	2.0E-2
0.75	8.3E-1	-	-	1.7E-1	5.7E-1	1.8E-2	2.4E-2
0.875	8.2E-1	-	-	1.7E-1	5.6E-1	2.1E-2	2.7E-2
1	8.1E-1	4.3E-3	2.7E-2	1.7E-1	5.5E-1	2.3E-2	2.9E-2
1.125	8.0E-1	-	-	1.7E-1	5.4E-1	2.5E-2	3.2E-2
1.25	7.9E-1	-	-	1.6E-1	5.3E-1	2.7E-2	3.4E-2
1.375	7.8E-1	-	-	1.5E-1	5.3E-1	2.8E-2	3.6E-2
1.5	7.6E-1	-	-	1.5E-1	5.2E-1	3.0E-2	3.8E-2
1.625	7.5E-1	-	-	1.4E-1	5.1E-1	3.1E-2	4.0E-2
1.75	7.4E-1	-	-	1.3E-1	5.1E-1	3.2E-2	4.2E-2
1.875	7.3E-1	-	-	1.2E-1	5.0E-1	3.4E-2	4.3E-2
2	7.1E-1	2.6E-3	9.2E-2	1.1E-1	5.0E-1	3.5E-2	4.4E-2
2.25	6.9E-1	-	-	9.7E-2	4.9E-1	3.6E-2	4.7E-2
2.5	6.7E-1	-	-	8.3E-2	4.8E-1	3.8E-2	4.9E-2
2.75	6.5E-1	-	-	7.1E-2	4.7E-1	3.9E-2	5.0E-2
3	6.4E-1	1.4E-3	7.2E-2	6.2E-2	4.6E-1	4.0E-2	5.2E-2
3.25	6.3E-1	-	-	5.4E-2	4.6E-1	4.1E-2	5.3E-2
3.5	6.1E-1	-	-	4.7E-2	4.5E-1	4.2E-2	5.4E-2
3.75	6.1E-1	-	-	4.2E-2	4.5E-1	4.3E-2	5.5E-2
4	6.0E-1	7.8E-4	4.0E-2	3.8E-2	4.4E-1	4.3E-2	5.5E-2
4.25	5.9E-1	-	-	3.4E-2	4.4E-1	4.4E-2	5.6E-2
4.5	5.8E-1	-	-	3.1E-2	4.3E-1	4.4E-2	5.7E-2
4.75	5.8E-1	-	-	2.9E-2	4.3E-1	4.5E-2	5.7E-2
5	5.7E-1	5.0E-4	2.3E-2	2.7E-2	4.3E-1	4.5E-2	5.7E-2
5.5	5.6E-1	-	-	2.4E-2	4.2E-1	4.6E-2	5.8E-2
6	5.5E-1	3.7E-4	1.6E-2	2.1E-2	4.1E-1	4.6E-2	5.9E-2
6.5	5.5E-1	-	-	1.9E-2	4.1E-1	4.6E-2	5.9E-2
7	5.4E-1	3.0E-4	1.3E-2	1.7E-2	4.0E-1	4.7E-2	6.0E-2
7.5	5.3E-1	-	-	1.6E-2	4.0E-1	4.7E-2	6.0E-2
8	5.3E-1	2.7E-4	1.0E-2	1.4E-2	3.9E-1	4.8E-2	6.0E-2
8.5	5.2E-1	-	-	1.3E-2	3.9E-1	4.8E-2	6.1E-2
9	5.2E-1	2.5E-4	8.4E-3	1.2E-2	3.8E-1	4.8E-2	6.1E-2
9.5	5.1E-1	-	-	1.1E-2	3.8E-1	4.8E-2	6.1E-2
10	5.1E-1	2.3E-4	7.0E-3	1.0E-2	3.7E-1	4.9E-2	6.2E-2
11	5.0E-1	2.2E-4	5.8E-3	8.5E-3	3.7E-1	4.9E-2	6.2E-2
12	5.0E-1	2.1E-4	4.9E-3	7.2E-3	3.6E-1	5.0E-2	6.3E-2
13	4.9E-1	2.1E-4	4.1E-3	6.2E-3	3.6E-1	5.0E-2	6.3E-2
14	4.9E-1	2.0E-4	3.5E-3	5.3E-3	3.5E-1	5.1E-2	6.4E-2
15	4.8E-1	1.9E-4	3.0E-3	4.6E-3	3.5E-1	5.1E-2	6.4E-2
16	4.8E-1	1.9E-4	2.6E-3	4.1E-3	3.4E-1	5.2E-2	6.5E-2
17	4.8E-1	1.8E-4	2.2E-3	3.6E-3	3.4E-1	5.2E-2	6.6E-2
18	4.7E-1	1.8E-4	1.9E-3	3.2E-3	3.4E-1	5.3E-2	6.6E-2
19	4.7E-1	1.7E-4	1.7E-3	2.9E-3	3.3E-1	5.3E-2	6.7E-2
20	4.7E-1	1.7E-4	1.5E-3	2.7E-3	3.3E-1	5.4E-2	6.7E-2
21	4.7E-1	1.7E-4	1.4E-3	2.5E-3	3.2E-1	5.4E-2	6.8E-2
22	4.6E-1	1.6E-4	1.3E-3	2.3E-3	3.2E-1	5.5E-2	6.8E-2
23	4.6E-1	1.6E-4	1.2E-3	2.2E-3	3.2E-1	5.5E-2	6.9E-2
24	4.6E-1	1.6E-4	1.1E-3	2.0E-3	3.2E-1	5.6E-2	6.9E-2
25	4.6E-1	1.5E-4	1.0E-3	2.0E-3	3.1E-1	5.6E-2	6.9E-2
26	4.6E-1	1.5E-4	9.5E-4	1.9E-3	3.1E-1	5.7E-2	7.0E-2
27	4.5E-1	1.5E-4	9.0E-4	1.8E-3	3.1E-1	5.7E-2	7.0E-2
28	4.5E-1	1.5E-4	8.6E-4	1.8E-3	3.0E-1	5.8E-2	7.1E-2
29	4.5E-1	1.4E-4	8.2E-4	1.7E-3	3.0E-1	5.8E-2	7.1E-2
30	4.5E-1	1.4E-4	7.9E-4	1.7E-3	3.0E-1	5.8E-2	7.2E-2
31	4.5E-1	1.4E-4	7.7E-4	1.6E-3	3.0E-1	5.9E-2	7.2E-2
32	4.4E-1	1.4E-4	7.5E-4	1.6E-3	2.9E-1	5.9E-2	7.3E-2
33	4.4E-1	1.4E-4	7.3E-4	1.6E-3	2.9E-1	6.0E-2	7.3E-2
34	4.4E-1	1.3E-4	7.1E-4	1.6E-3	2.9E-1	6.0E-2	7.3E-2
35	4.4E-1	1.3E-4	7.0E-4	1.5E-3	2.9E-1	6.1E-2	7.4E-2
36	4.4E-1	1.3E-4	6.9E-4	1.5E-3	2.8E-1	6.1E-2	7.4E-2
37	4.4E-1	1.3E-4	6.7E-4	1.5E-3	2.8E-1	6.1E-2	7.5E-2
38	4.3E-1	1.3E-4	6.6E-4	1.5E-3	2.8E-1	6.2E-2	7.5E-2
39	4.3E-1	1.3E-4	6.5E-4	1.5E-3	2.8E-1	6.2E-2	7.5E-2
40	4.3E-1	1.3E-4	6.4E-4	1.5E-3	2.7E-1	6.2E-2	7.6E-2
41	4.3E-1	1.3E-4	6.4E-4	1.4E-3	2.7E-1	6.3E-2	7.6E-2
42	4.3E-1	1.2E-4	6.3E-4	1.4E-3	2.7E-1	6.3E-2	7.6E-2
43	4.3E-1	1.2E-4	6.2E-4	1.4E-3	2.7E-1	6.4E-2	7.7E-2
44	4.2E-1	1.2E-4	6.1E-4	1.4E-3	2.6E-1	6.4E-2	7.7E-2
45	4.2E-1	1.2E-4	6.1E-4	1.4E-3	2.6E-1	6.4E-2	7.7E-2
46	4.2E-1	1.2E-4	6.0E-4	1.4E-3	2.6E-1	6.5E-2	7.8E-2
47	4.2E-1	1.2E-4	5.9E-4	1.4E-3	2.6E-1	6.5E-2	7.8E-2
48	4.2E-1	1.2E-4	5.9E-4	1.4E-3	2.5E-1	6.5E-2	7.8E-2
49	4.2E-1	1.2E-4	5.8E-4	1.4E-3	2.5E-1	6.6E-2	7.9E-2
50	4.2E-1	1.2E-4	5.8E-4	1.4E-3	2.5E-1	6.6E-2	7.9E-2
51	4.1E-1	1.1E-4	5.7E-4	1.4E-3	2.5E-1	6.6E-2	7.9E-2
52	4.1E-1	1.1E-4	5.6E-4	1.3E-3	2.5E-1	6.7E-2	8.0E-2
53	4.1E-1	1.1E-4	5.6E-4	1.3E-3	2.4E-1	6.7E-2	8.0E-2
54	4.1E-1	1.1E-4	5.5E-4	1.3E-3	2.4E-1	6.7E-2	8.0E-2
55	4.1E-1	1.1E-4	5.5E-4	1.3E-3	2.4E-1	6.8E-2	8.1E-2
56	4.1E-1	1.1E-4	5.4E-4	1.3E-3	2.4E-1	6.8E-2	8.1E-2
57	4.1E-1	1.1E-4	5.4E-4	1.3E-3	2.4E-1	6.8E-2	8.1E-2
58	4.0E-1	1.1E-4	5.3E-4	1.3E-3	2.3E-1	6.9E-2	8.2E-2
59	4.0E-1	1.1E-4	5.3E-4	1.3E-3	2.3E-1	6.9E-2	8.2E-2
60	4.0E-1	1.1E-4	5.2E-4	1.3E-3	2.3E-1	6.9E-2	8.2E-2
61	4.0E-1	1.1E-4	5.2E-4	1.3E-3	2.3E-1	6.9E-2	8.2E-2
62	4.0E-1	1.0E-4	5.1E-4	1.3E-3	2.3E-1	7.0E-2	8.3E-2
63	4.0E-1	1.0E-4	5.1E-4	1.3E-3	2.2E-1	7.0E-2	8.3E-2
64	4.0E-1	1.0E-4	5.0E-4	1.3E-3	2.2E-1	7.0E-2	8.3E-2
65	3.9E-1	1.0E-4	5.0E-4	1.2E-3	2.2E-1	7.1E-2	8.3E-2
66	3.9E-1	1.0E-4	4.9E-4	1.2E-3	2.2E-1	7.1E-2	8.4E-2
67	3.9E-1	1.0E-4	4.9E-4	1.2E-3	2.2E-1	7.1E-2	8.4E-2
68	3.9E-1	1.0E-4	4.8E-4	1.2E-3	2.1E-1	7.1E-2	8.4E-2
69	3.9E-1	9.9E-5	4.8E-4	1.2E-3	2.1E-1	7.2E-2	8.4E-2
70	3.9E-1	9.8E-5	4.7E-4	1.2E-3	2.1E-1	7.2E-2	8.5E-2
71	3.9E-1	9.8E-5	4.7E-4	1.2E-3	2.1E-1	7.2E-2	8.5E-2
72	3.9E-1	9.7E-5	4.6E-4	1.2E-3	2.1E-1	7.2E-2	8.5E-2
73	3.8E-1	9.6E-5	4.6E-4	1.2E-3	2.0E-1	7.3E-2	8.5E-2
74	3.8E-1	9.5E-5	4.6E-4	1.2E-3	2.0E-1	7.3E-2	8.6E-2
75	3.8E-1	9.5E-5	4.5E-4	1.2E-3	2.0E-1	7.3E-2	8.6E-2
76	3.8E-1	9.4E-5	4.5E-4	1.2E-3	2.0E-1	7.3E-2	8.6E-2
77	3.8E-1	9.3E-5	4.4E-4	1.2E-3	2.0E-1	7.4E-2	8.6E-2
78	3.8E-1	9.3E-5	4.4E-4	1.2E-3	2.0E-1	7.4E-2	8.6E-2
79	3.8E-1	9.2E-5	4.3E-4	1.2E-3	1.9E-1	7.4E-2	8.7E-2
80	3.8E-1	9.1E-5	4.3E-4	1.1E-3	1.9E-1	7.4E-2	8.7E-2
81	3.7E-1	9.1E-5	4.3E-4	1.1E-3	1.9E-1	7.4E-2	8.7E-2
82	3.7E-1	9.0E-5	4.2E-4	1.1E-3	1.9E-1	7.5E-2	8.7E-2
83	3.7E-1	8.9E-5	4.2E-4	1.1E-3	1.9E-1	7.5E-2	8.7E-2
84	3.7E-1	8.9E-5	4.1E-4	1.1E-3	1.9E-1	7.5E-2	8.7E-2
85	3.7E-1	8.8E-5	4.1E-4	1.1E-3	1.8E-1	7.5E-2	8.8E-2
86	3.7E-1	8.7E-5	4.1E-4	1.1E-3	1.8E-1	7.6E-2	8.8E-2
87	3.7E-1	8.7E-5	4.0E-4	1.1E-3	1.8E-1	7.6E-2	8.8E-2
88	3.7E-1	8.6E-5	4.0E-4	1.1E-3	1.8E-1	7.6E-2	8.8E-2
89	3.6E-1	8.5E-5	3.9E-4	1.1E-3	1.8E-1	7.6E-2	8.8E-2
90	3.6E-1	8.5E-5	3.9E-4	1.1E-3	1.8E-1	7.6E-2	8.8E-2
91	3.6E-1	8.4E-5	3.9E-4	1.1E-3	1.8E-1	7.6E-2	8.9E-2
92	3.6E-1	8.4E-5	3.8E-4	1.1E-3	1.7E-1	7.7E-2	8.9E-2
93	3.6E-1	8.3E-5	3.8E-4	1.1E-3	1.7E-1	7.7E-2	8.9E-2
94	3.6E-1	8.2E-5	3.8E-4	1.1E-3	1.7E-1	7.7E-2	8.9E-2
95	3.6E-1	8.2E-5	3.7E-4	1.1E-3	1.7E-1	7.7E-2	8.9E-2
96	3.6E-1	8.1E-5	3.7E-4	1.1E-3	1.7E-1	7.7E-2	8.9E-2
97	3.6E-1	8.1E-5	3.7E-4	1.0E-3	1.7E-1	7.8E-2	8.9E-2
98	3.5E-1	8.0E-5	3.6E-4	1.0E-3	1.6E-1	7.8E-2	9.0E-2
99	3.5E-1	7.9E-5	3.6E-4	1.0E-3	1.6E-1	7.8E-2	9.0E-2
100	3.5E-1	7.9E-5	3.6E-4	1.0E-3	1.6E-1	7.8E-2	9.0E-2
110	3.4E-1	7.3E-5	3.2E-4	9.8E-4	1.5E-1	8.0E-2	9.1E-2
120	3.3E-1	6.8E-5	2.9E-4	9.3E-4	1.4E-1	8.1E-2	9.2E-2
130	3.2E-1	6.4E-5	2.7E-4	8.9E-4	1.3E-1	8.2E-2	9.2E-2
140	3.1E-1	5.9E-5	2.4E-4	8.5E-4	1.1E-1	8.3E-2	9.3E-2
150	3.0E-1	5.6E-5	2.2E-4	8.1E-4	1.1E-1	8.3E-2	9.3E-2
160	2.9E-1	5.2E-5	2.0E-4	7.8E-4	9.7E-2	8.4E-2	9.3E-2
170	2.9E-1	4.9E-5	1.8E-4	7.4E-4	8.9E-2	8.4E-2	9.2E-2
180	2.8E-1	4.6E-5	1.7E-4	7.1E-4	8.1E-2	8.4E-2	9.2E-2
190	2.7E-1	4.3E-5	1.5E-4	6.8E-4	7.5E-2	8.4E-2	9.2E-2
200	2.7E-1	4.0E-5	1.4E-4	6.6E-4	6.9E-2	8.4E-2	9.1E-2
210	2.6E-1	3.8E-5	1.3E-4	6.3E-4	6.3E-2	8.4E-2	9.0E-2
220	2.5E-1	3.5E-5	1.2E-4	6.1E-4	5.8E-2	8.4E-2	9.0E-2
230	2.5E-1	3.3E-5	1.1E-4	5.9E-4	5.3E-2	8.3E-2	8.9E-2
